,Parietal_Inf_L,OFCant_L,Thal_MDl_R,Cerebellum_6_R,Frontal_Inf_Oper_L,Frontal_Sup_Medial_R,SN_pc_L,Temporal_Pole_Sup_L,Angular_L,Temporal_Inf_R,Thal_PuM_L,Cingulate_Post_R,Supp_Motor_Area_R,ParaHippocampal_R,Red_N_R,Thal_MDm_L,Occipital_Inf_R,Precentral_L,Thal_VA_R,OFCmed_R,SN_pc_R,Thal_IL_L,Thal_PuI_R,Thal_MDl_L,ACC_sup_L,Frontal_Mid_2_L,Putamen_L,Raphe_D,OFCant_R,Cerebellum_Crus2_R,Thal_AV_R,Frontal_Inf_Tri_R,Cuneus_L,Thal_LP_L,Cerebellum_4_5_L,Thal_PuM_R,OFCpost_R,Lingual_R,Cerebellum_Crus1_L,Thal_VL_R,Occipital_Mid_L,Thal_VPL_R,ACC_pre_L,Caudate_R,Thal_MDm_R,Thal_LGN_L,Vermis_3,Paracentral_Lobule_L,Rectus_L,Cerebellum_10_L
Parietal_Inf_L,1.0,-0.31480286227625714,0.33153516397530813,0.5622760085407331,0.5940696346261253,0.47047300348552346,0.36196177361465726,-0.010428594007484072,0.8081470534296553,0.4851890595414299,0.34914977562875904,0.5099625904630618,0.5480505741746078,0.3771576567953977,0.2731716841369269,0.38679583153017716,0.2674461107230754,0.6020436139263692,0.2993779011321367,0.03418770889521067,0.4301542641533235,0.2588941612938448,0.37502245299260506,0.5079636098007103,0.3731257457805442,0.5175738882503059,0.3939245085391119,0.3514232094720875,0.1109206127821272,-0.04820293511501892,0.36691015380054925,0.42976341188714895,0.40639749971490957,0.38908908575781315,0.6595770590189586,0.5480141303428441,0.008980503567869424,0.5297497390464587,0.10412554954497684,0.2674254178004844,0.7442437332907533,0.5095408069406863,-0.08971146979223807,0.45031200004375,0.33837022905441383,0.34932138670466595,0.6090785958576544,0.6764060395792897,0.13770558553991777,0.0789241225919281
OFCant_L,-0.31480286227625714,1.0,0.020892669983352027,-0.20967328900917526,0.09513143378182908,0.1594460378637359,-0.22627710378066235,0.6878573952557147,-0.3898465622688064,-0.2265674513800895,0.19662038784435557,0.15527061206816317,0.3026819675362432,-0.2868768629027049,-0.2152906921043376,-0.022418043128487428,-0.10081823224056032,0.26270752840697636,-0.017175873225791012,0.033336958998384805,-0.11473880617972997,-0.17093046734513004,-0.16292729956252275,-0.17759163247133558,0.2152203876153598,0.15343401237658977,-0.08997248882704216,-0.1625047190640475,-0.11594883751353594,0.029334100110620882,-0.2311608436175919,0.27915628629373673,-0.024692003017253175,-0.10672792123345878,-0.2150784662953137,-0.25003267280635494,0.5427116501246515,-0.0001359422098321674,0.07771599978948314,-0.08026766770291256,-0.266853962984091,-0.09200855688302588,0.5736619500921402,0.003619945438808438,-0.06886894209476598,-0.09198148527421197,-0.015205021271314359,0.07706669785033576,-0.1482510456731622,0.22300784007539637
Thal_MDl_R,0.33153516397530813,0.020892669983352027,1.0,0.4023101367137909,0.6001740908011424,0.6462407032204373,0.68471984493196,0.3669466367556662,0.17034931851585716,0.4364164166813866,0.4702115880919591,0.498025722704051,0.5149989384628272,0.5209249588274099,0.4276408797780997,0.6296272806241634,0.20086930972993203,0.5224321056130595,0.6100223423271574,0.13009215290536913,0.6517481868260506,0.20761112366007017,0.40719492080264974,0.6542196696735004,0.7447307857437938,0.706571973078278,0.6995433076955879,0.293255226593103,0.4322864946450911,-0.0295061515306793,0.6951215913110382,0.6360750685285829,0.08974099192233091,0.5958515403501548,0.4883340265574955,0.4332070416719196,0.4049779256004017,0.4969786003040521,0.32555769572871995,0.4620420620401006,0.19285470237280997,0.5492607161642485,0.451216706649096,0.7214028316438696,0.7520343698313813,0.21384651014344352,0.6675547401851196,0.4500512319789755,0.1711064184944611,0.45776705838118364
Cerebellum_6_R,0.5622760085407331,-0.20967328900917526,0.4023101367137909,1.0,0.481773844173084,0.531200145096737,0.6590605139285594,0.21632659548122915,0.5213486661950814,0.8380190400290687,0.3698749032303559,0.6099582569569547,0.5402545588119784,0.6874703382042706,0.4484765114833365,0.5116720091763352,0.2791086387680921,0.43921175749744223,0.625697808314112,0.040358478569501484,0.6651602984427442,0.29548281489028955,0.42059907122339013,0.6709813124491717,0.4431640865276243,0.6525008694052775,0.7134155158201249,0.08669019933865445,0.4623930519993388,-0.06659440437231352,0.6278542639670001,0.5463830237500215,0.1329126452820272,0.384040398402583,0.8675410180135505,0.48924160704987857,0.27257288643835564,0.7510254069355575,0.28123121969281456,0.549492082381963,0.48772424932791786,0.3921357489053736,0.1993320688306753,0.6671222885111843,0.4743634505038077,0.24323655246313508,0.7180856691177522,0.5730614870565616,0.15025542749264395,0.3522205584823214
Frontal_Inf_Oper_L,0.5940696346261253,0.09513143378182908,0.6001740908011424,0.481773844173084,1.0,0.5542333975516053,0.4911046538088373,0.40873934276846347,0.42886890244371073,0.46731026986033014,0.6095381221458003,0.6991184279171395,0.7909068168351696,0.23445697657976677,0.21320034211832858,0.4100497640191017,0.30084348881044376,0.8353310902342543,0.42234504084377206,0.07069328525564025,0.47758133659503266,0.14912901356801667,0.44071995918550183,0.5643439746327051,0.5620047446684018,0.6870084131977581,0.5485152125699465,0.3869317321155861,0.09672499977612606,-0.08168459135310165,0.4380765437019026,0.8089072504481614,0.3569026235101325,0.49428674401927364,0.495165764542557,0.5280893900283529,0.31055015565877053,0.6821685609352821,0.1868972481678842,0.34510761746860624,0.5108258646852897,0.6177238507377218,0.3357701983892961,0.646697687891498,0.4867683238586025,0.3921911724072967,0.6186152840613984,0.7510011388170688,0.31905911321944297,0.20496988153236687
Frontal_Sup_Medial_R,0.47047300348552346,0.1594460378637359,0.6462407032204373,0.531200145096737,0.5542333975516053,1.0,0.6104064451216451,0.42128411122021775,0.21574056740827338,0.4630831722632956,0.4825992084047283,0.6068672065405318,0.6990558604265622,0.5962546335776764,0.4843392730387582,0.5551238773394499,0.18297274383949705,0.6264332031636111,0.6115310751952662,0.24086369136386235,0.6805422294857619,0.177095908333638,0.3124309528996932,0.6649099426690134,0.7947010777060276,0.8428475563279402,0.7548550637819453,0.18362443260459224,0.5761142192773118,-0.10920121016162555,0.6576358751921078,0.6859752583432535,0.10993244816448344,0.46267659922202703,0.5888489628517624,0.35595506366862706,0.626278313154693,0.5544858835510931,0.3252884002908057,0.4201822713420865,0.22160808020765926,0.4340151147278346,0.4683961621373058,0.7818530358974412,0.5369043923748362,0.2971113355290674,0.6615950412722784,0.6086258037668193,0.15002036298532623,0.48743486245544076
SN_pc_L,0.36196177361465726,-0.22627710378066235,0.68471984493196,0.6590605139285594,0.4911046538088373,0.6104064451216451,1.0,0.3167744987365113,0.24134413705860155,0.6183210450653377,0.33573397129520155,0.4085389423473596,0.3725806854449895,0.74991104962247,0.5517230018503838,0.5669950772278189,0.20428358138001507,0.31608755974417757,0.6365445894662752,0.19773681205257473,0.8262729180571802,0.20332419572369842,0.4674679047936611,0.6599320945937989,0.5949518788146321,0.7194615395944465,0.85487671496105,0.22561381195238459,0.651712653097137,-0.1195612585608444,0.737544672232664,0.5312278404993152,0.05500049769031606,0.5269095423526599,0.7213912439681462,0.4408737543762633,0.33650837730689703,0.5360131731256635,0.41180056254584907,0.5625989080270395,0.25052294794890106,0.47765140976162973,0.2672332721945065,0.7451128813918337,0.60190077757116,0.35002998772703,0.7319664517859251,0.36053686242149896,0.19171314455776234,0.5213444054289686
Temporal_Pole_Sup_L,-0.010428594007484072,0.6878573952557147,0.3669466367556662,0.21632659548122915,0.40873934276846347,0.42128411122021775,0.3167744987365113,1.0,-0.1332664651994271,0.1848800210450113,0.3240128159835228,0.39698916690734437,0.49756413671461847,0.07745056904228147,0.02650899709797871,0.21138943753580772,0.02233809330216219,0.4307290948077508,0.20533806935383894,0.09689476863494911,0.2901038037175345,-0.09708297642235875,0.044397969510347364,0.13399129086112557,0.4636371618678801,0.542115328861933,0.4265677116746347,0.013305913494346039,0.18262706454381605,-0.04323605600231528,0.12854274688101328,0.5544923408281723,0.08325497944170152,0.2942602456194918,0.24767445957558895,0.04254047279801355,0.5941755971915019,0.3471900295708362,0.49792766422591006,0.21736545320040504,0.08499001731306625,0.2012545326101029,0.6831825828264818,0.41865014561166797,0.18606889252590225,0.11809802361679238,0.38509101571971527,0.27503205682364956,0.14284169886908638,0.5255723798461714
Angular_L,0.8081470534296553,-0.3898465622688064,0.17034931851585716,0.5213486661950814,0.42886890244371073,0.21574056740827338,0.24134413705860155,-0.1332664651994271,1.0,0.3967561803161572,0.22723808874844945,0.40517524142220224,0.3210012299119732,0.2643015116555402,0.2315258970379667,0.3097919331270837,0.19824331801194184,0.34313004972747485,0.23266016526977426,-0.028502834914613123,0.2968991236743545,0.3212022478233554,0.3823934631961403,0.4223561053933134,0.19724381638194294,0.302205578033196,0.2072118687403466,0.4675587465427085,-0.03073588403222732,-0.09049321146165466,0.21930855115440764,0.19483117689630827,0.374954462816576,0.1431343210504301,0.5879289726991316,0.5009963537210612,-0.21942691948234566,0.4076384040421659,0.0772735184080298,0.1760146271069121,0.7813356779123627,0.4100532509218008,-0.2555834909038668,0.26137307091239426,0.2572084272110642,0.307034183060322,0.46838857064372286,0.4743524091857171,0.03836369292234045,-0.1606494423501322
Temporal_Inf_R,0.4851890595414299,-0.2265674513800895,0.4364164166813866,0.8380190400290687,0.46731026986033014,0.4630831722632956,0.6183210450653377,0.1848800210450113,0.3967561803161572,1.0,0.26514851291409347,0.5718899393729051,0.49377827076494624,0.5860465414901895,0.3334416683601061,0.3527452052487008,0.3949028367486134,0.39851208978022323,0.5616725068842965,0.03484101179596289,0.6255498875753027,0.15730358291568794,0.3426809797662856,0.6489138034681194,0.39325984299827627,0.5824264534974305,0.6768764986099759,0.18976762029199418,0.44769722442102755,-0.0775923293491877,0.5927097692265855,0.5111433007411054,0.0524780885849802,0.3887754081931489,0.7473231355662568,0.35860215317599736,0.25337754731098,0.68664090459906,0.3101215954940426,0.43607096535281725,0.3551604138004708,0.3764846224475834,0.15088605969550187,0.6336092528840557,0.4923515732968147,0.28815284332938035,0.6384936867988965,0.5161852805353818,0.2988989000850877,0.25527608184527556
