,Parietal_Sup_R,Pallidum_L,Vermis_10,Thal_LP_R,Parietal_Inf_L,Occipital_Inf_R,OFClat_R,Fusiform_L,Temporal_Mid_R,Frontal_Mid_2_L,Thal_MDl_L,Cerebellum_Crus2_R,Temporal_Sup_R,Frontal_Sup_2_R,SupraMarginal_L,ACC_sup_L,Frontal_Mid_2_R,Olfactory_R,Parietal_Inf_R,Precentral_R,Thal_AV_L,Raphe_D,Rolandic_Oper_R,Lingual_R,Thal_PuI_L,Cerebellum_10_R,OFClat_L,Precuneus_L,Putamen_L,Thal_MDl_R,Cerebellum_7b_R,Cerebellum_Crus1_R,OFCmed_L,ACC_sub_L,Lingual_L,Thal_VA_R,Precuneus_R,Cerebellum_10_L,Calcarine_R,Thal_PuM_R,N_Acc_R,Thal_VL_L,Temporal_Sup_L,Frontal_Inf_Tri_L,OFCmed_R
Parietal_Sup_R,1.0,0.05015101344385471,0.41487001627296244,0.21097653347636586,0.6911253700240837,0.008520708052814796,-0.0934506805947654,0.44717454246487315,0.3173907398812383,0.277401103990936,0.2830653279959119,0.11943380013599304,0.2764699440965006,0.3621822232495455,0.3807951901874248,0.10610393278096625,0.2540727419743084,-0.16334774468860683,0.7462668445761995,0.31193598657949523,0.16378735149570972,0.20169155292794405,0.24541193747474394,0.4009974969362557,0.12169908463716782,-0.0396425521259022,0.016987688414460002,0.6315669795198113,0.19318027294297707,0.10450538968106414,0.16552766389051343,-0.1408324960762074,0.050825914213674536,0.0737618006144194,0.3731599476909476,0.09584852311882926,0.47268398097174164,-0.0697157661316152,0.28908384238018286,0.5120571819696139,0.038949867667075665,0.12594503312424807,0.2723716396550779,0.08652019297662247,-0.14648340612726815
Pallidum_L,0.05015101344385471,1.0,0.26227110543562177,0.43605587961132886,0.18245186280318068,0.22247162536737333,-0.08087342507498169,0.4790698655841264,0.2382653080949768,0.5415856389020611,0.4881836343054524,-0.23320592677678392,0.41194598940365623,0.46993799353591836,0.27780954837923366,0.46177663162318633,0.5003694357325753,-0.20332618120801718,0.2778177750786765,0.24462673082125908,0.44781836496608013,0.3840067795687877,0.3544240513758982,0.3260851852042896,0.3366054607928624,0.4685773552579226,-0.12430410243473938,0.16813912419437407,0.6198749778874494,0.4359554331941163,-0.25698792658551944,0.27464239725185224,0.20166059312756038,0.4418677486477466,0.3016906009362618,0.3844583955104482,0.22458051495163123,0.4649068939056334,-0.005065272331960709,0.37637851709940523,0.5763591894319686,0.643603205061235,0.2866710751403564,0.5032863153177806,0.34240274418678424
Vermis_10,0.41487001627296244,0.26227110543562177,1.0,0.32935723420720336,0.4790286169418935,0.23344104293600365,-0.18934275885507199,0.6275207812059801,0.3944725807796202,0.5484455054435785,0.3882066715097723,-0.026960714523505305,0.44719963230297566,0.44790802594074686,0.584047949620226,0.44772653348823055,0.5048787412755453,-0.09106068675995675,0.6257098395144889,0.5262703545212072,0.3703278621224787,0.30820073094038736,0.5202513520630392,0.6446931704307802,0.289800675534827,0.17544661027499422,-0.28582505085236376,0.5795489875157334,0.5203406876906348,0.3876034815886517,0.23751735389065465,0.14066503016465096,0.25861389792943373,-0.04580423104572654,0.6439561787928517,0.19932544637539337,0.5729699375170603,0.010223308983082987,0.46172037770560065,0.45024987333510647,0.20960814264978903,0.3318002934919892,0.5880627364110058,0.5759595308801412,-0.08714074787223107
Thal_LP_R,0.21097653347636586,0.43605587961132886,0.32935723420720336,1.0,0.2989532339781032,0.2185428319835961,-0.16483883091767085,0.38210621453294635,0.3999108653357824,0.4188649831241799,0.40640103443912357,-0.22723166664700314,0.4548223636649889,0.3977343470949042,0.3466898823643991,0.5136464860017967,0.44263485986061857,-0.34026976948482457,0.36064671146382793,0.3590496834911868,0.3574416413385998,0.2706511086855474,0.4349414022532519,0.45078799264898417,0.07047038381344264,0.2778190071400989,-0.18258609621040459,0.3499193014452066,0.4630841568050922,0.5094564840224373,0.004201684856407994,0.1038662650840938,0.02632073337357571,0.13923811505053063,0.3919259466589102,0.24954292927314264,0.3730734845576067,0.11428897966459216,0.24366053133333052,0.6786902745627662,0.31972035652710523,0.5141551701511443,0.33028972361073244,0.3809702747072693,0.021923680324759783
Parietal_Inf_L,0.6911253700240837,0.18245186280318068,0.4790286169418935,0.2989532339781032,1.0,0.2674461107230754,-0.2784527790102745,0.5400421505163183,0.3785850492140044,0.5175738882503059,0.5079636098007103,-0.04820293511501892,0.5015130319514618,0.5873754820655889,0.7367608309042766,0.3731257457805442,0.5729407722037504,-0.15029329478152942,0.7655028226486301,0.5358395160701159,0.37696174314735315,0.3514232094720875,0.5094576720108155,0.5297497390464587,0.232309477977892,0.15159573503926665,-0.0819695007568168,0.6001525518213823,0.3939245085391119,0.33153516397530813,0.008624797753004418,0.15277753221414203,0.05974148376882552,0.1292253512676343,0.353343924270813,0.2993779011321367,0.5781173428105806,0.0789241225919281,0.2846471871180726,0.5480141303428441,0.22045087314936998,0.33584064737811126,0.5428905898768237,0.3994692527969932,0.03418770889521067
Occipital_Inf_R,0.008520708052814796,0.22247162536737333,0.23344104293600365,0.2185428319835961,0.2674461107230754,1.0,-0.0726871412857488,0.20652257773925614,0.3625816785408347,0.19165617168794055,0.25737558170733416,-0.08918126132720837,0.2646777606000088,0.1787639094576909,0.334454773187441,0.1950110970308215,0.2340987717454601,-0.05011163097008668,0.10996857692496674,0.20246431192110464,0.2070106760635837,0.22600381092262223,0.2606076918296458,0.26888048784156826,0.14176079204339415,0.19678964977772598,0.0716492504664441,0.13350919346532814,0.21376544708046463,0.20086930972993203,-0.010713198660971989,0.27492584183019414,0.0566583504059043,0.11621607507067576,0.14022263202321944,0.10901377032410876,0.1650043405693399,0.08492926222655119,0.04157947748524279,0.20214616137226887,0.17956880434509415,0.25566501899233474,0.2526244468159217,0.2836841183101174,0.08585625350814834
OFClat_R,-0.0934506805947654,-0.08087342507498169,-0.18934275885507199,-0.16483883091767085,-0.2784527790102745,-0.0726871412857488,1.0,-0.40397890576520923,0.1011728833397585,-0.15565038854114793,-0.3294325436136174,0.3681214121727563,-0.015154457621969255,-0.1887391667872672,-0.18149777950736762,-0.11238259896606165,-0.00848842366773079,0.312289998795617,-0.1916983434809428,-0.012393754794526911,-0.4041848012931479,-0.12371231004914124,0.04687005937187031,-0.16239007988908627,0.036272587521370483,0.10544839579607004,0.40431470398099284,-0.0022039096238640186,-0.21335038813058657,-0.09395153336428877,0.14515219787849143,0.04303649662651484,0.050956043689329295,-0.1319255137439974,0.012504486321081597,-0.20619953239373656,-0.1031721085536068,0.08627868699407241,0.07989991326353577,-0.27313935990471977,-0.21782804845356524,-0.19133419320997588,-0.13353051806696087,-0.04087994829862073,-0.03291577301227379
Fusiform_L,0.44717454246487315,0.4790698655841264,0.6275207812059801,0.38210621453294635,0.5400421505163183,0.20652257773925614,-0.40397890576520923,1.0,0.25141977238561364,0.6498855344629713,0.7056504225333834,-0.13942710478855735,0.40885922020990667,0.6233910075426482,0.4819806788254802,0.4483299866386141,0.5443423962315845,-0.3164375474822381,0.584353479426893,0.309908403393893,0.7265811733202865,0.16986042409899582,0.31262963365480884,0.6746193339995213,0.2142741366554754,0.36216899774568506,-0.26130257637537163,0.4061011339663004,0.7713987579933935,0.42812267431121964,-0.013810651279826048,0.18318191957929567,0.07283621091933043,0.12447671228490244,0.4561047958783565,0.6236085603595475,0.5065232959103464,0.3199038730236957,0.1328853626678243,0.45066613010342005,0.6659438227031861,0.4680933019496179,0.5145419084672953,0.4544637021543733,0.09245624475981461
Temporal_Mid_R,0.3173907398812383,0.2382653080949768,0.3944725807796202,0.3999108653357824,0.3785850492140044,0.3625816785408347,0.1011728833397585,0.25141977238561364,1.0,0.4331139703701168,0.3059199814143141,0.03302942771985848,0.7706326902262739,0.3043391386927271,0.5079544682350097,0.3829835311744843,0.5027952012145006,-0.022439241242892503,0.45004351101679635,0.6186541028258844,0.228040688778282,0.10135088559025601,0.6697984291069022,0.6313516924714847,0.181349841417661,0.47971159868333807,-0.33148330039573964,0.6562630407755321,0.29472689344802394,0.2882658573029551,-0.050960816803938894,0.416662860022801,0.2854456585029534,0.10157242001310544,0.5144597261245276,0.23743576942767547,0.6859947826842935,0.25458670520972565,0.39655174919114883,0.401587025812797,0.27397963644592127,0.35298988655664815,0.5909024526024266,0.4705613924915518,0.03135025410864595
Frontal_Mid_2_L,0.277401103990936,0.5415856389020611,0.5484455054435785,0.4188649831241799,0.5175738882503059,0.19165617168794055,-0.15565038854114793,0.6498855344629713,0.4331139703701168,1.0,0.7194198703235555,-0.05990563202798937,0.7656610131184253,0.8214863358446693,0.602559573334139,0.8316053591268745,0.8972735526464981,-0.08952520884105875,0.686195949773747,0.7175616527150475,0.7411479429931234,0.21303807469128896,0.7180449750252215,0.6612891377821033,0.3195475085526763,0.5911553011979995,-0.2600699391554335,0.5718252675571444,0.8595690279505707,0.706571973078278,-0.1947574329153922,0.35290301974199506,0.3022351790932016,0.11188895491597155,0.570127599416361,0.6600013910080011,0.6154537098362608,0.5317641732924667,0.4252684765182076,0.4692990978288768,0.6189175056125125,0.5607317974187551,0.6307964004724371,0.7879611502627331,0.23721177526013953
Thal_MDl_L,0.2830653279959119,0.4881836343054524,0.3882066715097723,0.40640103443912357,0.5079636098007103,0.25737558170733416,-0.3294325436136174,0.7056504225333834,0.3059199814143141,0.7194198703235555,1.0,-0.11009553493678174,0.5642542969712918,0.6081822576968069,0.525326782354541,0.5864002811970345,0.6347148964014808,-0.12852102946605298,0.4985916337398195,0.504733478381782,0.8274503140095286,0.37204552094010973,0.4633291926560897,0.6443841482581546,0.48504444747652087,0.3541966658361059,-0.38247152357734143,0.43123245582097575,0.742549016825497,0.6542196696735004,-0.27888258654607045,0.22636930841665978,0.07581795169623044,0.30933761028103873,0.3953225262889572,0.8203863255808422,0.5240632166819355,0.32320995125825946,0.19084791833980982,0.4960932763410066,0.6550134647817825,0.7526328233075797,0.48843709293624743,0.5476335292381397,0.2398038500637544
