,Cingulate_Mid_R,Vermis_7,Thal_PuA_L,Thal_PuM_R,Temporal_Pole_Sup_L,Cuneus_L,Fusiform_R,Thal_PuA_R,Thal_PuM_L,Occipital_Inf_R,Temporal_Sup_R,Temporal_Pole_Mid_R,Thal_MDm_R,Cerebellum_6_R,Thal_LP_L,Frontal_Sup_Medial_R,SN_pc_R,Calcarine_L,Rectus_L,Frontal_Inf_Tri_R,Occipital_Mid_L,Vermis_6,Frontal_Sup_2_L,Thal_VA_L,Red_N_R,Cerebellum_4_5_L,Cerebellum_3_L,Cingulate_Mid_L,Cerebellum_Crus1_L,Angular_L
Temporal_Sup_R,0.7075854303811661,-0.10135849844751468,0.44957236280477514,0.43019880279989575,0.40764651244303335,0.18704668147583,0.6715310444358158,0.34058550635515783,0.4893488718556465,0.2646777606000088,1.0,-0.08889998025833389,0.559220522704667,0.5673186147382383,0.42552187008275855,0.628275910823356,0.5474386496762694,0.4926506107421261,0.004714957541938964,0.7997373911084935,0.30901699249649606,0.6508060331353688,0.655141602823831,0.5502194870932227,0.3049269907113399,0.6176125635276972,0.6360105388144861,0.56309475332818,0.13086758003706778,0.24978526232422843
Temporal_Pole_Mid_R,-0.03853536425522248,0.02299401478469356,0.05323024421588786,-0.1578047566546211,0.37365735107187376,-0.1856570424129907,-0.035859471284997085,-0.04590354683554696,0.013849626338221054,0.012865433283397426,-0.08889998025833389,1.0,-0.057231357982645746,-0.0213394966819041,-0.06567241394444179,0.09188865838617091,-0.01653211337630508,-0.04180483930521783,0.2799124385333569,0.19969340578172462,-0.1396475846069531,0.06838526401109753,-0.030093809785551887,0.02700804217079232,0.01273125099954624,-0.12252652508911802,0.1101072121576547,-0.14991884855085671,0.14703307119260434,-0.24086112031827897
Thal_MDm_R,0.45513854012238875,-0.09026652555298154,0.3992991276637516,0.4141704511093383,0.18606889252590225,-0.0026654042760554677,0.6158668284497315,0.10678373981839061,0.2712961351605647,0.2645176965952258,0.559220522704667,-0.057231357982645746,1.0,0.4743634505038077,0.5234365545307001,0.5369043923748362,0.6296831569494633,0.22721177704556997,0.07763087517091899,0.5472754647340196,0.20596576619839962,0.39370717622902013,0.539183191327056,0.7537295750580504,0.47919435706393215,0.5642920080160356,0.6250669940481801,0.440471538112749,0.14490037292698724,0.2572084272110642
Cerebellum_6_R,0.560115321263887,-0.16542748099667118,0.2345013377636585,0.48924160704987857,0.21632659548122915,0.1329126452820272,0.9131092746803252,0.34213779105043657,0.3698749032303559,0.2791086387680921,0.5673186147382383,-0.0213394966819041,0.4743634505038077,1.0,0.384040398402583,0.531200145096737,0.6651602984427442,0.2698481134865064,0.15025542749264395,0.5463830237500215,0.48772424932791786,0.6594574779046762,0.5652233017655917,0.5790966718570253,0.4484765114833365,0.8675410180135505,0.5522555226820686,0.4052996674222881,0.28123121969281456,0.5213486661950814
Thal_LP_L,0.3915832611982799,-0.2817185089988652,0.4924700433743173,0.6633746003152543,0.2942602456194918,0.11267284696063216,0.372834560721893,0.4338028064807918,0.3625128009336992,0.21774518267826365,0.42552187008275855,-0.06567241394444179,0.5234365545307001,0.384040398402583,1.0,0.46267659922202703,0.3482826898854471,0.26153692294356307,0.2090600148619915,0.4641090046835424,0.3061878768444437,0.4580116834231513,0.4739724385725286,0.4286926040772769,0.48825232911555805,0.4763528011725078,0.4523115635546459,0.2641325719328861,0.26542088047672563,0.1431343210504301
Frontal_Sup_Medial_R,0.7209308646224416,-0.11099775878075117,0.2580676199949186,0.35595506366862706,0.42128411122021775,0.10993244816448344,0.5637105257554743,0.323293535703206,0.4825992084047283,0.18297274383949705,0.628275910823356,0.09188865838617091,0.5369043923748362,0.531200145096737,0.46267659922202703,1.0,0.6805422294857619,0.3446028151790799,0.15002036298532623,0.6859752583432535,0.22160808020765926,0.4652359986020319,0.8620771832327817,0.5881821673119272,0.4843392730387582,0.5888489628517624,0.6806807816220836,0.5440501461391658,0.3252884002908057,0.21574056740827338
SN_pc_R,0.5618392274921101,-0.0755902048283963,0.12177353569570261,0.31959770502347135,0.2901038037175345,0.01231643294608235,0.7139874601041549,0.1787306430717375,0.41229094887186174,0.16109457773482216,0.5474386496762694,-0.01653211337630508,0.6296831569494633,0.6651602984427442,0.3482826898854471,0.6805422294857619,1.0,0.23534069828561596,0.14951107108422673,0.5624543459847792,0.2502679685432773,0.463101377059344,0.7041717738626294,0.683050024824264,0.43639088089444644,0.722922074695864,0.7760578726932229,0.44688983635415813,0.28421146314014545,0.2968991236743545
Calcarine_L,0.3760554669195022,0.004739989101900136,0.4862520651829921,0.4434302962632057,0.37957469496940377,0.7826133812867563,0.21559637824820327,0.3429994965964718,0.7757955011682548,0.07339704505590826,0.4926506107421261,-0.04180483930521783,0.22721177704556997,0.2698481134865064,0.26153692294356307,0.3446028151790799,0.23534069828561596,1.0,0.060442656148472045,0.47939601907910767,0.36700075082467604,0.4940995476979957,0.4240773050736515,0.19635779493411662,0.08598094177658319,0.35444047899323405,0.29909550061973594,0.39861259910705826,0.19279955381287325,0.15356192647637773
Rectus_L,0.15040726934567092,0.007634955551831962,-0.0813060391702352,0.11964224989243262,0.14284169886908638,0.09333369260366682,0.20535517284675014,-0.09728769130475674,0.1354428572602857,0.24111471667847068,0.004714957541938964,0.2799124385333569,0.07763087517091899,0.15025542749264395,0.2090600148619915,0.15002036298532623,0.14951107108422673,0.060442656148472045,1.0,0.18230632755876905,0.17228427963119466,0.3807712070689769,0.02991351163379459,-0.015447463847054145,-0.14620869125608799,0.08341407436346633,0.16020141925791703,-0.01977263597806317,0.24141402404193849,0.03836369292234045
Frontal_Inf_Tri_R,0.6903056718102021,-0.029972973357201716,0.4305373412320723,0.40389358337816356,0.5544923408281723,0.16273245252568352,0.611127279915269,0.35768224124734194,0.5644184212336321,0.226852112339748,0.7997373911084935,0.19969340578172462,0.5472754647340196,0.5463830237500215,0.4641090046835424,0.6859752583432535,0.5624543459847792,0.47939601907910767,0.18230632755876905,1.0,0.326350025125525,0.6317544023022506,0.6388719585266914,0.5906217231457612,0.35601301592616724,0.5181935829854828,0.6754573570846,0.5076548342572444,0.18457683291406965,0.19483117689630827
Occipital_Mid_L,0.48995248766459515,-0.01309980314876268,0.208586989039604,0.546524634924536,0.08499001731306625,0.527273682803851,0.40653479526237296,0.25136837185436917,0.3414741508035809,0.14687125642329904,0.30901699249649606,-0.1396475846069531,0.20596576619839962,0.48772424932791786,0.3061878768444437,0.22160808020765926,0.2502679685432773,0.36700075082467604,0.17228427963119466,0.326350025125525,1.0,0.35026834406506474,0.3306223309026291,0.1644492007229905,0.19207708053083256,0.5481122416380584,0.20898440497987986,0.5101310236209682,0.18140459321383076,0.7813356779123627
Vermis_6,0.5917860651447521,-0.14689307972252202,0.39511808511291524,0.40780712196248303,0.5181349168368071,0.1966908286496621,0.6547607536099896,0.26542828083877906,0.49531219095384105,0.2922976970842952,0.6508060331353688,0.06838526401109753,0.39370717622902013,0.6594574779046762,0.4580116834231513,0.4652359986020319,0.463101377059344,0.4940995476979957,0.3807712070689769,0.6317544023022506,0.35026834406506474,1.0,0.377645374073512,0.3466468488779272,0.12792564868995027,0.5745264806679565,0.5607407662030505,0.2740600354293732,0.34803662275695557,0.2369561825875026
Frontal_Sup_2_L,0.6531134320422588,-0.14568100873466122,0.24913603792924272,0.4610624153204409,0.3475371174534905,0.28657712712533734,0.5866119145346589,0.34620848583457053,0.47664937759160314,0.14386121892274323,0.655141602823831,-0.030093809785551887,0.539183191327056,0.5652233017655917,0.4739724385725286,0.8620771832327817,0.7041717738626294,0.4240773050736515,0.02991351163379459,0.6388719585266914,0.3306223309026291,0.377645374073512,1.0,0.5629240118740193,0.5416288241875313,0.684680624760598,0.6827628819248939,0.6617316356429992,0.359515768803991,0.30338272439419106
Thal_VA_L,0.4475804468435044,-0.044228838863273646,0.42695802936506216,0.4109465262105884,0.180375666814443,-0.08775570195091115,0.6395915850243102,0.3544559439688984,0.4052406928117142,0.11874712106020976,0.5502194870932227,0.02700804217079232,0.7537295750580504,0.5790966718570253,0.4286926040772769,0.5881821673119272,0.683050024824264,0.19635779493411662,-0.015447463847054145,0.5906217231457612,0.1644492007229905,0.3466468488779272,0.5629240118740193,1.0,0.6058004061823676,0.5596072417777865,0.6005926834999338,0.3822820209398411,0.07390289724639278,0.20202210445003324
Red_N_R,0.24160238890512606,-0.2497774423414957,0.439142139896509,0.5547037872928187,0.02650899709797871,-0.030898593301898866,0.4148892654478739,0.5809604554656106,0.2599316460798525,0.08465028438040856,0.3049269907113399,0.01273125099954624,0.47919435706393215,0.4484765114833365,0.48825232911555805,0.4843392730387582,0.43639088089444644,0.08598094177658319,-0.14620869125608799,0.35601301592616724,0.19207708053083256,0.12792564868995027,0.5416288241875313,0.6058004061823676,1.0,0.46002511350214054,0.4308514314960288,0.26895789504964984,0.10784019931869016,0.2315258970379667
Cerebellum_4_5_L,0.6472572423769817,-0.13391292377938882,0.3137940524375539,0.5655731899390797,0.24767445957558895,0.23791845146950338,0.840313809785429,0.29622359074897675,0.3950414884325328,0.2494069104711431,0.6176125635276972,-0.12252652508911802,0.5642920080160356,0.8675410180135505,0.4763528011725078,0.5888489628517624,0.722922074695864,0.35444047899323405,0.08341407436346633,0.5181935829854828,0.5481122416380584,0.5745264806679565,0.684680624760598,0.5596072417777865,0.46002511350214054,1.0,0.615847486975924,0.5394467691857289,0.3622115584048087,0.5879289726991316
Cerebellum_3_L,0.6065584406491809,-0.09755999730212327,0.24972823625652402,0.2827268194530568,0.6049150760963856,0.055522361131551914,0.6070653532328716,0.1482280887429586,0.40171657757412443,0.24565102191116556,0.6360105388144861,0.1101072121576547,0.6250669940481801,0.5522555226820686,0.4523115635546459,0.6806807816220836,0.7760578726932229,0.29909550061973594,0.16020141925791703,0.6754573570846,0.20898440497987986,0.5607407662030505,0.6827628819248939,0.6005926834999338,0.4308514314960288,0.615847486975924,1.0,0.45366930304995134,0.4437158469553089,0.19432559668556326
Cingulate_Mid_L,0.8328565702078167,0.07798654394129215,0.3235934634142727,0.4736157173785046,0.10780364414526987,0.4406960506197071,0.4529526282305314,0.2569166138775483,0.4847709755135971,0.1804365047032792,0.56309475332818,-0.14991884855085671,0.440471538112749,0.4052996674222881,0.2641325719328861,0.5440501461391658,0.44688983635415813,0.39861259910705826,-0.01977263597806317,0.5076548342572444,0.5101310236209682,0.2740600354293732,0.6617316356429992,0.3822820209398411,0.26895789504964984,0.5394467691857289,0.45366930304995134,1.0,0.12204157502478195,0.6057761440496029
Cerebellum_Crus1_L,0.22194301904219893,-0.05375543320105101,-0.02096364107717027,0.16626022722353515,0.49792766422591006,0.12150034446235486,0.2213041677444769,0.07510812286242302,0.15213141378703132,0.053517837986149626,0.13086758003706778,0.14703307119260434,0.14490037292698724,0.28123121969281456,0.26542088047672563,0.3252884002908057,0.28421146314014545,0.19279955381287325,0.24141402404193849,0.18457683291406965,0.18140459321383076,0.34803662275695557,0.359515768803991,0.07390289724639278,0.10784019931869016,0.3622115584048087,0.4437158469553089,0.12204157502478195,1.0,0.0772735184080298
Angular_L,0.557720307852528,0.058646413417936596,0.17745585022998875,0.5009963537210612,-0.1332664651994271,0.374954462816576,0.4794125575409827,0.20162358211324302,0.22723808874844945,0.19824331801194184,0.24978526232422843,-0.24086112031827897,0.2572084272110642,0.5213486661950814,0.1431343210504301,0.21574056740827338,0.2968991236743545,0.15356192647637773,0.03836369292234045,0.19483117689630827,0.7813356779123627,0.2369561825875026,0.30338272439419106,0.20202210445003324,0.2315258970379667,0.5879289726991316,0.19432559668556326,0.6057761440496029,0.0772735184080298,1.0
