,Cerebellum_3_R,Cerebellum_6_R,Fusiform_R,Red_N_L,Thal_MDm_L,ACC_sup_R,Temporal_Pole_Sup_R,Occipital_Sup_L,ACC_sub_L,Thal_AV_L,Parietal_Inf_L,Thal_VL_L,Olfactory_L,Thal_LP_L,Cerebellum_4_5_L,Thal_VL_R,VTA_L,ACC_sup_L,Thal_PuI_R,Parietal_Inf_R,Rolandic_Oper_R,Vermis_4_5,LC_R,Temporal_Inf_R,ParaHippocampal_R,LC_L,Parietal_Sup_L,Frontal_Sup_Medial_L,Cerebellum_6_L,Thal_LP_R,OFCant_L,Cingulate_Post_R,Cerebellum_4_5_R,VTA_R,Olfactory_R
Cerebellum_3_R,1.0,0.5182897853083488,0.5666878211861268,0.6128034259025535,0.5631411954888441,0.47596700772298056,-0.23973636512082125,0.2870882644300726,-0.0007228072987308147,0.5595971679941136,0.5566192595900782,0.2956788141786337,0.1471688034048057,0.41990187426858505,0.6273291100465748,0.4487484658950458,0.5972355501186501,0.5196217369449284,0.33633530748140206,0.6044673501672702,0.4087040612434149,0.48733949983965763,0.3971160721264674,0.5398236004286162,0.6118226326640445,-0.1828074162486966,0.42016758875795346,0.5275607463018901,0.4884195718526429,0.39899131628877516,-0.30441201122842054,0.48908747818620346,0.7423265638433111,0.6004248263103189,-0.25131523462312594
Cerebellum_6_R,0.5182897853083488,1.0,0.9131092746803252,0.641700185422829,0.5116720091763352,0.43932646679737564,-0.22465078737968475,0.5055810431442779,0.06640480982705836,0.6657600249897795,0.5622760085407331,0.4466516978246607,0.4037180931309309,0.384040398402583,0.8675410180135505,0.549492082381963,0.5987893207202533,0.4431640865276243,0.42059907122339013,0.6158948157323942,0.4251966441465315,0.8332067300040991,0.14959560410099013,0.8380190400290687,0.6874703382042706,-0.34885115200830563,0.5415851387830979,0.5624449658715154,0.887894408268359,0.42686164718565817,-0.20967328900917526,0.6099582569569547,0.821569853478006,0.6606485386470945,-0.3381422760467283
Fusiform_R,0.5666878211861268,0.9131092746803252,1.0,0.6716661757772963,0.44886786211276525,0.48369084766791337,-0.21282174372464827,0.41259048686835803,0.16972858765371704,0.7290549142540662,0.5867241291565558,0.5405519679052008,0.48540579234149145,0.372834560721893,0.840313809785429,0.4736856618217919,0.6359895734747745,0.4744579815797589,0.4290897039422982,0.5820115204457326,0.464672621698413,0.7935629378075262,0.18691224511885082,0.877922463361711,0.7000424409951953,-0.2881485592186926,0.4975106079894373,0.6158721985305702,0.8230879841163411,0.4057951449780967,-0.20244912998974363,0.5902396250282747,0.8201011227228812,0.6845784144631176,-0.2663896701992116
Red_N_L,0.6128034259025535,0.641700185422829,0.6716661757772963,1.0,0.5649401419365782,0.5438895596465795,-0.2554938380358907,0.1951755953176721,-0.014747479786315042,0.787392006264599,0.32589027549792154,0.41755422281996046,0.5966297987470233,0.40941234656336734,0.6837471597686878,0.45544099700835955,0.7858320708935923,0.5963411343358386,0.3557991217232155,0.3835534649178026,0.3332873382308245,0.5167808550494396,0.3118251929814757,0.5929343232097081,0.8343395332344021,-0.40098023471837124,0.19257172886803844,0.6040968828246722,0.6875959231309482,0.4021151445427938,-0.18610562082849982,0.4467344410322318,0.695474200943647,0.8368765485217505,-0.1459260313589171
Thal_MDm_L,0.5631411954888441,0.5116720091763352,0.44886786211276525,0.5649401419365782,1.0,0.5361629252968904,-0.08278627204902847,0.19569199920567001,-0.11767140137030918,0.5574696424312163,0.38679583153017716,0.2871142588723152,0.242450429290906,0.5252264472438718,0.53276931269426,0.7840704484324571,0.4563041783231886,0.6345560501768133,0.41111058735944406,0.4344229312491061,0.427789759331468,0.44345091888909305,0.04254532711995427,0.3527452052487008,0.5854182718565124,-0.16897738250965272,0.2794337612030444,0.5781850280639493,0.47913741203477206,0.5295328678071242,-0.022418043128487428,0.4248280266616963,0.6139954247493182,0.4904167527759397,-0.394196464317195
ACC_sup_R,0.47596700772298056,0.43932646679737564,0.48369084766791337,0.5438895596465795,0.5361629252968904,1.0,0.23416963807191546,0.3241220694364331,0.12433208036238162,0.5826649876758697,0.3628416575749067,0.5142196245642351,0.2757637306054206,0.5380808389886159,0.5308871326863462,0.4489873157810141,0.46090847973703364,0.9463953206473188,0.35447742236273844,0.5009803485588064,0.6930129558306468,0.5598791533165124,-0.0006128427793597157,0.386053850218459,0.45251534733812915,-0.03684603405897383,0.18905694199416992,0.8136145114711532,0.48826427153160734,0.5238002765608188,0.30778372034166357,0.6299128990184499,0.6651221561002881,0.4491145115883209,0.047379477504747865
Temporal_Pole_Sup_R,-0.23973636512082125,-0.22465078737968475,-0.21282174372464827,-0.2554938380358907,-0.08278627204902847,0.23416963807191546,1.0,0.014256157904724318,-0.05419229676144629,-0.31716135039618276,-0.1582993294441139,0.0027083146166206615,-0.18582919255195401,-0.01659169260831048,-0.2737048641327707,-0.10255177306940284,-0.2487482208185519,0.12736719766121588,-0.12563925903852668,-0.12116146023736048,0.3439375214535208,-0.055270362638461766,-0.19760812068652542,-0.1881296008593193,-0.3666556328370304,0.44451938611982555,-0.14479857392232884,0.010397058789596141,-0.3137384431639477,0.008971654000805337,0.6571377346061036,0.08253664796947772,-0.1814272195793767,-0.4337912676266418,0.33948397928295526
Occipital_Sup_L,0.2870882644300726,0.5055810431442779,0.41259048686835803,0.1951755953176721,0.19569199920567001,0.3241220694364331,0.014256157904724318,1.0,-0.01428471513162505,0.20861034413010615,0.5799661022304533,0.28028291738262623,-0.01461509582873745,0.19108821986982127,0.5052085087182431,0.10282627289431895,0.2094943231566705,0.2881986176343654,0.29015284099917654,0.5997720592271325,0.48860828033747855,0.6694002648549714,-0.012287019667827883,0.4184665778518548,0.09223023527298382,0.07263783441858815,0.6463662537116538,0.34263584270737546,0.4098161932434872,0.2671556382778196,0.01677104992469587,0.6097109379625709,0.5076677691913166,0.12753634008209583,0.017693387671946996
ACC_sub_L,-0.0007228072987308147,0.06640480982705836,0.16972858765371704,-0.014747479786315042,-0.11767140137030918,0.12433208036238162,-0.05419229676144629,-0.01428471513162505,1.0,0.16437228396891537,0.1292253512676343,0.448190724802591,0.10185241971959953,0.30730901118761944,0.11843890382681534,0.036082960867446195,0.04019855393550734,0.09459999421514405,0.28510281009822563,0.10079557568765998,0.12791447611521423,0.1276094165557781,-0.19662964430505883,0.1353192487368018,-0.01645834105038485,0.09993336615612061,0.08348981272725743,0.13851706585809173,0.12244979022364987,0.13923811505053063,-0.08953310871331405,0.06975983688101323,0.1211491722631416,0.13998161131722672,-0.03556020019735254
Thal_AV_L,0.5595971679941136,0.6657600249897795,0.7290549142540662,0.787392006264599,0.5574696424312163,0.5826649876758697,-0.31716135039618276,0.20861034413010615,0.16437228396891537,1.0,0.37696174314735315,0.5152772363431976,0.6716443693888831,0.4467689166768645,0.6789801542014982,0.5244572013978507,0.6543341081980734,0.5964348268676406,0.34864731564433543,0.42561627863650037,0.3519938633428284,0.6172652219333282,0.10747894666533916,0.6804423829750063,0.7780766764866885,-0.4401879346958701,0.24117444624117804,0.7277528116303298,0.7519549570562273,0.3574416413385998,-0.11790108696904016,0.5921042789172634,0.7224255956673468,0.8020539033598871,-0.22092688197353005
Parietal_Inf_L,0.5566192595900782,0.5622760085407331,0.5867241291565558,0.32589027549792154,0.38679583153017716,0.3628416575749067,-0.1582993294441139,0.5799661022304533,0.1292253512676343,0.37696174314735315,1.0,0.33584064737811126,0.05354906346662458,0.38908908575781315,0.6595770590189586,0.2674254178004844,0.3831604513452996,0.3731257457805442,0.37502245299260506,0.7655028226486301,0.5094576720108155,0.6141002765133589,0.11638054852593657,0.4851890595414299,0.3771576567953977,-0.06977564923813294,0.8706787990842179,0.4907380768400628,0.4804653734524249,0.2989532339781032,-0.31480286227625714,0.5099625904630618,0.6801368385053304,0.3961631971033586,-0.15029329478152942
Thal_VL_L,0.2956788141786337,0.4466516978246607,0.5405519679052008,0.41755422281996046,0.2871142588723152,0.5142196245642351,0.0027083146166206615,0.28028291738262623,0.448190724802591,0.5152772363431976,0.33584064737811126,1.0,0.36175052340411984,0.5606802732533792,0.5405535815646523,0.35593121218019025,0.4366715201557463,0.48309366876795473,0.628669561475071,0.36123514282282126,0.517520378856552,0.5673870401729695,0.06966919827907754,0.46221066854016835,0.30839994185214414,0.004482843664391483,0.21169192781718896,0.5172854093078564,0.510802458838015,0.5141551701511443,0.03895040951303722,0.4865682582429268,0.5989831946887926,0.42449467938569085,-0.008961259472152405
Olfactory_L,0.1471688034048057,0.4037180931309309,0.48540579234149145,0.5966297987470233,0.242450429290906,0.2757637306054206,-0.18582919255195401,-0.01461509582873745,0.10185241971959953,0.6716443693888831,0.05354906346662458,0.36175052340411984,1.0,0.04513161564415823,0.4101768091593916,0.18991748779700643,0.49745133639174555,0.28734657240756956,0.07557944033297925,0.15109246293568318,0.12556817771971002,0.26685189066703985,0.10256996524210588,0.38599159814554146,0.6447110006197443,-0.4236647725582797,0.006126320346181525,0.43300078022747074,0.4820084430006327,0.03984883776027307,0.08180750095182329,0.17903722739386785,0.3342297086905586,0.59477164532288,0.08986688568168955
Thal_LP_L,0.41990187426858505,0.384040398402583,0.372834560721893,0.40941234656336734,0.5252264472438718,0.5380808389886159,-0.01659169260831048,0.19108821986982127,0.30730901118761944,0.4467689166768645,0.38908908575781315,0.5606802732533792,0.04513161564415823,1.0,0.4763528011725078,0.6611222472247543,0.29953889718535326,0.5360439205205585,0.4484002714675617,0.39512494506118945,0.446526679037825,0.48400306874989557,-0.09082612201187096,0.3887754081931489,0.30615797641242265,0.024634694040398437,0.2099285999910622,0.4496270173936421,0.442357098858192,0.6220734664079532,-0.10672792123345878,0.4661318030625192,0.5724506716732254,0.4098755264306917,-0.37875161779260486
Cerebellum_4_5_L,0.6273291100465748,0.8675410180135505,0.840313809785429,0.6837471597686878,0.53276931269426,0.5308871326863462,-0.2737048641327707,0.5052085087182431,0.11843890382681534,0.6789801542014982,0.6595770590189586,0.5405535815646523,0.4101768091593916,0.4763528011725078,1.0,0.5098446368053405,0.6377702296407104,0.5327024022872154,0.4896299497376758,0.7239660450467436,0.5007606177923726,0.8534604392714554,0.2495168625085385,0.7473231355662568,0.7190658215337995,-0.2398339907952118,0.5685286302299537,0.5781493482836606,0.8684852220496971,0.4638370048751094,-0.2150784662953137,0.6126498203161311,0.9068776793871065,0.6991825117783336,-0.24769796245044542
Thal_VL_R,0.4487484658950458,0.549492082381963,0.4736856618217919,0.45544099700835955,0.7840704484324571,0.4489873157810141,-0.10255177306940284,0.10282627289431895,0.036082960867446195,0.5244572013978507,0.2674254178004844,0.35593121218019025,0.18991748779700643,0.6611222472247543,0.5098446368053405,1.0,0.3691000062212337,0.4779005502375548,0.4687953183820554,0.3385399678249859,0.3233542098177207,0.4801595664334391,-0.1311557170474183,0.43607096535281725,0.48750693138952333,-0.18098561562228332,0.17127532618545496,0.47245072034240587,0.5255534267686315,0.5943065744861288,-0.08026766770291256,0.36884259776993583,0.5923257147103352,0.4635777576166586,-0.5915466608388654
VTA_L,0.5972355501186501,0.5987893207202533,0.6359895734747745,0.7858320708935923,0.4563041783231886,0.46090847973703364,-0.2487482208185519,0.2094943231566705,0.04019855393550734,0.6543341081980734,0.3831604513452996,0.4366715201557463,0.49745133639174555,0.29953889718535326,0.6377702296407104,0.3691000062212337,1.0,0.5286504741002912,0.4160266761027637,0.466415966259787,0.31317626959684114,0.44269285535698977,0.28174940537789656,0.5438167252451495,0.7261448838799414,-0.32963703899774066,0.2953482254049045,0.6106060246621671,0.5860441789557712,0.2653082323109265,-0.19134323400101325,0.3316502962342939,0.6473408016254124,0.8070736735438234,-0.0938941389903791
ACC_sup_L,0.5196217369449284,0.4431640865276243,0.4744579815797589,0.5963411343358386,0.6345560501768133,0.9463953206473188,0.12736719766121588,0.2881986176343654,0.09459999421514405,0.5964348268676406,0.3731257457805442,0.48309366876795473,0.28734657240756956,0.5360439205205585,0.5327024022872154,0.4779005502375548,0.5286504741002912,1.0,0.34803061188953144,0.5001334929182623,0.6294116407867335,0.4784540191103524,0.0376895895724384,0.39325984299827627,0.5328968010063604,-0.061781318869823604,0.18222667601903147,0.8069901540242692,0.48443218650855197,0.5136464860017967,0.2152203876153598,0.52991156577215,0.6622895468078303,0.5211096391713057,0.024723880484018693
Thal_PuI_R,0.33633530748140206,0.42059907122339013,0.4290897039422982,0.3557991217232155,0.41111058735944406,0.35447742236273844,-0.12563925903852668,0.29015284099917654,0.28510281009822563,0.34864731564433543,0.37502245299260506,0.628669561475071,0.07557944033297925,0.4484002714675617,0.4896299497376758,0.4687953183820554,0.4160266761027637,0.34803061188953144,1.0,0.39837579053325733,0.36840266814564965,0.4343956024132576,0.12365520373238702,0.3426809797662856,0.2781695677917991,0.005061641351428068,0.38924274255588204,0.37671908674199506,0.37413730432582365,0.6159717507183969,-0.16292729956252275,0.2917881927752681,0.5175704391072591,0.3227456888284424,-0.2263332384177263
Parietal_Inf_R,0.6044673501672702,0.6158948157323942,0.5820115204457326,0.3835534649178026,0.4344229312491061,0.5009803485588064,-0.12116146023736048,0.5997720592271325,0.10079557568765998,0.42561627863650037,0.7655028226486301,0.36123514282282126,0.15109246293568318,0.39512494506118945,0.7239660450467436,0.3385399678249859,0.466415966259787,0.5001334929182623,0.39837579053325733,1.0,0.5537634864962757,0.6589769327156522,0.1594597354181257,0.49251201225773705,0.42140712065945873,-0.063672334799725,0.7389510948759066,0.5918295859997771,0.5580000697864566,0.36064671146382793,-0.1010747919908629,0.5610448179684614,0.7268399619812739,0.4334053297953127,-0.13096990586747703
Rolandic_Oper_R,0.4087040612434149,0.4251966441465315,0.464672621698413,0.3332873382308245,0.427789759331468,0.6930129558306468,0.3439375214535208,0.48860828033747855,0.12791447611521423,0.3519938633428284,0.5094576720108155,0.517520378856552,0.12556817771971002,0.446526679037825,0.5007606177923726,0.3233542098177207,0.31317626959684114,0.6294116407867335,0.36840266814564965,0.5537634864962757,1.0,0.6047962996557612,0.011169076016180373,0.3923052253856055,0.2075458519322627,0.2450421541090831,0.3906392274946922,0.5852234303671154,0.3831016484958683,0.4349414022532519,0.32500086975293857,0.6124898989426291,0.5934497100715076,0.20296592965356258,0.06666088678336951
