,Thal_LGN_R,ParaHippocampal_L,Precuneus_R,ACC_sup_L,Frontal_Inf_Tri_L,Vermis_1_2,Thal_VPL_L,Paracentral_Lobule_R,Cuneus_R,Temporal_Mid_L,SN_pr_R,Cingulate_Post_R,Frontal_Inf_Orb_2_L,Postcentral_L,Putamen_L,Rolandic_Oper_L,SN_pc_L,N_Acc_R,Cerebellum_6_R,Pallidum_R,Pallidum_L,Vermis_3,Vermis_6,Cerebellum_10_L,Supp_Motor_Area_R,SN_pr_L,Cingulate_Post_L,Thal_MDl_R,Cerebellum_4_5_L,ACC_sub_L,Insula_R,ACC_sub_R,Precentral_R,Heschl_R,Occipital_Mid_R,Frontal_Sup_2_R,OFCant_L,ACC_sup_R,Caudate_L,Thal_IL_L
Thal_LGN_R,1.0,0.5286155386838797,0.4370725249543134,0.4720898073903654,0.4610709416026555,0.6280374847507451,0.34992882548061854,0.4758764795689591,0.3550710042836112,0.23018573713848228,0.6510211249112126,0.4682561347985316,0.3377611913137875,0.444326617353844,0.5471300321169286,0.25291457223536157,0.6035651021468397,0.2896191975751773,0.6127174080350339,0.580046017058619,0.3128334562422584,0.7103712986223449,0.30795698255016385,0.24498182065536114,0.4580998994562779,0.5029588224550435,0.4874743127731791,0.4429066702459146,0.6925776832278538,0.02342921578381921,0.44513491728760624,-0.12056106425577838,0.4367558623783522,0.22400911795493827,0.291276781115509,0.5513858488324107,-0.18138541384313692,0.4292862509895428,0.5842012970256969,0.339065234409737
ParaHippocampal_L,0.5286155386838797,1.0,0.3674810817159297,0.5094378141172511,0.46054786554548527,0.6688225630537163,0.6480048260169593,0.37602858287692675,0.21529437505646498,0.22804913218439946,0.7449696466373539,0.3686191748623003,0.5659135302366366,0.2542564464395153,0.750475575265126,0.24046727924780573,0.7479109264575513,0.742602006477723,0.6949129265259133,0.7752920933493791,0.6030347954690236,0.7108621213712781,0.3916982888844808,0.44504792926608,0.333018464950773,0.8078408137534563,0.34575632261880784,0.5211015216526741,0.7278602608935401,0.27451950730260644,0.5163222649520272,-0.2660833415339141,0.30852514022549743,0.22765952359927605,0.16131272012827733,0.6853284308451272,-0.19907857560101105,0.47416030813677323,0.7434069957633197,0.3777025594487268
Precuneus_R,0.4370725249543134,0.3674810817159297,1.0,0.4625483105307668,0.6631329806800648,0.4997716360545137,0.5756440522395698,0.9338480374180348,0.5574543491727902,0.3981326104420623,0.4538551372428452,0.8698745760637456,0.25924481460644666,0.7554777163638421,0.47188114804878906,0.6571266155280112,0.3667699960875296,0.36746356976344785,0.6362826454379918,0.4931762602801487,0.22458051495163123,0.6306167318621759,0.753375847550819,0.25669696765656147,0.9008416722231853,0.4927622259711013,0.7027170116973652,0.40574627291972015,0.6316026803870546,0.09740345335277342,0.6006408589746141,-0.008568500234531116,0.8366522793134178,0.19690350883525998,0.5818041098708936,0.490835507595065,0.19077671444531688,0.5739383552156073,0.34359329483734713,0.05323282422353797
ACC_sup_L,0.4720898073903654,0.5094378141172511,0.4625483105307668,1.0,0.6881333922632015,0.5044608956495373,0.598501959157492,0.41880508155222185,0.28068871344687624,0.2613311429823725,0.5992766006920046,0.52991156577215,0.640430216904282,0.35152351793786857,0.7132808466879164,0.5459232420942581,0.5949518788146321,0.4593174854253066,0.4431640865276243,0.5630918331905389,0.46177663162318633,0.6747113102011335,0.4622573418522482,0.4775718674022541,0.5792348427386567,0.5784701342623781,0.5587183240156571,0.7447307857437938,0.5327024022872154,0.09459999421514405,0.7757708659591477,-0.14792391339541866,0.6159235849182617,0.5533238495289636,0.1241112745909353,0.777376144561639,0.2152203876153598,0.9463953206473188,0.5563943756652984,0.1961692723352736
Frontal_Inf_Tri_L,0.4610709416026555,0.46054786554548527,0.6631329806800648,0.6881333922632015,1.0,0.4877586909189558,0.6403613203371709,0.6361349435868474,0.26147039600767813,0.5436397186670976,0.5425869986019826,0.6743617421235207,0.6291185235470518,0.5058244619429977,0.6608922466050728,0.8441533878331348,0.5494273264636015,0.43039300403048475,0.5031271579582537,0.5788944606995142,0.5032863153177806,0.6778945419767052,0.6953592619846589,0.3998494376794215,0.750063736083661,0.5176261651846417,0.7032597698718569,0.6284174678163489,0.5348236886014884,0.08108848316374102,0.8399610352206124,-0.11648261831626373,0.7838524905317303,0.4749734363272644,0.21889260391358434,0.5865166260647268,0.3621917160852112,0.7180044263674764,0.6077950978285527,0.1255860963142713
Vermis_1_2,0.6280374847507451,0.6688225630537163,0.4997716360545137,0.5044608956495373,0.4877586909189558,1.0,0.5455450337606043,0.5440551646806715,0.3376918081574049,0.2727875144998478,0.7103768933321352,0.5855717466635026,0.36528608026390996,0.4382621772514897,0.6729453986099273,0.2930277791321483,0.6049550475896603,0.48571331370400617,0.6373311884707427,0.5760065965582482,0.27066134119270124,0.7484720688080432,0.3906930886467816,0.22880470455756796,0.49294335644335163,0.6792613091568422,0.5107542817964738,0.5148636409616952,0.7285435006001135,0.04894794446355736,0.4657312060548768,-0.030953413297887578,0.4521112903830226,0.192772890145548,0.1997036693347286,0.6013758595686879,-0.15542255177343967,0.4806609627462197,0.5316524190298909,0.4216318257535301
Thal_VPL_L,0.34992882548061854,0.6480048260169593,0.5756440522395698,0.598501959157492,0.6403613203371709,0.5455450337606043,1.0,0.5144465939905566,0.18320009255974784,0.28071058272156885,0.6478007780978907,0.5650623920817035,0.42687091286326717,0.3696142264314599,0.6656974876593956,0.5201737140629772,0.6225606794963346,0.6019070864705572,0.5365763817376374,0.5668863882684783,0.61172388896762,0.7105485310336702,0.6298465401647705,0.38965933418178805,0.5577386574821115,0.6621614173142506,0.6615683449983192,0.6678128334101836,0.6394083003604276,0.3999245699091251,0.660263931543328,-0.046561480316001505,0.5589673987794186,0.34231896535339457,0.32643070300603877,0.5527040769170546,-0.00762157711898643,0.6117218161461772,0.6193583394744104,0.2426787852655945
Paracentral_Lobule_R,0.4758764795689591,0.37602858287692675,0.9338480374180348,0.41880508155222185,0.6361349435868474,0.5440551646806715,0.5144465939905566,1.0,0.4406694202769827,0.35992635539254536,0.4530949374237509,0.8428510273340141,0.18837526995183684,0.7826371323596191,0.4617038594541076,0.5829049339968215,0.33177109618811335,0.42078327676589455,0.6967577695173549,0.5015573550109484,0.1441531400616343,0.5973112783578235,0.7280465406067151,0.19851438227072887,0.9143827336755505,0.47806022496219175,0.5817794650712779,0.38856122345954996,0.6243674873973093,0.05813119667200237,0.5889598248928463,0.049387728425823396,0.8317615425215874,0.1917525920932126,0.4525604462261921,0.45124438685734786,0.16019627436913378,0.5237311955393702,0.33202383766661525,0.08992383437732944
Cuneus_R,0.3550710042836112,0.21529437505646498,0.5574543491727902,0.28068871344687624,0.26147039600767813,0.3376918081574049,0.18320009255974784,0.4406694202769827,1.0,0.1774956964755538,0.2063074872600914,0.56447512808656,0.21723500504943438,0.42609699136325097,0.23837189157376865,0.24606262034977514,0.15221990492780074,0.01362360143770791,0.21473618398363348,0.24388645949177412,-0.01530713238490882,0.33096208327681037,0.2604668036778021,-0.02125240698430679,0.4780475711186959,0.2586665920498019,0.39438049095546085,0.20125652235692254,0.3272078470245267,-0.024640072846094672,0.24028435357968267,-0.16218453632450877,0.4253485103753509,0.04004460025409222,0.4574996342437587,0.3591328541676904,0.05807141234089992,0.3512410869768151,0.10727077235756838,0.10289763180504213
Temporal_Mid_L,0.23018573713848228,0.22804913218439946,0.3981326104420623,0.2613311429823725,0.5436397186670976,0.2727875144998478,0.28071058272156885,0.35992635539254536,0.1774956964755538,1.0,0.19166858318289912,0.35045108847278644,0.3499637828081121,0.2676861118569493,0.21258609010706278,0.668769154228631,0.2622298822404507,0.031012095069699576,0.3375589986556978,0.18895955139477413,0.2607340132350458,0.4043743074143995,0.4499159096584089,0.08490219757299469,0.33463989727961196,0.2182326451467758,0.31162128047046556,0.2513485288970021,0.39445805721902705,0.02851072675834742,0.30255729078006915,-0.014520409980002591,0.3459029728525365,0.10795726551221668,0.35199015235480424,0.19864120933542045,0.18086314987690363,0.2365351163660237,0.28199720342658935,0.05612156725952963
