,ParaHippocampal_R,Cerebellum_Crus1_R,Frontal_Inf_Tri_L,Frontal_Inf_Orb_2_R,Fusiform_L,OFCant_R,Thal_PuM_R,Frontal_Inf_Oper_R,Thal_IL_R,Cingulate_Post_R,Cerebellum_Crus2_R,Cerebellum_9_L,SN_pc_L,Thal_VL_L,Thal_MGN_L,Temporal_Pole_Mid_L,Frontal_Sup_2_L,Angular_R,Cerebellum_7b_L,Insula_R,Thal_LP_L,Temporal_Inf_L,Thal_PuM_L,N_Acc_L,Pallidum_R,Thal_MDm_R,Cuneus_L,Heschl_R,Frontal_Med_Orb_L,Thal_VL_R,Cingulate_Post_L,Thal_PuI_R,Postcentral_R,Temporal_Mid_R,Putamen_L,Thal_MDl_R,Precuneus_R,Olfactory_R,Cerebellum_Crus2_L,Frontal_Inf_Orb_2_L
ParaHippocampal_R,1.0,-0.5798890517403824,0.5432549628933776,0.5244886885491006,0.5183219554600901,0.00679732041716228,0.6566819809207873,0.360656991391551,0.49613174804152466,0.31096466809877943,-0.0255488585327819,0.49558074972291266,-0.08145456312010761,0.6606949680724482,-0.09465601079276857,-0.31180965332093485,0.35796558609956014,-0.05338022878352042,-0.07877452813517119,0.5019537397516064,0.4320452243816651,0.16949940046389902,0.7508686179635503,0.17386146780658301,0.5497601774556989,0.6135077059583254,-0.3804589448089974,0.6874991307863956,0.06521742091500457,0.7723702390111994,0.283881976398794,0.6566872425381997,0.33829838196592993,-0.28379025997901747,0.16068935846485763,0.6924161737432111,0.4120483587162546,0.6052055666380751,-0.10174286058149994,0.3457230376962057
Cerebellum_Crus1_R,-0.5798890517403824,1.0,-0.2267930002157637,-0.35671816742300366,-0.2477759792657655,-0.0029373014910348523,-0.43984189851768574,-0.10451139427880983,-0.141841096058563,-0.036312992455429544,0.3176793680454157,-0.23682697404543163,0.4051897770887062,-0.41857561916453156,0.27253890349823995,0.4733064590084963,-0.03443344284746703,0.23608618957783314,0.19615128318393418,-0.22196271611629598,-0.12632853098828023,0.1674020756183842,-0.4150679589752791,-0.1232644309456416,-0.3308123386315976,-0.38462645259727796,0.5325657979503364,-0.42321028674856104,0.061433372126777866,-0.4904351763541721,-0.005501480874793534,-0.48349687814677467,-0.024927038340331487,0.4351996815965045,-0.08554363054638714,-0.5106874001909338,-0.10777491495025816,-0.3702265858906057,0.31969650490040163,-0.20254106362584087
Frontal_Inf_Tri_L,0.5432549628933776,-0.2267930002157637,1.0,0.5403254365498984,0.41978245136478387,0.17690082196093973,0.38302525319700464,0.4767120340409177,0.4508857151735436,0.4153283731314,-0.04491339888578529,0.3384510177616763,0.024155796292568598,0.5646419475438845,0.1568756965005671,-0.005886444277595654,0.7270534793469874,-0.10813580525459786,-0.005844122250191824,0.6131004755552872,0.28492863204006363,0.3466047684232914,0.5984703241914254,0.1616300324953012,0.41810221194821584,0.4277004940789033,-0.06202580900302298,0.5297823749780272,0.035713067636970415,0.6054908029499826,0.39812104199467846,0.4053425058394731,0.4131782289673979,-0.13258137302370654,0.4233972557962128,0.40842624135463346,0.46260691076571675,0.40080865442375463,-0.08280869110484268,0.6358249967132586
Frontal_Inf_Orb_2_R,0.5244886885491006,-0.35671816742300366,0.5403254365498984,1.0,0.2733382842332231,0.0024500967324009052,0.42533757802315453,0.4493924364492486,0.30491975591445697,0.2159031531525888,-0.1499972602099058,0.4031961892680291,0.043067941198054946,0.4474646358904186,-0.0270159327240126,-0.07519865355434512,0.2983679389392746,0.038519950698095926,0.1302391611980915,0.657514201704693,0.20604014333329262,0.07134258636145971,0.3829898598057448,0.36056730459193254,0.58566150834676,0.44090679649845815,-0.33093983972219626,0.6041086229337832,0.08755829609700266,0.582982394683487,0.18861132743895365,0.380518804400428,0.3073189444293647,-0.04862725788935433,0.4149028341935446,0.46218409351336864,0.3168641507541942,0.4800966840467931,0.027829248643904216,0.33836250257235956
Fusiform_L,0.5183219554600901,-0.2477759792657655,0.41978245136478387,0.2733382842332231,1.0,0.10758232391779814,0.407495857740382,0.19487135255444862,0.25477709633817175,0.1373255402379899,0.03231086491591026,0.4089059197861766,-0.013814103545930203,0.4130555960613637,0.3235241973712291,-0.18378439953138376,0.40684219577992997,0.08511753874580988,0.1129058738239435,0.3784813059932559,-0.13221849147971274,0.153297310950172,0.5093481413949101,0.18304374678219246,0.2581158704369082,0.07024843175439184,-0.09576722965707263,0.22846980352440596,0.002985969448537233,0.3856200544619966,0.17144363183868291,0.4529715292000768,0.09499900840447628,-0.08633543276391449,0.27849347242984307,0.52820690833732,0.2573153571259992,0.21560777668048062,-0.049688660680018835,0.3640047046711803
OFCant_R,0.00679732041716228,-0.0029373014910348523,0.17690082196093973,0.0024500967324009052,0.10758232391779814,1.0,0.12143918780202374,0.059332023704842626,-0.04760943253132805,0.04374014330699634,-0.332430523421135,0.05167212820700381,-0.06745095917384089,0.18819655970724075,0.05681903490737846,-0.013906685110980989,0.1551027764391361,-0.07459897881633402,0.17078834447990582,-0.009548105404496179,-0.006472975156587922,0.06670049462308113,0.1146625208804475,0.2076270369506417,0.018962593687311118,0.04352463162360833,-0.06975160579264435,-0.13472652330219664,-0.018392801135261753,0.14551036304565687,0.08161932011212321,0.015340289160802312,-0.017067533531018596,-0.12898866102657186,0.32262680403691535,0.18172607076801772,0.08746257761909476,-0.015254373424677033,-0.23189881224559755,0.2453428591462567
Thal_PuM_R,0.6566819809207873,-0.43984189851768574,0.38302525319700464,0.42533757802315453,0.407495857740382,0.12143918780202374,1.0,0.48764942665283306,0.5849005090707218,0.3813858845218382,-0.11314098298860452,0.5171397124105425,0.07383996097088372,0.7815113655156135,0.1176315573495359,-0.3474760239201849,0.36264670236813756,0.23932634984623558,0.06664075124656722,0.49001230680914004,0.4843592402604879,-0.05614343060964781,0.8624472156222441,0.42071532320580174,0.41660374211257933,0.6601446502077489,-0.24035805251609224,0.5391978947441884,0.214964363310772,0.8183824759162552,0.38069283297197504,0.7621574736815779,0.39354711881183285,-0.059239685940624454,0.37510170236537643,0.8322155911326542,0.4679196137483221,0.31080255337282714,-0.015902243369218732,0.1816642151361591
Frontal_Inf_Oper_R,0.360656991391551,-0.10451139427880983,0.4767120340409177,0.4493924364492486,0.19487135255444862,0.059332023704842626,0.48764942665283306,1.0,0.5757137122901477,0.597362845051339,0.1521324691847243,0.38081185493133113,0.09013302858863052,0.6562587619360963,0.3717680350367998,0.20207993402053098,0.2959570478672329,0.6655199287069825,0.12109720492363708,0.5158621580234155,0.3750828510100513,-0.0867858185383464,0.5388735505955361,0.24395434947172587,0.38119325669685733,0.476852555937835,0.19790383002179687,0.5503999564713631,0.48668580215740037,0.6310580220854518,0.5684705210109582,0.4539324251393804,0.8847890143293048,0.542698827839864,0.049356242932093744,0.4675563557488309,0.7281724462722355,0.3888932634751147,0.21280476340569385,-0.2003762419157266
Thal_IL_R,0.49613174804152466,-0.141841096058563,0.4508857151735436,0.30491975591445697,0.25477709633817175,-0.04760943253132805,0.5849005090707218,0.5757137122901477,1.0,0.5192105255602477,0.16267518254250513,0.3821049331162119,0.11504223820076966,0.6872115941161366,0.2894438182620854,0.05507630648486172,0.4728992700974213,0.36355218273014334,0.0062652608569239,0.5018308422993624,0.48106396084154995,0.08501868862352815,0.6641351819940835,0.13468670939855423,0.26634880331984034,0.5408476770125029,0.06229752800816173,0.5738775508425907,0.3163287243567213,0.6402352303117181,0.44026191870104153,0.6087326644400374,0.6670120532407222,0.2128196610433794,0.1382293237493266,0.47944269168442033,0.5556535527574481,0.18547049961497297,0.03367594165839743,0.1165372773432723
Cingulate_Post_R,0.31096466809877943,-0.036312992455429544,0.4153283731314,0.2159031531525888,0.1373255402379899,0.04374014330699634,0.3813858845218382,0.597362845051339,0.5192105255602477,1.0,0.11207361124473926,0.12696047198671284,0.15570642036265425,0.4299015792153598,0.21444266993687405,0.22387048205755006,0.21612586894525562,0.44315691599365664,0.011463067873523301,0.3043146124142435,0.2920126689676795,0.09936149335020332,0.46557274025785245,0.15918702053332565,0.2445027949699983,0.36015663835134665,0.4284101082397913,0.46714936752624214,0.23293960201626882,0.42906013613118615,0.9193219063238051,0.39957374606752455,0.7377625702972503,0.35292967841819795,0.017825985559041416,0.2272315285046537,0.8644958251989825,0.20603869351974546,0.14540011561567165,-0.010912552212869783
