,Cerebellum_7b_L,OFCmed_R,SupraMarginal_R,Precuneus_L,Paracentral_Lobule_R
Cerebellum_7b_L,1.0,0.057936218978029266,0.18222579907862446,0.065740598264273,0.10664150512419278
OFCmed_R,0.057936218978029266,1.0,0.17475294882764852,-0.02915940801795015,0.12865603511217863
SupraMarginal_R,0.18222579907862446,0.17475294882764852,1.0,0.6048517806444607,0.7326704737794444
Precuneus_L,0.065740598264273,-0.02915940801795015,0.6048517806444607,1.0,0.7755973076626541
Paracentral_Lobule_R,0.10664150512419278,0.12865603511217863,0.7326704737794444,0.7755973076626541,1.0
