,Amygdala_R,Temporal_Mid_R,Cingulate_Post_L,N_Acc_L,Cerebellum_10_L,Precentral_L,Cerebellum_9_L,SN_pr_L,Frontal_Sup_2_L,Temporal_Pole_Mid_R,Cerebellum_Crus2_L,Thal_PuL_R,Rectus_L,Hippocampus_R,VTA_R,Cerebellum_8_L,Fusiform_R,Amygdala_L,Frontal_Inf_Orb_2_L,Thal_VL_R,OFCant_L,Cerebellum_Crus1_R,Occipital_Sup_L,Putamen_L,Occipital_Mid_R
Amygdala_R,1.0,-0.13671423105394978,0.20766334613327972,0.15261731457642155,0.010990395444913797,0.2045346890855239,-0.1704330008357527,0.21484739574398592,0.09191184920562064,-0.12757302843757584,0.17253256580324822,-0.05917842661055221,0.011091076906851377,0.04820056576110212,0.2019276100849198,-0.2572928474721539,0.041823147447784245,0.2545658841637157,0.04908556811347955,0.16998732537254632,-0.08785290299024123,0.05724442509647122,0.03151290246006231,-0.07554932015407144,-0.1844685859939326
Temporal_Mid_R,-0.13671423105394978,1.0,0.332017770347331,-0.12264962317350496,-0.18806084763152606,0.5140216074660953,0.04104530902795389,-0.2084416100214659,-0.09738334017466332,0.4667788478748063,0.4017541117354876,-0.016432341074452527,0.23954926412697825,0.0820302384367267,-0.39759955751184245,0.30935818994716263,0.6254307685716523,-0.37816036990258883,-0.5852096684563208,-0.07312637765931147,-0.04799167019446118,0.4351996815965045,0.5433214333441996,-0.24874729559338524,0.7676367741115114
Cingulate_Post_L,0.20766334613327972,0.332017770347331,1.0,0.1737867991161464,-0.02050736344706196,0.6812316033835861,0.20972411186339704,0.18388852619130716,0.21681728658939914,0.040980327099560544,0.1506252837905016,0.32352814282108217,0.25086908880403724,0.3227507336627808,0.05542830950217975,0.14234374934535393,0.45952856036760903,-0.0018170507821437512,0.021352005988788534,0.42795666405415345,-0.08168597517855473,-0.005501480874793534,0.24150859495408225,0.03490430731834444,0.206493764969107
N_Acc_L,0.15261731457642155,-0.12264962317350496,0.1737867991161464,1.0,0.5395335707412816,0.07102848014011015,0.1961116763657373,0.11713022063087565,0.005334176916914,-0.30470544798952187,0.07436701407722317,0.4192339088273362,0.0056714694170744715,0.28570988797165403,0.4580677664553199,0.19953713792350097,0.25731525243525677,-0.1505207570345094,0.1555757146842994,0.31869663600359416,-0.057256256055823754,-0.1232644309456416,-0.2765895906759688,0.548897929539089,-0.18976458742257585
Cerebellum_10_L,0.010990395444913797,-0.18806084763152606,-0.02050736344706196,0.5395335707412816,1.0,-0.15093299606167115,0.19383597963493368,0.09628574249026876,0.029109523565224192,-0.3050873455495731,0.15961706453823077,0.41562790033939445,0.061581125530686176,0.13599177137023216,0.3423011276922693,0.21775342433865483,0.17327101211491522,0.10585728245549077,0.18249105325352127,0.1098182295131536,0.14938217261643782,-0.06170026685960998,-0.250740679726331,0.32674375683780893,-0.13308407568411593
Precentral_L,0.2045346890855239,0.5140216074660953,0.6812316033835861,0.07102848014011015,-0.15093299606167115,1.0,0.22605274580940427,0.17988772402051054,0.3352064439505244,0.10555206844109602,0.196811600152897,0.29423450361118675,0.2707224482124621,0.5042581296808183,0.12167117498214784,0.17048382997317077,0.5853368554031854,-0.03781520217393156,-0.12477361441511453,0.5250429759420749,-0.09290940831017737,-0.08199767208030583,0.1113280988619418,-0.03362686761360242,0.20449757086314765
Cerebellum_9_L,-0.1704330008357527,0.04104530902795389,0.20972411186339704,0.1961116763657373,0.19383597963493368,0.22605274580940427,1.0,0.35929267396297887,0.28278981052047103,-0.20338234785634698,-0.030442637479372082,0.6099797496598564,0.24767729078368328,0.45884894202818866,0.2643102693381451,0.4602878202175128,0.40179353001131946,-0.08897854266055752,0.1445927886597573,0.6181994904006816,0.004989356432584128,-0.23682697404543163,-0.3204071808828634,0.2821735431594658,-0.07272407410608167
SN_pr_L,0.21484739574398592,-0.2084416100214659,0.18388852619130716,0.11713022063087565,0.09628574249026876,0.17988772402051054,0.35929267396297887,1.0,0.39919932742845926,-0.08844849846758054,0.05237439590638514,0.34897544071236214,0.04664153667468744,0.4366589452542154,0.25156326471600093,0.07638978204682209,0.14094652709150018,0.11528161424619908,0.4035687553607295,0.464158073300563,0.036141077836834665,-0.1624675555177735,-0.21390814469932307,0.33839292470478216,-0.25585716634588324
Frontal_Sup_2_L,0.09191184920562064,-0.09738334017466332,0.21681728658939914,0.005334176916914,0.029109523565224192,0.3352064439505244,0.28278981052047103,0.39919932742845926,1.0,0.09640680112483514,-0.13398553326046894,0.3812594722372763,-0.08193201808796467,0.4097974996150198,0.35480730539370303,0.09003793242432731,0.24991493406968557,0.2918278109861819,0.6279792039019819,0.45499172655990805,0.30485955863819114,-0.03443344284746703,0.03082403868086115,0.4498150166796037,-0.12117883102122214
Temporal_Pole_Mid_R,-0.12757302843757584,0.4667788478748063,0.040980327099560544,-0.30470544798952187,-0.3050873455495731,0.10555206844109602,-0.20338234785634698,-0.08844849846758054,0.09640680112483514,1.0,0.24216899978132952,-0.23992784559601207,-0.16946507313062056,-0.1354617315537923,-0.4119354817141652,0.12748116047438415,0.27575621823197577,-0.19545521716199696,-0.0728796447450464,-0.28937336186070417,0.025409652961457214,0.47746585512093326,0.4445348412171021,-0.20512414930335324,0.39325115858724796
Cerebellum_Crus2_L,0.17253256580324822,0.4017541117354876,0.1506252837905016,0.07436701407722317,0.15961706453823077,0.196811600152897,-0.030442637479372082,0.05237439590638514,-0.13398553326046894,0.24216899978132952,1.0,-0.014867946040707947,-0.07923582278202236,0.011846400620195438,-0.3010556697808516,-0.007707020314632502,0.2814758040860191,-0.1385729593499427,-0.3251320328239286,-0.09391205122453375,-0.20754582562471974,0.31969650490040163,0.26366999910721045,-0.16278162683809053,0.3489116394434857
Thal_PuL_R,-0.05917842661055221,-0.016432341074452527,0.32352814282108217,0.4192339088273362,0.41562790033939445,0.29423450361118675,0.6099797496598564,0.34897544071236214,0.3812594722372763,-0.23992784559601207,-0.014867946040707947,1.0,0.2107462638781297,0.6110483159404484,0.43441183235200703,0.3767413435957953,0.4769766842431165,0.05533182405089622,0.19213481986714048,0.6604492599683548,0.11670876559276136,-0.3109335265123508,-0.25233632232020786,0.36959527722239033,-0.05650465204249659
Rectus_L,0.011091076906851377,0.23954926412697825,0.25086908880403724,0.0056714694170744715,0.061581125530686176,0.2707224482124621,0.24767729078368328,0.04664153667468744,-0.08193201808796467,-0.16946507313062056,-0.07923582278202236,0.2107462638781297,1.0,0.3253314021929837,0.26835786109486376,0.1027263690705564,0.32526538629724755,0.11783797023089233,-0.2638822536938913,0.29978525699703673,0.0985787085056384,-0.14010121443143592,-0.09709018615329888,-0.28877262371256024,0.1466176508284644
Hippocampus_R,0.04820056576110212,0.0820302384367267,0.3227507336627808,0.28570988797165403,0.13599177137023216,0.5042581296808183,0.45884894202818866,0.4366589452542154,0.4097974996150198,-0.1354617315537923,0.011846400620195438,0.6110483159404484,0.3253314021929837,1.0,0.5125229293690138,0.2032709704363382,0.5626796511254976,0.05789218757017714,0.15918634528503556,0.775034651576215,0.017433551652943746,-0.4285583980264588,-0.34613194115885326,0.2370958106945007,-0.11235313570191702
VTA_R,0.2019276100849198,-0.39759955751184245,0.05542830950217975,0.4580677664553199,0.3423011276922693,0.12167117498214784,0.2643102693381451,0.25156326471600093,0.35480730539370303,-0.4119354817141652,-0.3010556697808516,0.43441183235200703,0.26835786109486376,0.5125229293690138,1.0,-0.005361044929167794,0.09694334745861297,0.30084936705615467,0.42534502274401,0.6131143036982601,0.21622426691989335,-0.4607320485134869,-0.5096178621281175,0.3443606373218439,-0.49842893209083283
Cerebellum_8_L,-0.2572928474721539,0.30935818994716263,0.14234374934535393,0.19953713792350097,0.21775342433865483,0.17048382997317077,0.4602878202175128,0.07638978204682209,0.09003793242432731,0.12748116047438415,-0.007707020314632502,0.3767413435957953,0.1027263690705564,0.2032709704363382,-0.005361044929167794,1.0,0.46866086942207286,-0.2984804260125301,-0.0391742389586974,0.22670211477561655,0.1965623951152386,0.08458767323033481,-0.025827594437053188,0.3120068800551995,0.25017957070600316
Fusiform_R,0.041823147447784245,0.6254307685716523,0.45952856036760903,0.25731525243525677,0.17327101211491522,0.5853368554031854,0.40179353001131946,0.14094652709150018,0.24991493406968557,0.27575621823197577,0.2814758040860191,0.4769766842431165,0.32526538629724755,0.5626796511254976,0.09694334745861297,0.46866086942207286,1.0,-0.18069294656681759,-0.18886574881945895,0.3842764675618531,0.03520857216875211,0.220646473312457,0.16032127988300227,0.09821428293268966,0.41832564806949263
Amygdala_L,0.2545658841637157,-0.37816036990258883,-0.0018170507821437512,-0.1505207570345094,0.10585728245549077,-0.03781520217393156,-0.08897854266055752,0.11528161424619908,0.2918278109861819,-0.19545521716199696,-0.1385729593499427,0.05533182405089622,0.11783797023089233,0.05789218757017714,0.30084936705615467,-0.2984804260125301,-0.18069294656681759,1.0,0.3507484203528567,0.10284398888026565,0.23863032386396965,-0.16321126577314177,-0.09612274883115163,-0.08253495722603962,-0.3372205679867094
Frontal_Inf_Orb_2_L,0.04908556811347955,-0.5852096684563208,0.021352005988788534,0.1555757146842994,0.18249105325352127,-0.12477361441511453,0.1445927886597573,0.4035687553607295,0.6279792039019819,-0.0728796447450464,-0.3251320328239286,0.19213481986714048,-0.2638822536938913,0.15918634528503556,0.42534502274401,-0.0391742389586974,-0.18886574881945895,0.3507484203528567,1.0,0.2357809310997198,0.3165946863487594,-0.20254106362584087,-0.27895608528263516,0.6353267326186922,-0.5890498007309165
Thal_VL_R,0.16998732537254632,-0.07312637765931147,0.42795666405415345,0.31869663600359416,0.1098182295131536,0.5250429759420749,0.6181994904006816,0.464158073300563,0.45499172655990805,-0.28937336186070417,-0.09391205122453375,0.6604492599683548,0.29978525699703673,0.775034651576215,0.6131143036982601,0.22670211477561655,0.3842764675618531,0.10284398888026565,0.2357809310997198,1.0,0.054433190227193715,-0.4904351763541721,-0.4731701947667783,0.2735612148874947,-0.2971881415191134
OFCant_L,-0.08785290299024123,-0.04799167019446118,-0.08168597517855473,-0.057256256055823754,0.14938217261643782,-0.09290940831017737,0.004989356432584128,0.036141077836834665,0.30485955863819114,0.025409652961457214,-0.20754582562471974,0.11670876559276136,0.0985787085056384,0.017433551652943746,0.21622426691989335,0.1965623951152386,0.03520857216875211,0.23863032386396965,0.3165946863487594,0.054433190227193715,1.0,0.0743232834615219,0.029491310050596013,0.21192784481543378,-0.1199337569838409
Cerebellum_Crus1_R,0.05724442509647122,0.4351996815965045,-0.005501480874793534,-0.1232644309456416,-0.06170026685960998,-0.08199767208030583,-0.23682697404543163,-0.1624675555177735,-0.03443344284746703,0.47746585512093326,0.31969650490040163,-0.3109335265123508,-0.14010121443143592,-0.4285583980264588,-0.4607320485134869,0.08458767323033481,0.220646473312457,-0.16321126577314177,-0.20254106362584087,-0.4904351763541721,0.0743232834615219,1.0,0.6050188909013465,-0.08554363054638714,0.5192846097199854
Occipital_Sup_L,0.03151290246006231,0.5433214333441996,0.24150859495408225,-0.2765895906759688,-0.250740679726331,0.1113280988619418,-0.3204071808828634,-0.21390814469932307,0.03082403868086115,0.4445348412171021,0.26366999910721045,-0.25233632232020786,-0.09709018615329888,-0.34613194115885326,-0.5096178621281175,-0.025827594437053188,0.16032127988300227,-0.09612274883115163,-0.27895608528263516,-0.4731701947667783,0.029491310050596013,0.6050188909013465,1.0,-0.127316516469354,0.7337367345539647
Putamen_L,-0.07554932015407144,-0.24874729559338524,0.03490430731834444,0.548897929539089,0.32674375683780893,-0.03362686761360242,0.2821735431594658,0.33839292470478216,0.4498150166796037,-0.20512414930335324,-0.16278162683809053,0.36959527722239033,-0.28877262371256024,0.2370958106945007,0.3443606373218439,0.3120068800551995,0.09821428293268966,-0.08253495722603962,0.6353267326186922,0.2735612148874947,0.21192784481543378,-0.08554363054638714,-0.127316516469354,1.0,-0.2362200963802253
Occipital_Mid_R,-0.1844685859939326,0.7676367741115114,0.206493764969107,-0.18976458742257585,-0.13308407568411593,0.20449757086314765,-0.07272407410608167,-0.25585716634588324,-0.12117883102122214,0.39325115858724796,0.3489116394434857,-0.05650465204249659,0.1466176508284644,-0.11235313570191702,-0.49842893209083283,0.25017957070600316,0.41832564806949263,-0.3372205679867094,-0.5890498007309165,-0.2971881415191134,-0.1199337569838409,0.5192846097199854,0.7337367345539647,-0.2362200963802253,1.0
