,SN_pr_R,Thal_LGN_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_R,Thal_MGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_MDm_R,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuA_R,Occipital_Sup_R,Vermis_4_5,Temporal_Mid_L,Thal_LP_R,Frontal_Med_Orb_L,Caudate_L,Frontal_Inf_Oper_R,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_LP_L,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,ACC_pre_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_PuI_L,Thal_VL_R,Parietal_Inf_R,Thal_VPL_R
Vermis_8,0.1062231885873837,0.11538871968870039,0.0843766190980509,0.29696094717559157,0.1654832485317281,-0.11014554139597811,-0.029960687722647813,-0.08395096018783255,-0.18401101715154186,0.01961230116356756,1.0,0.32649088598845305,-0.051292098348046156,0.20232582777160288,0.5708001228856109,-0.328179589961824,0.4530578735310722,0.41642307475143636,-0.04929784690112075,0.1557190920294011,0.13339284656650124,0.22521003939677925,0.2832163847842262,0.27908102030838555,0.11789508849514747,0.07491616018419746,0.20286688566268163,0.1251074896700348,0.051284736558914176,0.2314413509111074,0.16313957906265614,0.20800493211210036,0.02863730597583819,0.25930365241818354,0.37818821032836736,-0.18578566073167657,0.17521192819936843,0.24054166092830523,0.25548439173521137,0.253760777326433,0.3106154006766625,-0.017947018632218162,0.053588544287294024,-0.28590643833165474,0.09709716042922266,0.14199882575900485,0.13643358729710703,-0.32748319136415854,0.2747113640589892,0.19244764867109257,-0.08997886750445014,0.2132811046016666,0.18543458920201056,0.29196529761944207,0.23196613838190544
Thal_AV_R,0.5604196660088151,0.5904559647962804,-0.1922262644972371,0.4431981806672273,-0.32280002567533744,0.4316614925844402,-0.20255216226923883,-0.12367837584948715,-0.2954728072838897,0.3045769461402055,0.32649088598845305,1.0,0.16458311983329127,0.30138538058876757,0.39371846876289346,0.07143291422794892,0.3209880418025144,0.1272525915508337,0.5971182832463435,0.4350937974901761,0.7043091424988989,0.44496011867661267,0.1340002867221797,0.586702176992053,-0.1316828366243455,0.5797657000696886,0.36316412201742304,0.3842829351733261,0.3388864660696975,0.3925378994024281,0.29536532253766273,0.6861799374726139,-0.11005121629854848,0.3676536047095974,0.1476516980534973,0.2742906334369404,0.1522523535575768,0.6423508076572246,0.548023855122453,0.32572749921653227,0.19074232226799478,-0.3607957751663692,0.4017480396534571,0.060769844807829834,0.43491798744866716,0.356429046074095,-0.005427214192153686,-0.04961426364822377,0.21142917155306015,0.4237040556701585,-0.31554812718419645,0.5062180538519298,0.7325455165979013,0.5753357318759948,0.6424746702290496
Thal_MGN_R,0.3181955161044347,0.2811065293503336,-0.002250033053556665,0.3570386694939007,-0.08991828868992639,0.35006502143924634,0.21531972436781893,0.14023928630999283,0.17316579797449733,0.18744886461988225,-0.051292098348046156,0.16458311983329127,1.0,0.47088027622719436,-0.0024662762397846968,0.22842461145293727,0.22106947412713943,0.04280335185734659,0.3199261722930123,0.47786641777016853,0.27398299827700573,0.029241425785188353,0.09611843076921621,0.48687881792000187,0.1092363222278942,0.32786378217875506,-0.05657577764858547,0.22839650709127904,0.4180009430741478,0.3758233736637808,0.011217936642784858,0.20131565296530896,0.13430365009502043,0.3085637971771366,0.15004737044557637,0.307785542682979,0.1942947432819434,0.13749119310396826,0.37856449175685375,0.5067235177502981,-0.11796502269227313,0.04754182561574255,0.3820351982698361,-0.020712647411757008,0.4604322424810876,0.2672290323326247,0.06849075508891127,0.1682274329616584,0.35772493265580985,0.42780424907133174,0.06440395195492382,0.39740341976296967,0.3034966154562275,0.3314877804464539,0.08312743102555638
Paracentral_Lobule_R,0.27372507518184735,0.1509465447020321,-0.01546304653070517,0.6160669294556715,0.01306113820422467,0.45657672008097483,0.45045864522353823,0.2048929980552039,0.061601986774303945,0.13360834955775466,0.20232582777160288,0.30138538058876757,0.47088027622719436,1.0,0.2842682588051103,0.1508189908962695,0.40639073562289585,0.2630592456330512,0.30609136997783215,0.8753473715300601,0.2943229376214655,0.28841644718715215,0.20016764937176582,0.8580577743308938,0.33926811293250997,0.3771809667773387,0.00898744458107144,0.5498761470674732,0.7755973076626541,0.7326704737794444,0.08017095978939903,0.3047002856064206,0.3355379558393244,0.5954956745686999,0.3347126483487058,0.18848824843835743,0.38944220031999005,0.35380247229555606,0.7798843527696744,0.6120007537480402,0.05964828316228324,0.06129506461206197,0.3368490400536512,-0.10762074031972228,0.6875077551181775,0.3210338945534875,0.18083653391514878,0.02291558896815557,0.5021648686589404,0.648243810662967,0.20892109075106835,0.45065033724622117,0.41716352650797234,0.602845980836991,0.20962332713008916
Vermis_9,0.3331092920215743,0.27373427802887607,0.0747717701115303,0.5808089471489106,-0.07991723358363417,0.20200949756434938,-0.14214294800651797,-0.061185881159542176,-0.1559205809144041,0.18581711557550173,0.5708001228856109,0.39371846876289346,-0.0024662762397846968,0.2842682588051103,1.0,-0.33902358157573736,0.5387877807866356,0.2576319032796458,0.10617433134261625,0.2626230978168391,0.4198056061378926,0.39907061118439774,0.13220522430075604,0.41124220930788213,0.2665677862926812,0.4224423948573323,0.29368514434020715,0.18483758691576593,0.2101758078702926,0.3418006909643544,0.15826661139245798,0.4167429315585973,0.04885459872533492,0.5133212871330961,0.392381061999494,-0.03724292542555868,0.3889094355045333,0.434783337243329,0.42001242952471357,0.4817125777480606,0.08306596027218041,-0.15077029338053458,0.05325762554975761,-0.28703097284821943,0.16738291282543896,0.04090723026296646,-0.005467045800909813,-0.2908531536078909,0.5062849864207274,0.4760612554345934,-0.20800909861681052,0.46880927011043383,0.40699541772373393,0.44097931160928955,0.4928617546720054
Amygdala_R,0.14693546807044272,0.05079868022621468,-0.07262392465831351,-0.15245350603778354,-0.16302678032900153,0.27367904179537245,0.01805043135801893,0.008597438370553176,-0.13910418716738226,0.21484739574398592,-0.328179589961824,0.07143291422794892,0.22842461145293727,0.1508189908962695,-0.33902358157573736,1.0,-0.09240614324949338,-0.13505662216553455,0.5072489084713958,0.2045346890855239,0.06244031418706209,-0.032288085900916405,-0.11016237922815611,0.19011225079153393,-0.18072407410696406,0.04820056576110212,0.06253986194542296,0.0688651150834946,0.1254538471113844,0.05765883043361043,0.13424186042113823,0.044386493094902967,-0.10883750985041672,-0.14903082965941442,-0.1875559373972276,0.30699815783997125,-0.13566024694814185,0.10805480229733476,0.05202823921510348,-0.12109233853942149,0.004042598540823676,0.05724442509647122,0.3226185511684857,0.2545658841637157,0.24625998089207934,0.09191184920562064,0.03930193148770135,0.3111194412931871,-0.17570497201709426,-0.03342256093878111,0.03151290246006231,-0.06496232296703555,0.16998732537254632,0.07879927205711304,-0.04891788149259513
Temporal_Sup_L,0.36386656665371175,0.40786692885410397,0.24788523874184407,0.39954533734751413,0.2187288707035673,0.1983489225807014,0.2010288396974072,0.08890488298351128,-0.03628269807337277,0.3724439009702027,0.4530578735310722,0.3209880418025144,0.22106947412713943,0.40639073562289585,0.5387877807866356,-0.09240614324949338,1.0,0.3232900456937919,0.1261476643950951,0.3089536060508295,0.2668349858253312,0.20729730160053372,0.5756097502133559,0.5276721856527528,0.2600218347894871,0.3667598828919473,0.3102000888172429,0.39534991103379813,0.4785500210913881,0.26511833602767265,0.22322124209082056,0.39013442476362165,0.1275529853352617,0.506057803421961,0.6879273068330258,0.1076924011872022,0.1680226491178031,0.37496643523897744,0.2798236661042816,0.7189248826383895,0.16750728939074838,-0.02500018500932395,0.2697629152015953,-0.15153403757147352,0.35779773903303286,0.3630168957431483,0.08715025178117185,-0.07480792786383621,0.5474589322118514,0.36982365577621784,0.13537460272501378,0.5561252421800524,0.3884046297205257,0.3885891967831695,0.346390912161888
ACC_pre_R,0.03840853831497323,-0.06225412006449158,0.2872615996565339,0.18013753065496435,0.4425137831734416,0.20496963398922818,-0.06169879086208461,0.15280852152377122,-0.06128107178579892,-0.01804165548626941,0.41642307475143636,0.1272525915508337,0.04280335185734659,0.2630592456330512,0.2576319032796458,-0.13505662216553455,0.3232900456937919,1.0,0.13863426225195957,0.16750411033290621,0.041252689750216266,0.47988291502951674,0.5658660829177845,0.24505747685070653,0.05503896533513573,0.17737508207844455,-0.04358884692893223,-0.13253729733712938,-0.02386489800186601,0.04485089283273832,0.19155894459796333,0.13822107446177848,-0.19823333524938602,0.08194435725770156,0.17746540030970331,0.048176603761043726,0.11018117217116881,0.40426493962830734,0.27058772066103703,0.25577868639092743,0.23463942980547192,0.026984613728401056,0.06723412874477139,-0.13840497347320604,0.31406361914118835,0.43156417001525027,0.7511583586192612,-0.04473229527596237,0.2948867982391117,0.34803243930340866,-0.06984833807912515,0.049997499784576675,0.23734780935417876,-0.004101947445319317,0.11968042126838643
Thal_MDm_R,0.5872034849585039,0.48094507071816334,-0.156583066856194,0.2844330284044751,-0.3209438606535842,0.7196940727398805,-0.37564255216546405,-0.1174310226311566,-0.3315116054087352,0.3422415150555862,-0.04929784690112075,0.5971182832463435,0.3199261722930123,0.30609136997783215,0.10617433134261625,0.5072489084713958,0.1261476643950951,0.13863426225195957,1.0,0.4467572667178832,0.6711526546935601,0.44090679649845815,0.001949301319148195,0.5453127647970173,-0.340510552034891,0.589390795777953,0.28574004248283363,0.17398098827680586,0.2543550774085087,0.27943296651758726,0.29926098515870536,0.6477732630826357,-0.39419645388869673,0.11337312685237294,-0.15434283170805502,0.4573315692187387,0.1198711453734478,0.6090755682672252,0.476852555937835,0.19052212013555841,0.04352463162360833,-0.38462645259727796,0.4914780969573477,0.18774287670732767,0.5248296654055,0.2962267473602706,0.2158094831782887,0.24306832816635457,0.06892179423769437,0.40132082572541095,-0.4884188516294047,0.3772528949738039,0.7905212305695034,0.3952714712380119,0.4649110744138973
Precentral_L,0.397501958614827,0.2869542853318527,-0.07799858355907412,0.6281651916318636,-0.12679985910574768,0.5387126285279594,0.3646798096850979,0.13651059896932555,-0.07836869348872441,0.17988772402051054,0.1557190920294011,0.4350937974901761,0.47786641777016853,0.8753473715300601,0.2626230978168391,0.2045346890855239,0.3089536060508295,0.16750411033290621,0.4467572667178832,1.0,0.41656113394899036,0.30486175450722997,0.108604313547502,0.9186779820395742,0.25760218454751044,0.5042581296808183,0.07694018388441366,0.5787499098795199,0.7205506803003289,0.7359556352217294,0.05303933060007516,0.41431816452078857,0.27562746377796876,0.5997782013181474,0.2642326763875696,0.2947927742615174,0.43562334740404,0.4136968148573677,0.8747022910215111,0.6082223198218975,-0.0026100619794156583,-0.08199767208030583,0.46459112780209244,-0.03781520217393156,0.6885028716853308,0.3352064439505244,0.16122399798923262,-0.029162336493852678,0.45998939477798534,0.7005501209007583,0.1113280988619418,0.5497013298099175,0.5250429759420749,0.5766069079966342,0.3186898627687151
