,Temporal_Pole_Sup_L,Angular_L,ACC_sup_L,Vermis_7,Calcarine_L,Temporal_Pole_Mid_L,Precuneus_L,Cerebellum_10_R,OFCpost_L,Cingulate_Mid_R,Cerebellum_8_R,Vermis_8,Cerebellum_6_L,Frontal_Inf_Tri_L,Caudate_R,Parietal_Sup_R,Frontal_Mid_2_R,Vermis_6,ACC_pre_R,Precuneus_R,VTA_L,Thal_AV_R,Cingulate_Post_R,Raphe_D,SupraMarginal_R,Temporal_Pole_Mid_R,Amygdala_L,Parietal_Sup_L,Cerebellum_9_L,Lingual_L,SupraMarginal_L,Occipital_Sup_R,Cingulate_Mid_L,Paracentral_Lobule_L,Frontal_Sup_2_R,Thal_LP_L,Frontal_Inf_Oper_L,Supp_Motor_Area_R,Calcarine_R,Cerebellum_9_R,Rectus_L,Frontal_Inf_Orb_2_L,Vermis_1_2,Occipital_Inf_R,Hippocampus_L,OFCmed_R,Thal_MDm_R,Pallidum_R,Thal_PuL_R,Thal_LP_R
Temporal_Pole_Sup_L,1.0,0.3124961830191018,0.04961180747212976,0.36495224108503244,0.36964108498614506,0.4746466384115786,0.25432790568287345,-0.10216605805878205,0.5827783017493126,0.18872912072854608,-0.032500484871871335,0.2601489902844921,-0.23070967808267265,0.18095235070686858,0.001732066245824001,0.05448692641218341,0.09629158780343254,-0.019958068434494988,0.2210486227192021,0.17883317039581315,-0.2015548848092372,-0.02709217869016417,0.2309437843490579,0.10139581954258702,0.2553949082283676,0.46663160357248684,-0.18535967937885028,0.16227626360823916,-0.02939622535046657,0.2729388791037861,0.20681768641889894,0.25116074036007696,0.14481270415678593,0.3675913339220822,0.09544162374717909,0.15700750708535857,0.3547026524539939,0.12135364930356615,0.303708214115718,-0.14875808660129197,-0.06336306401240514,0.10010208266890644,0.2730881746406329,0.1510717684851935,-0.2360493042979699,0.2556632660981207,-0.2131640478846221,-0.2079145979157103,-0.0948723100847593,0.017745555381325464
Angular_L,0.3124961830191018,1.0,-0.08779309270058609,0.5079058591702257,0.6691715679882732,0.3500508359843305,0.5472873220328001,0.03852211728460838,0.31732775846704536,0.3174452426063062,-0.05194264545243076,0.0806708184235918,-0.0005642246859141741,0.0011935026305235933,-0.2745567084692763,0.4199899583759288,0.2850985699220646,-0.12468802246453389,-0.030067646383575036,0.46096160880371684,-0.33281696553967377,0.03138278914930959,0.4504221903652239,-0.05730561811381863,0.5744279302032849,0.40791155319659206,-0.197661311463942,0.5729453204653483,0.013007542820114314,0.5359028020487916,0.604929324131213,0.6554458013461061,0.2267485893197046,0.46674807015917613,0.13063261979963028,0.11350376512904016,0.5494908230858881,0.28134011741892095,0.6027840974185912,-0.2733678397521659,0.11586181310243841,-0.30653001507967925,0.4545494572342312,0.21353822273480602,-0.25725745575955666,0.11059901374849948,-0.1516270759635181,-0.23056536820231155,0.11789233125396939,-0.10437079787879298
ACC_sup_L,0.04961180747212976,-0.08779309270058609,1.0,-0.0035955966690354134,-0.23546207142682007,-0.23676211315697482,0.18845030145896643,0.21301626279053146,-0.14332658115886976,0.54317000598204,0.3473278736222758,-0.027207879614141544,0.11794879977874612,0.7024490608057568,0.5919050246100578,0.061301678744990096,0.5858056163758717,0.32972076381062015,0.41937472686220106,0.21262157005510934,0.32545483337863607,0.2874474484243527,0.14255295371970136,0.22539283749635125,-0.0589308274965487,-0.025101459757103872,0.3280321144896329,0.12105460619813999,0.35042491039797113,-0.06106264777422617,0.2799992579134761,-0.31363069434905233,0.46683208243202956,0.1694023384586447,0.7485364339268876,0.49749846080794313,0.4383445834096632,0.27276864207094986,-0.18594168856476204,0.47802972127477694,-0.022641929455082206,0.5851442831219047,0.12699085161393564,0.18538118921402164,0.5874749530161091,-0.12596043378401608,0.3969035832710265,0.20533132171379273,0.2941421779931149,0.5895182424389221
Vermis_7,0.36495224108503244,0.5079058591702257,-0.0035955966690354134,1.0,0.5253045576455087,0.3140096554271599,0.2706258071960739,-0.004026267895769436,0.36042241639304873,0.1280791246233132,-0.053107450558458516,0.11789508849514747,-0.2887066616135991,-0.08116970276895712,-0.14907499947710323,0.15023293065411367,0.09574743723307828,-0.07148113598464295,0.05503896533513573,0.166545101933668,-0.34089812555493887,-0.1316828366243455,0.18362068604927193,0.1528439200251844,0.3947008642381629,0.4178794756828964,-0.3098919794696566,0.22976321100561217,0.12379789542242364,0.4253432517849859,0.25302074791524953,0.5648188462520164,0.07357671953653297,0.37543176237200404,-0.041803308446072,0.015033607144053211,0.31870750852714114,0.12209062977970613,0.50037282910232,-0.1773540795098536,0.1212871996887981,-0.3211577266404572,0.4774158793874268,0.3734695174982884,-0.3637684872116982,0.2870657410277303,-0.340510552034891,-0.3842640243892371,-0.0008922177930996635,-0.01675059057375786
Calcarine_L,0.36964108498614506,0.6691715679882732,-0.23546207142682007,0.5253045576455087,1.0,0.44384465731358597,0.5640899134284538,-0.19705948712754492,0.45713446860962703,0.17043262926049962,-0.1903394426170526,0.08870760336025132,-0.2873725276158523,-0.12002684519915664,-0.43787292732242034,0.2966750852618912,0.1630211874204125,-0.23317498398251055,-0.013539106726199575,0.46239768166015055,-0.4265420136759997,-0.03330652917599747,0.575866992054721,0.01822554901946889,0.5237884705314139,0.3406803862822665,-0.30272119922227236,0.46454335372498706,-0.14888519410229947,0.6818020173112167,0.33362552365820614,0.7036990790053308,0.10520473715382475,0.6398540342154172,-0.08606489207726328,0.056073729186807024,0.38741235414726116,0.28589950169381717,0.9350961751755253,-0.45903257117955004,0.2159872276909587,-0.4598678720688864,0.5071512611849934,0.16702956756223808,-0.3450977222434134,0.1498781931577997,-0.14582834137933454,-0.16420061196430358,-0.1245362106761089,-0.16276200620641001
Temporal_Pole_Mid_L,0.4746466384115786,0.3500508359843305,-0.23676211315697482,0.3140096554271599,0.44384465731358597,1.0,0.2199756554863437,-0.30512896882130736,0.466758889857779,-0.06362111584839229,-0.4484589270767029,-0.07406832558185947,-0.25718427976324215,-0.005886444277595654,-0.33154087047982,-0.04858323874948054,0.11417248284388083,-0.18701698054625307,0.030616183475180244,0.10850112190380594,-0.5430894145771118,-0.26600514842397804,0.22387048205755006,-0.09217167860888166,0.30695603643874897,0.6924884422050853,-0.25171260030720105,0.0617453819324647,-0.3801053233704632,0.06651849740704867,-0.010986067944364152,0.34266024913965193,-0.12204658073092108,0.38406387382852863,-0.1295626508730139,-0.16553999852208293,0.22620767459843213,0.08155901114023605,0.34111318479718356,-0.6053811892459712,-0.04520188036001137,-0.22501011776612717,0.21426343274718576,0.16339365205227258,-0.4496561641400114,0.2800731222270613,-0.2025153525192274,0.004980694998899948,-0.3514644727315576,-0.2152339803192923
Precuneus_L,0.25432790568287345,0.5472873220328001,0.18845030145896643,0.2706258071960739,0.5640899134284538,0.2199756554863437,1.0,0.23241835218635748,0.22056350266356753,0.6410995266987444,0.06851183198622264,0.051284736558914176,0.2888456902067713,0.3759027382219899,0.10521969219769335,0.6878933103068254,0.5639937864827643,0.1148219189344512,-0.02386489800186601,0.9097861455581645,-0.08371819534145354,0.3388864660696975,0.8519296769692201,0.13133733167236758,0.6048517806444607,0.15736805350407146,0.008093431332409777,0.8049303905315006,0.208238926020072,0.5486952940209768,0.6624477896393427,0.456297284327888,0.608577420952201,0.7415299418455158,0.397421076606358,0.3191973544097529,0.6233167737444787,0.7702864276204686,0.5842339408681876,0.018658729922062574,0.29355062907144575,-0.033804410755134955,0.45149402736684513,0.14402394735770463,0.2821075447538545,-0.02915940801795015,0.2543550774085087,0.14444876773221058,0.297429324461083,0.17218122778210082
Cerebellum_10_R,-0.10216605805878205,0.03852211728460838,0.21301626279053146,-0.004026267895769436,-0.19705948712754492,-0.30512896882130736,0.23241835218635748,1.0,-0.0938800334383462,0.4247623694254786,0.5300609410588988,0.20286688566268163,0.4525802921758948,0.20389645852353944,0.2504666358448338,0.37903971088304494,0.22439299078425684,0.2557645150544588,-0.04358884692893223,0.27214321847372247,0.3202388352895177,0.36316412201742304,0.14947468174235007,-0.0018497441885068212,0.1723893865678385,-0.23878261578466423,0.05406042335918568,0.2991817029677402,0.578426710248644,0.21802851817996136,0.44798710338879794,-0.0984108886269384,0.490902867448816,-0.08487561975732602,0.2570732643625834,0.13170263282381905,0.14732306683425278,0.2943457495868972,-0.12871730928498795,0.49322437167533784,0.02604557734263983,0.1782381696551855,0.1815470678234495,-0.16712565120593217,0.48203322430593404,-0.3238763141477267,0.28574004248283363,0.21126933790493885,0.5684954247906526,0.07678715936326272
OFCpost_L,0.5827783017493126,0.31732775846704536,-0.14332658115886976,0.36042241639304873,0.45713446860962703,0.466758889857779,0.22056350266356753,-0.0938800334383462,1.0,0.18099720389057006,-0.1080686121833672,0.27196443234783535,-0.3145451420636494,0.08725768167925908,-0.21336515633087258,0.07529723355336004,0.10846001349300069,-0.2090275607169665,0.29165575652290315,0.1872953291780988,-0.3851837312005599,-0.062046657273651946,0.2558964747726345,-0.0961132706921376,0.3588107095974888,0.408494955591317,-0.4936325260786269,0.15488219309573273,-0.048430914646632676,0.3776644461462432,0.18338537632259816,0.2845975570731476,0.13804413872626806,0.4407535558226517,-0.06887890472013208,0.051190342619586396,0.3622185534483515,0.07201100582259091,0.4271143361733262,-0.32895037426966994,-0.2764882535800822,-0.159096041771665,0.41918807914914236,0.06280598061635727,-0.3964588926614152,0.3375515701257934,-0.1997001901911036,-0.10866831504030146,-0.11935007388118812,-0.062327279549958536
Cingulate_Mid_R,0.18872912072854608,0.3174452426063062,0.54317000598204,0.1280791246233132,0.17043262926049962,-0.06362111584839229,0.6410995266987444,0.4247623694254786,0.18099720389057006,1.0,0.5355039289115843,0.32285918231274324,0.3856255279644476,0.6385357822987016,0.33313306868724724,0.5435791044608289,0.7584550179375155,0.2762121812364482,0.30590075651970033,0.7223347898773612,0.3405354547160552,0.6691533171552976,0.5398378548669999,0.19255008941470525,0.5679655691793353,-0.013125179330678399,-0.0324785832066444,0.5637860843096131,0.5934832693241485,0.5688316296346728,0.807949675566831,0.013692683828003541,0.9751503630920078,0.5541237774960491,0.7606045993741193,0.5085746762384312,0.7258564905343627,0.7209529786073332,0.29779289973198014,0.4381925750215646,0.2047877706679349,0.24364979784350724,0.572143156035761,0.06612094029655562,0.5796492434262078,-0.10115593920231235,0.5329753936042223,0.32584431479135517,0.6550129548818715,0.3482480487328527
