,SN_pr_R,Thal_LGN_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_R,Thal_MGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,Thal_MDm_R,Raphe_D,Precentral_L,Frontal_Inf_Orb_2_R
SN_pr_R,1.0,0.6518356109392355,-0.04294644326166395,0.41414116399984763,-0.1661570367271714,0.5812219714435183,-0.25814528472697257,-0.1055041817322898,-0.15460050629079444,0.1062231885873837,0.5604196660088151,0.3181955161044347,0.27372507518184735,0.3331092920215743,0.14693546807044272,0.36386656665371175,0.5872034849585039,0.09092862428219392,0.397501958614827,0.4400772768162469
Thal_LGN_L,0.6518356109392355,1.0,0.05871747431867187,0.20919449526822043,-0.13447021441477372,0.4170584766277081,-0.19871227540308511,-0.12978259625577854,-0.016195756039879952,0.11538871968870039,0.5904559647962804,0.2811065293503336,0.1509465447020321,0.27373427802887607,0.05079868022621468,0.40786692885410397,0.48094507071816334,0.21541251315620114,0.2869542853318527,0.3008811157120292
OFCpost_R,-0.04294644326166395,0.05871747431867187,1.0,-0.12520427149585134,0.7653260078185767,-0.04940551433007745,0.14412166987545058,0.23582361229841747,0.28604071442889306,0.0843766190980509,-0.1922262644972371,-0.002250033053556665,-0.01546304653070517,0.0747717701115303,-0.07262392465831351,0.24788523874184407,-0.156583066856194,0.08508215802805602,-0.07799858355907412,0.0646275282876956
Temporal_Sup_R,0.41414116399984763,0.20919449526822043,-0.12520427149585134,1.0,-0.297288194957085,0.4928393085611819,0.15926347786625739,0.030697899465249742,-0.22083254412198272,0.29696094717559157,0.4431981806672273,0.3570386694939007,0.6160669294556715,0.5808089471489106,-0.15245350603778354,0.39954533734751413,0.2844330284044751,0.17552070790296553,0.6281651916318636,0.40884110103851534
OFClat_L,-0.1661570367271714,-0.13447021441477372,0.7653260078185767,-0.297288194957085,1.0,-0.19638933433236863,0.22559685262142515,0.2277802921163268,0.33718275070674864,0.1654832485317281,-0.32280002567533744,-0.08991828868992639,0.01306113820422467,-0.07991723358363417,-0.16302678032900153,0.2187288707035673,-0.3209438606535842,0.020310692121650428,-0.12679985910574768,0.06153186912779574
Heschl_R,0.5812219714435183,0.4170584766277081,-0.04940551433007745,0.4928393085611819,-0.19638933433236863,1.0,-0.28529483601336414,-0.03625746369553956,-0.20141607961144398,-0.11014554139597811,0.4316614925844402,0.35006502143924634,0.45657672008097483,0.20200949756434938,0.27367904179537245,0.1983489225807014,0.7196940727398805,0.13031009070024302,0.5387126285279594,0.6041086229337832
Cuneus_L,-0.25814528472697257,-0.19871227540308511,0.14412166987545058,0.15926347786625739,0.22559685262142515,-0.28529483601336414,1.0,0.30708314213232574,0.278418477661199,-0.029960687722647813,-0.20255216226923883,0.21531972436781893,0.45045864522353823,-0.14214294800651797,0.01805043135801893,0.2010288396974072,-0.37564255216546405,0.030890162388639546,0.3646798096850979,-0.33093983972219626
Occipital_Inf_R,-0.1055041817322898,-0.12978259625577854,0.23582361229841747,0.030697899465249742,0.2277802921163268,-0.03625746369553956,0.30708314213232574,1.0,0.2079757106006812,-0.08395096018783255,-0.12367837584948715,0.14023928630999283,0.2048929980552039,-0.061185881159542176,0.008597438370553176,0.08890488298351128,-0.1174310226311566,0.16867505764383933,0.13651059896932555,-0.06019330975552999
Temporal_Inf_R,-0.15460050629079444,-0.016195756039879952,0.28604071442889306,-0.22083254412198272,0.33718275070674864,-0.20141607961144398,0.278418477661199,0.2079757106006812,1.0,-0.18401101715154186,-0.2954728072838897,0.17316579797449733,0.061601986774303945,-0.1559205809144041,-0.13910418716738226,-0.03628269807337277,-0.3315116054087352,0.17822528871755927,-0.07836869348872441,-0.19456365101594716
Vermis_8,0.1062231885873837,0.11538871968870039,0.0843766190980509,0.29696094717559157,0.1654832485317281,-0.11014554139597811,-0.029960687722647813,-0.08395096018783255,-0.18401101715154186,1.0,0.32649088598845305,-0.051292098348046156,0.20232582777160288,0.5708001228856109,-0.328179589961824,0.4530578735310722,-0.04929784690112075,0.048319298853592464,0.1557190920294011,0.22521003939677925
Thal_AV_R,0.5604196660088151,0.5904559647962804,-0.1922262644972371,0.4431981806672273,-0.32280002567533744,0.4316614925844402,-0.20255216226923883,-0.12367837584948715,-0.2954728072838897,0.32649088598845305,1.0,0.16458311983329127,0.30138538058876757,0.39371846876289346,0.07143291422794892,0.3209880418025144,0.5971182832463435,0.1561806463400218,0.4350937974901761,0.44496011867661267
