,N_Acc_L,Cerebellum_Crus2_R,Amygdala_L,ACC_pre_L,Postcentral_R,Cerebellum_8_R,N_Acc_R,Temporal_Inf_R,VTA_L,Lingual_R,Frontal_Inf_Tri_R,Cerebellum_6_R,Frontal_Sup_Medial_L,OFCmed_R,Cerebellum_10_R,Cerebellum_9_R,Cerebellum_3_L,Frontal_Inf_Oper_L,Frontal_Inf_Orb_2_L,Cuneus_L,Angular_L,SN_pr_R,Parietal_Sup_L,ACC_sup_R,SupraMarginal_R,Temporal_Mid_L,Vermis_10,Vermis_3,Hippocampus_L,Pallidum_L
N_Acc_L,1.0,-0.27732938201136287,-0.1505207570345094,0.050064205250889116,0.09510375056597245,0.35189181013526405,0.6751369674745019,-0.30006378758770336,0.4022383195066583,0.2831917043963922,0.08317294620219268,-0.06725730815953293,0.08887085806873266,-0.08254755287418045,0.41634934757127046,0.014291800737509332,0.041205283647395,0.09580496958124407,0.1555757146842994,-0.3388591983247819,0.005668613095737682,0.3460092869943371,0.01789896347461088,0.13123348500396817,0.16420199831347224,0.23126092405197768,0.3208525972294518,0.1604628707030719,0.22114183789752012,0.1817481496154851
Cerebellum_Crus2_R,-0.27732938201136287,1.0,-0.0676678672278352,-0.09008983010828647,0.22846855925266416,-0.19316775387512627,-0.16021767174440713,0.21133375319225103,-0.1949368199278768,0.12962046889779408,0.16101085169623194,0.26200027290169087,0.013203794001418913,0.0407737513686013,-0.07443986656422391,-0.09215356584521764,0.21917772093272947,0.1516097322848032,-0.23077490381300275,0.33171760240692166,0.30323260596484547,0.10170508808382382,0.20437278096428305,0.020750636844992964,0.2259170806574916,-0.03478117188609866,0.04990820570102399,0.26822385961009354,-0.07201012807082702,-0.13922034291718988
Amygdala_L,-0.1505207570345094,-0.0676678672278352,1.0,0.04088633601124958,-0.12047763848508104,0.03644136082771293,-0.15656763375313335,0.12375934937083152,0.2789017335135628,-0.2921172087482607,-0.19787153847613323,-0.20468050743166416,0.09694128900106788,-0.23332159840228145,0.05406042335918568,0.22628257459557757,-0.2245508861059204,-0.11211096421075366,0.3507484203528567,-0.06344294216068382,-0.197661311463942,0.08961927837690771,0.09172656906845457,0.21994370708694028,-0.273944250802512,-0.2719079246980574,-0.06747958865764292,0.0446227880440499,0.35689921654229134,0.35708697284447427
ACC_pre_L,0.050064205250889116,-0.09008983010828647,0.04088633601124958,1.0,0.11845560402787961,0.036871929653947096,-0.048834361180602213,0.03654602014322626,0.13252278899594255,-0.13878409072259248,0.387237289098825,0.01752317066846141,0.5529788083610809,0.16856875625994838,-0.1674953306612563,-0.05996773657712336,0.1553621788646618,0.2885791593031195,0.26327304247060973,-0.08934315467164326,-0.1516050016848517,-0.02661168654313893,-0.24835040375344652,0.42653125505223155,-0.049166236428383206,-0.07812401059427301,-0.0415162158459755,0.12581381526567093,0.0625289519314542,0.1907039896991848
Postcentral_R,0.09510375056597245,0.22846855925266416,-0.12047763848508104,0.11845560402787961,1.0,0.15182967249835871,0.2587705625912335,-0.06397649717749446,-0.04707963293195878,0.6393679323499317,0.7235854876027887,0.3098695630110882,0.27338851108862255,0.08809013708773644,0.1286182306859038,-0.008200495511154624,0.657537018044183,0.7236605921104532,-0.20143051227650666,0.37324668876387423,0.45428649901729673,0.4093653412261752,0.6057752399362488,0.3093495815601373,0.80085993022228,0.3113377601867925,0.19909808992410374,0.6811259953270481,0.20264402691431135,0.04821769338928107
Cerebellum_8_R,0.35189181013526405,-0.19316775387512627,0.03644136082771293,0.036871929653947096,0.15182967249835871,1.0,0.11547862942473727,-0.2532136485728052,0.4688095552183993,0.384226525577843,0.08285669807192451,0.08735628361049436,0.3568881183611741,-0.3016871179173597,0.5300609410588988,0.6778353214180489,0.3326252228722738,0.2203428201528891,0.29778386280988384,-0.3032772758672255,-0.05194264545243076,0.5375806018790606,0.18079766518763773,0.4691115205672812,0.13020958940510738,0.2221913309441864,0.2143483707574555,0.23315830035423132,0.47946511860965324,0.2482922782494738
N_Acc_R,0.6751369674745019,-0.16021767174440713,-0.15656763375313335,-0.048834361180602213,0.2587705625912335,0.11547862942473727,1.0,-0.2646273091160296,0.09443361491650475,0.22684955098363588,0.12474016731149408,-0.11101172238084062,-0.12110596081357665,-0.09814420836970883,0.26497709868983377,-0.045340529695059265,-0.014427523864192932,0.16828341048775633,-0.03078489558738962,-0.22590908409317906,0.06510473294358239,0.3151693021729474,0.11481623289234409,-0.05323369193338987,0.35288599175202295,0.0896408603236046,0.33158867707564554,0.1599590252647034,0.15073007683910714,0.2328724130640696
Temporal_Inf_R,-0.30006378758770336,0.21133375319225103,0.12375934937083152,0.03654602014322626,-0.06397649717749446,-0.2532136485728052,-0.2646273091160296,1.0,-0.18030582924618602,-0.26007923985310183,0.03564655772492967,0.4041311934029104,0.09792957751397315,0.067819185052979,-0.17166558207215257,-0.20278198315842624,0.05683212918131772,0.08269860575247648,0.1731006468650235,0.278418477661199,0.11094068002911042,-0.15460050629079444,-0.024869730467777077,-0.27358525056160027,-0.0896417360281535,0.009601779391109178,-0.28657772815616217,0.15154424873694453,-0.0840605439649363,-0.09727058824655979
VTA_L,0.4022383195066583,-0.1949368199278768,0.2789017335135628,0.13252278899594255,-0.04707963293195878,0.4688095552183993,0.09443361491650475,-0.18030582924618602,1.0,0.17837288872779214,-0.009677780336262728,0.10082442593612619,0.2208003924571337,-0.17986973510688842,0.3202388352895177,0.5372680838103562,0.04343084744166951,-0.04538435935428842,0.41220923581378105,-0.5529199746105237,-0.33281696553967377,0.4984600637241683,-0.07888451061191457,0.4554088033967639,-0.08762310404014938,-0.05364873085383777,0.34798127546848906,0.24971523246673563,0.7136001009529448,0.5861324138561465
Lingual_R,0.2831917043963922,0.12962046889779408,-0.2921172087482607,-0.13878409072259248,0.6393679323499317,0.384226525577843,0.22684955098363588,-0.26007923985310183,0.17837288872779214,1.0,0.3945617756162385,0.3744425850508266,0.022742981118574576,-0.054547931281521286,0.25767537920814065,0.11397770978772043,0.7083109032904004,0.36298026454462423,-0.38211856509511716,0.12530716935130906,0.41356926983508757,0.4731129018359146,0.45603485466035687,0.22309533549860527,0.6247691126126798,0.5090678577676993,0.43520379753718463,0.6289623384585772,0.19363616024300634,-0.014129532871115486
Frontal_Inf_Tri_R,0.08317294620219268,0.16101085169623194,-0.19787153847613323,0.387237289098825,0.7235854876027887,0.08285669807192451,0.12474016731149408,0.03564655772492967,-0.009677780336262728,0.3945617756162385,1.0,0.4336204904372398,0.5107921962809917,0.16544788163239746,0.07250238287674557,0.031225067563078364,0.5690357459708888,0.698420929467118,0.014232591238972846,0.21200254330907198,0.23584152795612526,0.3289093480684958,0.33291671665220113,0.5000749496465106,0.56298931511707,0.06966131093983387,0.1265273471490036,0.5420697324922871,0.2050090607368189,0.20480092375145664
Cerebellum_6_R,-0.06725730815953293,0.26200027290169087,-0.20468050743166416,0.01752317066846141,0.3098695630110882,0.08735628361049436,-0.11101172238084062,0.4041311934029104,0.10082442593612619,0.3744425850508266,0.4336204904372398,1.0,0.2172615737451604,0.17526995620678135,0.09519790758622744,0.07194863286854154,0.35981304369607275,0.3503933615411083,-0.15874126441219488,0.2711582360226652,0.3137369969946357,0.20215494769529394,0.3437103515245371,0.11544233444267185,0.42861034511199775,0.1850125316529058,-0.039584550227218594,0.4993528606775716,0.08110107558251878,-0.10041475782996376
Frontal_Sup_Medial_L,0.08887085806873266,0.013203794001418913,0.09694128900106788,0.5529788083610809,0.27338851108862255,0.3568881183611741,-0.12110596081357665,0.09792957751397315,0.2208003924571337,0.022742981118574576,0.5107921962809917,0.2172615737451604,1.0,0.14432179083436145,0.11143113982972551,0.21367010319656266,0.43210560837716494,0.5885591849104744,0.5183815513999162,0.1624707943672876,0.17540759465463063,0.3219223369588719,0.20093009526242933,0.6471070213014646,0.12099677700487574,0.20314395314884115,-0.17401827964160463,0.3345487650407774,0.23781999729354486,0.10862284407701384
