,Occipital_Mid_L,OFClat_L,SupraMarginal_L,Red_N_R,Lingual_L,Cerebellum_Crus2_R,Thal_VA_R,Thal_PuA_L,Cerebellum_9_R,Cerebellum_3_L,Parietal_Sup_L,ParaHippocampal_L,OFCpost_R,Frontal_Inf_Oper_L,Thal_LGN_R
Occipital_Mid_L,1.0,0.14959965684160503,0.2070652170288884,-0.31367110759201167,0.2616554443992137,0.2640179723669784,-0.18806216360665248,-0.058033721876829134,-0.3094051470372691,0.19070951761232033,0.5674774640864589,-0.2598466279285152,0.10548070542567248,0.2413449058944855,-0.28097747153052544
OFClat_L,0.14959965684160503,1.0,-0.09431821680183017,-0.34097186991786566,-0.3065169964368971,-0.043533529910189626,-0.22699733802796138,-0.12434807671518285,-0.050239900690460415,0.10964766087314747,-0.10648555235716987,-0.2231724022640713,0.7653260078185767,0.2927770500509616,-0.20631624434018914
SupraMarginal_L,0.2070652170288884,-0.09431821680183017,1.0,0.5737426264558797,0.6855294666077277,0.08244363838119313,0.6090525677257479,0.6378337168974043,0.29460765756781065,0.6661940580664841,0.5853104050838167,0.40106860771761466,0.05797273485789812,0.7344620623094898,0.2926146048943476
Red_N_R,-0.31367110759201167,-0.34097186991786566,0.5737426264558797,1.0,0.431662167228299,0.011955473465949433,0.7906411113148826,0.6591084064494566,0.5396118371220741,0.3897521714676527,0.2893344620097518,0.689792304240281,-0.1054716882949458,0.2841115613010685,0.5995006520975791
Lingual_L,0.2616554443992137,-0.3065169964368971,0.6855294666077277,0.431662167228299,1.0,0.14327329021484314,0.43898335924031356,0.4953317224954025,0.01937514695528918,0.7215803344897896,0.47437343725200115,0.16873143242360436,-0.1809741189926585,0.4690541015189586,0.22357858875643588
Cerebellum_Crus2_R,0.2640179723669784,-0.043533529910189626,0.08244363838119313,0.011955473465949433,0.14327329021484314,1.0,0.05586400417846853,-0.06786691555714276,-0.09215356584521764,0.21917772093272947,0.20437278096428305,-0.09145867863495985,-0.035088354883637686,0.1516097322848032,0.035967078201139605
Thal_VA_R,-0.18806216360665248,-0.22699733802796138,0.6090525677257479,0.7906411113148826,0.43898335924031356,0.05586400417846853,1.0,0.5287047676744988,0.46260632836711246,0.4341521319109885,0.41785998792263007,0.5429525357652083,-0.04388577352412536,0.49896944211528044,0.48413900033056073
Thal_PuA_L,-0.058033721876829134,-0.12434807671518285,0.6378337168974043,0.6591084064494566,0.4953317224954025,-0.06786691555714276,0.5287047676744988,1.0,0.4416376077364595,0.5366857707331821,0.3849617115777172,0.443750716903567,0.0023351128848414266,0.4857761558823801,0.46289589418296484
Cerebellum_9_R,-0.3094051470372691,-0.050239900690460415,0.29460765756781065,0.5396118371220741,0.01937514695528918,-0.09215356584521764,0.46260632836711246,0.4416376077364595,1.0,0.16588020419088262,0.089644874858305,0.45131455135144183,0.1497901224621072,0.10825156117873935,0.36905542410954895
Cerebellum_3_L,0.19070951761232033,0.10964766087314747,0.6661940580664841,0.3897521714676527,0.7215803344897896,0.21917772093272947,0.4341521319109885,0.5366857707331821,0.16588020419088262,1.0,0.3848528479452871,0.21444310772875524,0.23153004046446474,0.6653999670940299,0.36103317715161315
Parietal_Sup_L,0.5674774640864589,-0.10648555235716987,0.5853104050838167,0.2893344620097518,0.47437343725200115,0.20437278096428305,0.41785998792263007,0.3849617115777172,0.089644874858305,0.3848528479452871,1.0,0.17528099316874904,-0.04596753508803911,0.48068488366676476,0.13030233709701114
ParaHippocampal_L,-0.2598466279285152,-0.2231724022640713,0.40106860771761466,0.689792304240281,0.16873143242360436,-0.09145867863495985,0.5429525357652083,0.443750716903567,0.45131455135144183,0.21444310772875524,0.17528099316874904,1.0,-0.08195779392480693,0.1548464376410029,0.6262464735046444
OFCpost_R,0.10548070542567248,0.7653260078185767,0.05797273485789812,-0.1054716882949458,-0.1809741189926585,-0.035088354883637686,-0.04388577352412536,0.0023351128848414266,0.1497901224621072,0.23153004046446474,-0.04596753508803911,-0.08195779392480693,1.0,0.25126399897170804,-0.10004165850148812
Frontal_Inf_Oper_L,0.2413449058944855,0.2927770500509616,0.7344620623094898,0.2841115613010685,0.4690541015189586,0.1516097322848032,0.49896944211528044,0.4857761558823801,0.10825156117873935,0.6653999670940299,0.48068488366676476,0.1548464376410029,0.25126399897170804,1.0,0.18743702080943314
Thal_LGN_R,-0.28097747153052544,-0.20631624434018914,0.2926146048943476,0.5995006520975791,0.22357858875643588,0.035967078201139605,0.48413900033056073,0.46289589418296484,0.36905542410954895,0.36103317715161315,0.13030233709701114,0.6262464735046444,-0.10004165850148812,0.18743702080943314,1.0
