,Cingulate_Post_L,Thal_PuA_L,Occipital_Sup_R,Caudate_L,ACC_sup_R,Vermis_4_5,SN_pc_L,Thal_PuM_R,Supp_Motor_Area_L,Frontal_Inf_Tri_R,Thal_MDm_R,Pallidum_L,Rectus_L,Occipital_Mid_R,Cerebellum_10_R,Cerebellum_Crus1_L,Occipital_Inf_L,Thal_AV_R,OFCant_L,Raphe_D,Insula_R,Temporal_Pole_Mid_L,Cingulate_Mid_R,Hippocampus_L,Temporal_Sup_R,Vermis_10,Parietal_Sup_R,Olfactory_L,Cingulate_Post_R,Postcentral_L,SupraMarginal_L,Parietal_Inf_L,Thal_VPL_R,Fusiform_R,Cerebellum_9_R,Amygdala_L,Putamen_R,Thal_LP_R,Frontal_Inf_Tri_L,Thal_VL_L,OFCmed_R,Precuneus_L,VTA_L,Heschl_R,Calcarine_L,Vermis_1_2,Vermis_9,Thal_MDm_L,SN_pr_R,Frontal_Sup_Medial_R,Precentral_R,OFCpost_L,Paracentral_Lobule_R,OFCpost_R,Thal_LP_L,ParaHippocampal_R,Frontal_Med_Orb_R,Frontal_Sup_2_L,Amygdala_R,Pallidum_R,Cerebellum_4_5_L,Thal_VA_L,Thal_VL_R,ACC_pre_L,SN_pc_R
Cingulate_Post_L,1.0,0.3875524483607479,0.35494890685149966,0.35699503168876,0.1306834304562071,0.4948686625524532,0.1691152470941817,0.38069283297197504,0.5902106827564908,0.42008325044002204,0.3260436461270122,0.17502424779721903,0.25086908880403724,0.206493764969107,0.27433253448414807,0.12200382103603566,-0.02758048385577904,0.31832829351501046,-0.08168597517855473,0.05022936294631732,0.2400206613966698,0.18192850696046203,0.574276800145906,0.29002851391664886,0.4213220832992153,0.04166059878525802,0.5568679946498796,0.2873302354033977,0.9193219063238051,0.6900251900829115,0.6238256764602632,0.6274974657396026,0.2902598422432021,0.45952856036760903,0.04187689389980375,-0.0018170507821437512,0.22758462214035322,0.13309213314806087,0.39812104199467846,0.43663232964556603,-0.13715524138844862,0.8976727394507933,-0.02548597959531496,0.3601870139046564,0.4823755563528726,0.3757798035146791,0.21532029933200766,0.37418005307583974,0.2773637068966009,0.25462214294200325,0.7095711360609527,0.21358835839470156,0.715511820339895,-0.04033716303350198,0.27540522122682615,0.283881976398794,0.13099879384471927,0.21681728658939914,0.20766334613327972,0.20250865018573203,0.4470294373728782,0.41809324625553607,0.42795666405415345,-0.05174232321200869,0.19745372866022223
Thal_PuA_L,0.3875524483607479,1.0,-0.02251585557035738,0.5507644317865622,0.4104292827225841,0.5379750796286209,0.18396307831043976,0.7750004792287597,0.49200932087221033,0.32636381142507936,0.2919491381671502,0.25525011798742786,0.2291610935477377,-0.013497638723453362,0.4774467353072881,0.23278249502574647,-0.2045288611144577,0.6197730235020953,0.13504646868587677,0.25108115743467757,0.42337128722445133,-0.19934501371317817,0.6999364460618072,0.5082178622893511,0.5012386875071144,0.2744266250304294,0.4163957762589484,0.16694278166599266,0.34521402099704507,0.5720876297231083,0.6378337168974043,0.545256774857504,0.7955351294452897,0.4636325384610947,0.4416376077364595,-0.06916308873612717,0.27545696722475005,0.12284900271774744,0.4164611787562174,0.6639572998975833,-0.08831238165376369,0.4163736872054578,0.4553417278758002,0.37236496041348166,0.045556511445190316,0.47050272070143556,0.5181277155451974,0.5989378609125737,0.5541342657729369,0.30517573907277623,0.379189062653858,0.09728781623803048,0.33400551181014393,0.0023351128848414266,0.2689734826109186,0.523769834614937,0.09930099457396249,0.364510556496462,-0.1905457762634724,0.224161232998336,0.537302188859688,0.5506617624962685,0.6204101318978977,-0.09094851474764033,0.6251148440936051
Occipital_Sup_R,0.35494890685149966,-0.02251585557035738,1.0,-0.280700520267938,-0.259208720585519,0.5559819405665951,0.3167635208189558,-0.19684132234040744,0.1990791384252107,0.12492195490755376,-0.39419645388869673,-0.5708593011450901,0.15873676025804878,0.9172051562299132,-0.0984108886269384,0.345238480186472,0.3136603367127333,-0.11005121629854848,-0.09907300393135077,0.12133476139786552,-0.17256155818717733,0.34266024913965193,0.013692683828003541,-0.45849531314849634,0.3491834037853024,-0.24781861884025871,0.4927215853501976,0.015701668587514542,0.35782960192815316,0.13347460863107868,0.1483389373847899,0.2811071166869371,-0.18919626900968725,0.36447682508383455,-0.37264112142744477,-0.2660788268716903,-0.10980291469001795,-0.19237545547105003,-0.29598582790428996,-0.24545328525034193,0.23610141308564317,0.456297284327888,-0.4699748830425462,-0.28081590822525443,0.7036990790053308,0.2877899918206011,0.04885459872533492,-0.38904671307867,-0.2538614121763522,-0.02644891028708239,0.3561116542587841,0.2845975570731476,0.3355379558393244,-0.12476545837499202,-0.052905758893630694,-0.4098455659248717,0.22920109976992972,-0.1435911260649953,-0.10883750985041672,-0.39971207396289576,0.3418977481315975,0.0860784894425608,-0.2974693668176284,-0.23606233858870607,0.06820531526974034
Caudate_L,0.35699503168876,0.5507644317865622,-0.280700520267938,1.0,0.719796338143691,0.328595757975111,-0.08334262284003091,0.651952353066387,0.4774413470377061,0.561254233048795,0.6090755682672252,0.6418456395930268,0.13983915940904712,-0.29882211580996976,0.4471133720471832,-0.01835474173067184,-0.2997770501443873,0.6423508076572246,0.1374591521738664,0.28962179170683394,0.7024204822102456,-0.24236811319529056,0.7414263102356949,0.6894741850393084,0.4230031625151844,0.27657381272850307,0.2430653365214804,0.12921388264795833,0.32129777966774836,0.5902901913202212,0.5510798109957885,0.4350317919697375,0.6735657748626849,0.3935173761692886,0.5051184680921816,0.10468500894875007,0.6580809299469405,0.38361342032011514,0.695696977948364,0.7485450908290571,-0.1375525890074284,0.3092153773940797,0.6120601625934816,0.6159188303989035,-0.19421298861854666,0.3723218245892103,0.434783337243329,0.7187280223678802,0.6246844166340714,0.48839764613842485,0.3202035679045314,0.02793572693887893,0.35380247229555606,0.19005744755125195,0.33993266079175993,0.6643439231006861,0.03338551059422359,0.5216805340997857,0.10805480229733476,0.5366198076534154,0.3987010198679494,0.5808533853794312,0.8300369189096889,0.29691142746899357,0.36362345419823683
ACC_sup_R,0.1306834304562071,0.4104292827225841,-0.259208720585519,0.719796338143691,1.0,0.18694670500884675,-0.08999878386879846,0.4997329872444187,0.44068985735562005,0.5000749496465106,0.4544607496396038,0.4397642883701203,0.027907478236834364,-0.2583985806606557,0.34602012173842456,0.05313725471982148,-0.17018827836836592,0.477319394832805,0.17037357364424408,0.2855605655267712,0.6002339430057692,-0.32256578708734107,0.623593080021867,0.5413369122508107,0.2261844787781271,0.11666984270328004,0.1797042816354934,-0.09501832335112699,0.10516321124662656,0.464520212668348,0.3549207235743547,0.3342159527735283,0.41339993866462194,0.2686132297829961,0.5089588828873123,0.21994370708694028,0.6179954856858251,0.5616645267815877,0.5586836269250056,0.5319715660020862,-0.07252841227237235,0.17429724480501746,0.4554088033967639,0.45961369714067024,-0.20624913312924592,0.20878047638776434,0.23298431061800107,0.5749255805047019,0.49566838486322595,0.6546124432268643,0.24233071397256936,0.003856585787022221,0.24821197133360237,0.2198587419471166,0.5430175460369935,0.5597270183323756,-0.05868343711050239,0.6351845214758255,0.07119393209732251,0.23168856852347375,0.29218130160292816,0.4591850841065235,0.6459963834790039,0.42653125505223155,0.18085610758728562
Vermis_4_5,0.4948686625524532,0.5379750796286209,0.5559819405665951,0.328595757975111,0.18694670500884675,1.0,0.27238759790919936,0.43209427241526704,0.5041272405161166,0.5164684740999241,0.11337312685237294,-0.19185234431284887,0.37778596888378224,0.6066025593088489,0.22522705533709522,0.44715227714036604,0.08242434846611764,0.3676536047095974,-0.05961771126744483,0.2076262512625669,0.40278151702407455,0.18926827534095939,0.600519627877828,0.025711743694450763,0.8595340700462193,0.17679210268460271,0.567031361001924,0.22405967621852277,0.5150974643966875,0.6259940883844347,0.6286968938918917,0.6793725371675059,0.41607728830341245,0.778753063786434,-0.027084158901393585,-0.28962156814292483,0.3396393572330376,0.015601324704297809,0.11386427791991195,0.413735745714502,0.0924592202526118,0.6256775807446574,-0.04373467378121561,0.26598083104542103,0.6436440384920542,0.6908029694678753,0.5133212871330961,0.20450379575490463,0.38231174847184307,0.2727205949496652,0.6038817717836292,0.3335821098214984,0.5954956745686999,-0.05167670960900523,0.2190904951813507,0.16203469508993576,0.3432669656403584,0.14259369724058257,-0.14903082965941442,0.04821486309896152,0.7998211897993485,0.5738735131409501,0.3730780634028947,-0.06092720743729767,0.28821847349018676
SN_pc_L,0.1691152470941817,0.18396307831043976,0.3167635208189558,-0.08334262284003091,-0.08999878386879846,0.27238759790919936,1.0,0.07383996097088372,0.20892684258098362,0.21212148140178277,-0.21954402708500464,-0.24002815169743644,-0.16858303879724776,0.36925503719564556,0.02665827366255748,0.33937206335494596,0.22454260403538623,0.004948322522212711,-0.09976281001587042,-0.35014290304048556,0.06670704257954424,0.23319638922366925,0.17709731722067187,-0.22242922208368396,0.19330165373563366,-0.12563046799038896,0.1688974331133676,0.4030145148706204,0.15570642036265425,0.09779525370550719,0.12333476101137979,0.16875070155633065,0.04446699187436811,0.29549326809403664,-0.16532188534956788,-0.2961590538845748,0.007012985274645796,-0.07368498076614212,0.024155796292568598,-0.18134917938387754,0.16067255302835262,0.2618194385381881,-0.3636621894874539,-0.08961321515740826,0.2912640978016555,0.36262638287528065,0.1719266654014415,-0.14644128790118793,-0.018396763111963282,0.0925422153490509,0.13965102253464204,0.3650094999153138,0.20874606756062128,0.029902410279362718,0.06892228844737171,-0.08145456312010761,-0.010057248941339105,0.03091689138247815,-0.028119993538669175,-0.1006643610269068,0.23579471829726972,0.14172248388033198,-0.14050792052224653,-0.2719779881215437,0.3929325554209803
Thal_PuM_R,0.38069283297197504,0.7750004792287597,-0.19684132234040744,0.651952353066387,0.4997329872444187,0.43209427241526704,0.07383996097088372,1.0,0.5341176129588528,0.3073086865349307,0.6601446502077489,0.4878560917686732,0.2870830280665726,-0.16963789622158496,0.42835887762616826,0.007981071537634561,-0.2869978974233715,0.7082130810214111,0.051238528202589506,0.06982414356383708,0.49001230680914004,-0.3474760239201849,0.7250395367434116,0.653820377936686,0.4877104325760421,0.45784957698437956,0.3692961425870618,0.14881173493765237,0.3813858845218382,0.570174927293526,0.5663851121791317,0.49157968772525373,0.8095771114677103,0.40001523411818884,0.48308614771217556,0.046134012416837976,0.43071115552748385,0.3863584993836128,0.38302525319700464,0.7815113655156135,-0.24328825205297824,0.37674302839733637,0.5226756906388728,0.5391978947441884,-0.0444822711558868,0.37533935133074287,0.44317311510249985,0.8370241251164539,0.674261844267289,0.30472275181746333,0.36596234880403616,-0.08291398646295592,0.2716027822728069,-0.013717146021158914,0.4843592402604879,0.6566819809207873,0.023090443619627827,0.36264670236813756,0.10495738811817999,0.41660374211257933,0.5038603741462235,0.675061503027932,0.8183824759162552,-0.007628092327100443,0.46073072807180515
Supp_Motor_Area_L,0.5902106827564908,0.49200932087221033,0.1990791384252107,0.4774413470377061,0.44068985735562005,0.5041272405161166,0.20892684258098362,0.5341176129588528,1.0,0.536940134345928,0.49033460096133186,0.28399200433301874,0.29638472630333484,0.12235404178048709,0.2821752053076541,0.09383192777729306,-0.12785198154446412,0.5438845553513162,0.07738368838111938,0.11795351337674631,0.31481689610331,0.07380525734669889,0.7531132253411232,0.47633385294195096,0.434574836081303,0.1482595956821949,0.6589184198935585,0.13249064101453775,0.5916175324241443,0.7693090196487968,0.5719980219187666,0.681720799772161,0.3583264338670382,0.5306010687942645,0.3436335479237733,0.16771073740442075,0.27138908291627195,0.40750971156104,0.4601502483640025,0.5761151025469129,-0.03746650942316338,0.7150000980407739,0.1265923128034405,0.4308329431848371,0.22586528395933547,0.2700190305151876,0.23921044107249229,0.5937277158806448,0.5202838999865234,0.487824096894377,0.7204948801667291,0.08416950264223058,0.6580255791506285,-0.05203186818630247,0.5591915975727466,0.5055401858975193,0.24921815722877458,0.5085564945237332,0.21708941312403854,0.22082779175059342,0.41276863051316404,0.6728235511366093,0.6031466008119665,-0.06664937753940724,0.36087981035163164
Frontal_Inf_Tri_R,0.42008325044002204,0.32636381142507936,0.12492195490755376,0.561254233048795,0.5000749496465106,0.5164684740999241,0.21212148140178277,0.3073086865349307,0.536940134345928,1.0,0.3578919170259578,0.20480092375145664,0.08522875057105159,0.15641200661059237,0.07250238287674557,0.14598586984708312,0.005666725116639012,0.3075255586860051,-0.11696764627074852,0.24874930007133475,0.7351964901115212,0.24096639790203425,0.6434122221879324,0.2050090607368189,0.6156653164521865,0.1265273471490036,0.29040442405343836,0.1505917083049009,0.4656737083681996,0.6825944224017207,0.4558043555287554,0.5403324499267552,0.26394440135411795,0.5356908466054225,0.031225067563078364,-0.19787153847613323,0.6838820057130203,0.3321848540328864,0.6446191270004871,0.43657059827792416,0.16544788163239746,0.48734034352725836,-0.009677780336262728,0.5809723788797149,0.2875469987376547,0.5759769779921478,0.29407544503693095,0.2803339758223919,0.3289093480684958,0.628145317628987,0.6787034403029423,0.37429773506526304,0.689199587808602,0.222624866780756,0.2858883613655884,0.320954502733465,0.23646471410535475,0.47541342125364067,0.0007951409585461209,0.33660560484504354,0.5122420565617178,0.5075626166177373,0.5007234757385862,0.387237289098825,0.044044908148848386
