,Thal_VPL_R,Vermis_3,ParaHippocampal_L,OFClat_L,Precuneus_R,Cerebellum_7b_L,Thal_MDl_L,Thal_LP_R,Temporal_Sup_R,Thal_LGN_R,N_Acc_R,Rectus_R,Thal_PuI_R,ACC_sup_R,Cingulate_Post_R,Thal_PuM_L,Temporal_Mid_R,Vermis_9,Raphe_D,Frontal_Inf_Oper_R,Hippocampus_R,Supp_Motor_Area_R,SN_pc_L,Thal_IL_R,Frontal_Inf_Tri_L,Paracentral_Lobule_L,Temporal_Pole_Sup_L,ACC_pre_R,Temporal_Pole_Mid_L,Rolandic_Oper_R,Temporal_Inf_L,Frontal_Med_Orb_R,Occipital_Mid_R,OFCpost_L,Occipital_Mid_L,Calcarine_L,Thal_MDm_L,Angular_R,Cuneus_R,Cerebellum_3_R,Thal_LGN_L,Cerebellum_Crus1_L,ACC_sub_L,Temporal_Pole_Sup_R,Frontal_Inf_Tri_R,Cingulate_Post_L,ACC_sub_R,Hippocampus_L,Parietal_Sup_L,VTA_R,Cerebellum_8_L,Thal_VL_L,Postcentral_L,Frontal_Inf_Orb_2_R,ParaHippocampal_R,Supp_Motor_Area_L,Olfactory_L,Caudate_R,Parietal_Sup_R,Putamen_L,N_Acc_L,Parietal_Inf_R,OFCmed_L,Lingual_R,OFCant_R,Cingulate_Mid_R,Postcentral_R,Calcarine_R,Precentral_R,Fusiform_R,Cerebellum_9_R,Thal_AV_R,OFCpost_R,Thal_VA_R,Cerebellum_9_L,Thal_PuA_R,Vermis_4_5,Vermis_1_2,Cerebellum_8_R,Thal_PuA_L,Fusiform_L,Frontal_Inf_Orb_2_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Pallidum_R,Thal_LP_L,Occipital_Sup_L,Occipital_Inf_R,Thal_PuL_L,Heschl_L,Cerebellum_Crus2_L,Rectus_L,Red_N_R,Cerebellum_7b_R,Vermis_6,Rolandic_Oper_L,Cerebellum_4_5_R,Cerebellum_6_L,Cuneus_L,Frontal_Sup_Medial_L
Thal_VPL_R,1.0,0.6124813462077414,0.5943045387393048,-0.16992618774308244,0.3741481259986028,0.03904298107002241,0.6931067981572221,0.07176942789407073,0.44480451374615476,0.5237409769192862,0.23684031266000133,-0.021258646837047746,0.6938043338922427,0.41339993866462194,0.2862671585214666,0.7035656109250704,-0.04476281339168385,0.4928617546720054,0.19813427796649735,0.43284619111404776,0.7231300275600101,0.384248657217336,0.04446699187436811,0.5106039538091012,0.38799204625563166,0.1394245562244586,-0.012948254757767568,0.11968042126838643,-0.3020464081567768,0.4845370747479841,-0.0817227051373655,0.024146714736218697,-0.1537512877768273,-0.05642680646192418,-0.16908255669238476,-0.056548477948526285,0.688348134309707,0.22314015866714132,-0.27107991088484784,0.6956290999503107,0.6793412556174314,0.02773499059917448,0.3732541012206327,-0.034008690221325424,0.26394440135411795,0.2902598422432021,-0.24877259685599767,0.5817368935535715,0.2292452255346747,0.5200664369783417,0.32096985285408186,0.6931099210291078,0.4770427482272218,0.40857919065765663,0.5743965521264849,0.3583264338670382,0.17336840677163315,0.2858103731401003,0.2454632722685219,0.46106485900224337,0.5245513737485715,0.4133271313555243,0.33834064502376743,0.5750477628131718,0.07068729071333721,0.621397618036302,0.30776611042122126,0.11054367204535083,0.23907523631580316,0.43771693452092353,0.3573729258521509,0.6424746702290496,0.03891319717931583,0.5340514923598989,0.4594210145348146,0.7735214074816809,0.41607728830341245,0.48150175725179023,0.5042972863659685,0.7955351294452897,0.6413601831224669,0.2240233042527113,0.26263596882826207,0.22122763345333424,0.4285238146008778,0.11443853572949705,-0.3283784395961063,-0.0873668504536199,0.4436138510045982,0.5315198482940617,-0.027414989603018792,0.18295396054643032,0.7490667478991104,-0.14883720601297748,0.21912386541781767,0.4661843213751359,0.6746218598573978,0.29631858655553167,-0.26963496094129835,0.274646333085345
Vermis_3,0.6124813462077414,1.0,0.44877030554021335,-0.13818326328074168,0.6560495377956257,0.1151695564648397,0.5194991413233386,0.25539338199773604,0.601624036051185,0.4588286840925616,0.1599590252647034,0.09494131551208713,0.6378424377041095,0.3828176412453604,0.6277292161404627,0.7043635575146231,0.374522621424106,0.3213517128659296,0.27887671620475435,0.6750332257315593,0.693252128451522,0.6753966247485683,0.1158281924444706,0.6607459855635195,0.48113151066672505,0.537949206757114,0.11505928641514558,0.10394389373333587,0.12793039273734189,0.6458921899811574,0.12025077095713306,0.19795087178378376,0.21031384348480886,0.0839344037193401,0.17058925142153217,0.3740367530201771,0.5314494591482978,0.5289788698599726,0.20310680741685821,0.7655269896070136,0.5444250825940534,0.1461541622644725,-0.11780136414506256,0.23313518001007424,0.5420697324922871,0.5688079220290279,0.05857726160424013,0.46261909202046975,0.484566610986101,0.28843600715929857,0.2532420723688066,0.6456831295305047,0.7188325757953147,0.2933926547016936,0.5204768614348191,0.6458808813576616,0.127169224654012,0.24104806133720738,0.42811072987420984,0.051780109981769365,0.1604628707030719,0.5631515412525993,0.0852849409922415,0.6289623384585772,-0.06613569372702101,0.700176987533526,0.6811259953270481,0.500828811607473,0.6346698867692759,0.6649152063272386,0.1519742189515549,0.48392224201030326,0.019430685401228054,0.6503843699506945,0.33352426702653076,0.5903707649871524,0.6687873430941569,0.6182013684674249,0.23315830035423132,0.6375464360313069,0.5218502357259119,-0.03036758549209199,0.4514850010733966,0.3062813280228235,0.32048520949833437,0.31501260446355456,0.07924615538508106,0.17866267112611936,0.5474908390579645,0.5448360456487483,0.1985839646821339,0.32671638558614235,0.6267294626046926,0.05090935369327345,0.13371144834590565,0.33467207577941127,0.7826962347352531,0.2092214528879561,0.22595608548311957,0.3345487650407774
ParaHippocampal_L,0.5943045387393048,0.44877030554021335,1.0,-0.2231724022640713,0.35018499348116267,-0.1460707301063607,0.5283567737046342,0.19348869993763312,0.09945399718248973,0.6262464735046444,0.3622699307254054,0.029369012328809025,0.5432609343222373,0.3147726940166569,0.27316219620863313,0.6432636157118836,-0.3896596614829719,0.14236194221812734,0.05194616707497411,0.22850533585020832,0.588102729490412,0.3677577901251787,-0.2999130053279782,0.4547550212458994,0.45744856312188004,-0.0012086059235727972,-0.15929732942448005,-0.02056618417133416,-0.2844390213476767,0.16084351505990926,0.3490818186191872,-0.11072844644132362,-0.47788443907280814,-0.3573127855163827,-0.2598466279285152,-0.21680817290683477,0.7707253084461437,-0.13861887100134823,-0.40928820056044823,0.5637628566466504,0.7018101768448692,-0.24247890545441306,-0.059027930356756735,-0.27264196426697346,0.049092410064413526,0.2684333000096776,0.09068909033544048,0.8120021911751517,0.17528099316874904,0.7382920003305165,0.0022240231384477835,0.7177737054761243,0.40956689566925825,0.3493133994409968,0.7100818921007984,0.340131433151384,0.08210214226869557,0.33893655556148927,0.17723397373329267,0.2798102109821955,0.37507048211419336,0.26051313082112265,0.014304786273878644,0.23077653184507432,0.11998255370097394,0.5075289194957642,0.18583811315323123,-0.09391118636979702,0.17056549099824284,0.17907289919073496,0.45131455135144183,0.5452829079716057,-0.08195779392480693,0.5429525357652083,0.3261669108371575,0.6292864143913554,0.06531423997153706,0.044396116883071914,0.43569875255979595,0.443750716903567,0.5156745938837448,0.44941392052416407,0.1957880601243699,-0.09768876297277379,0.657079676726876,0.22898148677054211,-0.4816438339570797,-0.16767142649488817,0.38090232380353584,0.6362248631791555,-0.29534013695172157,0.2930219546519148,0.689792304240281,-0.11803594603281728,0.27774493130802447,0.5642066154566451,0.39774385778994326,0.481791230095048,-0.41109049362398953,0.18685239521590327
OFClat_L,-0.16992618774308244,-0.13818326328074168,-0.2231724022640713,1.0,-0.12838530186469876,0.06490558820090418,-0.08057548246851595,-0.03889152954499487,-0.297288194957085,-0.20631624434018914,-0.34026943313647434,-0.10571981298764435,-0.18121184750092018,0.17613702557867272,-0.10499609146903195,-0.10863249308788102,-0.06377370295388071,-0.07991723358363417,0.020310692121650428,-0.21769950726490084,-0.17063537954042737,-0.23720832422724816,0.13713274092970723,-0.03173766855739197,0.4044599002645386,0.10221701234509525,0.30486663886719273,0.4425137831734416,0.17120362286137222,-0.1116034228567634,0.18130459734354262,-0.3075943427722131,-0.033784272478617025,0.2191548296094429,0.14959965684160503,-0.09356607269836185,-0.2653181334084508,-0.28570216783343616,0.1419431984367706,-0.20727625078970338,-0.13447021441477372,0.19535435527840367,0.08561624979022862,0.14796538548605262,0.20333395887074432,-0.0660273429506423,0.04114540466964374,-0.1581432065225489,-0.10648555235716987,-0.17211475871912077,-0.03760014669224049,-0.1934226706808236,-0.10286647770016132,0.06153186912779574,-0.20521698175820366,-0.1296963131411903,-0.02530319775825001,0.06475258794515329,-0.2093968722753981,0.36292066603626866,-0.135429868421735,-0.23564880849707046,-0.16484746593218766,-0.4047569445344165,0.016703673335535844,0.03519620326957982,-0.13771089473364928,-0.22683629745053718,-0.12788048826676449,-0.09012695432217518,-0.050239900690460415,-0.32280002567533744,0.7653260078185767,-0.22699733802796138,-0.039287101563996944,-0.22439023482112572,-0.18025961026647494,0.10016671837896257,-0.04029257239808329,-0.12434807671518285,0.017746360824913585,0.568302635876546,0.470206218255016,-0.05868627062690102,-0.2571879381970315,-0.056969868464153195,0.2360066487942585,0.2277802921163268,0.018461815054466202,0.018197785094691377,-0.10403216791597661,-0.45106348960708825,-0.34097186991786566,0.15612131659353093,0.025432083884473555,0.3228801698668392,-0.24725894466984327,-0.26007359608889474,0.22559685262142515,0.5752724722661774
Precuneus_R,0.3741481259986028,0.6560495377956257,0.35018499348116267,-0.12838530186469876,1.0,0.06886980361445154,0.3014792198039049,0.2041196056250033,0.5889456808447745,0.3026803939904003,0.3151620670508557,-0.04135627262850684,0.43009450816161426,0.2654987797311815,0.8644958251989825,0.5475963485670422,0.3911855255082509,0.35948267308903065,0.1283340317446368,0.7281724462722355,0.46347216063750246,0.8194379512770412,0.11927436988015755,0.5556535527574481,0.46260691076571675,0.7483811750556592,0.17883317039581315,0.08515771269555375,0.10850112190380594,0.5377976259502167,0.07381401917406388,0.17400399464750996,0.239974364803007,0.1872953291780988,0.2711965891818989,0.46239768166015055,0.49341214580420956,0.5631770461881307,0.35060537889746246,0.5991313154675738,0.3710995783090419,0.17575794123817287,-0.3051862030892595,0.24378765145815992,0.556428603413074,0.894875584072436,0.10273154350049508,0.3996973126064027,0.7547304045878123,0.1625734680518933,0.192510885372414,0.5780964413801621,0.8375831939211236,0.3168641507541942,0.4120483587162546,0.719198450086038,0.2593262889394681,0.11061175377976287,0.7091378557527123,0.030145310544690006,0.1628105304993956,0.675010674418037,0.10843477254290125,0.5404514328836107,0.08746257761909476,0.7223347898773612,0.8210391688735098,0.5423835613141623,0.7974835375866812,0.5292238691712314,0.15797448575550818,0.47868045513347907,-0.046982820034561036,0.6680822571445943,0.3627585997169783,0.45726192906060215,0.6057348086949944,0.4016132372581044,0.22362541579558382,0.46985812626662077,0.2573153571259992,-0.01093562236714637,0.3954365864309628,0.2879146292125892,0.2681218520422607,0.3474091124083011,0.13273775323816395,0.06228786546800019,0.387552372418073,0.4795723604429145,0.09876341728590642,0.3409019520620235,0.5112648889272963,-0.12663043377263472,0.17568115754039554,0.2523939443771921,0.5905868447633715,0.37765320159766447,0.38491679628523967,0.23986400370001779
Cerebellum_7b_L,0.03904298107002241,0.1151695564648397,-0.1460707301063607,0.06490558820090418,0.06886980361445154,1.0,0.05297218776357048,-0.004208885636830772,0.1756875404485818,-0.03332594958935257,-0.06974360593339907,-0.10171957414847932,0.06465410379809737,0.09958267466001426,0.011463067873523301,0.03455984632931354,0.21126936285987558,0.21320168100075398,0.06256007346810694,0.12109720492363708,-0.05381067025174373,0.10911198917246788,0.24295372541658153,0.0062652608569239,-0.005844122250191824,0.10473219354162144,0.19247209058951273,0.13155399328428627,0.021999489194279572,0.12163229776121402,-0.20523085488542792,-0.14676637311463137,0.2760374092020439,0.27736708801387494,0.19964401871410462,0.11169627970989741,-0.020809345607986626,0.2638489748504434,0.15490105458820008,0.044947073698546613,0.09000521822380107,0.4052342700983567,0.14370116476810924,0.10739248110962667,0.05046453846004463,0.006055908735893645,-0.0839081213085225,-0.10123527326273965,0.1868682879043597,-0.07825309703110812,0.40412911165437404,0.0057560256525493615,0.11921150847664393,0.1302391611980915,-0.07877452813517119,0.16765864394738614,0.03114036079915146,-0.06339810547980441,0.27625982037331315,0.25217511765689604,0.010962661999864981,0.2830202991680698,0.13727789283185338,0.14717376025558743,0.17078834447990582,0.21309883902338533,0.09226217247371556,0.11070934942890207,0.0639999121699979,0.15002068512874925,0.1415324149095863,0.19896424006203228,0.016536931830773562,-0.04346696964233161,0.17113596890704322,0.021981930908012627,0.22999748832459668,0.18043512383271804,0.3147233595354818,0.24485923649426605,0.1129058738239435,0.003986995305737077,0.2504068327175576,-0.00950714468550913,-0.2706524327206603,0.10854344945062343,0.14968825502347996,0.1084441186396848,0.03673204595442179,0.06234152913018065,0.2083542592725566,0.017682350301597583,-0.026437853330524345,0.0468414725107848,0.0753885827092516,0.16895354000613952,0.15034941764977688,0.01896458800757757,0.17384257400047082,0.24569392097156617
Thal_MDl_L,0.6931067981572221,0.5194991413233386,0.5283567737046342,-0.08057548246851595,0.3014792198039049,0.05297218776357048,1.0,0.4948291174383912,0.31994877965533824,0.553386324673897,0.001672027733367647,-0.05970764459851207,0.6082145938091472,0.6980540738295488,0.18999994021801206,0.7272332450246748,-0.12723991341338606,0.3672643703189309,0.4541649700332027,0.4383737105348576,0.7085431437759907,0.412943879223123,-0.14778103723648403,0.5151363471356428,0.5533271022359209,0.10897256186201908,0.0507542829947217,0.1922372589422918,-0.33511400082544457,0.42283691785871064,-0.13510465595062282,-0.008116093139657112,-0.32852256147023606,-0.11486800763665264,-0.3388259009425164,-0.25819002109730615,0.7263810209263631,0.07424412522642565,-0.35353265455901334,0.6401329815624137,0.6340788994932002,-0.028792294898654903,0.058616089654227405,0.04269752868243996,0.37957285357741305,0.1752498090880175,0.019325478270008488,0.693390788141983,0.098221878106891,0.5564721531899812,0.2306727192927288,0.7065881651752118,0.47797681991903834,0.5043075005725954,0.7001005087356634,0.4564640310067856,-0.17253272516372897,0.6780806552587135,0.16526165621393749,0.345130478630308,0.1700719929523871,0.33881749404582434,0.16489023443763332,0.3866626951379324,0.10766136566452558,0.6183114099187214,0.29952566231226996,-0.06845907593707153,0.22312808200068163,0.28823160193770875,0.60210797944269,0.6202685626618414,0.09421587514213416,0.6649658304427009,0.5566141137845503,0.7373126571768045,0.26373162025397967,0.2647072339551338,0.5034567359973628,0.6228775222923483,0.5626024421067289,0.31012995067344656,0.36936076276985474,0.13426337965105203,0.3377890733617254,0.4249750023100698,-0.43431464968926214,0.033746705228585014,0.4437216070317538,0.5133403452214008,-0.06095492652726716,0.1968246095058824,0.7119484313042949,-0.15491671538386323,0.33880442057934884,0.5463849169391849,0.5126412379762559,0.22700284273976523,-0.31575519275445396,0.38168790775317296
Thal_LP_R,0.07176942789407073,0.25539338199773604,0.19348869993763312,-0.03889152954499487,0.2041196056250033,-0.004208885636830772,0.4948291174383912,1.0,0.11062857004329615,0.28351559122869857,-0.14062142922602086,-0.12297585500905626,0.3284089125689578,0.5616645267815877,0.19625324138802153,0.511709560301946,-0.07432337313824643,-0.03724292542555868,0.153526296590128,0.221254249889403,0.3604003298835816,0.31609477528870866,-0.07368498076614212,0.3552164545698239,0.3703623966418503,0.13019710937315218,0.017745555381325464,0.048176603761043726,-0.2152339803192923,0.2896150709228189,-0.034344718865716196,0.05125326052528089,-0.24098220358972466,-0.062327279549958536,-0.1687155092923774,-0.16276200620641001,0.4596439354221905,-0.0478855110478001,-0.17935998804108524,0.3196829309469989,0.20777880234208845,-0.05337503179666246,-0.4814056138058511,0.08428304509894093,0.3321848540328864,0.13309213314806087,0.37338204734037767,0.4167931812900137,0.08784703854193084,0.16565806964415972,-0.1384425985474636,0.33389611751905607,0.308615782865317,0.23334818542488794,0.5083321955496125,0.40750971156104,-0.2290833104738621,0.6362197074977949,0.09948435508869162,-0.054908195839883246,-0.2539791088117314,0.1185884972218265,-0.14865264439807965,0.06687697013256519,-0.014834868423073381,0.3482480487328527,0.2486096209882877,-0.04699413672240691,0.26366871059249797,-0.01251728379375425,0.4032233820880918,0.2742906334369404,0.06435827424335365,0.4848759704445281,0.22516904395865334,0.3517729294986241,0.015601324704297809,-0.02916744655145226,0.18449940762877826,0.12284900271774744,-0.005415875383274144,0.11458728408633496,0.2829167797637739,0.03129988893074657,0.07931447858048948,0.7581363919180454,-0.16875769930433474,0.09511326042078884,0.4729009278547275,0.2758566461882947,0.06037484835361163,0.09884146681433433,0.3020589056624745,-0.05698616022839837,0.24163994336472128,0.2548736457162046,0.15784528967136632,0.04341927349739131,-0.06459391512250008,0.20434369396271113
Temporal_Sup_R,0.44480451374615476,0.601624036051185,0.09945399718248973,-0.297288194957085,0.5889456808447745,0.1756875404485818,0.31994877965533824,0.11062857004329615,1.0,0.19589593942408023,0.2838353312436738,0.028152877344600345,0.4975804763528019,0.2261844787781271,0.4653045447639294,0.40024357410696104,0.689799705999409,0.5808089471489106,0.17552070790296553,0.776481201214203,0.5925734442894135,0.4786646865504619,0.19330165373563366,0.47027102431201073,0.12753555165192842,0.5164846916492379,0.22704672308331797,0.18013753065496435,0.18023073419902816,0.8753912992931933,-0.32776947446804766,0.37644206330844465,0.44627655653346493,0.4292869847757082,0.08587152068097291,0.5617876394367369,0.3082041518397564,0.8230607900173721,0.21022535550296617,0.7010613293842933,0.20919449526822043,0.3465632534451846,-0.0796935692543924,0.5538884358499429,0.6156653164521865,0.4213220832992153,-0.06640184307229446,0.07463857851350965,0.4370538971143499,0.06626816812432462,0.4378574219876558,0.482463903627349,0.6551067327791088,0.40884110103851534,0.27314320087158944,0.434574836081303,0.2743193154302952,-0.03395156730710352,0.4600658968310704,0.01783397608363058,0.24608486044872357,0.670583934754824,0.3493013328511721,0.8878631522481037,-0.0668817355393263,0.6120028104444986,0.7286630542178362,0.7190750896493476,0.6026760464925351,0.7006536815499246,0.021146217163167468,0.4431981806672273,-0.12520427149585134,0.5228723745785505,0.4197611848668188,0.4642686735022245,0.8595340700462193,0.6944230659317695,0.2846516028428505,0.5012386875071144,0.16017967185275012,-0.42999833719363484,0.2090033989769371,0.6308595009026343,0.23562732555216703,0.2570761526997065,0.021028877539080084,0.030697899465249742,0.2746111718653369,0.3627779154716159,0.2407109206589342,0.393348383838432,0.48681834461187046,-0.3194064917218642,-0.027607171892380253,-0.009028920483736588,0.8542271146914978,0.02031577488868029,0.15926347786625739,0.09345960633421346
Thal_LGN_R,0.5237409769192862,0.4588286840925616,0.6262464735046444,-0.20631624434018914,0.3026803939904003,-0.03332594958935257,0.553386324673897,0.28351559122869857,0.19589593942408023,1.0,0.14251303223632286,0.04600740607492509,0.6401755583278264,0.25875369475149146,0.2830635512377248,0.6231725613211807,-0.127317214027816,0.14659482415068562,0.19739349256580765,0.32527858911139285,0.5368760957890494,0.4472667856543456,-0.07264685091602502,0.5186108668334455,0.37114727762327737,0.12912624451806012,-0.07429689643284053,-0.1355327963382619,-0.12584921764139279,0.24756658410829446,0.16988161723122175,0.05995376046765898,-0.28424524421463987,-0.22550115429694523,-0.28097747153052544,-0.0630634010260041,0.6164720110429925,0.034178648101895914,-0.2784433811277791,0.621593388276879,0.7036488356820877,-0.13651724241368685,-0.06499749730336983,-0.052583564771761536,0.1947719265532713,0.2076495956916417,0.1079031300889264,0.6104988188263865,0.13030233709701114,0.4391402121699747,0.1768638355556208,0.5844015466883695,0.422865975869521,0.22338244579622343,0.6063586185842604,0.4590669077708791,-0.09134699298756702,0.310253813343195,0.16848716933752886,0.1090477858842448,0.08456668169391306,0.3065127812677492,-0.02226379230360779,0.3097004921907824,0.08664311357867119,0.4238241886385794,0.286780555036991,0.0296661316933736,0.27123861712732067,0.2072640974514128,0.36905542410954895,0.49063914063676817,-0.10004165850148812,0.48413900033056073,0.2693817655015718,0.5404009113404071,0.177928595707001,0.12941165068254445,0.30323270287097204,0.46289589418296484,0.42712051453208,0.24174953964240306,0.1985024346817226,0.07008816481647849,0.430786079431825,0.27133222523204353,-0.39962906504533485,-0.1297486480702728,0.33792732103245954,0.5284588432728483,-0.1124080282633313,0.25355453647889836,0.5995006520975791,-0.1836519827353441,0.1693217544506836,0.49909527116994007,0.3952682168471635,0.21232637758749537,-0.24834869753616706,0.13959455692055958
