,Thal_PuM_L,Rectus_R,Thal_MDl_L,Raphe_D,Thal_IL_R,Frontal_Mid_2_L,Postcentral_R,Cerebellum_8_L,Thal_MGN_R,Cingulate_Post_L
Thal_PuM_L,1.0,-0.14142939902679574,0.7272332450246748,0.23434361371478754,0.6641351819940835,0.6305619611208749,0.4844019242845508,0.23288205355909863,0.3672443933343995,0.4788861580178341
Rectus_R,-0.14142939902679574,1.0,-0.05970764459851207,0.18657844461966602,0.03224073611944117,-0.039606264872085996,0.05979334550208214,-0.0016167253341761985,-0.03371644215360262,-0.12859997130894954
Thal_MDl_L,0.7272332450246748,-0.05970764459851207,1.0,0.4541649700332027,0.5151363471356428,0.5418299345197487,0.29952566231226996,0.2306727192927288,0.1650591955828275,0.1752498090880175
Raphe_D,0.23434361371478754,0.18657844461966602,0.4541649700332027,1.0,0.06280025596171201,0.2501863451698185,0.17711224324710026,0.06267875076902536,0.07665755888507078,0.05022936294631732
Thal_IL_R,0.6641351819940835,0.03224073611944117,0.5151363471356428,0.06280025596171201,1.0,0.7015661202086941,0.6670120532407222,0.2946883251406763,0.506078327844305,0.44026191870104153
Frontal_Mid_2_L,0.6305619611208749,-0.039606264872085996,0.5418299345197487,0.2501863451698185,0.7015661202086941,1.0,0.8007791946609656,0.33418605662695366,0.43132367327227955,0.5646985552142898
Postcentral_R,0.4844019242845508,0.05979334550208214,0.29952566231226996,0.17711224324710026,0.6670120532407222,0.8007791946609656,1.0,0.24207335003499644,0.5017130368800999,0.6795550209567429
Cerebellum_8_L,0.23288205355909863,-0.0016167253341761985,0.2306727192927288,0.06267875076902536,0.2946883251406763,0.33418605662695366,0.24207335003499644,1.0,0.12449994380539958,0.14234374934535393
Thal_MGN_R,0.3672443933343995,-0.03371644215360262,0.1650591955828275,0.07665755888507078,0.506078327844305,0.43132367327227955,0.5017130368800999,0.12449994380539958,1.0,0.30556420699424086
Cingulate_Post_L,0.4788861580178341,-0.12859997130894954,0.1752498090880175,0.05022936294631732,0.44026191870104153,0.5646985552142898,0.6795550209567429,0.14234374934535393,0.30556420699424086,1.0
