,Parietal_Sup_L,Fusiform_L,Parietal_Sup_R,Precentral_R,Occipital_Inf_R,Thal_PuM_L,Rectus_L,Rectus_R,Temporal_Inf_L,SN_pc_L,Cerebellum_6_R,Caudate_L,Hippocampus_R,Calcarine_R,OFClat_L,Rolandic_Oper_L,Frontal_Inf_Tri_L,Vermis_10,Putamen_L,Cerebellum_Crus2_L,Occipital_Mid_L,Caudate_R,Vermis_3,Amygdala_R,Amygdala_L,Olfactory_R,Frontal_Inf_Orb_2_R,OFCpost_L,Insula_R,Vermis_1_2,Thal_MDl_R,Cingulate_Post_R,Angular_L,Cerebellum_9_R,Cerebellum_3_R,ACC_sub_L,Thal_MGN_L,Red_N_R,Cerebellum_8_R,Cerebellum_Crus2_R,Occipital_Mid_R,Frontal_Sup_2_L,Precentral_L,Thal_PuM_R,Thal_PuI_R,ParaHippocampal_L,Cingulate_Mid_R,Cingulate_Post_L,Vermis_4_5,Postcentral_L,N_Acc_L,Rolandic_Oper_R,Olfactory_L,Thal_PuI_L,Parietal_Inf_R,Vermis_8,ACC_sup_R,Pallidum_L,Thal_PuL_R,N_Acc_R
Parietal_Sup_L,1.0,0.2342267861186234,0.8952156377597269,0.6165477625014643,0.04580325258802686,0.3566386509443055,0.2673302880051086,0.026283469958185215,0.01068665404376847,0.20531622317423812,0.3437103515245371,0.1947319401813411,0.2811256658102249,0.48674681298660494,-0.10648555235716987,0.09295347055477418,0.1482524672497989,-0.023252177197104266,-0.011161076443706572,0.18818573983671125,0.5674774640864589,-0.034041481507779914,0.484566610986101,0.0688651150834946,0.09172656906845457,0.020351249757543537,0.05520447726007244,0.15488219309573273,0.1486650449925108,0.28034400183616787,0.245341803025288,0.5967003761272398,0.5729453204653483,0.089644874858305,0.37991462131939835,-0.17876446494940848,0.36996116436937027,0.2893344620097518,0.18079766518763773,0.20437278096428305,0.49684905857962836,0.30912552998143905,0.5787499098795199,0.34162385414845836,0.26734178995361685,0.17528099316874904,0.5637860843096131,0.6669947201754023,0.6087662706575537,0.6052501308955522,0.01789896347461088,0.31504011456323266,0.1524609674309985,0.3617270729638588,0.6633131830704632,0.1251074896700348,0.18638657511344778,-0.04822011352344117,0.3716238901758879,0.11481623289234409
Fusiform_L,0.2342267861186234,1.0,0.24228836288612926,0.04688238813541349,0.006927903907306987,0.5093481413949101,0.19881341372324057,0.0038821666298065813,0.153297310950172,-0.013814103545930203,0.5253312224367057,0.5101383932679576,0.5222760295739282,-0.007218223697494486,0.017746360824913585,0.46590612844291834,0.41978245136478387,0.1872864581771175,0.27849347242984307,-0.049688660680018835,0.038759295452343384,0.43777233908640545,0.5218502357259119,-0.2550625839867031,0.11064512749619422,0.21560777668048062,0.2733382842332231,-0.1920381254591333,0.3784813059932559,0.3587373215029518,0.52820690833732,0.1373255402379899,0.0713143050803673,0.395231687649001,0.4397901062997133,0.38604330889612526,0.3235241973712291,0.5447716663428989,0.37207985551174855,0.03231086491591026,-0.08461980149728328,0.40684219577992997,0.0977461040325524,0.407495857740382,0.4529715292000768,0.5156745938837448,0.45118376842544416,0.17144363183868291,0.29121778101635115,0.24868138361644435,0.18304374678219246,0.20835674548489774,-0.0614283972140483,0.41268547137260686,0.24600438927919344,0.03676602856694924,0.3238539842840669,0.37350942729030423,0.5530890756321861,-0.09955006928445845
Parietal_Sup_R,0.8952156377597269,0.24228836288612926,1.0,0.522644274451476,-0.06513589546941811,0.3547118906883822,0.3363934797508704,0.012738700327576756,-0.060358300559030936,0.1688974331133676,0.4106685391951122,0.2430653365214804,0.2677354854338216,0.3815137248971384,-0.2093968722753981,0.1066434999173705,0.10034545627183683,0.03295346114748363,-0.04990220957418809,0.13815983377468471,0.40743495512389155,0.028760954295819926,0.42811072987420984,-0.022807687570669817,0.050698026430655484,0.10775387058539897,0.13202266894017026,0.07529723355336004,0.07473370825012271,0.19408129411366967,0.3410494854659568,0.4930727018543893,0.4199899583759288,0.24205701084506245,0.3504981937734434,-0.13680014901937684,0.36602026285937034,0.3856110496452153,0.24790971600775472,0.12274887186186176,0.4651654083289384,0.22705957524353831,0.4672429224126928,0.3692961425870618,0.2812399088322079,0.17723397373329267,0.5435791044608289,0.5568679946498796,0.567031361001924,0.5336439736673787,0.005807145009298869,0.26001364287095036,0.11887476710139036,0.37266466722460173,0.7395413923069291,0.15985711613686138,0.1797042816354934,0.009422149743667415,0.4203040418270701,0.13755815665651125
Precentral_R,0.6165477625014643,0.04688238813541349,0.522644274451476,1.0,0.1112056874166726,0.49426973241148076,0.2992095475758355,0.03569804979781335,0.019300741392038145,0.13965102253464204,0.2845919299762342,0.3202035679045314,0.4152131655368483,0.5760897362034001,-0.12788048826676449,0.08023303549022659,0.4120519360585359,0.1720284275128827,-0.10888381707944739,0.22995004908129993,0.16429625318766258,-0.0371658404377175,0.6346698867692759,0.23207271751667313,-0.06903965819590228,0.22713892258174015,0.25372778153886716,0.3269328134200724,0.37838420880648393,0.4222517176694769,0.2242511217167206,0.7559912047436538,0.42958282915751766,-0.03291671330622555,0.6115554468225955,-0.39507713759503865,0.32499990122891853,0.34848577871963915,0.04952745391477035,0.2185381041635864,0.27694832454518686,0.28501588577987697,0.9684715254818199,0.36596234880403616,0.41676150847586885,0.17056549099824284,0.6217919295937794,0.7095711360609527,0.6038817717836292,0.8690318290216621,0.033989138034345105,0.6392391255038573,0.21106069375565673,0.5381352491887741,0.5678126342877813,0.09870311520710282,0.24233071397256936,0.062337928962144115,0.24445750218023085,0.2462742805720942
Occipital_Inf_R,0.04580325258802686,0.006927903907306987,-0.06513589546941811,0.1112056874166726,1.0,0.0010691549326727135,-0.03330014683218499,-0.030714369114423937,0.04965822684719388,0.02872123132470975,0.12782733399750768,0.008485388359314333,-0.030102739216342288,0.11740094974111775,0.2277802921163268,-0.0036373558617980115,0.13902879785758843,-0.23615642126018202,-0.08685727030184803,0.13517267916548306,0.17689284485573048,0.08328080515108506,0.17866267112611936,0.008597438370553176,0.13971142593269395,-0.10568521060887452,-0.06019330975552999,0.06280598061635727,0.13024366824052533,0.1755950582102439,-0.19325569425966171,0.07866343654548559,0.21353822273480602,-0.07716444666494517,-0.0029502890131301498,-0.16661217677329082,0.23950892074050567,-0.17939885195917457,-0.09547046355289747,0.08782793210941435,0.11565025049557348,0.21965494755785367,0.13651059896932555,-0.09504421656553882,-0.04337415121863709,-0.16767142649488817,0.06612094029655562,0.09216949869945289,0.15494553821113988,0.09572204239752992,-0.29466012978274725,0.09391252865569015,-0.22878449749136023,-0.05725339836221484,0.022314922117836703,-0.08395096018783255,0.0852525891942833,-0.12690139719782598,-0.04509494218442607,-0.29211570147168453
Thal_PuM_L,0.3566386509443055,0.5093481413949101,0.3547118906883822,0.49426973241148076,0.0010691549326727135,1.0,0.31728366045790657,-0.14142939902679574,0.10576022841778653,0.01648792874346333,0.19880404038344762,0.675408030112802,0.7296690790996195,0.0945452759131994,-0.10863249308788102,0.5880221745123438,0.5984703241914254,0.36555838442945915,0.2606225158811533,-0.044725633630785286,-0.17984840044395084,0.49290765716051255,0.7043635575146231,0.12402201183437576,0.15841871553811893,0.37631512969390457,0.3829898598057448,-0.11426417486449146,0.5072005525260501,0.37055601267030264,0.7503329542336399,0.46557274025785245,0.06402101254926434,0.5457220581470285,0.7393463937391004,-0.152119475830153,0.20555692199978845,0.7621790041578765,0.49804538686185224,-0.031902994601580824,-0.227441044220931,0.5163079991892014,0.5364432906188343,0.8624472156222441,0.7697056796902676,0.6432636157118836,0.7790841031728026,0.4788861580178341,0.38507945975672375,0.6682322779238592,0.20340700389850788,0.4830086308718705,0.029573593291704104,0.7727532338084034,0.477953952728985,0.11943528607632449,0.5602216390713476,0.5765837249698086,0.7259707220688828,0.1803931716248317
Rectus_L,0.2673302880051086,0.19881341372324057,0.3363934797508704,0.2992095475758355,-0.03330014683218499,0.31728366045790657,1.0,0.3216303482020345,-0.04411501473707317,-0.16858303879724776,0.30572745910613025,0.13983915940904712,0.3253314021929837,0.3330187319490543,-0.45106348960708825,-0.0938680903593642,-0.048713465638121733,0.31522995156209177,-0.28877262371256024,-0.07923582278202236,0.035225065905144376,0.029037437112058927,0.32671638558614235,0.011091076906851377,0.11783797023089233,0.341784049556258,0.05051168022630423,-0.2764882535800822,0.042811976609781886,0.05391806606438603,0.25771732211048975,0.24348065680156183,0.11586181310243841,0.2448800142273574,0.3431027680988119,-0.2192325872410021,0.08904958845764585,0.36448690642729503,0.21817622938528555,0.06439703419507414,0.1466176508284644,-0.08193201808796467,0.2707224482124621,0.2870830280665726,0.2916193509236883,0.2930219546519148,0.2047877706679349,0.25086908880403724,0.37778596888378224,0.2789450824584771,0.0056714694170744715,0.22010149533201315,-0.07472737469019093,0.3622297695432133,0.36920328871955727,-0.030406924890419355,0.027907478236834364,0.1508692389932166,0.2107462638781297,0.10349779005957527
Rectus_R,0.026283469958185215,0.0038821666298065813,0.012738700327576756,0.03569804979781335,-0.030714369114423937,-0.14142939902679574,0.3216303482020345,1.0,-0.007055495988832859,-0.14376433430467828,0.16949455247916687,-0.10769186566805283,0.14931634863562035,0.21124905957206827,-0.10571981298764435,-0.15518759272602828,-0.12385513604500996,0.05638045438930553,-0.18949480337084865,-0.1415608006373427,0.10124447382462189,-0.19383280356520644,0.09494131551208713,0.013852731781053076,0.1724909124734755,0.1022673356727914,-0.03078820043253866,-0.16910539401319757,-0.06903170419956298,-0.13315842887585222,-0.06208569103559892,-0.0385431887880483,0.07842065536178996,-0.2129896534725206,0.10699603255834642,0.009329600298031093,0.030454845361548598,0.01920338854854757,-0.15081140221035141,0.13045074834334458,0.15992444984203338,0.04896634508978437,0.04782389578525038,-0.12479067681408663,-0.002062316267946206,0.029369012328809025,-0.0805314202813774,-0.12859997130894954,0.07900786661992924,0.003544456058579525,-0.08905231567113585,-0.03376124476364814,-0.14799435007263873,-0.014659939082647889,0.043151280839548625,-0.028428221806289136,-0.0175867227269192,-0.11991698630631702,-0.11056362442825016,-0.061330970907213254
Temporal_Inf_L,0.01068665404376847,0.153297310950172,-0.060358300559030936,0.019300741392038145,0.04965822684719388,0.10576022841778653,-0.04411501473707317,-0.007055495988832859,1.0,0.047229475652066,0.025990164975805263,-0.010558289727035838,-0.013113099872121822,-0.24909786490780772,0.18130459734354262,0.26014880908477206,0.3466047684232914,0.028083915043915334,-0.06311053314685428,-0.04074427265416869,-0.03161716029300058,0.0945986468859905,0.12025077095713306,0.3111194412931871,0.31157148865585643,0.10841055025362034,0.07134258636145971,-0.26043568789609495,0.00013426264255412887,-0.14632469113291788,-0.06876238120421235,0.09936149335020332,-0.0706151912704009,-0.044177275357532714,-0.07401666506649361,-0.25980719667721874,-0.20653813943510163,0.01627982787425039,-0.11672118241638689,0.06209813490869218,-0.2825398638553676,0.3024826236382054,-0.029162336493852678,-0.05614343060964781,-0.08477383035674275,0.3490818186191872,0.05684499223380373,0.1196915330084233,-0.2693547709727969,0.004542714722130063,-0.004329396043002342,-0.1931624155383147,0.11421710398797567,-0.06887755801599532,-0.06395845540082151,-0.32748319136415854,-0.13322234639354977,0.3883070337508288,-0.10096970223751559,0.21095802884668668
SN_pc_L,0.20531622317423812,-0.013814103545930203,0.1688974331133676,0.13965102253464204,0.02872123132470975,0.01648792874346333,-0.16858303879724776,-0.14376433430467828,0.047229475652066,1.0,0.17966445475366066,-0.08334262284003091,-0.041604520318989265,0.273838015539376,0.13713274092970723,0.06770174290400009,0.024155796292568598,-0.12563046799038896,0.23032026022839963,0.3385058228646298,0.29700210075118083,-0.06356214684814608,0.1158281924444706,-0.028119993538669175,-0.2961590538845748,-0.22037538194188838,0.043067941198054946,0.3650094999153138,0.06670704257954424,0.36262638287528065,-0.057801125836924434,0.15570642036265425,0.276134546531106,-0.16532188534956788,0.008950400580410502,0.1564343042654344,0.3890075172179829,-0.1733190606552986,-0.027448623772937268,0.07030586755701895,0.36925503719564556,0.03091689138247815,0.09226033875698678,0.07383996097088372,0.04874765059850069,-0.2999130053279782,0.17709731722067187,0.1691152470941817,0.27238759790919936,0.09779525370550719,0.08389534843573672,0.18254420288255235,0.4030145148706204,0.2041942585235914,0.1601338389189928,0.17269227413978488,-0.08999878386879846,-0.24002815169743644,0.015367739642927059,0.18958110220398783
