,Frontal_Inf_Oper_R,Vermis_6,Cerebellum_3_R,ParaHippocampal_R,Temporal_Mid_L,Temporal_Pole_Mid_R,Amygdala_R,VTA_L,Thal_MDm_R,Cerebellum_7b_L,Frontal_Inf_Orb_2_L,ACC_pre_R,N_Acc_L,Rolandic_Oper_L,Thal_PuA_L,SN_pr_L,Thal_LP_L,Frontal_Sup_2_R,Thal_PuM_R,Lingual_R,Rectus_R,ACC_sup_L,Hippocampus_L,Amygdala_L,Cingulate_Post_L,Thal_VA_L,SN_pr_R,Angular_R,Cerebellum_6_R,Thal_VL_L,OFCant_R,Cingulate_Mid_R,Olfactory_R,Occipital_Inf_L,ACC_pre_L
Frontal_Inf_Oper_R,1.0,0.05691486455603656,0.7142764693571085,0.360656991391551,0.243566283548787,0.028377190342353906,0.05202823921510348,0.14267352508068856,0.476852555937835,0.12109720492363708,-0.2003762419157266,0.27058772066103703,0.24395434947172587,0.1271258573331132,0.5375970369017082,0.1219354216618607,0.3750828510100513,0.487052872499154,0.48764942665283306,0.6437191366994713,0.05555956731863122,0.20401119601949652,0.26155335702700255,-0.20799930891244076,0.5684705210109582,0.6498539924316523,0.45366235600243754,0.6655199287069825,0.4620877792955517,0.6562587619360963,0.059332023704842626,0.7189642970355822,0.3888932634751147,-0.052252752919215474,0.1967873052401652
Vermis_6,0.05691486455603656,1.0,0.10367408149958368,0.2978786194285068,0.11940953448143252,-0.1731897827806944,0.13424186042113823,0.2854480922571826,0.29926098515870536,0.0753885827092516,0.36110403530530455,0.19155894459796333,0.10911472927253879,0.3597980624398315,0.11175488324665957,0.1606251382717964,0.14404059485807577,0.3247612398178536,0.2537257210438691,-0.03742972097749391,-0.025047785070951865,0.32972076381062015,0.36803031063458463,0.16124937757803476,0.11250911264821045,0.2899795504634881,0.24371532712069874,-0.12618630813404869,0.05447360969192145,0.29656119484744087,0.1786335709478752,0.2762121812364482,0.15259438226348288,-0.13386877770544817,0.11585567305282865
Cerebellum_3_R,0.7142764693571085,0.10367408149958368,1.0,0.6840318772327738,0.2191437527967817,-0.03321068895161384,-0.0076043041763484386,0.40806950101482775,0.5655568781670651,0.044947073698546613,0.0382803322051419,0.17797051944841694,0.23959326938059378,0.42650519315504826,0.6515017779473335,0.3826931303072691,0.3847357321437114,0.5723501929028556,0.7151196479392983,0.7260919584261176,0.10699603255834642,0.39302049297018454,0.5568736209334316,-0.09678355866599012,0.4245119687676248,0.665986956909989,0.7168370081629584,0.41749998741316446,0.3378506784217391,0.7292030810114783,-0.02548114529429366,0.7477717920279232,0.3932190397475159,-0.16988115772184198,0.1269775144676189
ParaHippocampal_R,0.360656991391551,0.2978786194285068,0.6840318772327738,1.0,-0.12150115811815877,-0.2673521489901676,0.12900465350204235,0.5880105672033237,0.6135077059583254,-0.07877452813517119,0.3457230376962057,0.0016872528918989158,0.17386146780658301,0.557448332591556,0.523769834614937,0.6440867939281223,0.4320452243816651,0.49284177316142064,0.6566819809207873,0.36138221885842775,-0.046645522940598094,0.521568499781272,0.8794134340099251,0.23685389230597387,0.283881976398794,0.43798890822252323,0.693421919649522,-0.05338022878352042,0.09617833507671765,0.6606949680724482,0.00679732041716228,0.5731175122337206,0.6052055666380751,-0.2989922879653882,0.034042983783306294
Temporal_Mid_L,0.243566283548787,0.11940953448143252,0.2191437527967817,-0.12150115811815877,1.0,0.1398672296520976,-0.1875559373972276,-0.05364873085383777,-0.15434283170805502,0.23715089920292068,-0.031789138150095396,0.17746540030970331,0.23126092405197768,0.10641053448012575,0.2892978523929242,0.010290974230943403,-0.018314622598822886,0.07860955962923685,0.18277352743705294,0.5090678577676993,-0.14310192647567924,-0.101065052592666,-0.13400340368675437,-0.2719079246980574,0.3239891815986191,0.18457194389261916,0.14583393057485333,0.38621865196260147,0.1850125316529058,0.09537963309721625,0.13559794320213445,0.3167991566744792,-0.288542551895641,0.2781615106845805,-0.07812401059427301
Temporal_Pole_Mid_R,0.028377190342353906,-0.1731897827806944,-0.03321068895161384,-0.2673521489901676,0.1398672296520976,1.0,-0.12757302843757584,-0.4957196771946674,-0.41009811463928586,0.07953273119522958,-0.0728796447450464,0.013139922392973789,-0.30470544798952187,-0.03216622168252681,-0.1166348857367905,-0.08844849846758054,-0.16002297255031933,-0.07003372280888424,-0.35876921057390515,-0.0483088060686583,-0.0016614952001675267,-0.025101459757103872,-0.38036489696285397,-0.19545521716199696,0.040980327099560544,-0.10814503957535418,-0.1733591816998983,0.2414146734700228,0.3083443243942996,-0.24042053311378306,-0.18320650075943234,-0.013125179330678399,-0.15921024277867404,0.2950553888281213,0.0562145979619922
Amygdala_R,0.05202823921510348,0.13424186042113823,-0.0076043041763484386,0.12900465350204235,-0.1875559373972276,-0.12757302843757584,1.0,-0.07458616402759911,0.5072489084713958,-0.1220229095153996,0.04908556811347955,-0.13505662216553455,0.15261731457642155,-0.0017295246619729366,-0.1905457762634724,0.21484739574398592,0.3226185511684857,0.07388288130364595,0.10495738811817999,-0.1422570551775865,0.013852731781053076,0.21033268025354077,0.18659682494644764,0.2545658841637157,0.20766334613327972,0.13525782448680163,0.14693546807044272,-0.13693566334846446,-0.3636198850523585,0.18383886032648072,0.004042598540823676,0.0851942197360942,0.16644014389493247,-0.01943144276910196,0.03930193148770135
VTA_L,0.14267352508068856,0.2854480922571826,0.40806950101482775,0.5880105672033237,-0.05364873085383777,-0.4957196771946674,-0.07458616402759911,1.0,0.4064560763095873,-0.042858199609515014,0.41220923581378105,0.15568865224172942,0.4022383195066583,0.4455574443514105,0.4553417278758002,0.24742445731615986,0.053808648727889014,0.4183479181099327,0.5226756906388728,0.17837288872779214,0.1609134598928603,0.32545483337863607,0.7136001009529448,0.2789017335135628,-0.02548597959531496,0.2863733345325653,0.4984600637241683,-0.18928272377225575,0.10082442593612619,0.5503035183258335,0.1921739931614155,0.3405354547160552,0.4355874318073909,-0.46535373177289474,0.13252278899594255
Thal_MDm_R,0.476852555937835,0.29926098515870536,0.5655568781670651,0.6135077059583254,-0.15434283170805502,-0.41009811463928586,0.5072489084713958,0.4064560763095873,1.0,-0.16425323469144687,0.16642488028139119,0.13863426225195957,0.37727417567862476,0.35951429337915625,0.2919491381671502,0.3422415150555862,0.4914780969573477,0.45439234386649613,0.6601446502077489,0.26176636649741597,-0.03723423689708872,0.3969035832710265,0.643987191234776,0.18774287670732767,0.3260436461270122,0.5843421197406382,0.5872034849585039,0.01985130296924785,-0.15158244439282487,0.763696343293485,0.04352463162360833,0.5329753936042223,0.48478199095683333,-0.31441746485820654,0.2158094831782887
Cerebellum_7b_L,0.12109720492363708,0.0753885827092516,0.044947073698546613,-0.07877452813517119,0.23715089920292068,0.07953273119522958,-0.1220229095153996,-0.042858199609515014,-0.16425323469144687,1.0,0.003986995305737077,0.13155399328428627,0.010962661999864981,0.16895354000613952,0.24485923649426605,0.037686712685740115,0.10854344945062343,0.14930645483102578,0.06664075124656722,0.14717376025558743,-0.10171957414847932,0.05698269967180552,-0.10123527326273965,-0.20600566256408204,0.006055908735893645,0.18918918860722736,0.02174525947954214,0.2638489748504434,0.2868214596878065,0.0057560256525493615,0.17078834447990582,0.21309883902338533,-0.19202517806908592,0.12091597443577708,-0.004766722991007953
