,Hippocampus_R,Cerebellum_10_R,Cerebellum_3_R,Insula_L,Precuneus_L,Calcarine_R,Occipital_Inf_R,Cerebellum_Crus1_R,Thal_PuL_R,VTA_R,OFClat_L,Thal_PuM_R,SN_pr_L,Occipital_Mid_L,Frontal_Inf_Orb_2_R,Thal_MDl_L,Frontal_Mid_2_R,Thal_LGN_L,Red_N_R,Calcarine_L,Cerebellum_10_L,Frontal_Inf_Orb_2_L,Thal_MGN_L,SN_pc_R,Frontal_Med_Orb_L,Occipital_Inf_L,Cerebellum_6_L,Lingual_R,Thal_VPL_R,Vermis_10,Amygdala_L,Cerebellum_Crus2_R,Cingulate_Post_R,Temporal_Mid_R,Angular_L,Vermis_7,Lingual_L,Thal_LP_R,Cingulate_Mid_R,Rolandic_Oper_L,N_Acc_L,Cerebellum_Crus2_L,Fusiform_L,Insula_R,Cerebellum_7b_R
Hippocampus_R,1.0,0.3038436066947152,0.8433350032691812,0.23602751007037845,0.39054516163214287,0.3280913449003352,-0.030102739216342288,-0.4285583980264588,0.6110483159404484,0.5125229293690138,-0.17063537954042737,0.7231620331011801,0.4366589452542154,-0.1636184719795879,0.5821177964513998,0.7085431437759907,0.482170965584402,0.6380109677157201,0.7792722992684704,0.12059242056253966,0.13599177137023216,0.15918634528503556,0.11951660909777613,0.3068965015715962,0.32613336397244896,-0.251183030595852,0.13775489279386008,0.6567353985489067,0.7231300275600101,0.5276853025797082,0.05789218757017714,0.10254404275788213,0.4028998327222188,0.0820302384367267,0.02737129359359392,0.036936475087285224,0.5509975439710337,0.3604003298835816,0.7183460988410864,0.4648345852081432,0.28570988797165403,0.011846400620195438,0.5222760295739282,0.7051016193405513,-0.14797413573414853
Cerebellum_10_R,0.3038436066947152,1.0,0.20569734897534606,0.06603798868976515,0.23241835218635748,-0.12871730928498795,-0.16712565120593217,-0.0865634796747547,0.5684954247906526,0.21589230192000677,-0.1272176807538923,0.42835887762616826,0.32989890863601296,-0.0646159073156698,0.24068988393255022,0.38307214471132545,0.22439299078425684,0.4873993136132516,0.4817745795464445,-0.19705948712754492,0.4331357958086194,0.1782381696551855,0.08213342816547424,0.4243815060946213,-0.0005279643582734258,-0.3007454201845538,0.4525802921758948,0.25767537920814065,0.39860921986068343,0.1315796672637701,0.05406042335918568,-0.07443986656422391,0.14947468174235007,-0.1616690810249112,0.03852211728460838,-0.004026267895769436,0.21802851817996136,0.07678715936326272,0.4247623694254786,0.3345235475535936,0.41634934757127046,0.08877757824712967,0.413287450023238,0.1261566196520776,0.010943831757611799
Cerebellum_3_R,0.8433350032691812,0.20569734897534606,1.0,0.22201570703275597,0.516059342342023,0.4654761128025344,-0.0029502890131301498,-0.38990834814002157,0.5596939361232992,0.4241940867627002,-0.20727625078970338,0.7151196479392983,0.3826931303072691,-0.1298695617760946,0.47447624982822534,0.6401329815624137,0.5719335313377544,0.6058920530975058,0.7415510657347838,0.2976918049592197,0.05425409331617758,0.0382803322051419,0.2573501539897343,0.28999122192412746,0.3769605036207635,-0.16988115772184198,0.09997548078005228,0.7260919584261176,0.6956290999503107,0.5412636950265443,-0.09678355866599012,0.15680027273001296,0.5096799398771207,0.26717917063097274,0.1409499381594145,0.09891744014733596,0.6523458985155235,0.3196829309469989,0.7477717920279232,0.42650519315504826,0.23959326938059378,-0.007904862377692232,0.4397901062997133,0.6849462312992577,-0.29909096232202326
Insula_L,0.23602751007037845,0.06603798868976515,0.22201570703275597,1.0,0.15165271501862648,-0.05804633912764285,0.23417532133320457,0.03439906678871441,0.16464692744983705,0.19028863115702968,0.7212485406639669,0.16428031460495346,0.3347389339066643,0.12219133539558452,0.3270989941302676,0.35321289391764793,0.42625268674545913,0.3011598634268114,0.051473408416628605,-0.02309680392765568,-0.13747349708140494,0.6910978495086584,0.34562559753149436,0.1260002208442044,-0.04788361886417909,0.08823820082436326,-0.0901560819464461,-0.03869651432870855,0.1939297885503568,-0.26129415718097787,0.07881141344787528,-0.06290307603839054,0.1329787928663397,-0.05180251050144337,0.11827789601725312,0.10937278636555979,0.03342509411958933,0.21531022404868477,0.4373754829293372,0.6891541142094233,-0.01599028509923445,-0.19500697533829495,0.33703616333636505,0.5466139438218256,0.013097522337187022
Precuneus_L,0.39054516163214287,0.23241835218635748,0.516059342342023,0.15165271501862648,1.0,0.5842339408681876,0.14402394735770463,0.03949233932270388,0.297429324461083,-0.02547657266753308,-0.08728159140115511,0.37674302839733637,0.2460935940499535,0.4252271034931584,0.1765613584671799,0.18590844342133295,0.5639937864827643,0.3517869409253631,0.36381707005577074,0.5640899134284538,-0.06751365826371115,-0.033804410755134955,0.3817693489071055,0.2788890523334712,0.2108633263560484,0.020458470096998953,0.2888456902067713,0.49185139806042455,0.2813616299033011,0.06375665498429851,0.008093431332409777,0.20158262855244122,0.8519296769692201,0.4534406308919251,0.5472873220328001,0.2706258071960739,0.5486952940209768,0.17218122778210082,0.6410995266987444,0.2240925237863473,0.027547224997838377,0.18566991052341708,0.2670193068113059,0.28101469781962385,0.009663941119790607
Calcarine_R,0.3280913449003352,-0.12871730928498795,0.4654761128025344,-0.05804633912764285,0.5842339408681876,1.0,0.11740094974111775,0.153771869092967,-0.0007904318706240718,-0.21107898803647296,-0.22683629745053718,0.12120040007309663,-0.0491345507937547,0.5129101060887892,0.013449169089325598,-0.06845907593707153,0.1966794941710112,-0.015580366738736782,0.0902959164073378,0.9350961751755253,-0.2256952356122924,-0.49414343464819116,0.3539845497945854,0.03797839128442718,0.4677959682444455,0.20061923025789524,-0.23058253783084293,0.7310068451413754,0.11054367204535083,0.18566688040761606,-0.3151561548703204,0.307496837419043,0.6057280590997353,0.7312796055249922,0.6027840974185912,0.50037282910232,0.8108457836303108,-0.04699413672240691,0.29779289973198014,-0.15489512857881846,0.003362633737422125,0.24390639865366007,-0.007218223697494486,0.23797624057397068,-0.09265432592612174
Occipital_Inf_R,-0.030102739216342288,-0.16712565120593217,-0.0029502890131301498,0.23417532133320457,0.14402394735770463,0.11740094974111775,1.0,0.2480241018962219,-0.04509494218442607,-0.18589696156596514,0.2277802921163268,-0.09504421656553882,-0.08241087647456294,0.17689284485573048,-0.06019330975552999,0.033746705228585014,0.14390586618725812,-0.12978259625577854,-0.17939885195917457,0.16702956756223808,-0.14057166534484988,-0.005226816007938462,0.23950892074050567,-0.14739908173041286,0.14552243462459233,0.20049582303490324,-0.12249030622739271,-0.013685461161429645,-0.0873668504536199,-0.23615642126018202,0.13971142593269395,0.08782793210941435,0.07866343654548559,0.2713451861579845,0.21353822273480602,0.3734695174982884,0.012225606715198128,0.09511326042078884,0.06612094029655562,-0.0036373558617980115,-0.29466012978274725,0.13517267916548306,0.006927903907306987,0.13024366824052533,0.24828777379836983
Cerebellum_Crus1_R,-0.4285583980264588,-0.0865634796747547,-0.38990834814002157,0.03439906678871441,0.03949233932270388,0.153771869092967,0.2480241018962219,1.0,-0.3109335265123508,-0.4607320485134869,0.2506038425437219,-0.43984189851768574,-0.1624675555177735,0.45193408609957914,-0.35671816742300366,-0.4926278660578997,-0.028043776884697877,-0.4052651727696769,-0.5444794103981537,0.30759415335741835,-0.06170026685960998,-0.20254106362584087,0.27253890349823995,-0.1905880465269991,0.061433372126777866,0.3500622912471569,-0.13271964843102002,-0.18282870016467354,-0.45604729778866143,-0.44319982267722235,-0.16321126577314177,0.3176793680454157,-0.036312992455429544,0.4351996815965045,0.4320691855882709,0.4723116028018553,-0.08732524402344381,-0.2576248855012237,-0.1892391597607937,-0.27617435715271316,-0.1232644309456416,0.31969650490040163,-0.2477759792657655,-0.22196271611629598,0.38245988811302306
Thal_PuL_R,0.6110483159404484,0.5684954247906526,0.5596939361232992,0.16464692744983705,0.297429324461083,-0.0007904318706240718,-0.04509494218442607,-0.3109335265123508,1.0,0.43441183235200703,-0.1013780754997716,0.8115327857672487,0.34897544071236214,-0.0934903414898847,0.28839188196342425,0.6067206044864375,0.37958160168956045,0.638009312034219,0.6969382012642834,-0.1245362106761089,0.41562790033939445,0.19213481986714048,0.24268819575573392,0.5750366460398941,0.23258689831109164,-0.279780429831821,0.41615930811393376,0.5101060856428077,0.8035439426636873,0.24148968926653436,0.05533182405089622,-0.06352175560086805,0.23638872749686388,-0.016432341074452527,0.11789233125396939,-0.0008922177930996635,0.37638283562436103,0.10011135506329241,0.6550129548818715,0.3733127463144716,0.4192339088273362,-0.014867946040707947,0.5530890756321861,0.400102816713038,-0.10004584204561631
VTA_R,0.5125229293690138,0.21589230192000677,0.4241940867627002,0.19028863115702968,-0.02547657266753308,-0.21107898803647296,-0.18589696156596514,-0.4607320485134869,0.43441183235200703,1.0,-0.17211475871912077,0.5007094049051604,0.25156326471600093,-0.3815593211959862,0.3966407793335854,0.5564721531899812,0.25762660040220386,0.5207988068808159,0.6275902757638825,-0.34023659250752564,0.3423011276922693,0.42534502274401,-0.21518292989444576,0.16089001568209216,-0.09212183015502147,-0.3585159544821096,0.38197322925700655,0.12662597906467493,0.5200664369783417,0.38102376899641727,0.30084936705615467,-0.15519814957327974,0.07932867654993192,-0.39759955751184245,-0.22863636609627774,-0.41144119879081603,0.0946263415302978,0.16565806964415972,0.36403047628738117,0.4138674777837605,0.4580677664553199,-0.3010556697808516,0.3826420214907419,0.3489960430318063,-0.1245046234078829
