,SN_pr_R,Thal_LGN_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_R,Thal_MGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R
SN_pr_R,1.0,0.6518356109392355,-0.04294644326166395,0.41414116399984763,-0.1661570367271714,0.5812219714435183,-0.25814528472697257,-0.1055041817322898,-0.15460050629079444,0.1062231885873837,0.5604196660088151,0.3181955161044347,0.27372507518184735,0.3331092920215743,0.14693546807044272
Thal_LGN_L,0.6518356109392355,1.0,0.05871747431867187,0.20919449526822043,-0.13447021441477372,0.4170584766277081,-0.19871227540308511,-0.12978259625577854,-0.016195756039879952,0.11538871968870039,0.5904559647962804,0.2811065293503336,0.1509465447020321,0.27373427802887607,0.05079868022621468
OFCpost_R,-0.04294644326166395,0.05871747431867187,1.0,-0.12520427149585134,0.7653260078185767,-0.04940551433007745,0.14412166987545058,0.23582361229841747,0.28604071442889306,0.0843766190980509,-0.1922262644972371,-0.002250033053556665,-0.01546304653070517,0.0747717701115303,-0.07262392465831351
Temporal_Sup_R,0.41414116399984763,0.20919449526822043,-0.12520427149585134,1.0,-0.297288194957085,0.4928393085611819,0.15926347786625739,0.030697899465249742,-0.22083254412198272,0.29696094717559157,0.4431981806672273,0.3570386694939007,0.6160669294556715,0.5808089471489106,-0.15245350603778354
OFClat_L,-0.1661570367271714,-0.13447021441477372,0.7653260078185767,-0.297288194957085,1.0,-0.19638933433236863,0.22559685262142515,0.2277802921163268,0.33718275070674864,0.1654832485317281,-0.32280002567533744,-0.08991828868992639,0.01306113820422467,-0.07991723358363417,-0.16302678032900153
Heschl_R,0.5812219714435183,0.4170584766277081,-0.04940551433007745,0.4928393085611819,-0.19638933433236863,1.0,-0.28529483601336414,-0.03625746369553956,-0.20141607961144398,-0.11014554139597811,0.4316614925844402,0.35006502143924634,0.45657672008097483,0.20200949756434938,0.27367904179537245
Cuneus_L,-0.25814528472697257,-0.19871227540308511,0.14412166987545058,0.15926347786625739,0.22559685262142515,-0.28529483601336414,1.0,0.30708314213232574,0.278418477661199,-0.029960687722647813,-0.20255216226923883,0.21531972436781893,0.45045864522353823,-0.14214294800651797,0.01805043135801893
Occipital_Inf_R,-0.1055041817322898,-0.12978259625577854,0.23582361229841747,0.030697899465249742,0.2277802921163268,-0.03625746369553956,0.30708314213232574,1.0,0.2079757106006812,-0.08395096018783255,-0.12367837584948715,0.14023928630999283,0.2048929980552039,-0.061185881159542176,0.008597438370553176
Temporal_Inf_R,-0.15460050629079444,-0.016195756039879952,0.28604071442889306,-0.22083254412198272,0.33718275070674864,-0.20141607961144398,0.278418477661199,0.2079757106006812,1.0,-0.18401101715154186,-0.2954728072838897,0.17316579797449733,0.061601986774303945,-0.1559205809144041,-0.13910418716738226
Vermis_8,0.1062231885873837,0.11538871968870039,0.0843766190980509,0.29696094717559157,0.1654832485317281,-0.11014554139597811,-0.029960687722647813,-0.08395096018783255,-0.18401101715154186,1.0,0.32649088598845305,-0.051292098348046156,0.20232582777160288,0.5708001228856109,-0.328179589961824
Thal_AV_R,0.5604196660088151,0.5904559647962804,-0.1922262644972371,0.4431981806672273,-0.32280002567533744,0.4316614925844402,-0.20255216226923883,-0.12367837584948715,-0.2954728072838897,0.32649088598845305,1.0,0.16458311983329127,0.30138538058876757,0.39371846876289346,0.07143291422794892
Thal_MGN_R,0.3181955161044347,0.2811065293503336,-0.002250033053556665,0.3570386694939007,-0.08991828868992639,0.35006502143924634,0.21531972436781893,0.14023928630999283,0.17316579797449733,-0.051292098348046156,0.16458311983329127,1.0,0.47088027622719436,-0.0024662762397846968,0.22842461145293727
Paracentral_Lobule_R,0.27372507518184735,0.1509465447020321,-0.01546304653070517,0.6160669294556715,0.01306113820422467,0.45657672008097483,0.45045864522353823,0.2048929980552039,0.061601986774303945,0.20232582777160288,0.30138538058876757,0.47088027622719436,1.0,0.2842682588051103,0.1508189908962695
Vermis_9,0.3331092920215743,0.27373427802887607,0.0747717701115303,0.5808089471489106,-0.07991723358363417,0.20200949756434938,-0.14214294800651797,-0.061185881159542176,-0.1559205809144041,0.5708001228856109,0.39371846876289346,-0.0024662762397846968,0.2842682588051103,1.0,-0.33902358157573736
Amygdala_R,0.14693546807044272,0.05079868022621468,-0.07262392465831351,-0.15245350603778354,-0.16302678032900153,0.27367904179537245,0.01805043135801893,0.008597438370553176,-0.13910418716738226,-0.328179589961824,0.07143291422794892,0.22842461145293727,0.1508189908962695,-0.33902358157573736,1.0
