,SN_pr_R,Thal_LGN_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_R,Thal_MGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_MDm_R,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pr_R,1.0,0.6518356109392355,-0.04294644326166395,0.41414116399984763,-0.1661570367271714,0.5812219714435183,-0.25814528472697257,-0.1055041817322898,-0.15460050629079444,0.5819387887759614,0.1062231885873837,0.5604196660088151,0.3181955161044347,0.27372507518184735,0.3331092920215743,0.14693546807044272,0.36386656665371175,0.03840853831497323,0.5872034849585039,0.397501958614827,0.7271394148271565,0.4400772768162469,0.20027342012316987,0.5768194207609738,-0.061162956119602326
Thal_LGN_L,0.6518356109392355,1.0,0.05871747431867187,0.20919449526822043,-0.13447021441477372,0.4170584766277081,-0.19871227540308511,-0.12978259625577854,-0.016195756039879952,0.4471851180501202,0.11538871968870039,0.5904559647962804,0.2811065293503336,0.1509465447020321,0.27373427802887607,0.05079868022621468,0.40786692885410397,-0.06225412006449158,0.48094507071816334,0.2869542853318527,0.715193849541769,0.3008811157120292,0.3011598634268114,0.4854654467581628,-0.20804322245127377
OFCpost_R,-0.04294644326166395,0.05871747431867187,1.0,-0.12520427149585134,0.7653260078185767,-0.04940551433007745,0.14412166987545058,0.23582361229841747,0.28604071442889306,0.15805422546264059,0.0843766190980509,-0.1922262644972371,-0.002250033053556665,-0.01546304653070517,0.0747717701115303,-0.07262392465831351,0.24788523874184407,0.2872615996565339,-0.156583066856194,-0.07799858355907412,-0.1054716882949458,0.0646275282876956,0.6009989922389923,-0.03944586080110462,0.046827378197532396
Temporal_Sup_R,0.41414116399984763,0.20919449526822043,-0.12520427149585134,1.0,-0.297288194957085,0.4928393085611819,0.15926347786625739,0.030697899465249742,-0.22083254412198272,0.08825603973494765,0.29696094717559157,0.4431981806672273,0.3570386694939007,0.6160669294556715,0.5808089471489106,-0.15245350603778354,0.39954533734751413,0.18013753065496435,0.2844330284044751,0.6281651916318636,0.48681834461187046,0.40884110103851534,-0.013297484390007924,0.6551067327791088,0.40868924558865344
OFClat_L,-0.1661570367271714,-0.13447021441477372,0.7653260078185767,-0.297288194957085,1.0,-0.19638933433236863,0.22559685262142515,0.2277802921163268,0.33718275070674864,0.09070934920811594,0.1654832485317281,-0.32280002567533744,-0.08991828868992639,0.01306113820422467,-0.07991723358363417,-0.16302678032900153,0.2187288707035673,0.4425137831734416,-0.3209438606535842,-0.12679985910574768,-0.34097186991786566,0.06153186912779574,0.7212485406639669,-0.10286647770016132,0.11872483678203165
Heschl_R,0.5812219714435183,0.4170584766277081,-0.04940551433007745,0.4928393085611819,-0.19638933433236863,1.0,-0.28529483601336414,-0.03625746369553956,-0.20141607961144398,0.35498272522145385,-0.11014554139597811,0.4316614925844402,0.35006502143924634,0.45657672008097483,0.20200949756434938,0.27367904179537245,0.1983489225807014,0.20496963398922818,0.7196940727398805,0.5387126285279594,0.668504635795441,0.6041086229337832,0.1177570397945155,0.6024067278174212,-0.10093162512961787
Cuneus_L,-0.25814528472697257,-0.19871227540308511,0.14412166987545058,0.15926347786625739,0.22559685262142515,-0.28529483601336414,1.0,0.30708314213232574,0.278418477661199,-0.1205253754022484,-0.029960687722647813,-0.20255216226923883,0.21531972436781893,0.45045864522353823,-0.14214294800651797,0.01805043135801893,0.2010288396974072,-0.06169879086208461,-0.37564255216546405,0.3646798096850979,-0.3611984028456573,-0.33093983972219626,0.14777097176025622,0.2105401390492249,0.519052037570858
Occipital_Inf_R,-0.1055041817322898,-0.12978259625577854,0.23582361229841747,0.030697899465249742,0.2277802921163268,-0.03625746369553956,0.30708314213232574,1.0,0.2079757106006812,-0.08241087647456294,-0.08395096018783255,-0.12367837584948715,0.14023928630999283,0.2048929980552039,-0.061185881159542176,0.008597438370553176,0.08890488298351128,0.15280852152377122,-0.1174310226311566,0.13651059896932555,-0.17939885195917457,-0.06019330975552999,0.23417532133320457,0.09572204239752992,0.3734695174982884
Temporal_Inf_R,-0.15460050629079444,-0.016195756039879952,0.28604071442889306,-0.22083254412198272,0.33718275070674864,-0.20141607961144398,0.278418477661199,0.2079757106006812,1.0,-0.11585443375573698,-0.18401101715154186,-0.2954728072838897,0.17316579797449733,0.061601986774303945,-0.1559205809144041,-0.13910418716738226,-0.03628269807337277,-0.06128107178579892,-0.3315116054087352,-0.07836869348872441,-0.18443812167237641,-0.19456365101594716,0.1830943404558001,-0.10199409264503555,0.1547060550226116
SN_pr_L,0.5819387887759614,0.4471851180501202,0.15805422546264059,0.08825603973494765,0.09070934920811594,0.35498272522145385,-0.1205253754022484,-0.08241087647456294,-0.11585443375573698,1.0,0.01961230116356756,0.3045769461402055,0.18744886461988225,0.13360834955775466,0.18581711557550173,0.21484739574398592,0.3724439009702027,-0.01804165548626941,0.3422415150555862,0.17988772402051054,0.3557023449953835,0.24834550496367988,0.3347389339066643,0.3476968999349574,-0.039743522956278664
