,Thal_PuM_R,Paracentral_Lobule_R,OFCpost_L,Olfactory_L,Postcentral_R,Temporal_Inf_R,Occipital_Inf_R,Amygdala_L,Caudate_L,Rolandic_Oper_R,SN_pr_R,Frontal_Mid_2_R,Thal_LP_R,OFCmed_R,Angular_L,Cerebellum_Crus1_R,Thal_PuI_R,ACC_pre_L,Occipital_Mid_L,Temporal_Sup_L
Thal_PuM_R,1.0,0.2716027822728069,-0.08291398646295592,0.14881173493765237,0.39354711881183285,-0.3625808158043231,-0.09504421656553882,0.046134012416837976,0.651952353066387,0.4958754050203805,0.674261844267289,0.4041446188748112,0.3863584993836128,-0.24328825205297824,0.039170025787610224,-0.43984189851768574,0.7621574736815779,-0.007628092327100443,-0.18683431931982916,0.4345670692153911
Paracentral_Lobule_R,0.2716027822728069,1.0,0.39083625393309396,0.2693636483967113,0.912189598743533,0.061601986774303945,0.2048929980552039,-0.10762074031972228,0.35380247229555606,0.648243810662967,0.27372507518184735,0.6875077551181775,0.18848824843835743,0.12865603511217863,0.4868536387408159,0.06129506461206197,0.33461766780151597,0.18083653391514878,0.21302789673293385,0.40639073562289585
OFCpost_L,-0.08291398646295592,0.39083625393309396,1.0,0.3968221078997353,0.36925320743597395,-0.08213880985282195,0.06280598061635727,-0.4936325260786269,0.02793572693887893,0.469549208983649,-0.09497486814590132,0.10846001349300069,-0.062327279549958536,0.3375515701257934,0.31732775846704536,0.23037193998396158,0.005811078151959259,0.09366511128839417,0.16001599356073534,0.1844858503372437
Olfactory_L,0.14881173493765237,0.2693636483967113,0.3968221078997353,1.0,0.23065637680475246,-0.09393588639313141,-0.22878449749136023,-0.3084820950900786,0.12921388264795833,0.2615717697052016,0.16924703311481282,0.15166680789400142,-0.2290833104738621,0.029194872753068854,0.23522471599545106,0.2040406042132299,-0.023126740648659883,-0.12444001121068465,-0.006238549868403853,0.15271502235998258
Postcentral_R,0.39354711881183285,0.912189598743533,0.36925320743597395,0.23065637680475246,1.0,-0.06397649717749446,0.1400150053600271,-0.12047763848508104,0.40425154870109076,0.7628687084400407,0.4093653412261752,0.6833781730684615,0.2486096209882877,0.08809013708773644,0.45428649901729673,-0.024927038340331487,0.4534854756599097,0.11845560402787961,0.15483087294880182,0.3834183618697581
Temporal_Inf_R,-0.3625808158043231,0.061601986774303945,-0.08213880985282195,-0.09393588639313141,-0.06397649717749446,1.0,0.2079757106006812,0.12375934937083152,-0.2175830187299154,-0.1648352405292091,-0.15460050629079444,0.12242832817566315,-0.2775705212877779,0.067819185052979,0.11094068002911042,0.3755064942771313,-0.1481160575150482,0.03654602014322626,0.223711557460667,-0.03628269807337277
Occipital_Inf_R,-0.09504421656553882,0.2048929980552039,0.06280598061635727,-0.22878449749136023,0.1400150053600271,0.2079757106006812,1.0,0.13971142593269395,0.008485388359314333,0.09391252865569015,-0.1055041817322898,0.14390586618725812,0.09511326042078884,0.12799152973198893,0.21353822273480602,0.2480241018962219,-0.04337415121863709,0.22375521905425305,0.17689284485573048,0.08890488298351128
Amygdala_L,0.046134012416837976,-0.10762074031972228,-0.4936325260786269,-0.3084820950900786,-0.12047763848508104,0.12375934937083152,0.13971142593269395,1.0,0.10468500894875007,-0.3175054645232076,0.08961927837690771,0.08033694266156828,0.18463637610959108,-0.23332159840228145,-0.197661311463942,-0.16321126577314177,0.004652201530225688,0.04088633601124958,-0.012771746383775288,-0.15153403757147352
Caudate_L,0.651952353066387,0.35380247229555606,0.02793572693887893,0.12921388264795833,0.40425154870109076,-0.2175830187299154,0.008485388359314333,0.10468500894875007,1.0,0.5390158347910506,0.6246844166340714,0.584040887106741,0.38361342032011514,-0.1375525890074284,-0.06000272526980733,-0.40773374255227235,0.5135590747127943,0.29691142746899357,-0.28481556461171836,0.37496643523897744
Rolandic_Oper_R,0.4958754050203805,0.648243810662967,0.469549208983649,0.2615717697052016,0.7628687084400407,-0.1648352405292091,0.09391252865569015,-0.3175054645232076,0.5390158347910506,1.0,0.48427125656314646,0.558064416448366,0.2896150709228189,0.08661827995697939,0.32296115731597197,-0.11862879242450333,0.551736620555228,0.19376197929515734,-0.04474657151695813,0.36982365577621784
SN_pr_R,0.674261844267289,0.27372507518184735,-0.09497486814590132,0.16924703311481282,0.4093653412261752,-0.15460050629079444,-0.1055041817322898,0.08961927837690771,0.6246844166340714,0.48427125656314646,1.0,0.4662239810093865,0.287316852081878,-0.2583612514830472,0.050427418606267316,-0.32970042239135744,0.6254821622516352,-0.02661168654313893,-0.2086239168003157,0.36386656665371175
Frontal_Mid_2_R,0.4041446188748112,0.6875077551181775,0.10846001349300069,0.15166680789400142,0.6833781730684615,0.12242832817566315,0.14390586618725812,0.08033694266156828,0.584040887106741,0.558064416448366,0.4662239810093865,1.0,0.2957366098751528,-0.011834633026764156,0.2850985699220646,-0.028043776884697877,0.3798855635601243,0.30029243522272697,-0.03332064638129972,0.35779773903303286
Thal_LP_R,0.3863584993836128,0.18848824843835743,-0.062327279549958536,-0.2290833104738621,0.2486096209882877,-0.2775705212877779,0.09511326042078884,0.18463637610959108,0.38361342032011514,0.2896150709228189,0.287316852081878,0.2957366098751528,1.0,-0.17493698834156787,-0.10437079787879298,-0.2576248855012237,0.3284089125689578,0.20154000004427286,-0.1687155092923774,0.1076924011872022
OFCmed_R,-0.24328825205297824,0.12865603511217863,0.3375515701257934,0.029194872753068854,0.08809013708773644,0.067819185052979,0.12799152973198893,-0.23332159840228145,-0.1375525890074284,0.08661827995697939,-0.2583612514830472,-0.011834633026764156,-0.17493698834156787,1.0,0.11059901374849948,0.2394222641695624,-0.17779373398972745,0.16856875625994838,0.030221401332650055,-0.19143982702326004
Angular_L,0.039170025787610224,0.4868536387408159,0.31732775846704536,0.23522471599545106,0.45428649901729673,0.11094068002911042,0.21353822273480602,-0.197661311463942,-0.06000272526980733,0.32296115731597197,0.050427418606267316,0.2850985699220646,-0.10437079787879298,0.11059901374849948,1.0,0.4320691855882709,0.030074342324729945,-0.1516050016848517,0.7073438604489398,0.4148506546956385
Cerebellum_Crus1_R,-0.43984189851768574,0.06129506461206197,0.23037193998396158,0.2040406042132299,-0.024927038340331487,0.3755064942771313,0.2480241018962219,-0.16321126577314177,-0.40773374255227235,-0.11862879242450333,-0.32970042239135744,-0.028043776884697877,-0.2576248855012237,0.2394222641695624,0.4320691855882709,1.0,-0.48349687814677467,0.004964696341202288,0.45193408609957914,-0.02500018500932395
Thal_PuI_R,0.7621574736815779,0.33461766780151597,0.005811078151959259,-0.023126740648659883,0.4534854756599097,-0.1481160575150482,-0.04337415121863709,0.004652201530225688,0.5135590747127943,0.551736620555228,0.6254821622516352,0.3798855635601243,0.3284089125689578,-0.17779373398972745,0.030074342324729945,-0.48349687814677467,1.0,0.041301259894190305,-0.12128552582304819,0.44530016821013607
ACC_pre_L,-0.007628092327100443,0.18083653391514878,0.09366511128839417,-0.12444001121068465,0.11845560402787961,0.03654602014322626,0.22375521905425305,0.04088633601124958,0.29691142746899357,0.19376197929515734,-0.02661168654313893,0.30029243522272697,0.20154000004427286,0.16856875625994838,-0.1516050016848517,0.004964696341202288,0.041301259894190305,1.0,-0.2430133442393803,0.08715025178117185
Occipital_Mid_L,-0.18683431931982916,0.21302789673293385,0.16001599356073534,-0.006238549868403853,0.15483087294880182,0.223711557460667,0.17689284485573048,-0.012771746383775288,-0.28481556461171836,-0.04474657151695813,-0.2086239168003157,-0.03332064638129972,-0.1687155092923774,0.030221401332650055,0.7073438604489398,0.45193408609957914,-0.12128552582304819,-0.2430133442393803,1.0,0.3042437795584585
Temporal_Sup_L,0.4345670692153911,0.40639073562289585,0.1844858503372437,0.15271502235998258,0.3834183618697581,-0.03628269807337277,0.08890488298351128,-0.15153403757147352,0.37496643523897744,0.36982365577621784,0.36386656665371175,0.35779773903303286,0.1076924011872022,-0.19143982702326004,0.4148506546956385,-0.02500018500932395,0.44530016821013607,0.08715025178117185,0.3042437795584585,1.0
