,Vermis_6,Thal_PuI_R,Thal_VA_L,Rolandic_Oper_R,Cerebellum_9_L,Frontal_Inf_Orb_2_R,Cerebellum_7b_L,Temporal_Sup_R,LC_L,Thal_PuL_L,N_Acc_L,Thal_MDm_L,Cerebellum_Crus1_R,Thal_VL_R,Paracentral_Lobule_L,Angular_R,Thal_PuI_L,Thal_PuM_L,Lingual_L,Thal_MGN_R,SN_pr_L,Vermis_9,Temporal_Mid_R,SupraMarginal_R,Rectus_L,Cingulate_Post_R,Thal_MGN_L,Frontal_Inf_Oper_R,Occipital_Mid_L,Thal_MDm_R
Vermis_6,1.0,-0.2748009091213139,-0.21506925900644824,0.3352584855378577,-0.15661145014940453,0.20211527603407636,-0.28923333637592663,0.5229888015390348,-0.16028271918960962,-0.08207834405159818,-0.053710465320838986,-0.24958672077386548,0.6552240577726147,0.02447866184382443,-0.13771769334128786,0.3450146399603557,-0.308814988463096,0.0038505553710999874,0.2524018049770678,-0.14595212615388878,0.27147306086943807,0.42983107591984027,0.6430359169001624,0.2515550405216647,0.24243766395295283,0.12054513275734391,0.29736666764377795,0.1787259942760634,0.33097702047925964,-0.06912100240915078
Thal_PuI_R,-0.2748009091213139,1.0,0.3986851905266466,-0.22279666312110757,0.16891906574980217,-0.23851754848074738,0.20134498991139496,-0.1624485361090798,0.1686777615304574,0.3425672508724584,-0.12412511527183082,0.48965961856663215,-0.30437292556710605,0.2254052484875418,0.3866252234055756,-0.1120784768191274,0.32339579574602656,0.566930779037589,0.23512760209085712,0.46477981964469534,0.07668027838823407,-0.09252210500588388,-0.018697811175858885,0.05585124283306998,-0.2500735132811784,0.2875768086614817,0.2796999186391966,0.08897236754670752,-0.004658316251872018,0.45451513019938244
Thal_VA_L,-0.21506925900644824,0.3986851905266466,1.0,-0.047723220378232276,0.1610616899848753,-0.11187402841729623,0.14894873813858922,0.015438521629610772,0.10137881993632646,0.2567762770790464,0.0826167489555582,0.6337084994024105,-0.27716457978268044,0.3878007949203904,0.2643619449411497,-0.18634361387545118,0.1719712324149769,0.3889422061920219,0.2430815606838677,0.5193292346738406,-0.05944268650603847,-0.03046415092583988,-0.023834307384898782,0.0735020603300738,-0.06531636625780952,0.18995967886689502,0.1482331640136337,0.07348788731587855,-0.05249483051047721,0.3694784394145955
Rolandic_Oper_R,0.3352584855378577,-0.22279666312110757,-0.047723220378232276,1.0,-0.49840851415315796,0.8664256593564871,-0.5444550883174666,0.8651976143158622,-0.2686737003973687,-0.5013886636194678,0.5685252042960397,-0.3305792394604525,0.32340623693921405,0.4838940903800056,-0.11008802110029865,-0.07994447841487802,-0.10458631741677427,-0.05906368920567899,-0.2806250826738283,-0.11349922710989897,-0.10909331602356238,-0.034131992362334496,0.4612170832411512,0.2195622481916668,0.6290972179978495,0.1585539452896372,0.03331758834262963,0.32782897167375635,-0.05737287456323784,0.0761138161832822
Cerebellum_9_L,-0.15661145014940453,0.16891906574980217,0.1610616899848753,-0.49840851415315796,1.0,-0.5248138647482292,0.2383164977673902,-0.37408341104800596,-0.026154948943519593,0.5995577914124183,-0.5073611534960383,0.16380864156060754,-0.05429369351656429,-0.38988932765042394,0.07599929120581422,0.2784448538712712,0.13044141439609358,0.06757737130174732,0.2430687098242055,0.25599443422891255,0.3546373365067941,-0.12083262088263139,-0.027411306849536087,0.09934892502607402,-0.45398882885957303,-0.04003669938888507,-0.10409768556333186,-0.003160711725420259,0.2635051840813854,-0.08162141480928847
Frontal_Inf_Orb_2_R,0.20211527603407636,-0.23851754848074738,-0.11187402841729623,0.8664256593564871,-0.5248138647482292,1.0,-0.6120367379841738,0.6377678432318865,-0.2388978382530911,-0.536377588047102,0.693242934055151,-0.3421565054789554,0.2716878008144549,0.462194174582543,-0.2651578853244435,-0.22989067488374987,0.009719590301717373,-0.0942839689344517,-0.5042719070563001,-0.1845362038815495,-0.16555270983785672,-0.13780913622103827,0.32045229322565116,-0.10042026216502431,0.6048188645903148,0.03485611606907484,-0.11017423722664225,0.16168154038153437,-0.032848493752048284,0.042034967262136604
Cerebellum_7b_L,-0.28923333637592663,0.20134498991139496,0.14894873813858922,-0.5444550883174666,0.2383164977673902,-0.6120367379841738,1.0,-0.5894725303368056,0.25706408124114416,0.34031306186740556,-0.402552511734973,0.4026437474048417,-0.3267977345903152,-0.246189320472139,0.33017940653530525,-0.06453655426305684,-0.03772441465893577,-0.1407261768436229,0.234090806673244,0.12182006186848036,-0.02302018734695143,0.2602635699405993,-0.52977676760778,-0.0334603626718472,-0.4449706350178427,0.11036918462112527,0.0680997592866659,4.285129938807363e-05,-0.27333978714631707,0.16112758289302584
Temporal_Sup_R,0.5229888015390348,-0.1624485361090798,0.015438521629610772,0.8651976143158622,-0.37408341104800596,0.6377678432318865,-0.5894725303368056,1.0,-0.26946826465875845,-0.3027333665930993,0.38372925932880747,-0.2787811103394277,0.5125379383465098,0.41331539194449257,-0.04360624266612921,0.10171134506769587,-0.09411240615837954,0.12116160732536714,0.035044552639315815,0.01564966761018055,0.03554950996715663,0.08748217823625602,0.7177876863114284,0.42035144206464475,0.4874026343872464,0.1440721839401581,0.20655009107467645,0.30913284856258416,0.11324489707785067,0.08690194149413547
LC_L,-0.16028271918960962,0.1686777615304574,0.10137881993632646,-0.2686737003973687,-0.026154948943519593,-0.2388978382530911,0.25706408124114416,-0.26946826465875845,1.0,-0.037396696539005285,0.03388166042937638,0.26625403566865624,-0.1895197925866516,-0.06921618383822443,0.36182322059737637,-0.22519852370492086,-0.05023091721254158,0.23652655704169565,0.2679523436033548,0.056846562946892026,-0.1584570300001543,0.28452052626475505,-0.25147387573377655,-0.24876177872203706,-0.3000765211805567,0.02229853998592821,0.11640044913447396,-0.049727432030635996,-0.11040460736046016,0.10870813103255093
Thal_PuL_L,-0.08207834405159818,0.3425672508724584,0.2567762770790464,-0.5013886636194678,0.5995577914124183,-0.536377588047102,0.34031306186740556,-0.3027333665930993,-0.037396696539005285,1.0,-0.7012167136185662,0.276046833343275,0.13241023894239404,-0.2710404566941228,-0.15333087288200353,0.37915044237548656,0.3589444320301272,0.0492184609756884,0.16784708712515528,0.430734425396938,0.4865182010569367,-0.06357809767454421,0.15066858213092116,0.2722845302415461,-0.5584526916705121,-0.06846576049134297,0.01958200780105948,0.06425368362545775,0.3512455446194185,0.051549345238063926
N_Acc_L,-0.053710465320838986,-0.12412511527183082,0.0826167489555582,0.5685252042960397,-0.5073611534960383,0.693242934055151,-0.402552511734973,0.38372925932880747,0.03388166042937638,-0.7012167136185662,1.0,-0.027919695043145308,-0.1509254166355265,0.4719240303527226,0.10630013325295475,-0.6086714102685734,-0.10551874758589178,0.23928242356508253,-0.13622707344048599,-0.06705710254033515,-0.6062799618887624,0.032593525715801715,-0.04946911418028177,-0.37081970090077804,0.5090957603001395,-0.0011699297167040814,0.05879210222821422,-0.06079592683821513,-0.3506501951539078,0.1844512346948622
