,Angular_R,Fusiform_R,Frontal_Inf_Tri_R,Occipital_Sup_R,Amygdala_L
Angular_R,1.0,0.19260296565877474,0.09301814036924623,0.6890774117734487,0.11508909604169532
Fusiform_R,0.19260296565877474,1.0,0.6223399815944353,0.5980082109064113,-0.2534708548171762
Frontal_Inf_Tri_R,0.09301814036924623,0.6223399815944353,1.0,0.31658572646856753,-0.45956752201022316
Occipital_Sup_R,0.6890774117734487,0.5980082109064113,0.31658572646856753,1.0,-0.006437717996444875
Amygdala_L,0.11508909604169532,-0.2534708548171762,-0.45956752201022316,-0.006437717996444875,1.0
