,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Raphe_M,Temporal_Mid_R,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VPL_R,Temporal_Inf_L,Vermis_1_2,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VL_R,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_R,Frontal_Sup_Medial_L,SN_pc_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L
Vermis_8,0.14989833461398994,-0.22695525550254397,-0.022346083097241988,0.15922216615791016,-0.3490444178717238,-0.06345943323411293,-0.18468115437454913,0.44767713881966376,0.3948587096301992,-0.1416539672690041,1.0,0.2329436825380739,-0.334433726153327,0.07131977172269433,-0.32631891955296544,0.11185692850974784,-0.6286735332966695,-0.06807817041348274,-0.3409517864027252,-0.2750599386251014,-0.12490018174166959,0.38549936626067893,-0.6010709784232523,0.2181250755355665,0.6513534089454797,0.31927925546415825,0.21364882276590433,0.3902233336193832,0.27639386317156234,0.22485743514458897,0.1916736143018803,0.24614613156760323,0.3718416702694081,-0.6252472689761035,0.06937510756852242,-0.33251847169515514,0.23004233216332243,0.25273585604183235,0.29518412567924673,0.11520560752191482,0.18873276664681807,-0.21871340286966065,0.07619750846367566,0.3137784015768294,0.19075596344567206,0.16263631579152027,0.22532721119331067,0.016987989958438976,0.34135346421091634,-0.006841303751424834,0.18621011539118468,0.18621368635770272,0.4395102527222229,-0.5357132426390996,0.3644124695461276
Thal_AV_L,0.07086908132927879,-0.18837703509549777,-0.39027474777055904,-0.05937716772389964,-0.12202046980624524,-0.22329863809040434,0.22955366396741,-0.030966284959573747,-0.05080660469572777,-0.13940160434978655,0.2329436825380739,1.0,-0.018800208972708378,0.04936672021943856,-0.03944445501557524,-0.31329949037392385,0.011561483959906221,-0.2000594092967657,0.112549640121491,0.0340873399338459,0.3499774826551819,-0.08583945406802988,-0.09688058387178108,0.16922719100865521,0.04850433349098891,0.0496135210509154,0.11700046590820283,0.17883337905086807,0.17219077348144282,0.2293573546750495,0.026596045962436723,-0.2913097600182454,0.15853551798966967,0.018342131915875987,0.21585159058787445,0.010382648609870256,-0.0818968182467646,0.20743335107793784,0.06566080636001935,0.22621650476188565,0.15366877261530124,0.17345778743502496,0.44529148543608155,0.007277516853914647,0.07242702190118433,0.02813918900745369,-0.02047598031162469,0.14750470920757566,-0.14796419520975576,-0.13705786844046688,0.09863068671816633,0.031203000202797374,0.008441088447431976,-0.0890586599452702,0.18937737852246916
Thal_MGN_L,0.08963638016671271,0.09688853766188431,-0.1594552676233851,0.20655009107467645,0.22017337615614915,0.009462741736691782,0.1847218144992448,-0.21230274661127538,-0.178879634963488,0.027927972649988433,-0.334433726153327,-0.018800208972708378,1.0,-0.11596435231670175,0.45838041257247225,-0.20016889535428023,0.462767568359174,0.05879210222821422,0.3270626058820907,0.3649270808861568,0.07068841111268753,-0.11017423722664225,0.5161122910425323,-0.35684810704141895,-0.38133866036040165,0.0018857139077089354,0.07660557397274649,-0.5458197893346032,-0.24640828886215432,0.04600718671330748,0.29736666764377795,-0.12198733725953552,-0.11839920140404768,0.33483798654179975,-0.24791018470986664,0.2764087157796623,0.17502602033551434,-0.14523357493330424,-0.12448007989749738,0.3504471311987951,-0.20532336514580696,0.43638399313400184,0.13654137402182026,0.03331758834262963,-0.30652594236185854,0.13889312789443978,0.07522947891129643,-0.13532287613653834,0.020217879452106735,-0.009815927537367253,-0.09116130813361624,-0.05587671118111786,-0.24117786230741883,0.5461202099835564,-0.16994875748766766
Paracentral_Lobule_R,0.22969947286432,-0.01099129150102601,0.09530106371498855,0.2084728029203682,-0.06404974375999067,0.2291621356760696,0.14424544366652098,3.8611313472057455e-05,0.22836965477809865,0.1701966118932075,0.07131977172269433,0.04936672021943856,-0.11596435231670175,1.0,-0.24386294369858136,0.16008734009598924,-0.14335523852304932,-0.11402282163149187,-0.10756270079500004,0.24712430675152405,-0.09364154000711136,-0.021277836447603376,-0.13437333971524515,0.441915686089601,0.24265961334203315,0.1842652320656452,-0.12765408117798088,0.488966937102429,0.7191353888686084,0.592292653167797,-0.08327405084911559,-0.05537190722247924,0.06261295260920087,-0.06100149363913936,0.7343899125818225,-0.0992668668565842,0.27244623153307024,0.40680972657237907,0.3355710183812265,0.2860022281999113,0.04199672163048517,-0.09482012146406976,-0.17840340959312218,0.06968706038512851,-0.0008059394305500138,-0.027031250800120827,0.0739563229834274,0.6580761638886155,0.10977304077822178,0.13074367184075955,0.17628254354921602,0.17513398326579496,0.0909851899356021,-0.25697777339103645,0.04861990982855012
Vermis_9,-0.021376889992863097,-0.0814025903378807,-0.26462463594889435,0.08748217823625602,0.12583848772353906,-0.16611298369647973,0.32754657794604874,-0.17895865531856997,-0.3200885940751571,-0.08535984627299592,-0.32631891955296544,-0.03944445501557524,0.45838041257247225,-0.24386294369858136,1.0,-0.39969009865744537,0.5180036757190379,0.032593525715801715,0.16192603756249194,0.24862663597432116,0.21555736866994105,-0.13780913622103827,0.4158161115234556,-0.2318626272328427,-0.4828304967301059,-0.2957417249510882,0.003031816544671718,-0.4098757171357014,-0.2657464848262651,-0.10799354215144816,0.42983107591984027,-0.09507879791192385,0.00841854782924751,0.3036421251476891,-0.3122930610862197,0.2482413616664071,0.1383613712059601,-0.257155600618906,-0.34832149113645744,0.037195425251052384,-0.04525352989788964,0.477805472159349,0.08095780103504571,-0.034131992362334496,-0.006034185050111887,-0.13780950836650613,-0.2731787411107638,-0.2179211679933152,0.20819962076769405,-0.2575592333360636,-0.11855634846169019,-0.24661640766226864,-0.14455281600730382,0.5288246867333677,-0.21718421212564687
Amygdala_R,-0.07962740456275001,0.3749387536664094,0.7078103513343441,0.532319709617081,-0.2916427899549102,0.7057879030503011,-0.6453667335783172,0.5771626656861356,0.761077952046648,0.26854700998976033,0.11185692850974784,-0.31329949037392385,-0.20016889535428023,0.16008734009598924,-0.39969009865744537,1.0,-0.5487693145211457,0.48112077893792704,-0.20769782094306585,-0.2278518839726955,-0.8150068254644062,0.6074863240023934,-0.39012005081008416,0.1613144367404103,0.5207858931112673,0.6523755005741825,0.10708768570618045,0.2226813970366711,0.08110771604138373,-0.00708560577271458,0.05439218582903564,0.1885444071529439,0.1532506087176198,-0.4249533331494361,-0.039033605283603855,-0.46567094669270426,0.3934782849421327,0.22005594558717578,0.2853503710929199,-0.21669365253703884,-0.20407983057828535,-0.7241516768420292,-0.13480341433446638,0.5303886994483618,0.04267635537504425,0.43647351412398167,0.4910492206823876,-0.07908399129038679,0.23960115762924572,0.6643698619935792,0.18845709821439569,0.47564770896996567,0.5804442569525078,-0.47134486694948846,0.43084691428097677
Temporal_Sup_L,-0.2274320842516533,0.06701647795298306,-0.42570015303380365,-0.4491404457467082,0.48524567270080216,-0.34183368588743507,0.48173830221855934,-0.6713269716492354,-0.5916214918484443,0.0829801002690574,-0.6286735332966695,0.011561483959906221,0.462767568359174,-0.14335523852304932,0.5180036757190379,-0.5487693145211457,1.0,-0.05721707743181162,0.563428802862756,0.6553586092356974,0.4925924823744836,-0.5898732634296789,0.8652446834243881,-0.07056005399711257,-0.7668843956753505,-0.41155477754702735,-0.039145225010609054,-0.4474170575523984,-0.2727817062384813,-0.34815632391346923,-0.0921818963610252,-0.2704938715273424,-0.43485499121473065,0.7686760844179276,-0.0933808814752065,0.5551146203843199,-0.3975741103843386,-0.20421934032362088,-0.18929110106253896,-0.01373893412086698,-0.07108851568253244,0.6120760078107275,0.09050753535331048,-0.5749418587970618,-0.30150657148515847,-0.13672846626421603,-0.2887886122871424,-0.13667636509203235,-0.43566344929793555,-0.22840879999312005,-0.07598266737190865,-0.2813865562336733,-0.6325494445307301,0.8369204938643734,-0.4177071077966435
N_Acc_L,-0.6062799618887624,0.12676293886245676,0.34042085033626995,0.38372925932880747,-0.11252065716109351,0.29610114170688384,-0.6797141842226252,0.2583749148085736,0.3044471546454902,0.37883697080842504,-0.06807817041348274,-0.2000594092967657,0.05879210222821422,-0.11402282163149187,0.032593525715801715,0.48112077893792704,-0.05721707743181162,1.0,-0.027919695043145308,0.22580551091171747,-0.3898135248228483,0.693242934055151,0.013297972532594685,-0.01950661125685869,0.24400821593217964,0.6182467035845028,0.5997299090337735,-0.29695298114922825,-0.3887001555928246,-0.37081970090077804,-0.053710465320838986,-0.04093790127171424,-0.1447084715947463,-0.1582744311566037,-0.4386925766202736,-0.3625449706296509,-0.04946911418028177,0.35766178418069605,0.43991313076895233,-0.5574275838808854,-0.1716145597492492,-0.4167062114922867,0.025080167984566297,0.5685252042960397,-0.34200346271008086,0.4719240303527226,0.5915289529583245,-0.6109606832279633,-0.1509254166355265,0.6671190187565852,0.46314819063220125,0.5407091224513715,0.26351006203143773,0.04482862399869053,0.5090957603001395
Thal_MDm_L,-0.18981402940713346,0.29150633738676074,-0.13321618641383723,-0.2787811103394277,0.5066374160013128,0.05162359166703481,0.24235240514698714,-0.46659249838143463,-0.37986625346157715,0.20840285530572938,-0.3409517864027252,0.112549640121491,0.3270626058820907,-0.10756270079500004,0.16192603756249194,-0.20769782094306585,0.563428802862756,-0.027919695043145308,1.0,0.35477160304760597,0.2710517199531863,-0.3421565054789554,0.6547186472518834,-0.15293227966702172,-0.4627606944866976,-0.09841739616214568,-0.05589379147160586,-0.3998335506058652,-0.23971818100304992,-0.15993189507823896,-0.24958672077386548,-0.3526866357259156,-0.42693636929180534,0.5764804906812935,-0.06905681186940746,0.5786268824440868,-0.19862272247948543,-0.052568658998247655,0.03471212994818794,0.3290892511957407,-0.060711408780213146,0.4770650554059741,0.1888959289984501,-0.3305792394604525,-0.15896484286354517,0.3944614737148058,0.21091988619644284,-0.09392372166234284,-0.31488480420446097,0.057578048796492885,-0.006133390845221863,-0.1530646930508863,-0.5041566898971717,0.5665855555661717,-0.31510922621170223
Precentral_L,-0.14770198986312966,0.06820709138052969,-0.28476800684004633,-0.1682722263432235,0.23388801624264127,-0.15219351393297678,0.18195738070516398,-0.26923973304150556,-0.17707636022506418,0.2618721710258492,-0.2750599386251014,0.0340873399338459,0.3649270808861568,0.24712430675152405,0.24862663597432116,-0.2278518839726955,0.6553586092356974,0.22580551091171747,0.35477160304760597,1.0,0.2394234077463736,-0.12346982508125127,0.6077315146425637,0.3850284090014298,-0.35272047436312826,0.039564361155561924,0.20808575658585274,-0.19360483646974297,0.02621992211445163,-0.2569572883160665,-0.10556606585423534,-0.16330750712476735,-0.23170597769462498,0.4003949341413837,0.13107668495730995,0.17269733953533373,-0.15036198038128284,0.2058871005223359,0.3655874354221386,-0.0006488063569859605,-0.08554818283012186,0.27235230911103364,0.06831261316401784,-0.19401409732234945,-0.23085577039981017,0.055540676074964795,0.10684177268039134,-0.14971224593749155,-0.3666027852628742,0.08119715651848022,0.36364481663269826,0.045205918366693604,-0.24285413682492296,0.5561633243504545,-0.16430988365277424
