,Thal_IL_L,Temporal_Pole_Sup_R,Red_N_L,Vermis_4_5,Angular_L,Occipital_Sup_L,Olfactory_L,Cerebellum_6_L,SN_pr_R,Cingulate_Post_R,OFCpost_R,Thal_PuL_L,Thal_MDm_L,Putamen_R,Amygdala_R
Thal_IL_L,1.0,-0.06006565415336465,0.4362291909222953,0.33497365920235544,0.5474723226785635,-0.011602562645434373,-0.0773797755628916,0.5180816459981815,-0.25790802277576325,0.4329616357484478,-0.3949100635309813,0.432372158052932,0.4566089554134974,-0.0907803054343485,-0.459506669741026
Temporal_Pole_Sup_R,-0.06006565415336465,1.0,-0.4400244093569035,0.005816999220777668,-0.45069716284173866,0.44557772283724884,0.28429820339335804,-0.3818708075004536,0.1245198230570982,-0.09443238128606359,0.3964574708577956,0.029427225817707393,-0.24007869130364676,0.2286787331340037,0.35810883359391865
Red_N_L,0.4362291909222953,-0.4400244093569035,1.0,-0.020983553084421604,0.47749424439754223,-0.2604867228720181,-0.47961005252023664,0.4085701915977507,-0.31300096652554377,0.11696290298488081,-0.11168615191566915,0.3472169279365112,0.39512336673304943,-0.19382286051700054,-0.3151596560354171
Vermis_4_5,0.33497365920235544,0.005816999220777668,-0.020983553084421604,1.0,0.3006783564425667,0.03387002187062941,0.11258555902371804,0.21937100159227488,0.04270961015651061,0.2146548888985719,-0.08923403968092274,0.0981537855532003,0.047493040893189425,0.11597746055857308,-0.010259050523788182
Angular_L,0.5474723226785635,-0.45069716284173866,0.47749424439754223,0.3006783564425667,1.0,0.061644733394687685,-0.30311640008808843,0.6930622840589304,-0.6078968216010896,0.2025276873359281,-0.4552317250407015,0.4925428724225189,0.3745378482008337,-0.48351255563268225,-0.6645206559760137
Occipital_Sup_L,-0.011602562645434373,0.44557772283724884,-0.2604867228720181,0.03387002187062941,0.061644733394687685,1.0,0.004602574057695852,-0.11783325309760777,-0.2691104379539158,-0.012758192306112935,0.0618030696602832,0.41195273525585185,-0.15896484286354517,-0.2215611545673304,0.04267635537504425
Olfactory_L,-0.0773797755628916,0.28429820339335804,-0.47961005252023664,0.11258555902371804,-0.30311640008808843,0.004602574057695852,1.0,-0.16570720099804506,0.5141917271242982,0.41560117949806785,-0.26080683482931327,-0.5833049278195961,-0.34699002021840086,0.28874268629323946,-0.033429030815903656
Cerebellum_6_L,0.5180816459981815,-0.3818708075004536,0.4085701915977507,0.21937100159227488,0.6930622840589304,-0.11783325309760777,-0.16570720099804506,1.0,-0.512217293222478,0.22122966849962417,-0.41788014613931745,0.26389286009980134,0.4623719264646415,-0.25165929242364193,-0.7995949361166047
SN_pr_R,-0.25790802277576325,0.1245198230570982,-0.31300096652554377,0.04270961015651061,-0.6078968216010896,-0.2691104379539158,0.5141917271242982,-0.512217293222478,1.0,0.23112446834487743,0.17050204047209078,-0.5990608391194029,-0.1348667362273852,0.6540460767658504,0.5067992823968286
Cingulate_Post_R,0.4329616357484478,-0.09443238128606359,0.11696290298488081,0.2146548888985719,0.2025276873359281,-0.012758192306112935,0.41560117949806785,0.22122966849962417,0.23112446834487743,1.0,-0.46446583661012586,-0.06846576049134297,0.1465043094069309,0.19150612273840412,-0.358048657944334
OFCpost_R,-0.3949100635309813,0.3964574708577956,-0.11168615191566915,-0.08923403968092274,-0.4552317250407015,0.0618030696602832,-0.26080683482931327,-0.41788014613931745,0.17050204047209078,-0.46446583661012586,1.0,0.036678055012300204,-0.13321618641383723,0.416273782357482,0.7078103513343441
Thal_PuL_L,0.432372158052932,0.029427225817707393,0.3472169279365112,0.0981537855532003,0.4925428724225189,0.41195273525585185,-0.5833049278195961,0.26389286009980134,-0.5990608391194029,-0.06846576049134297,0.036678055012300204,1.0,0.276046833343275,-0.4302772889640338,-0.1928661244473726
Thal_MDm_L,0.4566089554134974,-0.24007869130364676,0.39512336673304943,0.047493040893189425,0.3745378482008337,-0.15896484286354517,-0.34699002021840086,0.4623719264646415,-0.1348667362273852,0.1465043094069309,-0.13321618641383723,0.276046833343275,1.0,0.18101556310926034,-0.20769782094306585
Putamen_R,-0.0907803054343485,0.2286787331340037,-0.19382286051700054,0.11597746055857308,-0.48351255563268225,-0.2215611545673304,0.28874268629323946,-0.25165929242364193,0.6540460767658504,0.19150612273840412,0.416273782357482,-0.4302772889640338,0.18101556310926034,1.0,0.5154183703795705
Amygdala_R,-0.459506669741026,0.35810883359391865,-0.3151596560354171,-0.010259050523788182,-0.6645206559760137,0.04267635537504425,-0.033429030815903656,-0.7995949361166047,0.5067992823968286,-0.358048657944334,0.7078103513343441,-0.1928661244473726,-0.20769782094306585,0.5154183703795705,1.0
