,Thal_MDm_L,Putamen_R,Frontal_Sup_Medial_R,Frontal_Med_Orb_R,Angular_R,Vermis_1_2,Cuneus_L,Parietal_Inf_L,Olfactory_L,Cerebellum_7b_L,Thal_VA_R,Cerebellum_7b_R,N_Acc_R,ParaHippocampal_R,Thal_VL_R,LC_L,Red_N_R,Vermis_9,Raphe_D,ACC_pre_L,Insula_R,Frontal_Inf_Orb_2_R,Thal_AV_R,Frontal_Inf_Tri_R,Fusiform_R,LC_R,Parietal_Inf_R,Rectus_L,Caudate_L,Supp_Motor_Area_L,Cerebellum_3_R,Vermis_10,SN_pr_R,ACC_sup_R,Raphe_M,ACC_sub_R,Occipital_Mid_R,ACC_sub_L,Frontal_Inf_Orb_2_L,Frontal_Inf_Oper_R,OFCant_R,Thal_LGN_L,Thal_MGN_L,Frontal_Sup_Medial_L,Fusiform_L,Hippocampus_R,ACC_pre_R,Caudate_R,ACC_sup_L,Thal_VL_L,Cerebellum_Crus2_L,Occipital_Mid_L,Cerebellum_6_R,OFClat_L,Frontal_Med_Orb_L,Thal_IL_R,Temporal_Inf_R,Heschl_L,Thal_PuA_L,OFCant_L
Thal_MDm_L,1.0,0.18101556310926034,-0.11970810418025553,-0.5041566898971717,-0.31585139696030634,0.4770650554059741,0.24235240514698714,-0.08775864788901704,-0.34699002021840086,0.4026437474048417,0.057578048796492885,0.06388024269840768,0.007803835453198114,-0.17020667385037325,0.3944614737148058,0.26625403566865624,0.20840285530572938,0.16192603756249194,0.2710517199531863,-0.35424259549820036,-0.21724627264188012,-0.3421565054789554,0.3116655482119704,-0.22857500571906939,-0.29718224456814774,0.31625868179056876,-0.09392372166234284,-0.31510922621170223,0.21091988619644284,-0.06905681186940746,0.6539665057985466,-0.3277986096570868,-0.1348667362273852,-0.016522390874841773,0.5786268824440868,-0.3397662935869352,-0.4737468761588482,-0.3526866357259156,0.39440258964270886,0.047030398180317214,-0.3155533318776665,0.04176583559790752,0.3270626058820907,-0.006133390845221863,0.2773249137938451,-0.09841739616214568,0.060837282320335105,0.206811811553069,0.35206732297839743,0.675145288904299,0.4735967272906717,-0.17350146967019994,0.17972279827418283,0.5066374160013128,-0.46780900750206394,-0.008690668155864285,-0.37986625346157715,0.6513271114364775,0.09037137373312111,-0.3230162015553801
Putamen_R,0.18101556310926034,1.0,0.40179109369443927,0.3411148891758701,-0.40944150402733137,-0.23780390134641052,-0.5042518412772412,-0.25628029361331867,0.28874268629323946,-0.32240641362108496,0.7654608399589384,-0.16219310293113462,0.7301924797498126,0.668233239301016,0.7291697429625423,-0.11129550374060532,0.35432255981963895,-0.0038273621933551786,-0.42983196039814886,0.5907555243553745,0.6709798702645666,0.7215059435797002,0.5152496297720652,0.6005805322974545,0.47191938957135854,-0.22386396599371697,-0.42869099362717095,0.5480937172494829,0.7893298491042371,-0.28809589658844226,0.015905852493423883,0.434193551307042,0.6540460767658504,0.5989504715096243,-0.20349127651427243,-0.062155128957656,0.3331902926921194,-0.06813721213244552,0.29002270964949434,0.15331655778394387,0.5545774830450433,0.28188837716727994,0.128143093659812,0.4837021739101566,-0.05375718210568425,0.7402204810640796,0.6761088209673091,0.9092359616434942,0.6531379804939411,0.06362670325968833,-0.3293592365497353,-0.14451201026809513,0.04488297402229854,-0.07264874758465699,0.26764759872704463,-0.2550590756110463,0.4001128192033761,-0.09551778069784929,0.027758354119964468,0.4251557313133376
Frontal_Sup_Medial_R,-0.11970810418025553,0.40179109369443927,1.0,0.13078925223956278,-0.11790604072573493,-0.19939256081763887,-0.3668032240301219,-0.19047160395000834,0.2392463301164794,-0.04661976134352417,0.38116641469081963,-0.33556473381460195,0.3610456447043572,0.24069796845785427,0.1930164055110082,-0.02987859823512988,0.19079895801755317,-0.13755609056029683,0.055847771618807156,0.5758456343856054,0.19527446866478343,0.4475024299991556,0.05197673753700684,0.5653893467129587,0.09827337947704869,-0.036766984907122664,-0.1361342640401068,0.3814784422031302,0.3822687962000875,0.1146268294393449,-0.17205894934024804,0.03441489307820885,0.4369867380397047,0.6929009665735234,-0.20361673108409017,-0.08268553027383432,0.11664453804638893,-0.02585188989090342,0.34469842699782705,0.38583595375599417,0.3434326167956324,0.329655302414454,-0.14994892612359295,0.8486216600005833,0.13633143008731718,0.38553970645508545,0.4804938151524463,0.5657185122974547,0.5026225436171653,-0.07836751559818259,-0.05605541296860569,-0.19486764665580297,-0.28727641313427565,-0.060477359441101546,0.05962744034849835,-0.03427057414680827,0.09269697766472028,-0.23072257531479262,-0.07379485955723156,0.3560111146041326
Frontal_Med_Orb_R,-0.5041566898971717,0.3411148891758701,0.13078925223956278,1.0,0.21282911919585595,-0.6188922100454,-0.3656887991778997,0.22900415564377208,0.4574000170383411,-0.7801793146002854,0.24414889269991857,0.03283215470497548,0.2797759485660385,0.6290358209591165,0.198401611351863,-0.31957801096065996,-0.0424807844476057,-0.14455281600730382,-0.6001568741218875,0.4894587852955818,0.7292992877288972,0.6740568134515854,-0.035077540316211894,0.5638575303429633,0.7642534712216129,-0.49720574243543314,-0.007175758441544011,0.5213544730162212,0.3245815234699302,0.016734221438191477,-0.5508944788153973,0.7890081197920431,0.5069677285797931,0.23466365254418542,-0.6985855977911861,0.19574045375159868,0.8630514445315464,0.2068050255434162,-0.4857365574783521,0.12476876737521747,0.5146272737688188,0.019982655535472876,-0.24117786230741883,0.15075424219135058,-0.5189323705247129,0.5990028169398134,0.20818196030806563,0.22510420159861422,-0.0702460026758468,-0.4154976830657983,-0.7983412820279021,0.4143815504504771,0.005606981253025748,-0.6547552071335199,0.8674250259178731,-0.024900849213156013,0.7981013230932594,-0.6081525105526623,0.11262813064084523,0.5872952156700654
Angular_R,-0.31585139696030634,-0.40944150402733137,-0.11790604072573493,0.21282911919585595,1.0,0.08983918313908693,0.5682805075368547,0.4831700006506039,0.13645243972423135,-0.06453655426305684,-0.46738748614907694,0.36026215355373614,-0.6022581187678184,-0.25030202479663927,-0.3757777743220405,-0.22519852370492086,-0.3884159234819207,-0.1142705128689504,0.109852553149823,-0.15616292859168227,0.03287259153869108,-0.22989067488374987,-0.6205989501546867,0.09301814036924623,0.19260296565877474,0.013196171760381641,0.7498378640091844,-0.07264061399868511,-0.19836620830154814,0.4635352703057895,-0.24962480782324792,0.032651736766627755,-0.16132374949542694,-0.2767435444812574,-0.1612370006334735,-0.17136433039824087,0.21579612426977596,0.06792819201703584,-0.5956342555382783,0.4340597364912092,-0.13513136973629117,-0.2794481586428664,-0.12772997951701193,-0.27666820746906934,-0.11444185339947932,-0.18570003619983175,-0.5690782515656618,-0.43069573923521814,-0.6213505556491006,0.05779228848838385,-0.09335071751282707,0.5129609321710978,0.10100065327597571,-0.37275391117463624,0.27468557876071525,0.468248496160313,0.1799216572096765,-0.43780956570522644,0.29300104888353623,-0.011861416212024153
Vermis_1_2,0.4770650554059741,-0.23780390134641052,-0.19939256081763887,-0.6188922100454,0.08983918313908693,1.0,0.6663154632640302,-0.02020326772652295,-0.0902461949904386,0.7348075444779999,-0.39946474870505844,0.36374868735222404,-0.4340579865128605,-0.5891575875509686,-0.16680155001115138,0.3044307384083475,-0.18738214513783844,0.477805472159349,0.6256194349700235,-0.4101538318117385,-0.44822557363729304,-0.5886626145531303,-0.12820107185856747,-0.4876589800636029,-0.45985911700150894,0.6936370215187366,0.09063081011432296,-0.4439974167511022,-0.2788812819461738,0.012036041328107663,0.7600467581017782,-0.5382455799817556,-0.45186167253057274,-0.2803859833090093,0.7124847399684133,-0.142614870208496,-0.5808958566407495,-0.11728673656137677,0.27767426713424664,0.20084581264692727,-0.44481210594445264,-0.103245828069485,0.43638399313400184,-0.20216734263607156,0.4476310799475683,-0.5053248426619071,-0.34821867482746777,-0.26357660705107255,-0.022948957799590428,0.5431515882414742,0.78202102828705,-0.11050509784859436,0.4551835836382478,0.44544449085036586,-0.5671250010862706,0.3498826025966399,-0.6261653774237095,0.4291279136420901,0.36799967310553705,-0.45792713503445626
Cuneus_L,0.24235240514698714,-0.5042518412772412,-0.3668032240301219,-0.3656887991778997,0.5682805075368547,0.6663154632640302,1.0,0.464331640277881,-0.13584882441365623,0.46372250399123993,-0.5968131021639896,0.5358692117408053,-0.6231952833407861,-0.6184743352102343,-0.4379489624352191,0.13364312889663474,-0.31194807131004976,0.32754657794604874,0.510267216245492,-0.5901883908708753,-0.4674488851230434,-0.7277151985721715,-0.4794121324112556,-0.4964423533557137,-0.33626600732465134,0.5232365915126326,0.543064477248844,-0.4541869561069997,-0.4727777707919742,0.35324032405324246,0.3357859918877967,-0.37434884716909045,-0.5443925053226367,-0.5326463762322218,0.40282252090429965,-0.18000053365749627,-0.4030648879532634,-0.2325181527329069,-0.12697502909055008,0.19878422343272534,-0.5516268646827217,-0.27957492379611387,0.1847218144992448,-0.3893022643798241,0.24184551060040985,-0.5736149134198808,-0.7492011996643506,-0.5786255991387173,-0.432464560505162,0.47081512359625455,0.5551169768797434,0.3568557279382704,0.29931442521962986,0.2007630331687875,-0.3043075763365727,0.46225819781752775,-0.4096452458088571,0.2684455714213484,0.5276780273363842,-0.5040488987005587
Parietal_Inf_L,-0.08775864788901704,-0.25628029361331867,-0.19047160395000834,0.22900415564377208,0.4831700006506039,-0.02020326772652295,0.464331640277881,1.0,-0.03062011904116758,-0.11426129021500007,-0.22458042435602457,0.19912714524741634,-0.26307909142439484,-0.13312407237080004,-0.3238810002935687,-0.0629006240619762,-0.09026105614269342,-0.09521048506843204,0.08174701668062957,-0.17297077053337587,-0.09837192225595108,-0.1490290427019179,-0.3212669149745488,-0.12383056753665639,0.07111355328066847,-0.13384587889183805,0.4427325405390851,-0.15098260750602177,-0.25210351055247593,0.5450849588581839,-0.15809288329429694,0.079067471918708,-0.18848474526552503,-0.2939788747941261,-0.050855686310688215,0.0785022281065207,0.15175680986585954,0.004691633330242459,-0.2881196649038094,0.031475155872825684,-0.04667405216021637,-0.06301556992046467,-0.3558951857442962,-0.01606172742942665,0.00455916901039851,-0.1264992652847527,-0.4349671448738712,-0.3458328714552103,-0.22105338853726325,0.07538675022489139,-0.17108200136579618,0.6268427582343016,-0.07018861155095439,-0.154423531589881,0.18802345751425453,0.2706834255238446,0.10310251130154126,-0.07230626138455742,0.3769847298672871,-0.050816287165742643
Olfactory_L,-0.34699002021840086,0.28874268629323946,0.2392463301164794,0.4574000170383411,0.13645243972423135,-0.0902461949904386,-0.13584882441365623,-0.03062011904116758,1.0,-0.34156413844718203,-0.010721658114137512,0.22885418587012388,0.21297730947015808,0.24508100820683137,0.13572676249718124,-0.036294908857180945,-0.1224460173694119,0.22446364048389275,-0.08120298093096738,0.5756378748207531,0.45585366205149774,0.4833682433561146,-0.2605196271294527,0.3084629994594845,0.46453947151921804,0.16274652347707225,-0.2919627052615644,0.4898445162156797,0.24102551980324058,-0.28666498230900145,-0.26276033078028554,0.44591692683768225,0.5141917271242982,0.2578628356330183,-0.4884780767241949,0.1310856113114873,0.5388394125157155,0.09858009704672824,-0.05501647237068797,0.2591080317334391,0.2032399908630683,0.3559816435089771,0.0942102760683117,0.16767771264065487,-0.18631203818825273,0.3789568154260983,0.09681156334887145,0.28100276767729,0.07790710838562456,-0.44997510161669957,-0.31820337494150275,-0.03931782423314521,0.1181500136486411,-0.5839414663152092,0.45897562253742824,0.3141095359410488,0.3200257094159241,-0.36484456390327324,0.22270755172411197,0.6053652801775996
Cerebellum_7b_L,0.4026437474048417,-0.32240641362108496,-0.04661976134352417,-0.7801793146002854,-0.06453655426305684,0.7348075444779999,0.46372250399123993,-0.11426129021500007,-0.34156413844718203,1.0,-0.3361293703400019,0.05020454174316757,-0.375983282977092,-0.7323571218736499,-0.246189320472139,0.25706408124114416,-0.1348069517391354,0.2602635699405993,0.7379843971850549,-0.4530932698603367,-0.7415561960623319,-0.6120367379841738,-0.06753463863449549,-0.5652798795334018,-0.6828568777323669,0.5989916535355982,0.04639585006091783,-0.4449706350178427,-0.4184291538890353,0.018474721803696886,0.5596897124155302,-0.8681090586601248,-0.5566852618442815,-0.17415893491068146,0.725867222806758,-0.19282692999855536,-0.793541537648076,-0.18419826329515762,0.3596856166566864,4.285129938807363e-05,-0.4076008356878813,-0.04776901845235282,0.0680997592866659,-0.16567806555350195,0.7350885443218306,-0.6447875772163879,-0.24807429601180314,-0.22692541623688844,0.049007782290198754,0.38429080449961556,0.8862388100241446,-0.27333978714631707,0.18014709016325273,0.5949994406912072,-0.7379100132012612,0.12644139675396038,-0.8427473775881416,0.2963795688308196,-0.006377656826022085,-0.6113210411392608
