,Amygdala_R,N_Acc_L,Thal_VA_R,Olfactory_R,Thal_PuM_R,Vermis_4_5,Vermis_6,Temporal_Pole_Mid_R,ACC_sup_R,Thal_MDl_R,Frontal_Mid_2_L,Cingulate_Mid_R,ParaHippocampal_R,Frontal_Sup_2_R,OFClat_L,Cerebellum_9_L,Cuneus_R,Hippocampus_R,Thal_VA_L,Paracentral_Lobule_L,Cingulate_Mid_L,ParaHippocampal_L,Cerebellum_7b_R,Thal_VPL_L,LC_R,Raphe_D,Fusiform_R,Parietal_Inf_R,Temporal_Pole_Sup_R,Fusiform_L,Heschl_R,Rolandic_Oper_L,Cerebellum_6_L,Caudate_R,Heschl_L,ACC_sub_L,ACC_pre_L,Vermis_3,Precuneus_L,Rectus_L,Precentral_R,Rolandic_Oper_R,Putamen_L,Thal_VL_L,Cerebellum_8_R
Amygdala_R,1.0,0.48112077893792704,0.6643698619935792,0.07109062709706755,-0.27086638671145596,-0.010259050523788182,0.05439218582903564,-0.025641393306599855,0.31719340265564894,0.3749387536664094,0.0459083322707783,-0.13841285806144946,0.778481963808626,0.15584210205243815,-0.2916427899549102,-0.1672327695128612,-0.3897214430822429,0.6523755005741825,0.035736031306256036,-0.3335274147211052,-0.3447739898074756,-0.4249533331494361,-0.2246370419853228,-0.2732928497485348,-0.7146654413159905,-0.8150068254644062,0.6146779860585563,-0.07908399129038679,0.35810883359391865,-0.5231308585536314,0.7057879030503011,-0.13156585091697937,-0.7995949361166047,0.44170161726325935,-0.27815722995493963,0.1885444071529439,0.32119413143112363,-0.5350139220111962,0.08110771604138373,0.43084691428097677,0.07578244666577595,0.5303886994483618,-0.4969755891647726,-0.24740040486053302,-0.5096922011926276
N_Acc_L,0.48112077893792704,1.0,0.6671190187565852,-0.06960863214435158,-0.19654661008223892,-0.0913086932453897,-0.053710465320838986,0.15925191991903578,0.5229642106462715,0.12676293886245676,0.40731208156230564,-0.0077721091575804644,0.6097243929792332,0.20394365533584624,-0.11252065716109351,-0.5073611534960383,-0.7086358907322766,0.6182467035845028,0.0826167489555582,0.10630013325295475,-0.2000350578106297,-0.1582744311566037,-0.21990926222462,-0.5968105117621626,-0.18915668709203998,-0.3898135248228483,0.32544940922765137,-0.6109606832279633,0.12874097244474636,-0.14140993010575706,0.29610114170688384,0.22193192909948284,-0.3080673164866425,0.7691185354296545,0.05388757673794547,-0.04093790127171424,0.6403070208110268,-0.22779010709086453,-0.3887001555928246,0.5090957603001395,0.143023479779842,0.5685252042960397,0.16563467127894788,-0.32889522354914635,-0.5331403527714117
Thal_VA_R,0.6643698619935792,0.6671190187565852,1.0,0.07544482011384857,0.04178390035192275,-0.01098952190157509,-0.11981801564987309,-0.058653963680125265,0.6186461525949257,0.3915811291711362,0.45314120601554836,0.2271911850455028,0.6999441804500087,0.44017483707021665,0.04034290944608194,-0.26475034933649344,-0.587550563585956,0.7019128519546317,0.3023182654620763,0.05648701301281649,0.06371973599406928,-0.05651204126124496,-0.3143206570581166,-0.19583669594206862,-0.4511187611726645,-0.46303379892315044,0.36246849747053306,-0.26228515131996927,0.07359856960005809,-0.06845603324521989,0.6264831848359897,0.13975963946444464,-0.3904615162546173,0.6998067256080003,0.006671058840773332,-0.07246857301682019,0.40565946497806427,-0.1790758998812356,-0.14090120465989073,0.4369393391417846,0.2915521004682358,0.5460528678583823,0.060581226271965084,0.06834918723040535,-0.38127157551045293
Olfactory_R,0.07109062709706755,-0.06960863214435158,0.07544482011384857,1.0,-0.14310564882087837,0.14678075569899715,-0.05878524412289513,0.11267174032423484,-0.13254823658735093,0.11236063215089646,-0.0740098560786752,-0.1306593952984448,-0.18344058809683167,-0.16785763170125714,0.30995712407915393,0.34802004017136345,0.054775257614375295,-0.2589553034233007,0.1540015718884469,0.16770675378309818,-0.1363822583536606,0.3772545744436915,0.1904035557011764,0.21769598485091546,0.13904205366512307,0.00816778381743475,-0.20839559920045536,0.022710259317253,-0.1540727240809674,-0.08634351266643145,0.06966540781731848,0.29883157968049134,0.15295044985841977,-0.14122707546095642,0.3223124763111006,-0.05342614397031549,-0.3127330912470528,0.28649724093710677,-0.09270420274120297,-0.1829587692604774,-0.03955374162483811,-0.31378632427760533,0.20161289934273013,0.22024179760965112,0.3130099555400509
Thal_PuM_R,-0.27086638671145596,-0.19654661008223892,0.04178390035192275,-0.14310564882087837,1.0,0.21978998678094994,0.12445714264315433,0.07364996970463997,0.19623050146993393,0.0816641959159635,0.344339159991807,0.40133708654321043,0.022609782709632167,0.12897070671184482,0.16495557564814348,0.08155222478779316,0.2700563088617562,0.16294602073110934,0.36748640689833684,0.4034709473397182,0.5858285442331546,0.2586551457833236,0.11933684928928037,0.5783599252224655,0.2305670693261811,0.2663530987644557,0.04422788814943418,0.2627901161308458,0.03193673282351291,0.12784068536987298,0.0972085368892884,0.21062781031095115,0.18420726638636192,0.021018731131512834,0.21426552087268047,-0.24272305174892905,-0.07406567819961865,0.4361847443972223,0.20951135968683812,-0.09812937659241194,0.4333876203647353,0.08198297046769575,0.2929652581747235,0.7158432670125184,0.2767340173327989
Vermis_4_5,-0.010259050523788182,-0.0913086932453897,-0.01098952190157509,0.14678075569899715,0.21978998678094994,1.0,0.6137073986610377,0.21267356487086958,-0.2535702415453939,0.019362706235118102,-0.21983487993090203,-0.00992858094342809,0.09910654923017753,-0.29578572496019867,-0.1441773321510254,0.021060852250790147,0.3417189423323899,0.09174340619033818,0.06316532671467147,0.09104235431637676,-0.021195163245957046,0.08777002864587963,0.6090381773443472,0.1442745611354526,0.28285870362417775,-0.16835537180070764,0.3068102086303082,0.23611762851280937,0.005816999220777668,0.01025443985107516,0.1828399974219645,0.02255215200272048,0.21937100159227488,-0.08721715439534973,0.0022676943816835903,-0.21413946855364796,-0.22838788735716262,0.26010823639031755,0.19968650787014597,0.09096282983792915,0.055699915314407725,0.1641073130274745,0.04398778630768375,0.21965225990201453,-0.09285950846475839
Vermis_6,0.05439218582903564,-0.053710465320838986,-0.11981801564987309,-0.05878524412289513,0.12445714264315433,0.6137073986610377,1.0,0.33498265354257056,-0.14458535885624668,-0.1519246327368759,-0.20541974734444013,-0.17237121417908283,0.1352487834015911,-0.20168613690812245,-0.387972441621536,-0.15661145014940453,0.23893917366856157,0.149796158677388,-0.21506925900644824,-0.13771769334128786,-0.1125796607362494,-0.3648493536122702,0.5713541700485684,-0.10344308590334962,0.18238795662829765,-0.270424105396205,0.4848443300176406,-0.00042921947335582686,0.3250999470547007,-0.4063257574096265,0.027683503587418678,-0.23997748222254367,-0.07406822051895619,-0.015522099243724455,-0.37476094547944855,0.13482321484513163,0.16936862892536947,-0.1436434251380005,0.18579369952857602,0.24243766395295283,-0.10569690025728012,0.3352584855378577,-0.13046684194775857,-0.1376405059879307,-0.2956512134918834
Temporal_Pole_Mid_R,-0.025641393306599855,0.15925191991903578,-0.058653963680125265,0.11267174032423484,0.07364996970463997,0.21267356487086958,0.33498265354257056,1.0,-0.11876045480458354,0.01608064995707548,-0.02305337431016454,-0.32088290781854123,0.12146242966102087,-0.41438380444558426,-0.1762073513758855,-0.09368872794551107,0.06397586734448177,-0.023792477879511345,-0.0955593825525853,0.1055322214764443,-0.2366946542779654,0.028905332448831964,0.48609011739942776,-0.043265015317019644,0.24341872361802086,0.019825590102039756,0.16499905652386243,-0.24161145880693385,0.37591408599742426,-0.30186534341973015,-0.10589984028735959,0.23077314947698754,0.007523656247099218,-0.11165431450976007,0.1701296341167403,0.04719163545015611,0.17744319029167954,0.07967215475432761,-0.12203456743211492,0.04809875528563608,-0.039718221253900156,0.15698820641455605,0.19126575816128938,-0.07147971966344169,-0.05353962140413914
ACC_sup_R,0.31719340265564894,0.5229642106462715,0.6186461525949257,-0.13254823658735093,0.19623050146993393,-0.2535702415453939,-0.14458535885624668,-0.11876045480458354,1.0,0.023683190942973605,0.5472310692166698,0.4609445427259544,0.49199292897075464,0.6806798444178531,-0.05390458780494958,-0.3744902664730964,-0.5292870690156416,0.6068173460924112,0.2256801597725227,0.17316933982541483,0.3677767183156335,-0.1488016968163485,-0.41628341414111847,-0.28523190441644836,-0.20699602796554667,-0.08574134216283948,0.27367737737160425,-0.24921135181424706,0.1460490493678273,0.06606936847314303,0.2967278875403494,-0.0944973332901869,-0.30540253472545176,0.6443753047384703,-0.1948340270555772,0.0078112260252989375,0.5661880326107334,-0.25033249937289964,-0.1467154448560404,0.4940339818621394,0.31506585073441157,0.5669335844216359,0.04494542025421143,0.03419579821259659,-0.32719502863257716
Thal_MDl_R,0.3749387536664094,0.12676293886245676,0.3915811291711362,0.11236063215089646,0.0816641959159635,0.019362706235118102,-0.1519246327368759,0.01608064995707548,0.023683190942973605,1.0,0.04684996116223662,-0.00885314333212529,0.3720676124160481,-0.047440950842352954,0.23526246293545558,0.00547228278567054,-0.185517304402333,0.20458059913568383,0.37295785545302024,0.017943376884378016,-0.05649252329840869,0.30065151126305967,-0.09329102279460962,0.24203176731066697,-0.36099345282668405,-0.256335299246158,0.09833366763597709,-0.09855224771612227,0.03583733107098517,-0.0889230385366996,0.45321855220605317,0.3199326967101546,-0.10791642005598195,0.15600035496456785,0.29572928833099155,0.05929290253682626,-0.11151098391585218,0.20640788864659693,-0.17786667445281754,-0.0015221015773368546,0.017065119243031363,0.05377408732787507,0.1405409330188104,0.2651168901927843,0.11950003482886322
