,Thal_MGN_L,VTA_R,Cingulate_Mid_L,OFCpost_L,Frontal_Mid_2_R,Thal_PuA_R,Cerebellum_4_5_R,Paracentral_Lobule_L,Precentral_R,Occipital_Inf_R,Cerebellum_3_L,Red_N_L,Fusiform_R,Vermis_6,Temporal_Sup_L,Thal_PuL_R,Thal_LP_L,Vermis_1_2,Cerebellum_3_R,Thal_PuM_R,SN_pr_R,OFCpost_R,Temporal_Inf_L,Rectus_R,Temporal_Sup_R,Parietal_Inf_L,Cuneus_R,Frontal_Inf_Tri_R,SN_pc_R,Calcarine_L,SN_pr_L,ACC_sub_L,Thal_MDl_R,Rolandic_Oper_R,Angular_R,OFClat_L,LC_L,Occipital_Mid_R,Cerebellum_Crus2_R,Temporal_Inf_R
Thal_MGN_L,1.0,-0.006116082447450777,0.04450770696834735,0.191178178874399,-0.14523357493330424,0.5603854117401129,-0.0725223190951803,0.4524516071258429,0.1346638224955915,-0.21230274661127538,0.16028255063779098,0.16469286443060352,-0.03402804324557347,0.29736666764377795,0.462767568359174,-0.0661113496253006,-0.2914682250183931,0.43638399313400184,0.5301600813322667,0.4912437084983328,0.005436156123578593,-0.1594552676233851,-0.20532336514580696,0.021747981026595267,0.20655009107467645,-0.3558951857442962,0.038766932593310384,-0.08356036877618525,-0.05587671118111786,0.31305861258669393,0.08963638016671271,-0.12198733725953552,0.09688853766188431,0.03331758834262963,-0.12772997951701193,0.22017337615614915,0.11640044913447396,-0.18521724654090713,0.07514223074816186,-0.178879634963488
VTA_R,-0.006116082447450777,1.0,-0.11874203142081143,-0.06803695264035794,0.02728524354406697,-0.10596736627216376,-0.01271836239346334,0.01717726960490895,0.13052873343701313,-0.03927318762246427,0.10507027371719654,0.2525521252959861,-0.02555000138991917,-0.19311211528060365,-0.006170720702849352,-0.07115506783520477,0.009496321590550846,-0.09362223855378868,0.23772530226156913,-0.06022160817713787,-0.13839604012480453,0.5305868040179249,-0.3765201379509431,-0.33795656863148055,0.06871426692152248,-0.006889861413980634,-0.07519373960839433,0.0800490985617651,0.12005435089626114,-0.04178555534896359,0.11608167954953715,-0.04757310430428317,0.39029767003757365,-0.02386557247223765,-0.24061427141220126,0.34719707181769593,0.04821976389660716,-0.08805672950563152,-0.10602072342952866,0.06547459549958694
Cingulate_Mid_L,0.04450770696834735,-0.11874203142081143,1.0,-0.11263614736317451,0.6034131638863844,0.41843698987502237,0.055746601615623684,0.4058214203319583,0.5864188407776909,-0.24837290346520519,0.5023608509547596,0.40002403289972777,-0.2062778413848542,-0.1125796607362494,0.13191481402763483,0.20861301213769146,0.26913370097149525,0.3163769043737437,0.2681456632868543,0.5858285442331546,0.04367392706082898,-0.21797340134333168,0.02708442966254487,-0.09367712937451875,-0.11622946030754072,0.2723313008224104,0.13063807908523384,0.1742250558811334,0.20161664084264658,0.18033761376479437,0.14157539767751637,-0.18392109838154747,-0.05649252329840869,-0.029664471387683758,0.22892421379696834,0.2069284300683944,0.07614432670783516,-0.3024814981020469,-0.2599234773660862,-0.15438719380804627
OFCpost_L,0.191178178874399,-0.06803695264035794,-0.11263614736317451,1.0,0.15052303135030326,-0.049723266891267555,0.044560118916878194,0.09525414913991181,0.1372620955637218,0.15515466073767908,-0.05563653118600331,-0.1637201845810385,0.21348798039886469,-0.09942974518154248,0.015354956564279149,-0.026875112308550945,-0.13312062359648197,-0.19066970773605027,0.004609863000361618,0.0017783478767366123,0.3308541293405012,0.21038446646097012,-0.09457691974489192,0.3250008229619056,0.13601782802775852,-0.23885095418598315,-0.32480744545163037,0.3778597680865101,0.25667348418690206,-0.3502982585853829,-0.3459823803050039,0.07411350043961566,0.07501923245768727,0.2577941179324344,-0.3374203361380339,-0.04422186392000181,-0.005878511804980027,0.2229959887548466,-0.17173444488691972,0.19287085492915457
Frontal_Mid_2_R,-0.14523357493330424,0.02728524354406697,0.6034131638863844,0.15052303135030326,1.0,-0.06760109798686649,0.3069955369842403,0.18430646962265113,0.6892159295441475,0.12216311615650538,0.0926512482945027,0.05364759635826171,0.20605548857280068,-0.03797098124522723,-0.20421934032362088,0.17155411721629216,0.07756530056103864,-0.227561090109574,-0.15534303136242478,0.19379219918810014,0.49018281942910624,0.19286997387611893,-0.11367599851651675,0.20099109547569374,0.21824826675518058,0.12147882599701953,-0.3108376095423596,0.6605060734248555,0.5646925071527953,-0.32033077212384453,-0.15444910702214995,-0.159749300345997,-0.08100758934000706,0.4194259141190899,-0.055956591666878504,-0.04496994901160085,-0.12842174377882717,0.13131569593260653,-0.31670778344327805,0.2710796413497456
Thal_PuA_R,0.5603854117401129,-0.10596736627216376,0.41843698987502237,-0.049723266891267555,-0.06760109798686649,1.0,-0.27664070894901516,0.6345937788195851,0.2730423122998914,-0.4986644649069153,0.43569132278406275,0.5026853166676708,-0.3485750919567298,0.008983331510188127,0.6861684882631862,-0.28036919954544864,-0.19055305788531632,0.653826996877816,0.6243445952463772,0.6294911564495473,-0.217994119392422,-0.5234866898246547,0.07478303247338675,-0.06508870681515956,-0.10985921187287619,0.031400663950247605,0.24609049116648885,-0.32365146041938736,-0.18573463746332733,0.6193307484074417,-0.018245846746806335,-0.3838759487143552,-0.039465213975003036,-0.23163791973866837,0.01691685255542862,0.28693582685381386,0.25359535393225835,-0.4868542177364861,0.007956506638722214,-0.5004845480457395
Cerebellum_4_5_R,-0.0725223190951803,-0.01271836239346334,0.055746601615623684,0.044560118916878194,0.3069955369842403,-0.27664070894901516,1.0,-0.2927966249113189,0.14298132818203724,0.516869444128994,-0.17280845049488305,-0.2890453688324934,0.8155630934453455,0.41567051869174965,-0.48422552751410564,0.5710085752107537,0.12519027099750032,-0.25942484734953225,-0.17824514647442247,0.19254241735910638,0.47493681766036927,0.29444890391496426,0.1808471100740253,0.25956305117615336,0.6048061055068314,0.19890501682481318,0.13707597713275388,0.5420471510880361,0.4070293304851071,-0.14261728426378664,0.23966359984151536,0.16993951136001695,0.17373525871609138,0.5325404291157916,0.2822497378335915,-0.356560707912917,-0.298592633398899,0.549144389871063,0.41072606271570367,0.6962707230897058
Paracentral_Lobule_L,0.4524516071258429,0.01717726960490895,0.4058214203319583,0.09525414913991181,0.18430646962265113,0.6345937788195851,-0.2927966249113189,1.0,0.5560930548607438,-0.4729586780971649,0.4938301738838247,0.48985504302892185,-0.35432491681093486,-0.13771769334128786,0.5759104229870935,-0.2967681646073542,-0.31831724016749535,0.44914727497898405,0.530911786493563,0.4034709473397182,-0.017358802590993126,-0.25567968923800083,-0.06503452107527267,-0.02230236961761313,-0.04360624266612921,-0.28705234876892405,-0.13149706434565714,-0.09355296717770338,0.013930773806255396,0.2145163981049713,-0.15097533482216716,-0.23238046581937916,0.017943376884378016,-0.11008802110029865,-0.20793063414200294,0.34194104938779274,0.36182322059737637,-0.464564988882686,-0.2015104694222689,-0.3537286310774571
Precentral_R,0.1346638224955915,0.13052873343701313,0.5864188407776909,0.1372620955637218,0.6892159295441475,0.2730423122998914,0.14298132818203724,0.5560930548607438,1.0,-0.04025803824386596,0.2831715850144152,0.24370693317806297,0.08621981247135317,-0.10569690025728012,0.06456467895314168,0.1823713100810651,0.002977455749924506,0.009238389958480918,0.1395205388198491,0.4333876203647353,0.2071702403494524,-0.00896000914307336,-0.05404055149344631,0.13832082319693625,0.2152975134658613,0.15961957805085178,0.017571319037354025,0.49412587321568346,0.28465842133962266,-0.0015953935383846772,0.04445015384485682,-0.21545271491917037,0.017065119243031363,0.20211921048527762,0.11622747410081065,0.01557515185654874,0.0374409964290991,-0.004003909828412142,-0.16038871538897884,0.14142718014176772
Occipital_Inf_R,-0.21230274661127538,-0.03927318762246427,-0.24837290346520519,0.15515466073767908,0.12216311615650538,-0.4986644649069153,0.516869444128994,-0.4729586780971649,-0.04025803824386596,1.0,-0.531421834504537,-0.6217662350613472,0.732396107210193,0.377016877663987,-0.6713269716492354,0.425406546508641,-0.0016416332921515059,-0.5958284653617006,-0.48472862931366517,-0.14995771647483677,0.5416530607278465,0.30731557625393163,0.15385357012674142,0.43191071447163243,0.6625781830714768,0.1295463781802656,-0.10472183955351021,0.5435375717615898,0.362493976458844,-0.5290487535661141,0.13926504173087118,0.3244673983900227,0.028835599503170474,0.6981117352357967,0.16599464371875924,-0.6843975312473138,-0.2615735524056978,0.9105359056714879,0.28089903701745567,0.764140459061141
