,LC_L,Frontal_Med_Orb_R,Thal_IL_R,Temporal_Sup_L,Postcentral_R,Thal_LGN_R,Insula_L,Frontal_Inf_Oper_L,Vermis_3,Vermis_8
LC_L,1.0,-0.31957801096065996,0.035458991693284,0.4802549961366074,-0.11422166259063384,0.21649286896580763,0.4371367361362076,0.3827501548975163,0.4216077483561895,-0.2962552560747254
Frontal_Med_Orb_R,-0.31957801096065996,1.0,-0.024900849213156013,-0.6325494445307301,0.2404359697584584,-0.022045864086886698,-0.6786752691190876,-0.4965836965657499,-0.6669971165335181,0.4395102527222229
Thal_IL_R,0.035458991693284,-0.024900849213156013,1.0,0.12484879334028105,0.16377753099678952,-0.05576630042667112,-0.07196295490797092,0.1691783028942377,0.17242460234750404,0.2681148281060599
Temporal_Sup_L,0.4802549961366074,-0.6325494445307301,0.12484879334028105,1.0,-0.17390708772627436,0.3525085905034263,0.8652446834243881,0.8180565720644825,0.7682711505637981,-0.6286735332966695
Postcentral_R,-0.11422166259063384,0.2404359697584584,0.16377753099678952,-0.17390708772627436,1.0,0.10865026121926376,-0.17188467622560022,-0.13721059612417588,-0.11382541931419951,0.053125786413405374
Thal_LGN_R,0.21649286896580763,-0.022045864086886698,-0.05576630042667112,0.3525085905034263,0.10865026121926376,1.0,0.3201634838388641,0.2620748563857245,0.25007271015818233,-0.30260527499821144
Insula_L,0.4371367361362076,-0.6786752691190876,-0.07196295490797092,0.8652446834243881,-0.17188467622560022,0.3201634838388641,1.0,0.7798839586513248,0.7686668295665032,-0.6010709784232523
Frontal_Inf_Oper_L,0.3827501548975163,-0.4965836965657499,0.1691783028942377,0.8180565720644825,-0.13721059612417588,0.2620748563857245,0.7798839586513248,1.0,0.5891086500611223,-0.3830557595686354
Vermis_3,0.4216077483561895,-0.6669971165335181,0.17242460234750404,0.7682711505637981,-0.11382541931419951,0.25007271015818233,0.7686668295665032,0.5891086500611223,1.0,-0.5034295811624363
Vermis_8,-0.2962552560747254,0.4395102527222229,0.2681148281060599,-0.6286735332966695,0.053125786413405374,-0.30260527499821144,-0.6010709784232523,-0.3830557595686354,-0.5034295811624363,1.0
