,Cingulate_Mid_L,Temporal_Mid_R,ACC_pre_R,Vermis_3,Frontal_Med_Orb_R,Olfactory_R,VTA_L,Rolandic_Oper_L,Occipital_Inf_R,N_Acc_L,Raphe_M,Frontal_Mid_2_L,Temporal_Sup_R,Parietal_Sup_L,Thal_MGN_R,ACC_sub_R,Thal_MDl_L,Vermis_1_2,OFCmed_R,Lingual_L,Frontal_Sup_2_L,Temporal_Inf_L,Occipital_Sup_R,Cerebellum_7b_L,Parietal_Inf_R,Frontal_Inf_Orb_2_L,Vermis_9,Frontal_Inf_Oper_L,Occipital_Sup_L,Temporal_Pole_Sup_R,Cerebellum_Crus2_L,Putamen_R,Temporal_Pole_Sup_L,Supp_Motor_Area_R,ACC_sub_L,Cerebellum_Crus1_R,Thal_PuI_L,Cerebellum_4_5_R,Thal_PuL_L,Frontal_Inf_Tri_R,Cerebellum_3_R,Thal_VA_R,Paracentral_Lobule_L,Rectus_R,Insula_R,Heschl_L,Angular_R,VTA_R,Angular_L,SN_pr_R,Cingulate_Post_R,Vermis_6,Frontal_Sup_2_R,OFCant_R,Vermis_7
Cingulate_Mid_L,1.0,-0.25835455519597095,0.40448344313425805,0.7515564614275421,-0.1981189126845607,-0.053814894749188755,0.575214601549981,0.5856912768468924,-0.0033743740479681324,0.11165781268450137,-0.02838050699536463,0.784335700484897,0.1310270039694802,0.5463402496185235,0.4458340322789797,0.31942529767657735,0.489896801057118,0.6965955784352442,0.12487055687620965,0.1283542908177327,0.8446138274459374,0.33858560710835806,-0.19174945719509506,0.04295292524707351,0.29300001014310395,0.5849080597196471,0.04847211952759883,0.3600927389528053,-0.09236080562592197,-0.07280952916543418,-0.0441828882470541,0.25022583589324754,0.44426858177382106,0.7600101807586684,0.08790012583268351,-0.02018571118791003,0.7123561216349976,0.8577105789702707,0.37890702784469166,0.5701333577402307,0.6978988311837443,0.5393190666835012,0.9131491730498437,0.3011703679446707,0.16896251840163248,0.6064043163890462,-0.10727972040424663,0.6210209573055111,-0.05050074871382227,0.31294653794064015,0.8560493960628724,-0.22443753886433393,0.8660754959773627,0.4491484967548299,-0.04234900623185595
Temporal_Mid_R,-0.25835455519597095,1.0,-0.23426167306386597,-0.3402686620017612,0.29571923897138175,-0.11205946133297028,-0.6292774223145887,-0.24566370590141878,0.2013807575218745,-0.3658834561431172,0.4465089972063036,-0.5596816139379075,0.6339093356299268,-0.5478390005941199,-0.5369496707125377,-0.09779291674169267,-0.10070753176597455,-0.5639409810004935,-0.056396735926770164,0.5616954466200056,-0.3932250179323203,-0.156714471392162,0.4152868772434367,0.1759134710494726,-0.1327894213052574,-0.5100886100035039,-0.08726839834814684,0.3724642981690839,0.5254291845583022,0.03673547316735473,0.32726896882690604,0.33998693812117203,-0.28879228358653547,-0.4271750682566735,0.08570820415800534,-0.14804686887154742,-0.11294568381120129,-0.4467379346497432,-0.12713974844976866,-0.4117603986345575,-0.6459877596988869,-0.25957064653394457,-0.27500301410023015,-0.4115380104785359,0.4185361619979003,-0.18775763734681086,0.49622295223926605,-0.5916303870206238,0.5733052861808849,-0.17864178387272153,-0.0864519364152831,0.6740398908544997,-0.45940893066987903,-0.6579047282601912,0.34523116985243196
ACC_pre_R,0.40448344313425805,-0.23426167306386597,1.0,0.39994982505911575,-0.2170410903886757,0.4355349176451908,0.33918618094898795,0.19921502180631293,0.058389085164086245,0.26738357199745044,0.1204532960481238,0.5881918525491568,0.18486343221496843,0.22704495555758625,0.31195155424915616,0.38986120165832966,0.286268077605127,0.3580781223181819,0.028397241633055154,-0.0943570909558017,0.4838933066148867,-0.06567376183799103,-0.08173465382578336,-0.02725475562072949,0.3980126185204246,0.7285353065283597,0.24651867682976913,0.2051555691659643,-0.11335885729184406,0.07786831864097758,-0.053636555716167884,0.5147837745753937,0.4914087063332374,0.24544510445159326,0.09765283147324114,-0.09248450462071094,0.06300224851241087,0.4036577672968228,0.1539392248812331,0.7386081550090322,0.3925169924467785,0.5463519219266907,0.29360313346045824,0.24273145291950413,0.4955743944656556,0.20243656524333206,-0.11724164124429352,0.28496419659706657,-0.3619175681343656,0.2299608702802165,0.2218652105282409,-0.2984994697697632,0.5387807064749925,0.3320247580144318,-0.2471962898505026
Vermis_3,0.7515564614275421,-0.3402686620017612,0.39994982505911575,1.0,-0.21263067512003578,-0.04856332549351193,0.61583238053011,0.3416053056968391,-0.014402202266062576,0.13877819049980333,-0.07342226558641178,0.7955046941702725,0.0944776717284392,0.4856731628293542,0.5100244620817646,0.39015333706404565,0.38280048258177407,0.8147228115948866,0.12195051430712431,-0.008401891313499827,0.7558972845453041,0.4047568256589476,-0.21398781507792075,0.007204197340877526,0.260644937690448,0.5434292714592064,0.1273102877874051,0.1701096334688973,-0.23752966681466914,0.06299121471187322,-0.07909643793399297,0.1750985709437407,0.3461592235227267,0.8435057952898184,0.12502315476619774,-0.04223702771880703,0.6008841259037695,0.8556472711270291,0.20824571886944218,0.7327034704180748,0.7039782909479376,0.5405622331222627,0.7481844643554286,0.24922832551846977,0.13223450223781458,0.39071496453643406,-0.15899537400173697,0.6222204661648137,-0.29373132811947494,0.19169307549741918,0.7131145460616275,-0.3375502634272807,0.7666188970150143,0.46548037894485284,-0.2116426038004802
Frontal_Med_Orb_R,-0.1981189126845607,0.29571923897138175,-0.2170410903886757,-0.21263067512003578,1.0,0.06420130076390741,-0.40510590957347753,-0.2876583969899807,0.2938588178642607,-0.18675862892704007,0.26494425329552884,-0.4414298885574959,0.18957463223550053,-0.16966806148010077,-0.47240498142870085,-0.17224841686248665,-0.09605497345330309,-0.43085855533700124,0.12444506854374142,0.5215732325620358,-0.378247560536535,-0.05590189717780024,0.5467104053034101,0.27553174343090236,0.28368833685726014,-0.3810560550473015,-0.033575333577608946,0.2906829252594637,0.5811569989218813,0.2602211522314693,0.4732569901580888,0.3265790530387814,-0.08180195237947616,-0.30961125535269296,0.052262353772400266,0.22300498039525107,-0.09170842559073833,-0.376453113759671,-0.2973684742641682,-0.3101991860345989,-0.4600503935769581,-0.23028529702485387,-0.2326662230479786,-0.340902220641016,0.320912445347631,-0.14295742993438268,0.5270186011080883,-0.36161511989142897,0.5228955363282736,-0.2063131702386271,-0.06643603367259014,0.5779254674607494,-0.32008878610419633,-0.5476413749000516,0.539021853684367
Olfactory_R,-0.053814894749188755,-0.11205946133297028,0.4355349176451908,-0.04856332549351193,0.06420130076390741,1.0,0.0007175703156928284,-0.1296703848211455,0.05623458662033507,0.3671650182407648,-0.018847972146624592,0.12061277922877421,0.05027454144509415,0.08238761375686776,-0.009017958977905692,-0.07793693286988124,0.15707773547938197,-0.004817480802852351,-0.08051012922643079,-0.10775682336205425,-0.011934093652031495,-0.2557125341284768,0.0779744981769817,0.05592833618245634,0.23785953908527152,0.2801010955709483,0.23359058778388214,-0.030829605295713488,0.008111851213552965,0.21487902390347097,0.025481638824112543,0.28583576686776385,0.24453785177300377,-0.11605310060025616,-0.07907037230029687,-0.1364717875368309,-0.3275796806889741,-0.05943009738422632,0.09774694722427424,0.28650089800221834,0.03812295023460585,0.12255045022874386,-0.08124794144382325,0.08294651820955751,0.30547895873281333,-0.13004209944001432,0.029076889412860085,-0.007694077272016889,-0.1808619238492698,0.10644882558367057,-0.15124319176534187,-0.1316523586324461,0.08205305095041653,0.04686788924376856,-0.14171705172439128
VTA_L,0.575214601549981,-0.6292774223145887,0.33918618094898795,0.61583238053011,-0.40510590957347753,0.0007175703156928284,1.0,0.4949191373877754,-0.28241868880604715,0.36662725303448385,-0.5063613167367171,0.766421137581677,-0.31371377353606605,0.67229009879729,0.7149142088827702,0.3793535589921064,0.27883424003546353,0.7179593000568124,0.24941105247606424,-0.4102397478592311,0.704073472890578,0.35878467760334337,-0.5604782258056382,-0.20926070738731645,0.11144679259718074,0.6743316271484928,-0.0354265234989566,-0.19176013817949297,-0.5194442682579328,-0.0675515956703428,-0.4545561536269941,-0.16681424840355413,0.5122918936822819,0.6271653839318467,0.04067674786690741,-0.18213043593099246,0.4094478633978627,0.6453254775330785,0.22120043991592306,0.5253057921522385,0.8191808029751384,0.5448551229771373,0.5398166415439061,0.6249379840618232,-0.23575530066816214,0.3557426362638662,-0.5518112738652382,0.915863561706229,-0.4818121151547198,0.38716338295663016,0.37846006697416956,-0.6809672755395314,0.7730025133201099,0.8496759405743247,-0.4325488098304562
Rolandic_Oper_L,0.5856912768468924,-0.24566370590141878,0.19921502180631293,0.3416053056968391,-0.2876583969899807,-0.1296703848211455,0.4949191373877754,1.0,-0.16149593564270454,0.18220107245443481,-0.2429359590269224,0.5390157004611622,-0.14881008727671224,0.12985099585278995,0.47163825731317377,0.17653341931946423,0.47860938933859826,0.5114072807155233,0.06855082715692688,-0.055157470098707556,0.7016389799507681,0.28186761968918433,-0.3146348924074243,-0.34225721962703237,-0.21013335685843543,0.5862982212097514,-0.2828259652418467,0.3564226083641568,-0.43296834919156235,-0.0672345326511516,-0.3954021597352816,-0.05244038639733187,0.5535278002517531,0.3676537747569836,0.01111417876829506,-0.15005406101046975,0.6392413104573605,0.47769662539990876,0.19692136927661755,0.14508174646680871,0.5373766053369605,0.5774978441636314,0.44750879210215183,0.2461303671380081,-0.168152065869065,0.8651269996621068,-0.33223664270944264,0.5061111738117211,-0.13619076557468787,0.34994215776666054,0.39594040275152714,-0.27762233545995346,0.5960707914380181,0.4815335678385041,-0.13854551226907572
Occipital_Inf_R,-0.0033743740479681324,0.2013807575218745,0.058389085164086245,-0.014402202266062576,0.2938588178642607,0.05623458662033507,-0.28241868880604715,-0.16149593564270454,1.0,-0.1643783083719075,0.41515558453625956,-0.14986804431202078,0.22092146902767165,-0.20927376846341453,-0.2938094142836792,-0.011405312080292699,-0.08195285815724074,-0.1492592910323836,-0.015114738436914833,0.2818756218824244,-0.10439596239308653,-0.09566764859839241,0.38286398071071537,0.1797462580063541,0.20956678232008738,-0.12985139754163547,0.0894521351512191,0.30434352346014404,0.3102264995200295,0.12345248664127999,0.42641379518197237,0.3059288497805185,-0.05257485826138668,-0.03010882307137331,0.10860520991005375,0.16737702100482515,-0.07665770860125552,-0.06479192325978922,-0.09442850663877059,0.03605944905201738,-0.265640613546133,-0.08052234324342114,0.006053747328894139,-0.39231833267457855,0.287963381038734,-0.032603809261609044,0.43026659564715225,-0.20385880111127014,0.2449377353700264,-0.18830017357671647,0.10005176734980625,0.3508581536342661,-0.17195210406198097,-0.34729677716497004,0.24125314145143142
N_Acc_L,0.11165781268450137,-0.3658834561431172,0.26738357199745044,0.13877819049980333,-0.18675862892704007,0.3671650182407648,0.36662725303448385,0.18220107245443481,-0.1643783083719075,1.0,-0.36003909573664683,0.373339341295295,-0.18960514610714876,0.2276666995412015,0.3117554016321818,0.05474068669668564,0.4211533020473038,0.24934636097352464,0.04128130193741195,-0.3598767995252833,0.21763212745763982,-0.061771140937689685,-0.18252851860809052,-0.28497145916420213,0.025851097060638345,0.42811372092278405,0.029889450954156307,-0.10345731881373657,-0.35135554069132346,0.17234676711778035,-0.3288761027419117,-0.11695599575104176,0.3820475568074503,0.10875379711459353,-0.15771301971311477,-0.3088032642844007,-0.1066402770943835,0.1438869610337531,0.1720200668914591,0.29629563044726315,0.3608291519177715,0.32801927294413136,0.09491462848482367,0.33473549625578103,-0.07043387347257207,0.09281082409024606,-0.32175517508627227,0.3493275405608564,-0.3698531078003798,0.3718468386784828,-0.03000526430957366,-0.45678649634510254,0.2921794362011626,0.37225094757056437,-0.41237342338876637
