,Temporal_Mid_R,Thal_PuM_L,Calcarine_L,Thal_LGN_L,ACC_sup_R,Thal_VL_R,Supp_Motor_Area_R,Thal_IL_L,Frontal_Inf_Tri_R,Precuneus_L,Cerebellum_8_R,Putamen_R,Frontal_Inf_Tri_L,Frontal_Inf_Orb_2_R,ACC_sub_R,SupraMarginal_R,Parietal_Sup_R,Cerebellum_4_5_L,Fusiform_R,Cerebellum_6_R,Vermis_3,Rectus_R,Frontal_Sup_Medial_R,Cerebellum_10_R,Cerebellum_3_L,Raphe_D,OFCant_L,Thal_MDl_R,Paracentral_Lobule_L,Lingual_L,Vermis_7,Frontal_Mid_2_L,Cerebellum_9_R,Cingulate_Post_L,ACC_sub_L
Cerebellum_8_R,-0.6484832550659386,0.37366291859057826,-0.3365474322704844,0.44397729509345135,0.14606712153097712,0.16939608740115972,0.6767501406934301,0.5658014130477299,0.4002066459688335,0.39076435869501003,1.0,-0.2661753376227389,0.6880641169139171,0.005315931119498533,0.16458442009169255,0.14049466503300712,0.46935461821812074,0.46790493369325453,0.5786183738004878,0.11024125929282803,0.5098429450352245,0.2650986311160954,0.5777670624747331,0.440227136573678,0.6523317551323062,0.3433713089664856,0.1472172948007652,0.4541236843682112,0.55973090331794,-0.30076647723240413,-0.0853083129656309,0.6560862672919595,0.002035476303385274,0.5248423999721801,0.07829797296634583
Putamen_R,0.33998693812117203,0.30349530995138263,0.4696605291006811,0.1867584081006296,0.4307853060266342,0.5264199862582218,-0.07532821543940928,-0.09684858488669701,0.340529743657394,0.06273089153005974,-0.2661753376227389,1.0,0.02946488085772951,0.5144395241801482,0.247213236460345,0.5102744841248162,-0.07295144660684817,0.13113507840051203,0.2686813796199434,0.4510893541247245,0.1750985709437407,-0.19606275261098513,0.33998210236596077,0.004043449543792534,-0.15282821546855987,0.2846064319325982,0.05050891908165861,0.24885679377746642,0.13125770059523825,0.6125854240131853,0.42273234559932993,0.045503409907578264,0.3026419876547679,0.03954886399959731,0.21344120391913995
Frontal_Inf_Tri_L,-0.4990322953752936,0.6728593970691629,-0.2839256172657853,0.5809762585562059,0.4431917925752374,0.5516377480953876,0.7751332893207837,0.8317673478947626,0.6367335077177985,0.6115734848838893,0.6880641169139171,0.02946488085772951,1.0,0.3078323920555894,0.35246988556447967,0.23359463392386529,0.43336554832160534,0.6835885103761586,0.6158442667649093,0.022310706941928438,0.7723976581784786,0.4271611398813855,0.8362476868364348,0.1515766773673929,0.7773206361110064,0.3737699720862209,0.08574810671659427,0.748657860801967,0.7615618629003915,-0.09568863961898905,-0.1946830588900526,0.8889262027223798,-0.10537160464096569,0.7519394601641346,0.10464744957268977
Frontal_Inf_Orb_2_R,-0.21898161423794207,0.0029176406569659495,-0.4174100291486979,0.101206576406456,0.7819888964096215,0.3651413783528856,0.17355245233744235,0.08065996481289009,0.7314095953144896,0.03783610427994498,0.005315931119498533,0.5144395241801482,0.3078323920555894,1.0,0.38436476043645934,0.5217888805844445,0.4131100802776204,-0.016267031359771707,0.2918166998201968,-0.022136642570821607,0.3432337759863037,0.34131895738930984,0.5406719204482024,0.17458549956689245,0.08732573151851773,0.34814286470382516,-0.14033162163390225,0.4192289913906402,0.1703411538465828,-0.15612888983213422,-0.32838918954914675,0.5226679349872976,0.07985837018347507,0.09854153452963109,0.04743721861223214
ACC_sub_R,-0.09779291674169267,0.17615817908695414,-0.0387733175083592,0.23465560664076326,0.36547735527867403,0.19140584631649277,0.3105954506957655,0.21957587785383184,0.3529556785698104,0.24078860315021008,0.16458442009169255,0.247213236460345,0.35246988556447967,0.38436476043645934,1.0,0.2754704550993533,0.1968189634683663,0.2067965769568244,0.21305864358007537,0.021565937290133206,0.39015333706404565,0.21882886203590887,0.4045716369083525,0.3157683991916866,0.23756102698726508,0.3942843384347529,0.13359176058080993,0.2879344667453605,0.3261091219769935,0.04702429017953417,-0.08144702579162809,0.37952623487423237,0.30094201491040956,0.294166690654445,0.3277633964437296
SupraMarginal_R,-0.08547543859881142,0.1228476019164864,0.011829416316267426,-0.11580849228745793,0.5003250876745964,0.4333548813674199,0.33934414838505794,-0.06655577891399649,0.5848676568964182,0.3527027125724152,0.14049466503300712,0.5102744841248162,0.23359463392386529,0.5217888805844445,0.2754704550993533,1.0,0.6555573601093608,0.13186924553618246,0.41541149103043074,0.4988824136569562,0.4376328919328785,-0.01082971881615906,0.4986329984016978,0.16540438035799973,0.0539011585368348,0.2617296025788155,-0.02575059471432763,0.2948157987421973,0.37258730493507036,0.25604872586449856,0.1348583016606903,0.3831479453552001,0.22951112839628834,0.2673795114985464,0.16119562076588353
Parietal_Sup_R,-0.5421028926149342,-0.034441603376988886,-0.46514279931349684,-0.13533005508848675,0.3099811203416448,0.1153753521460732,0.4839154865644023,0.1842187221990967,0.4820458831704071,0.48748307046512596,0.46935461821812074,-0.07295144660684817,0.43336554832160534,0.4131100802776204,0.1968189634683663,0.6555573601093608,1.0,0.21126249203579697,0.4383565561263707,0.22661285063546613,0.39406854505209366,0.4049239823978558,0.47446915350430985,0.20390454889431595,0.3036094026082886,0.1083739868719811,-0.030967954608719754,0.27677597331519516,0.39950164412965455,-0.2227986554405633,-0.19328595317236344,0.5720243544843675,-0.12592924183134882,0.34274716912089437,-0.007336182312149069
Cerebellum_4_5_L,-0.2098389088015214,0.7993039675744029,0.20532832357669098,0.561591281162987,0.056370707054518486,0.277303240882949,0.640319490306978,0.7024922462881965,0.2680223842390349,0.7816559640054999,0.46790493369325453,0.13113507840051203,0.6835885103761586,-0.016267031359771707,0.2067965769568244,0.13186924553618246,0.21126249203579697,1.0,0.581068859391264,0.2942136743934202,0.6740122344786231,0.24232166107193118,0.6432602972102587,0.03155206739580538,0.7493358666592173,0.18076442745356594,0.23151642707235653,0.5397317668200838,0.7722733108310732,0.3350311287274856,0.2274031084974777,0.5213202306993853,0.0019298244021911948,0.8208832440441328,0.06970377527814524
Fusiform_R,-0.48296054906054897,0.4823126352060329,-0.05244323870902122,0.4915936304891256,0.3501107250066832,0.37867670282321586,0.5149653658643968,0.4937372406420794,0.5899035627145931,0.4658424214070079,0.5786183738004878,0.2686813796199434,0.6158442667649093,0.2918166998201968,0.21305864358007537,0.41541149103043074,0.4383565561263707,0.581068859391264,1.0,0.5371971606758865,0.5777592614156755,0.16565453308222988,0.6046171238860838,0.05822860363806165,0.4658421366126646,0.41432004874250955,0.25956325458161666,0.6475786269421574,0.5896205371997724,0.0833762922243799,0.16762060802054982,0.5946033462859943,-0.1931728708868117,0.4894283523349804,0.04123321546599584
Cerebellum_6_R,0.05161254705078082,0.15108553909926004,0.48021616376816323,-0.03617870529845478,-0.051088456190067376,0.08946180338224306,0.06272780699375549,-0.07889110083839501,0.08167078245207858,0.23858233473540322,0.11024125929282803,0.4510893541247245,0.022310706941928438,-0.022136642570821607,0.021565937290133206,0.4988824136569562,0.22661285063546613,0.2942136743934202,0.5371971606758865,1.0,0.12639612374910633,-0.33205187163284666,0.12163252672485833,-0.07681560796689445,-0.1166043404889108,0.12554937998861146,0.19753603091254943,0.0056410135609381625,0.1779908876345597,0.6004952834550206,0.7071972401917416,-0.059137777105259436,0.11931066821093564,0.09333939777797566,0.18429566135808853
Vermis_3,-0.3402686620017612,0.6442511770957035,-0.21036886224781498,0.4356940592427612,0.5211479709425173,0.5139224179752356,0.8435057952898184,0.5904662976813737,0.7327034704180748,0.5468958745728456,0.5098429450352245,0.1750985709437407,0.7723976581784786,0.3432337759863037,0.39015333706404565,0.4376328919328785,0.39406854505209366,0.6740122344786231,0.5777592614156755,0.12639612374910633,1.0,0.24922832551846977,0.809660861695986,0.1954421553820779,0.7750055485970807,0.4609844201765525,0.09318435761343519,0.7379851732830347,0.7481844643554286,-0.008401891313499827,-0.2116426038004802,0.7955046941702725,0.08252462816162828,0.7360893096004264,0.12502315476619774
Rectus_R,-0.4115380104785359,0.05337165827009953,-0.5116307577954409,0.1734304644322079,0.22481678890129922,0.010190747993764291,0.2513946530374673,0.40911395564126485,0.26711375969446916,0.2978626663063551,0.2650986311160954,-0.19606275261098513,0.4271611398813855,0.34131895738930984,0.21882886203590887,-0.01082971881615906,0.4049239823978558,0.24232166107193118,0.16565453308222988,-0.33205187163284666,0.24922832551846977,1.0,0.34855214000534845,0.12978336187445783,0.3817694747203111,0.10253492170430033,0.03877512114340175,0.33147161442240447,0.2416391756500755,-0.37829606406696054,-0.432249062517937,0.46172486723709544,-0.18540009059299167,0.2818669258225785,-0.1642046682044792
Frontal_Sup_Medial_R,-0.39836638720098955,0.6655740046078501,-0.19937558354172735,0.5283895431362108,0.6243950359742957,0.5910015142749699,0.7780565929640643,0.6283864514504426,0.7722001236305244,0.6004737592319095,0.5777670624747331,0.33998210236596077,0.8362476868364348,0.5406719204482024,0.4045716369083525,0.4986329984016978,0.47446915350430985,0.6432602972102587,0.6046171238860838,0.12163252672485833,0.809660861695986,0.34855214000534845,1.0,0.29702241226258586,0.6778107591931493,0.426262703113072,0.08542677127882592,0.7678706534924591,0.7839299041519946,0.029380323931688147,-0.13901109469880474,0.8894475992572771,0.13494196964968094,0.7502012936553066,0.10102170016353083
Cerebellum_10_R,-0.1932908839919914,0.01990675938219636,-0.15096688431497748,0.21528883109334915,0.10528137595039576,-0.053003111955906936,0.29800368475104655,0.08995766051151367,0.21746270435844878,0.04123564536774574,0.440227136573678,0.004043449543792534,0.1515766773673929,0.17458549956689245,0.3157683991916866,0.16540438035799973,0.20390454889431595,0.03155206739580538,0.05822860363806165,-0.07681560796689445,0.1954421553820779,0.12978336187445783,0.29702241226258586,1.0,0.16977035512868668,0.3317304784334226,-0.03998306698744995,0.12532676681531948,0.20128951059236908,-0.17691545956832877,-0.103349669311518,0.28948983782152243,0.6100801292576347,0.20823982055225404,0.051412176942969096
Cerebellum_3_L,-0.46398763047073815,0.6482285776224234,-0.30250023810718735,0.5425387175509008,0.2532271638068068,0.3287768354519846,0.8304022657269087,0.6973043922913368,0.474873787893971,0.5925817208080291,0.6523317551323062,-0.15282821546855987,0.7773206361110064,0.08732573151851773,0.23756102698726508,0.0539011585368348,0.3036094026082886,0.7493358666592173,0.4658421366126646,-0.1166043404889108,0.7750055485970807,0.3817694747203111,0.6778107591931493,0.16977035512868668,1.0,0.31989603276625983,0.1195755328608149,0.6576850583645062,0.7682928510614581,-0.22802705654532252,-0.2699210575294978,0.7298153902650029,-0.10435712936900182,0.7762633362539556,0.0814841234572488
Raphe_D,-0.13190042869106655,0.2382181819851581,-0.10877322319232148,0.4476797657071444,0.410702456677733,0.37445883930515006,0.37926691782436106,0.19647901626969874,0.558014665427745,0.07591013857061453,0.3433713089664856,0.2846064319325982,0.3737699720862209,0.34814286470382516,0.3942843384347529,0.2617296025788155,0.1083739868719811,0.18076442745356594,0.41432004874250955,0.12554937998861146,0.4609844201765525,0.10253492170430033,0.426262703113072,0.3317304784334226,0.31989603276625983,1.0,0.219567163442545,0.4025875493877845,0.3833825126668433,-0.06004634457732777,-0.05372406068876171,0.42119127863966827,0.1431856746594955,0.2512854358662278,0.25289208680133335
OFCant_L,0.03508603986943073,0.1232513619133244,0.1549676208152358,0.11775178571902203,-0.09945757718626178,0.05965110252927981,0.15807092056250974,0.07927184891618652,0.02635586416411555,0.13569630415469727,0.1472172948007652,0.05050891908165861,0.08574810671659427,-0.14033162163390225,0.13359176058080993,-0.02575059471432763,-0.030967954608719754,0.23151642707235653,0.25956325458161666,0.19753603091254943,0.09318435761343519,0.03877512114340175,0.08542677127882592,-0.03998306698744995,0.1195755328608149,0.219567163442545,1.0,0.1799801252869835,0.16412345373640227,0.1777205626362174,0.20126085855916417,0.040780899429676276,-0.08841024721635388,0.11732804048010331,0.04034740312573856
Thal_MDl_R,-0.3915244903365464,0.6074297420116654,-0.2408216715186007,0.5737306631575395,0.5863923255229012,0.6282160643726429,0.6766605938066126,0.6073816867059975,0.71960190196141,0.4538441876497317,0.4541236843682112,0.24885679377746642,0.748657860801967,0.4192289913906402,0.2879344667453605,0.2948157987421973,0.27677597331519516,0.5397317668200838,0.6475786269421574,0.0056410135609381625,0.7379851732830347,0.33147161442240447,0.7678706534924591,0.12532676681531948,0.6576850583645062,0.4025875493877845,0.1799801252869835,1.0,0.6688953939322079,-0.10865586647013181,-0.23591137077291466,0.7756880846432358,-0.14291166280229728,0.6126558868300407,-0.041674321739828636
Paracentral_Lobule_L,-0.27500301410023015,0.7345721126548391,-0.006098465390790273,0.5247818180859647,0.3348192330123736,0.4952391844433725,0.8321900755014625,0.6460767621113503,0.5600648863370109,0.8455215312041862,0.55973090331794,0.13125770059523825,0.7615618629003915,0.1703411538465828,0.3261091219769935,0.37258730493507036,0.39950164412965455,0.7722733108310732,0.5896205371997724,0.1779908876345597,0.7481844643554286,0.2416391756500755,0.7839299041519946,0.20128951059236908,0.7682928510614581,0.3833825126668433,0.16412345373640227,0.6688953939322079,1.0,0.0959996136314048,0.010541492027156875,0.746954882196229,0.007879568484541976,0.902435922505696,0.1410181099718292
Lingual_L,0.5616954466200056,0.3880924676534006,0.8916236925647089,0.05172135340814223,-0.1931966962427545,0.2118525475732486,-0.16563607013396595,-0.04195135192017374,-0.21966043122902065,0.25792378998874366,-0.30076647723240413,0.6125854240131853,-0.09568863961898905,-0.15612888983213422,0.04702429017953417,0.25604872586449856,-0.2227986554405633,0.3350311287274856,0.0833762922243799,0.6004952834550206,-0.008401891313499827,-0.37829606406696054,0.029380323931688147,-0.17691545956832877,-0.22802705654532252,-0.06004634457732777,0.1777205626362174,-0.10865586647013181,0.0959996136314048,1.0,0.7906474394286933,-0.2858649925265747,0.3193939401089606,0.0917609286199685,0.15889996308112872
Vermis_7,0.34523116985243196,0.2040227985934273,0.8108871619578273,0.02201880912381259,-0.3385914730192264,0.012429837501252516,-0.21986078059249436,-0.1251058457431762,-0.3247751340460219,0.14758968768032607,-0.0853083129656309,0.42273234559932993,-0.1946830588900526,-0.32838918954914675,-0.08144702579162809,0.1348583016606903,-0.19328595317236344,0.2274031084974777,0.16762060802054982,0.7071972401917416,-0.2116426038004802,-0.432249062517937,-0.13901109469880474,-0.103349669311518,-0.2699210575294978,-0.05372406068876171,0.20126085855916417,-0.23591137077291466,0.010541492027156875,0.7906474394286933,1.0,-0.40655176610507116,0.21642957534203433,-0.03312415901218442,0.17852448966933684
Frontal_Mid_2_L,-0.5596816139379075,0.5218934377293476,-0.491879592143696,0.480918681151232,0.6182445917115311,0.5164047412932384,0.8219501058342468,0.6739455553692001,0.8101922437895909,0.5323869013030513,0.6560862672919595,0.045503409907578264,0.8889262027223798,0.5226679349872976,0.37952623487423237,0.3831479453552001,0.5720243544843675,0.5213202306993853,0.5946033462859943,-0.059137777105259436,0.7955046941702725,0.46172486723709544,0.8894475992572771,0.28948983782152243,0.7298153902650029,0.42119127863966827,0.040780899429676276,0.7756880846432358,0.746954882196229,-0.2858649925265747,-0.40655176610507116,1.0,-0.04877928118867599,0.7128401872475715,0.05710158634897213
Cerebellum_9_R,0.3091559334051874,0.09416357380755021,0.3130587008848739,-0.045549245985861214,0.015595174661959216,-0.008366331958786047,0.04523532432548675,-0.07002905516494999,0.011287906896046699,-0.08790674534915603,0.002035476303385274,0.3026419876547679,-0.10537160464096569,0.07985837018347507,0.30094201491040956,0.22951112839628834,-0.12592924183134882,0.0019298244021911948,-0.1931728708868117,0.11931066821093564,0.08252462816162828,-0.18540009059299167,0.13494196964968094,0.6100801292576347,-0.10435712936900182,0.1431856746594955,-0.08841024721635388,-0.14291166280229728,0.007879568484541976,0.3193939401089606,0.21642957534203433,-0.04877928118867599,1.0,0.05969334930043704,0.20813556538612232
Cingulate_Post_L,-0.3014287233942932,0.7470724985313871,-0.004961768167014384,0.4858637029170905,0.2571337545934381,0.39965866796797034,0.8090201340961473,0.6859595793797172,0.47655091768788327,0.8585379032057917,0.5248423999721801,0.03954886399959731,0.7519394601641346,0.09854153452963109,0.294166690654445,0.2673795114985464,0.34274716912089437,0.8208832440441328,0.4894283523349804,0.09333939777797566,0.7360893096004264,0.2818669258225785,0.7502012936553066,0.20823982055225404,0.7762633362539556,0.2512854358662278,0.11732804048010331,0.6126558868300407,0.902435922505696,0.0917609286199685,-0.03312415901218442,0.7128401872475715,0.05969334930043704,1.0,0.04521741207197832
ACC_sub_L,0.08570820415800534,0.17962303809657937,0.15470946165480884,0.03962195487088251,0.05923288373433658,0.18746101515524094,0.1458014921248615,-0.0023516025621596755,0.12674573138700193,0.04069281661384852,0.07829797296634583,0.21344120391913995,0.10464744957268977,0.04743721861223214,0.3277633964437296,0.16119562076588353,-0.007336182312149069,0.06970377527814524,0.04123321546599584,0.18429566135808853,0.12502315476619774,-0.1642046682044792,0.10102170016353083,0.051412176942969096,0.0814841234572488,0.25289208680133335,0.04034740312573856,-0.041674321739828636,0.1410181099718292,0.15889996308112872,0.17852448966933684,0.05710158634897213,0.20813556538612232,0.04521741207197832,1.0
