,OFCpost_L,Cingulate_Post_R,Raphe_M,Thal_PuM_R,SupraMarginal_R,Heschl_L,Calcarine_R,Frontal_Inf_Tri_R,Temporal_Pole_Mid_R,OFClat_L,Paracentral_Lobule_R,Thal_VL_R,Occipital_Inf_L,Precentral_L,Parietal_Inf_R
OFCpost_L,1.0,-0.062160475063856184,-0.009199750574726768,0.012440240755598804,0.21746510348865963,-0.07750828644270188,-0.38016728059091176,0.3473134924453492,0.18043618158544236,0.11140510634019299,0.034849633482971126,0.17382921615875122,0.23844470447878321,0.026980578931169685,0.14009531394893715
Cingulate_Post_R,-0.062160475063856184,1.0,0.13929135635983475,0.8797626144216604,0.36723211251050836,0.47537725148910853,0.18814256330865853,0.46718424461126895,0.2744173004049552,0.37178019135954204,0.7956629149537865,0.5844216165517618,0.2626348419136269,0.8531870524213607,0.2189817480250301
Raphe_M,-0.009199750574726768,0.13929135635983475,1.0,0.20640726499086143,0.3492170210913791,-0.06134534754935713,0.4745762406009637,0.06513496105547666,0.16654067561386077,0.4569013012585868,-0.20325149175737767,0.25369182882224955,-0.4264649362225368,0.06094266259396444,0.24310557752654155
Thal_PuM_R,0.012440240755598804,0.8797626144216604,0.20640726499086143,1.0,0.35257712743679803,0.5569392211352809,0.15916064850957246,0.5909305592310702,0.32720930953562516,0.29843732902606473,0.7912676112151882,0.610774908287906,0.20266311640709886,0.8847591051188753,0.23217456854531449
SupraMarginal_R,0.21746510348865963,0.36723211251050836,0.3492170210913791,0.35257712743679803,1.0,-0.091021921292899,0.08382699787302547,0.5848676568964182,0.32628761296834696,0.5422818908794045,0.309752475422003,0.4333548813674199,0.32058836943273905,0.32842186006582025,0.8355360867193973
Heschl_L,-0.07750828644270188,0.47537725148910853,-0.06134534754935713,0.5569392211352809,-0.091021921292899,1.0,0.11868303840531075,0.19506961368573564,0.16859207881951419,-0.03795836160656996,0.5093289001021666,0.3930942859733419,0.17748259350167606,0.6456587651982288,-0.10170408185928903
Calcarine_R,-0.38016728059091176,0.18814256330865853,0.4745762406009637,0.15916064850957246,0.08382699787302547,0.11868303840531075,1.0,-0.3714108551095025,0.1604102277799837,0.17101644199326085,-0.18218550627075156,0.12316714014427979,-0.5467997600937398,0.012455615119727715,0.17943269196471592
Frontal_Inf_Tri_R,0.3473134924453492,0.46718424461126895,0.06513496105547666,0.5909305592310702,0.5848676568964182,0.19506961368573564,-0.3714108551095025,1.0,0.15225976309217462,0.33303564903507477,0.6186968742889034,0.6274165511219516,0.5228742819241862,0.6210908834154073,0.4260400767758614
Temporal_Pole_Mid_R,0.18043618158544236,0.2744173004049552,0.16654067561386077,0.32720930953562516,0.32628761296834696,0.16859207881951419,0.1604102277799837,0.15225976309217462,1.0,0.24250157282309956,0.1712261813665353,0.09008648726699628,0.21364422663493463,0.3012737212529557,0.26287251147209995
OFClat_L,0.11140510634019299,0.37178019135954204,0.4569013012585868,0.29843732902606473,0.5422818908794045,-0.03795836160656996,0.17101644199326085,0.33303564903507477,0.24250157282309956,1.0,0.17197130192293264,0.4081382063379572,0.12860136388600094,0.29572322985188093,0.3963743838387486
Paracentral_Lobule_R,0.034849633482971126,0.7956629149537865,-0.20325149175737767,0.7912676112151882,0.309752475422003,0.5093289001021666,-0.18218550627075156,0.6186968742889034,0.1712261813665353,0.17197130192293264,1.0,0.4572677115058442,0.5754222521497646,0.8896201026203141,0.2819160342958359
Thal_VL_R,0.17382921615875122,0.5844216165517618,0.25369182882224955,0.610774908287906,0.4333548813674199,0.3930942859733419,0.12316714014427979,0.6274165511219516,0.09008648726699628,0.4081382063379572,0.4572677115058442,1.0,0.20750500638128724,0.6009825564177177,0.3068276310665083
Occipital_Inf_L,0.23844470447878321,0.2626348419136269,-0.4264649362225368,0.20266311640709886,0.32058836943273905,0.17748259350167606,-0.5467997600937398,0.5228742819241862,0.21364422663493463,0.12860136388600094,0.5754222521497646,0.20750500638128724,1.0,0.36880733476562183,0.31511386321305773
Precentral_L,0.026980578931169685,0.8531870524213607,0.06094266259396444,0.8847591051188753,0.32842186006582025,0.6456587651982288,0.012455615119727715,0.6210908834154073,0.3012737212529557,0.29572322985188093,0.8896201026203141,0.6009825564177177,0.36880733476562183,1.0,0.2104764088933108
Parietal_Inf_R,0.14009531394893715,0.2189817480250301,0.24310557752654155,0.23217456854531449,0.8355360867193973,-0.10170408185928903,0.17943269196471592,0.4260400767758614,0.26287251147209995,0.3963743838387486,0.2819160342958359,0.3068276310665083,0.31511386321305773,0.2104764088933108,1.0
