,Thal_MDm_R,SN_pc_R,Paracentral_Lobule_R,Olfactory_R,Heschl_L,Putamen_R,Cerebellum_Crus2_L,Cerebellum_Crus1_L,Thal_VPL_R,Cingulate_Mid_L,Thal_IL_L,Vermis_10,Rolandic_Oper_L,Lingual_L,Thal_PuA_L,Thal_PuA_R,Frontal_Sup_Medial_R,Thal_PuI_L,Cerebellum_10_L,Red_N_L,ACC_pre_L,Calcarine_R,Precentral_R,Insula_R,Parietal_Inf_L,ParaHippocampal_L,VTA_L,Precuneus_L,Cerebellum_8_L,SN_pr_L,Vermis_3,Parietal_Sup_L,N_Acc_L,Cingulate_Post_L,Thal_VA_L,Cerebellum_3_L,Thal_LP_R,Caudate_L,Cingulate_Post_R,Rectus_R,Postcentral_L,Vermis_6,Parietal_Sup_R,Vermis_1_2,Thal_PuL_R,Calcarine_L,Occipital_Inf_R,Vermis_8,Occipital_Mid_L,ACC_sub_L
Thal_MDm_R,1.0,0.4017771154769532,0.6827722869895537,0.030982894235271237,0.7541838975000332,0.3203709498182866,-0.19118180599522275,0.020275803243606776,0.7985367085289402,0.7523009625253091,0.6871700455172792,-0.2142255844076086,0.7301164750170522,0.09859494040984376,0.6579008410503098,0.7134543645607865,0.7087698695662734,0.6934598573693348,-0.03667974001256477,0.6553319686445424,0.3249030612908192,0.04720415866879137,0.6380313944178673,0.20395500673325492,0.34013849588012857,0.6557698893084695,0.5129698973534297,0.43181657034569937,0.3475131768671434,0.582930929282668,0.5820159745427511,0.22259961610643916,0.25218945855694214,0.5984998422277816,0.7065904312686728,0.6307318979205078,0.271129417556621,0.792531110773888,0.6148736445932464,0.27283140007390977,0.7301016468371467,-0.26067177502636035,-0.013555709492922572,0.5867512081212157,0.3283014835828237,0.033940609642182845,-0.09995129828368898,0.25023361473346983,-0.302530262014291,0.10357306418144606
SN_pc_R,0.4017771154769532,1.0,0.25565483171283354,0.15272952194287429,0.2660206734453136,0.13846385536776443,-0.3079635401027846,-0.11608954993699509,0.3114841343361892,0.2762597294492708,0.36028924431023385,-0.2002754918224023,0.41839035694167326,-0.024188076182806783,0.22582326878133432,0.2037853613800874,0.3928147392070643,0.1980396010048687,-0.016574795201543802,0.43721944034947924,0.15095549203816355,-0.1678160093557659,0.20751344253089074,0.1337019434668677,0.1352759087172201,0.37421840800509976,0.45442627314214507,0.10419063676440693,0.28153931069128385,0.4773003208114181,0.21379731227238058,0.21280633771613774,0.3174264816570202,0.21781928879229775,0.38768538030330274,0.24482619360557542,0.035052850265610745,0.3431754453100647,0.10399159935912856,0.31816402469429034,0.29724920827483176,-0.18867296467194378,0.10578755783081209,0.32181442294256507,-0.12230460175445851,-0.15664170902032282,-0.19485202710073324,0.07222079692388109,-0.1910499487345728,-0.05297730188297828
Paracentral_Lobule_R,0.6827722869895537,0.25565483171283354,1.0,-0.07469824110404923,0.5093289001021666,0.04173891480397269,-0.10816809418834865,0.20608960028293838,0.7481099790922872,0.8867532580153363,0.7393231905251576,-0.47010526355608545,0.5047181684762263,-0.03532867218175116,0.5951562837415558,0.6656950183054959,0.835381673537795,0.6603641084296533,0.09453384730763807,0.6726145317977943,0.13801499168233372,-0.18218550627075156,0.942459081112323,-0.041924216896809884,0.6294089435288512,0.7906856101894048,0.704888788907841,0.8032429998226163,0.5105959440217473,0.5634091669212216,0.8087209750483513,0.6679359713990126,0.21010456333243416,0.883983791754769,0.6885428056122707,0.83897445909143,0.3045196800877637,0.7909983709046069,0.7956629149537865,0.3628456578902021,0.8894191233946578,-0.4173679369928848,0.4826454853056194,0.7960130704255743,0.4412864210454658,-0.17673125425292124,-0.06544869325212925,0.27330521577197275,-0.2914438506931601,0.08764246210283763
Olfactory_R,0.030982894235271237,0.15272952194287429,-0.07469824110404923,1.0,-0.13004209944001432,0.28583576686776385,0.025481638824112543,-0.16104870808169486,0.17222797773974824,-0.053814894749188755,-0.06456535858667152,-0.07447957771084911,-0.1296703848211455,-0.10775682336205425,-0.15345746288306508,-0.12626597324179464,0.14240347762760971,-0.3275796806889741,-0.20090412783234765,0.14204089142364706,0.20182298679593857,-0.1963685234595268,-0.04743924028762999,0.30547895873281333,-0.2519178390671462,-0.04945912736583064,0.0007175703156928284,-0.11810681659355249,0.01560298191906417,0.1518626298324059,-0.04856332549351193,0.08238761375686776,0.3671650182407648,-0.18267817307889953,0.019034618845673635,-0.15335724911883206,0.343701602472051,-0.11700533989173412,-0.15124319176534187,0.08294651820955751,-0.18625610862924014,-0.1316523586324461,0.21826220456503423,-0.004817480802852351,-0.2928948703585562,-0.24517061938491724,0.05623458662033507,-0.39956536775198254,-0.03982814630576987,-0.07907037230029687
Heschl_L,0.7541838975000332,0.2660206734453136,0.5093289001021666,-0.13004209944001432,1.0,0.08628753306536666,-0.16790469794822455,0.023535115201089016,0.5395603456777202,0.6064043163890462,0.5269792851738081,-0.1317757471692199,0.8651269996621068,0.0888115317494017,0.6354601139543741,0.5600581363985419,0.4939285890641899,0.6391375080313273,0.012717629015341117,0.4604102720810085,0.25226689870431385,0.11868303840531075,0.45268539610683406,-0.05256557079294816,0.22467898848295345,0.5364860205658833,0.3557426362638662,0.3165344242968558,0.26848290132816105,0.4152044787324268,0.39071496453643406,0.0054901640536395855,0.09281082409024606,0.4920529766883883,0.5156969680727851,0.5031803870105249,0.08304204130970046,0.6524677283103189,0.47537725148910853,0.052042118800425224,0.6609882793614469,-0.15385634919512758,-0.15132561890173982,0.44209854749057975,0.2898164750659549,0.1603362462649685,-0.032603809261609044,0.28809651684587567,-0.3171803477485045,0.09294927949157011
Putamen_R,0.3203709498182866,0.13846385536776443,0.04173891480397269,0.28583576686776385,0.08628753306536666,1.0,0.4731252500974309,0.07976059486351159,0.36208398526210817,0.25022583589324754,-0.09684858488669701,0.529894636978158,-0.05244038639733187,0.6125854240131853,0.34897647975466123,0.2937009606150893,0.33998210236596077,0.09564772434274187,-0.21727592869693096,-0.05246414346049362,0.3428425512423708,0.5625142559832401,0.15081776391990567,0.9117261284219433,0.05111692961202327,-0.23283692201622605,-0.16681424840355413,0.06273089153005974,-0.10198499155600514,0.019463746568578588,0.1750985709437407,-0.10976739062723827,-0.11695599575104176,0.03954886399959731,0.22384382936650185,-0.15282821546855987,0.04238603041736031,0.09344863522468838,0.23177608965092084,-0.19606275261098513,0.0715304803194648,0.41810862636596174,-0.07295144660684817,-0.10993264344159177,0.26565860430239757,0.4696605291006811,0.3059288497805185,-0.2384407808323222,0.32631373008220255,0.21344120391913995
Cerebellum_Crus2_L,-0.19118180599522275,-0.3079635401027846,-0.10816809418834865,0.025481638824112543,-0.16790469794822455,0.4731252500974309,1.0,0.49580255079332824,-0.11604821011586129,-0.0441828882470541,-0.32945124667265413,0.6208336320137162,-0.3954021597352816,0.6754113310095581,0.03250654398468482,0.05222797654108016,-0.06602690755257075,-0.12410978842308588,-0.09790023328651502,-0.4802829001320925,0.012342732502494827,0.6437234985181179,0.04249000482244703,0.46692818475609466,0.11912725783288887,-0.478645225518287,-0.4545561536269941,0.16534763002726455,-0.3220454297232513,-0.44034521545053684,-0.07909643793399297,-0.06345019238678776,-0.3288761027419117,-0.05574749753558864,-0.2559438053762495,-0.32509044504669904,-0.09194316420890541,-0.302645762304458,0.1425937594292958,-0.41221013689425257,-0.0809477313311645,0.6455677143957044,0.01651358855685793,-0.39005785875778004,0.33424637827381565,0.6020244589903577,0.42641379518197237,-0.1498014925939204,0.5438196167516638,0.18564936049340594
Cerebellum_Crus1_L,0.020275803243606776,-0.11608954993699509,0.20608960028293838,-0.16104870808169486,0.023535115201089016,0.07976059486351159,0.49580255079332824,1.0,0.07267379328019795,0.11233043246485275,0.09550671128386913,-0.022988292488292858,-0.06181560928047099,0.2423326463407167,0.19496966497307955,0.16304483606343612,0.11960109939141107,0.14849634916184487,0.13722640707160336,-0.008318057030186884,-0.15585932453252868,0.15228641810574814,0.2998336996458985,-0.06437908594200413,0.17585962095626195,0.1266354069019142,0.002038675445618618,0.22445332615892838,0.008728999307943389,-0.05083621558186205,0.09025729866561702,0.22517231099678756,-0.31889663088723424,0.1625976966349572,0.09404426272787642,0.1262837249518012,-0.03378485155740287,0.06636782900052504,0.11493079711956439,-0.14403093173354725,0.1507221968785053,0.13308974452797082,0.20670397643465557,0.09324960424284226,0.1776643084782615,0.17256931377229406,0.030399680493797467,0.1615577456540216,-0.001971477926041004,0.1337170085653443
Thal_VPL_R,0.7985367085289402,0.3114841343361892,0.7481099790922872,0.17222797773974824,0.5395603456777202,0.36208398526210817,-0.11604821011586129,0.07267379328019795,1.0,0.7639671985345229,0.5710461725026976,-0.3330156331439504,0.4735685856923221,-0.0512804404298587,0.6030190539338557,0.7042727292181798,0.8127580520280995,0.5736260875615109,-0.047924727501398375,0.702415835854661,0.3398787395789195,-0.13562092673137957,0.7842531724756242,0.24237664117593608,0.22364549292155067,0.6731746536892559,0.5202146234053413,0.4299559310996591,0.4379911106524794,0.6171606234548804,0.7288852561835096,0.32353771627671907,0.22197704714066888,0.6508188199307307,0.8169134508622978,0.6176171675157924,0.5125769927425067,0.733817388908633,0.6486184912493312,0.24718907581299976,0.673227342099226,-0.4203844999459646,0.24098269781620335,0.7322709313154231,0.3599655082901437,-0.18732569819034067,0.025729019868155362,0.03761203424930489,-0.41037633978480514,0.11259729411979011
Cingulate_Mid_L,0.7523009625253091,0.2762597294492708,0.8867532580153363,-0.053814894749188755,0.6064043163890462,0.25022583589324754,-0.0441828882470541,0.11233043246485275,0.7639671985345229,1.0,0.6674396513654459,-0.24999281084440084,0.5856912768468924,0.1283542908177327,0.5932122904838351,0.7147873982121207,0.870290076788835,0.7123561216349976,0.11295402319048843,0.5477639181274455,0.33564127347791495,0.0036946836358731187,0.8724065828963024,0.16896251840163248,0.6887766766840601,0.6299347346586868,0.575214601549981,0.7846348894284462,0.4306148662803059,0.4576829163118274,0.7515564614275421,0.5463402496185235,0.11165781268450137,0.8887107473427134,0.6678213243321891,0.7469872164179526,0.2584259541034154,0.7857195797066754,0.8560493960628724,0.3011703679446707,0.912693167614526,-0.22443753886433393,0.3636893030766102,0.6965955784352442,0.5161507634524598,-0.0015355964060216544,-0.0033743740479681324,0.29213828542173487,-0.1205726549809177,0.08790012583268351
