,SN_pr_L,Thal_PuM_L,Frontal_Inf_Tri_L,Vermis_10,Thal_PuL_R,Temporal_Pole_Mid_R,Frontal_Sup_Medial_L,Olfactory_R,Temporal_Mid_L,Cuneus_R,Insula_R,Frontal_Sup_2_R,Angular_R,Fusiform_R,Parietal_Sup_R,Parietal_Inf_R,Thal_LP_R,Frontal_Mid_2_L,Cerebellum_8_R,Rectus_R,Heschl_L,Thal_VA_R,Rolandic_Oper_L,Thal_IL_L,Cuneus_L,Thal_MGN_L,VTA_R,Vermis_4_5,Thal_LGN_L,Paracentral_Lobule_L,Vermis_1_2,SN_pr_R,Thal_VL_L,Amygdala_R,SN_pc_L,Thal_MDm_L,Postcentral_L,Vermis_8,Frontal_Inf_Oper_L,Frontal_Inf_Orb_2_R,Occipital_Mid_R,Precentral_L,Supp_Motor_Area_R,Red_N_L,Calcarine_L
SN_pr_L,1.0,0.26528793722290206,0.6464444597042771,-0.6450829731251606,-0.19695441080826462,0.19231010558560255,0.5978973925358443,0.1518626298324059,-0.268792539893099,-0.4908985168292642,-0.08569095952986784,0.6999911894127381,-0.497695044404458,0.4090667592919659,0.3667811648719582,0.11392704783186262,0.23690509197699103,0.7535959539288325,0.5459546092796752,0.5122967870469732,0.4152044787324268,0.6969161372735629,0.5600777913283711,0.5261563931506235,-0.5132734544029793,0.26431912146230163,0.6925128430448336,-0.5099223692013161,0.5364223721018451,0.41476508167684134,0.6656087683060992,0.4218650008784769,0.5659347595037022,-0.5487010987153197,0.8802549889029757,0.4470974385217041,0.4600220354211985,-0.06014478742658614,-0.07243277977401685,0.5698302242469324,-0.2531465938263362,0.46581225504799484,0.4741381613081927,0.9180715808360455,-0.5185556655967367
Thal_PuM_L,0.26528793722290206,1.0,0.6728593970691629,0.054077679563321226,0.637609461018614,0.2392217391596378,0.7153604613997405,-0.1441270034209475,0.4091930770259031,0.05289111873463287,0.22437801660257303,0.6222960733485546,0.06144502365595856,0.4823126352060329,-0.034441603376988886,0.0869570957980276,0.10716105567003491,0.5218934377293476,0.37366291859057826,0.05337165827009953,0.6574527105182812,0.555357160530741,0.6054263870600493,0.6937679386773895,0.2782458938862152,0.423303502015102,0.41585504357214237,0.22436217043840684,0.6683464047852612,0.7345721126548391,0.5310638497130903,0.3067630814120345,0.7469126524179908,-0.001874569988274162,0.3425478351795537,0.693918265835347,0.8236067664384109,0.4533397351352841,0.4722341537092403,0.0029176406569659495,-0.07158148604211025,0.8280976421582853,0.5923844704325303,0.3272301549729756,0.3191681836232688
Frontal_Inf_Tri_L,0.6464444597042771,0.6728593970691629,1.0,-0.5086419104493628,0.3060701248330793,0.1976480145201295,0.8905716092985504,0.04268603774746181,-0.0675458604281185,-0.2925086599004531,-0.00938941707632506,0.8672964611002764,-0.30567235588248515,0.6158442667649093,0.43336554832160534,0.18309244179936146,0.3861532919459503,0.8889262027223798,0.6880641169139171,0.4271611398813855,0.574266896456068,0.6202266775891877,0.6284626094105514,0.8317673478947626,-0.13110610228121208,0.33481992974084346,0.7483468482060888,-0.15289556924800762,0.5809762585562059,0.7615618629003915,0.7955135049264861,0.43426766052292515,0.7977165597739708,-0.3868808551217104,0.6328712223544513,0.7354504456166275,0.8327923415529783,0.2671494214482895,0.20922453805018287,0.3078323920555894,-0.038862800886969764,0.8308481794207951,0.7751332893207837,0.734984033098952,-0.2839256172657853
Vermis_10,-0.6450829731251606,0.054077679563321226,-0.5086419104493628,1.0,0.3288787259386241,0.13915547622198346,-0.44819009701522255,-0.07447957771084911,0.5471876608154187,0.777671775288688,0.5832507523664674,-0.5232335341627629,0.7407991344521873,-0.3218374688469332,-0.5184470662679831,0.0769267604391459,-0.3990745681215101,-0.6301500321795731,-0.600278831195473,-0.5894708981781512,-0.1317757471692199,-0.2830592761079696,-0.28875740096303065,-0.4298976123067066,0.692032017101749,0.032321657225374244,-0.6510020769628537,0.785446546783179,-0.20752018247301326,-0.2726575776948355,-0.6256322345154016,-0.22465485106849797,-0.2843688484139139,0.6864413971697131,-0.504044093177644,-0.09305647636256342,-0.25096680467667987,-0.000717439411451667,0.5878062854096338,-0.2795715134034711,0.17262420100013512,-0.21741811268421873,-0.48017862259570426,-0.7668380233566272,0.8650844184410676
Thal_PuL_R,-0.19695441080826462,0.637609461018614,0.3060701248330793,0.3288787259386241,1.0,0.23932232958793942,0.39287086192259796,-0.2928948703585562,0.2726804063422015,0.2868302594110246,0.25985392152426084,0.23337277507380172,0.3074859879704572,0.26227402499934827,-0.10875617673024636,0.12217857594575272,0.03925914566901611,0.20322260804780506,0.06968271698180088,-0.27136790967398594,0.2898164750659549,0.13185183158533342,0.09591843019268168,0.27057035466978907,0.5477568265786009,0.27537376874105235,0.04891564286095031,0.5140456846296776,0.22275284832092712,0.5663211800060018,0.271327925587695,-0.018957376101345316,0.29949485095630674,0.24003972967826115,-0.11793432168824892,0.46979907669702387,0.5692662542477267,0.3941887233044872,0.43764336328828096,-0.1919404803272305,0.31637301135271395,0.6298635117206935,0.49326114380306063,-0.1448393791887729,0.44293457870527153
Temporal_Pole_Mid_R,0.19231010558560255,0.2392217391596378,0.1976480145201295,0.13915547622198346,0.23932232958793942,1.0,0.25596432979606193,-0.19531735251204796,0.1338744239576996,0.2118577530668974,0.2563625898775383,0.262842569610718,0.10506219648847294,0.08313642376877065,0.1258185639356716,0.26287251147209995,-0.18862078658594175,0.20549858093102472,0.16246658815228832,0.019978850490460165,0.16859207881951419,0.1607666383774894,0.19244114715430677,0.10171655900324052,0.28773968348310147,0.15586529546850858,0.1830523265733947,0.3080490901863066,0.16125519569363095,0.23354701288826618,0.18073890845140586,0.17440159988607687,0.14422565640179083,0.17038162071542368,0.19361435857103043,0.3494321007650612,0.305270655420026,0.1839171809170732,0.3945026254602014,0.19486976308884002,-0.05627907208195447,0.3012737212529557,0.20509417285940046,0.06317024409348561,0.1688833054032781
Frontal_Sup_Medial_L,0.5978973925358443,0.7153604613997405,0.8905716092985504,-0.44819009701522255,0.39287086192259796,0.25596432979606193,1.0,-0.018667126955834164,0.01735165902439731,-0.27711483001634757,0.0061555083607750015,0.885789989742773,-0.2712384055870984,0.5377294363751709,0.4284865817309254,0.18073834706915254,0.3694317641576525,0.8836860126002388,0.7121192587609257,0.35121182825003966,0.5475713292763777,0.5863015123746844,0.5808216510764911,0.7098329556378599,-0.14852490575777563,0.419670601475985,0.7657350813412064,-0.05680550863970067,0.5408323562927422,0.827182715453853,0.8345988084576146,0.3801534444050365,0.8220329983967807,-0.37527335715822585,0.5974509888673143,0.6074512239128549,0.8821391237540379,0.3729283464510829,0.18935410059625282,0.28507239220311215,-0.017172283324494553,0.8969344115483976,0.8819577524256668,0.6794043283816339,-0.25491389491907823
Olfactory_R,0.1518626298324059,-0.1441270034209475,0.04268603774746181,-0.07447957771084911,-0.2928948703585562,-0.19531735251204796,-0.018667126955834164,1.0,-0.23661690781933772,0.07256213347559558,0.30547895873281333,0.08205305095041653,0.029076889412860085,0.043395050953427515,0.21826220456503423,0.23785953908527152,0.343701602472051,0.12061277922877421,-0.08798482039985482,0.08294651820955751,-0.13004209944001432,0.12255045022874386,-0.1296703848211455,-0.06456535858667152,-0.2337484095460235,-0.013285521459108184,-0.007694077272016889,-0.036745872674391736,-0.15535786542992622,-0.08124794144382325,-0.004817480802852351,0.10644882558367057,0.029188074026247353,-0.13709411986431208,0.17055548350963895,-0.12211919511154216,-0.18625610862924014,-0.39956536775198254,-0.030829605295713488,0.5004488756093798,0.13100674451199346,-0.13111258597146375,-0.11605310060025616,0.14204089142364706,-0.24517061938491724
Temporal_Mid_L,-0.268792539893099,0.4091930770259031,-0.0675458604281185,0.5471876608154187,0.2726804063422015,0.1338744239576996,0.01735165902439731,-0.23661690781933772,1.0,0.34919272018303676,0.11296494165945216,-0.05038868384771365,0.33533887982441857,-0.2577740347664414,-0.38545548766077753,-0.20758713373195953,-0.5096527005082245,-0.26436416447184896,-0.07926395200063924,-0.24888126832010385,0.3540206325879618,-0.10649222874561762,0.3475055287049107,0.08962155850521501,0.5107931062298143,0.048086604901654645,-0.17782259450761637,0.4846451366411142,0.19116417176921371,0.12320230691219396,-0.26846167723698044,0.08255387987964997,0.1717965646740908,0.48248391097180965,-0.21306025500623507,0.09505832875281436,0.28225420566848075,0.4263011339634538,0.5876317884407061,-0.4838600786637921,-0.08902514984777483,0.11940562610615549,-0.12984172365840094,-0.362707924192311,0.7292033498988734
Cuneus_R,-0.4908985168292642,0.05289111873463287,-0.2925086599004531,0.777671775288688,0.2868302594110246,0.2118577530668974,-0.27711483001634757,0.07256213347559558,0.34919272018303676,1.0,0.6155591889963238,-0.31416654122237575,0.7714647497248435,0.07692855843238824,0.027133321808473256,0.5911990689751866,-0.18374578647152165,-0.37213848363337154,-0.34645949182330754,-0.4361677218426211,-0.22395640561345348,-0.26838369114787225,-0.3715901519403793,-0.33522270699675727,0.7322582630178935,0.011677580486237116,-0.4905434431385298,0.8452886022670614,-0.25271022292036316,-0.058140490132408525,-0.47569091176598255,-0.16523640405856738,-0.27836437628759664,0.5142595494116652,-0.35291430765802495,0.03996414568520514,-0.1397806913362377,-0.23742678516451762,0.5705880090442299,-0.044918199275089825,0.22077713257155657,-0.09831332646569652,-0.28074009131733485,-0.5735217416745177,0.7410628918657588
