,Rectus_L,Frontal_Inf_Orb_2_L,Parietal_Inf_R,SupraMarginal_L,Thal_PuA_R,Temporal_Pole_Sup_L,Red_N_R,Fusiform_L,Frontal_Med_Orb_L,Fusiform_R,Temporal_Mid_R,Thal_PuL_L,Thal_PuI_L,OFCpost_L,Occipital_Inf_L,Temporal_Pole_Mid_L,ParaHippocampal_R,Vermis_8,Vermis_4_5,VTA_L,Cerebellum_6_L,OFCant_L,Thal_IL_L,Vermis_7,Thal_MDm_L,Cuneus_R,Frontal_Inf_Oper_L,Cerebellum_7b_L,SupraMarginal_R,Cerebellum_8_L,Cingulate_Post_R,Thal_PuA_L,Parietal_Inf_L,Cerebellum_3_R,Raphe_D,Thal_MDl_R,Thal_VA_R,Cerebellum_4_5_R,Calcarine_R,Thal_MGN_L,Thal_VL_R,Thal_VA_L,Thal_Re_L,Occipital_Sup_R,Vermis_10,Thal_PuM_L,SN_pr_R,Occipital_Mid_R,Cerebellum_7b_R,Thal_MDl_L,Frontal_Mid_2_L,Thal_LGN_R,Red_N_L,Temporal_Pole_Sup_R,ACC_pre_L,Cerebellum_8_R,Insula_R,Thal_AV_L,N_Acc_R,Occipital_Sup_L,Cerebellum_10_L,Thal_VL_L,Cerebellum_3_L,Cerebellum_Crus2_L,Supp_Motor_Area_L,ParaHippocampal_L,Rolandic_Oper_L,N_Acc_L,Frontal_Sup_2_L,Pallidum_R,SN_pc_L,Frontal_Sup_2_R,Cerebellum_10_R,Cerebellum_Crus1_R,Pallidum_L,Thal_PuL_R,Temporal_Sup_L,Paracentral_Lobule_L,Parietal_Sup_L,Temporal_Inf_L,Angular_L,Temporal_Sup_R,Olfactory_R,Frontal_Sup_Medial_R,Raphe_M
Rectus_L,1.0,-0.21476287145166068,0.3404216626634322,0.18550236180728205,0.05372912822650763,-0.020718290604946073,-0.30366438155522274,-0.4212469024015988,0.19105232195038555,0.07746800325309311,0.2617493981451397,-0.1726813503121538,-0.10691640543307322,-0.19955315358554157,-0.09950932421147188,-0.08022286328096823,-0.33484896848435725,-0.03562666424594786,0.5280817089451486,-0.17582525881483457,0.4854704907946407,0.21425665936265884,-0.2406852232975629,0.5070181584599115,0.08033142164859644,0.5511435196021149,0.37245917737661194,0.3833970786345664,0.2584479623984393,-0.1745048886681948,0.08365842765434432,0.00921977705701081,0.15997885675120552,-0.3169011476158828,0.014108943152401696,-0.07133081670968597,-0.10059946219197759,-0.20337836932785555,0.5141775759444639,0.08380420546215975,0.10997701369915475,-0.2216765349726739,-0.12758912632090882,0.5180307138608278,0.47158557670993895,0.061093218945635436,-0.18686845282884204,0.12971265030209775,0.550930937827263,-0.05651700714915659,-0.2532889062352384,-0.3861664167729739,-0.30756694052230804,0.19464739440457626,0.19818032255668216,-0.16057937705775438,0.43948178863054344,-0.22710505337862807,0.3800512640608591,0.5440565124792058,-0.2219717310993833,-0.019791789015429526,-0.14915288485140857,0.47227695102350536,-0.12138097774002998,-0.3423632028286428,-0.2502812957772907,-0.25542241238337404,-0.18560573226174568,0.395899080718717,-0.15032447384587114,-0.14718811283035063,-0.22672981243727444,0.3032097719518421,-0.06594725382078477,0.1839590979872029,0.10464087102649845,-0.09046999385383503,-0.032620265633406254,-0.007175410196092716,0.45490895560847006,0.2557835705062381,-0.11081991279812274,-0.05434210580479404,0.27911757000170406
Frontal_Inf_Orb_2_L,-0.21476287145166068,1.0,0.2683957118718551,-0.158811436715444,0.2651631213772032,0.6836701320085885,0.8075278549541722,0.6491053838892519,-0.38226761303357276,0.4793863683518304,-0.5100886100035039,0.19747565626177443,0.26037759551029105,0.4586971965418044,0.668678288393524,0.29383172559022497,0.6987257560294727,-0.12850926106753624,-0.31178574799204634,0.6743316271484928,-0.3620155743078442,-0.07293418036878424,0.4959246769528771,-0.4030831604173073,0.45473083758509436,-0.33008426640945465,0.16642524093663028,-0.19841096010289144,0.33219367631799224,0.5106698330289868,0.2846486294438597,0.3339555603595849,0.12206671678371381,0.718302539083219,0.3656928289118116,0.6244990398021281,0.6175267067172423,0.6176506413988189,-0.48569784229437485,0.2921155051954189,0.41218707292215284,0.7176346993652226,0.3323735860739641,-0.36814861440426455,-0.5650610332823864,0.301646261817688,0.34229634226869365,-0.04573709307560689,-0.5323340201383051,0.38853168138354643,0.835475807578707,0.7018731386637701,0.8003510939066832,0.05411543777456984,0.5007023972436598,0.5194046501055971,0.11644460696614965,0.5693151300932916,-0.10269491479259882,-0.4434693499845438,-0.05449524186067929,0.5918150058319357,0.4424550028737491,-0.3257280897103322,0.4501332121644876,0.6808317238348883,0.5862982212097514,0.42811372092278405,0.7767782976788488,0.0028543751932799885,0.7745738375798364,0.7841683065796033,0.27891482177385774,-0.047334563468073826,0.6614460256577197,-0.09076038720590321,-0.019786497788627865,0.4422460410753419,0.4567211753132386,0.16450149955311902,-0.5328195055461681,-0.13770699127516312,0.2801010955709483,0.7649823763984493,-0.25867882780918827
Parietal_Inf_R,0.3404216626634322,0.2683957118718551,1.0,-0.11286716706932433,0.1308943869184448,0.2516667006612873,0.1581420500768483,0.1150315074026377,-0.1796130889564638,0.5690233727099179,-0.1327894213052574,-0.02917806046539841,-0.004490422620692058,0.14009531394893715,0.31511386321305773,-0.16045644854672503,0.1494053241207477,-0.46325578561791636,0.3838761644207408,0.11144679259718074,0.13406431599209648,0.04612999953544691,-0.06400398581703756,0.31738032663373406,0.231146171291154,0.5911990689751866,0.2469347529736833,0.4269723797283309,0.8355360867193973,0.06657501764284708,0.2189817480250301,0.21207498813516973,0.22796125241606394,0.14404413346249337,0.23869517864868348,0.23497949866729212,0.09754517338831387,0.20736527351183284,0.17943269196471592,0.129976194354155,0.3068276310665083,0.19495000092178288,0.18390321313854963,0.2718247311726362,0.0769267604391459,0.0869570957980276,-0.007814778247240667,0.14789506738127842,0.23372475290190198,0.07344196593397405,0.2606526876744766,0.035790002016027986,0.12378266305887742,0.13600330741658184,0.21448178535141452,0.1665426855918665,0.41367802968847195,-0.010535890113949434,0.3063463246653804,0.4209406989724278,-0.08179657309446153,-0.004504270473508039,-0.020807764489512184,0.4625912945980663,0.05626550658796006,0.029432995433284814,-0.21013335685843543,0.025851097060638345,0.10336573105930576,0.2473044147307219,0.19971566333220303,0.2106378953423359,0.1041758208374036,0.4954293241423224,-0.013820300990613026,0.12217857594575272,-0.144435183779429,0.3037103429253382,0.5055711810571424,-0.006550314765361782,0.11066658709851271,0.23396853676970017,0.23785953908527152,0.36306602163724383,0.24310557752654155
SupraMarginal_L,0.18550236180728205,-0.158811436715444,-0.11286716706932433,1.0,0.49014668670343003,-0.02261569850719128,-0.35915840194169685,-0.167098807450982,0.4093464617389894,-0.1129184663106741,0.3030599492460085,0.2457105137629937,0.49339695307186,-0.2629932982951327,-0.09349505937147295,0.26128098359696755,-0.07347034886424388,0.6055728693433057,0.5299773930037687,0.005616949435482872,0.5632889224427718,0.09477741532029502,0.32442226971513544,0.39890354136459016,0.3209740628296752,0.2787487887629434,0.5851751286187009,0.3185710652043487,-0.05039783202271439,0.0015129915911122542,0.6020344947856046,0.237065156704406,0.80814694623785,-0.09250196519433766,-0.17608663793113727,-0.01501020384731095,-0.04567879369259242,0.24023499334045073,0.5233580292285612,0.12472758443263225,0.11308231062444585,-0.036012385160227124,-0.07147776351421868,0.13079666022787234,0.3771354553585313,0.5784893517812476,0.17945677407765256,-0.03476895476275447,0.36377847385469425,0.23414096331529133,0.016742573513717225,-0.22549419044708302,-0.23491286520997937,0.01285071499264508,-0.07197005382281302,0.11362637184605748,0.09315287841705985,-0.08132860784026684,0.1232651897045234,0.42127415466492135,0.242332936242652,0.3134203563860865,0.28961905928888876,0.21335553910156746,0.3771968307461698,-0.05384843844888831,0.3687206952263273,-0.2573398964745945,0.32473928690085774,0.13424129215644395,-0.11800554328268412,0.22521555898416493,0.04231248950334645,0.004013819611453911,0.1764348781737784,0.5172795131693887,0.7806853968483891,0.41612319342664006,0.16165410387362528,0.24458273089723143,0.7365233960913303,0.06522933041719917,-0.32394231583430566,0.19720314282990595,0.07678574462895305
Thal_PuA_R,0.05372912822650763,0.2651631213772032,0.1308943869184448,0.49014668670343003,1.0,0.2789605086993726,0.28230330935171494,0.2047360547472862,0.13526555492695536,0.4497482580080994,-0.05085596098509284,0.2958430078968166,0.7640322224235138,-0.026014808364339562,0.13766520026191484,0.21532292005406783,0.4696634887809467,0.39605817842682295,0.22469196752792364,0.3158672197955107,0.2591965793415444,0.18635500156217116,0.5899415771039949,0.16238632754743318,0.6177377740975875,0.07217368360079139,0.40938717548104864,0.0950347468359975,0.22135581562232767,0.3466466766972639,0.7481844763009095,0.6781253311951286,0.5302499082360693,0.45850672786401553,0.4267341178458731,0.5511998219943576,0.5471343602365724,0.6301563430797117,0.24304304468930085,0.44186633484555976,0.5696768949696785,0.6078932122878726,0.28145357240652974,-0.1049721352185616,0.03681422019963087,0.853480198721882,0.29346492259935764,-0.030131732724268133,0.0035335285198303894,0.4384128487545258,0.5227886053379631,0.4076821998719388,0.3517341754213681,-0.04661860313866893,0.138099312665551,0.4213194949846621,0.18868340228122316,0.48634403948533894,0.03196151984435587,-0.05028364719655951,0.14128666746968394,0.6698458931185226,0.609459991435817,0.05222797654108016,0.7052163171641448,0.42792297531226514,0.4979468035811505,-0.10158582580646768,0.6060507310869868,0.23698123409078745,0.3607841408919525,0.574683660570394,0.18852940214697186,-0.016988624471417205,0.4114285574446237,0.6255742933730858,0.48744490921394307,0.7111205444821651,0.2094654443686588,0.314796640536574,0.09883970030140449,0.26350232866754497,-0.12626597324179464,0.6437706490567106,0.15267266362675339
Temporal_Pole_Sup_L,-0.020718290604946073,0.6836701320085885,0.2516667006612873,-0.02261569850719128,0.2789605086993726,1.0,0.6605223716061727,0.4125910882712819,-0.20418580849841733,0.4058804459136884,-0.28879228358653547,0.0177869709805588,0.25683718022377205,0.25538946955755476,0.5456500886886463,0.27894795931163996,0.4645423983679163,-0.1506207690524702,-0.16729533303973326,0.5122918936822819,-0.07944709169553395,0.07854898691664092,0.4142421694090132,-0.09267740209385754,0.34828608908097086,-0.1291598234121381,0.27054225339549626,-0.10764901740536093,0.20450436569232655,0.34275429691266096,0.15859274879505414,0.40937940054202887,0.11214046052246263,0.4915349141978433,0.30616067963936977,0.4573885666078639,0.6126048876692124,0.31897094303298207,-0.14908121450093334,0.29294985192692935,0.3502461878176068,0.524932474073058,0.3465907752192207,-0.19106470775273632,-0.2742392451057794,0.3021417623452144,0.21391201249850994,-0.15014453706202222,-0.26091813508089173,0.3498724170875646,0.5089860862020053,0.49112307854753967,0.6323595087932972,0.21675439295200857,0.4608061602992658,0.38641233715550477,0.15933076740102836,0.3748379691068753,0.026902880333823112,-0.23882194322527228,-0.10502890087140665,0.5704707940981532,0.29663448820380545,-0.15582833096322568,0.23968452724010925,0.4812428455249717,0.5535278002517531,0.3820475568074503,0.5011290007927545,0.2388231124817134,0.6598556191587731,0.5422746541536101,0.19349235476724072,-0.01547197380187345,0.6048980831050755,-0.1263874688027394,0.18794967506861798,0.302385791036956,0.3295156803015196,0.14762163229012282,-0.22688306860835908,-0.03793292469579829,0.24453785177300377,0.5318794273280019,-0.23464068070121616
Red_N_R,-0.30366438155522274,0.8075278549541722,0.1581420500768483,-0.35915840194169685,0.28230330935171494,0.6605223716061727,1.0,0.742164613896896,-0.34405402457951473,0.5199932452828442,-0.5611661716189617,0.13657231348894316,0.29689953562186444,0.34150866002297237,0.6442960148514414,0.26294894624656456,0.8041641090638674,-0.18465522051949573,-0.5778376525284162,0.7344007763680119,-0.4876496997440206,0.02441359226297263,0.5054182173206655,-0.4665707828669557,0.3800217358714463,-0.5143163500813488,-0.1837967522315041,-0.34730690416999044,0.14294671774719198,0.5055554734003288,0.1692661707595641,0.348979771111284,-0.07278393834221553,0.8310829693856606,0.48802509683820594,0.6599440713712227,0.7389006419304679,0.4976542822307658,-0.5334257673005973,0.27604374756867117,0.3533168747291924,0.7297501111399349,0.34763967203082047,-0.5164886553142083,-0.675764646191188,0.2522767963908511,0.35830888714721587,-0.24901361509959732,-0.7014042394939691,0.3339223759880656,0.753008550833395,0.8756009868184641,0.9524102274454935,-0.12731671405420122,0.27734707019427735,0.4756391243323029,-0.02264752066313733,0.6692761928521279,-0.3189289713189758,-0.6438624490811898,-0.02664684947286263,0.5588807101835284,0.4854015220755162,-0.4433719925892574,0.40447054975788665,0.803985049728396,0.502028887438448,0.46500541753796987,0.584445722988586,-0.008899792006732132,0.8187578093960383,0.6766760492381463,0.3149997459677959,-0.2092113845286196,0.5980168509133786,-0.21138202763066463,-0.13246703618987254,0.39076280052968226,0.3929943319453497,0.18498700960676082,-0.7064615834630127,-0.04707875700138651,0.26738939427682534,0.6352177789460662,-0.35725073808045793
Fusiform_L,-0.4212469024015988,0.6491053838892519,0.1150315074026377,-0.167098807450982,0.2047360547472862,0.4125910882712819,0.742164613896896,1.0,-0.36392028709682583,0.4849930808568518,-0.7072238141867869,0.31567761757915364,0.3016249539498763,0.20500263781722408,0.7349580786047067,0.4540311943322351,0.7841850068096802,0.0843110915017378,-0.5388154115114351,0.8042699187696551,-0.5362418701832379,0.09369663834690749,0.5688204499785863,-0.45556303854222924,0.31232192647051377,-0.5794271449065127,-0.3909052462548926,-0.14147376279732887,0.12691693318498978,0.626030972655656,0.2615149118222958,0.18761587216918105,0.2444547446493401,0.8533775445352956,0.2998146432882255,0.5218204445433163,0.4107784983542661,0.6608598379959263,-0.6962063941494606,0.05813707220408852,0.07440720522446144,0.595003951467915,0.0598374401868171,-0.6975281738163671,-0.8701847839386758,0.17392232262930854,0.35632021366125893,-0.24890757712783232,-0.7468111681315138,0.1639592635994168,0.7770630144623822,0.8322290997272154,0.8375313564309304,-0.22050262676160362,0.10312983717570914,0.7000205930196762,-0.3931176903787692,0.5939694696112685,-0.5687803166126085,-0.6017169397030923,0.3110430740479843,0.4129421619719366,0.6210488997060647,-0.4415974234633091,0.5935686505045965,0.8532911522527431,0.40312927573860163,0.31860799154447167,0.6545913554269385,-0.45329992277592934,0.6187448914130251,0.6955248717258585,0.449898742976644,0.0037571002872300425,0.32324565427995083,-0.1633085471145545,-0.17418659277039278,0.5053755485864123,0.7094559517431412,0.35767914478140145,-0.6268780696698089,-0.3695883034068834,0.03604902252611418,0.5962702931278752,-0.4571628250150599
Frontal_Med_Orb_L,0.19105232195038555,-0.38226761303357276,-0.1796130889564638,0.4093464617389894,0.13526555492695536,-0.20418580849841733,-0.34405402457951473,-0.36392028709682583,1.0,-0.2920336702145263,0.32424203029535387,0.03974876120763116,0.10351029973759478,-0.1962957593712787,-0.22329037502331867,-0.18983161693004497,-0.2866620250560955,0.27689705443406465,0.32391777958929685,-0.19527641005972513,0.2676333711524908,0.006524043775967911,-0.019543208446365718,0.3306658018182428,-0.050114126302523085,0.19049243944653205,0.1778870685833489,0.12105831613096303,-0.15170085100574277,-0.1034068559064966,0.1738723630025905,-0.07557744812265416,0.16357844139314748,-0.30310401518925423,-0.23387762955008812,-0.2279262928481636,-0.15086991082950651,-0.17378418255591505,0.4033134383093325,0.03588196652178329,0.06437896069730979,-0.22980585943952248,-0.08329341676161109,0.2943420634421573,0.42329589492112313,0.16969707610081136,0.08754628369737015,-0.0822814852519918,0.3442722519552209,0.09926932132286394,-0.25163302517862324,-0.2828005039936341,-0.3403000874796566,0.03227735006061985,-0.12398020907949925,-0.14205472204174907,0.07027862746188696,-0.20688080257398894,0.060770853008790926,0.30678060756944486,0.12235696020864979,0.04967968341894015,-0.03619594485483569,0.18392675322827123,-0.013906772173868171,-0.2503978870359951,-0.014885832616857024,-0.08578247501495614,-0.13560969321420333,0.18628313869689186,-0.2817555437466422,-0.14567118628091608,-0.14353612732349258,-0.13521966568895782,-0.06653995686500748,0.17854882404403033,0.34337369700785936,0.01598884222853025,-0.21222342558343038,-0.09097785997428008,0.4531314878195411,0.09061211777293272,-0.03481804931761723,-0.12512810795457424,0.18941285070140104
Fusiform_R,0.07746800325309311,0.4793863683518304,0.5690233727099179,-0.1129184663106741,0.4497482580080994,0.4058804459136884,0.5199932452828442,0.4849930808568518,-0.2920336702145263,1.0,-0.48296054906054897,-0.006667413370717463,0.42968868196550164,0.04385597214631378,0.3971658740722265,0.05536733199653794,0.626526205375645,-0.08928870539596441,-0.0354616232637662,0.4200069097789077,0.0251006821724379,0.25956325458161666,0.4937372406420794,0.16762060802054982,0.5538717432391593,0.07692855843238824,0.05827324659371599,0.09759092212226694,0.41541149103043074,0.27020396917497375,0.39264382280920784,0.5920114981632313,0.1988408499225063,0.6668837881683246,0.41432004874250955,0.6475786269421574,0.47035810158673974,0.5604274930623778,-0.026203042246162617,0.21273182777961258,0.37867670282321586,0.5822909796940283,0.1841269780121924,-0.05782024109647224,-0.3218374688469332,0.4823126352060329,0.0632000856709184,-0.01203910016107689,-0.19889936075410536,0.3579954384805741,0.5946033462859943,0.5634084982526841,0.5527100980480036,-0.04390607974518915,0.12637379353589775,0.5786183738004878,0.10442669844763554,0.4559188963289426,-0.033274690383716256,-0.18632285596532855,-0.12928172229456877,0.45153421020801365,0.4658421366126646,0.11258154608217417,0.4934039455190582,0.5866633511771828,0.2576426992204748,0.11930980831449065,0.43774607551901684,0.1307623152061402,0.4436717921038284,0.5114704641349773,0.05822860363806165,0.40360047396127996,0.4137191237388652,0.26227402499934827,0.03597298260227723,0.5896205371997724,0.4522503310638431,0.32636188186726706,-0.289256620858137,0.08715603292916196,0.043395050953427515,0.6046171238860838,-0.08835482855922058
