,SN_pr_R,Occipital_Sup_L,Thal_PuA_L,Thal_MGN_L,Thal_PuL_R,Thal_VL_L,Occipital_Mid_R,Cerebellum_Crus2_L,Temporal_Pole_Sup_L,Thal_MDm_R,Angular_R,Cuneus_L,ACC_sup_R,OFCpost_R,Rectus_L,Thal_VL_R,Cerebellum_Crus1_R,Hippocampus_L,Thal_IL_L,Parietal_Inf_R,Frontal_Inf_Tri_R,Vermis_6,Calcarine_R,Frontal_Med_Orb_R,Thal_LGN_R,Temporal_Mid_R,Cerebellum_4_5_L,Thal_IL_R,Cingulate_Mid_L,N_Acc_L
SN_pr_R,1.0,-0.2250891626270464,0.11448105399856502,0.14063094505492615,-0.018957376101345316,0.31629105864899854,-0.21668000037975235,-0.2888588509194046,0.21391201249850994,0.35343332100439856,-0.30158092470898806,-0.17802807068919052,0.19874000668294284,0.030622163043478524,-0.18686845282884204,0.2146564876263965,-0.22870808394309186,0.4084924717421595,0.4702028608642758,-0.007814778247240667,0.223236511346503,-0.2428582013308935,-0.19882148720592943,-0.2063131702386271,0.37748472679019934,-0.17864178387272153,0.21506115215053123,0.394674006288084,0.31294653794064015,0.3718468386784828
Occipital_Sup_L,-0.2250891626270464,1.0,-0.12239784008253382,-0.07980525419456334,0.23923262639922244,-0.3248146284716129,0.2057397538391155,0.7009563931758169,-0.23882194322527228,-0.32706535067663706,0.7387344902663918,0.776099266601044,-0.21184472403932328,0.540195022142428,0.5440565124792058,0.01724564569276102,0.2905167540584081,-0.37565851226136815,-0.4211439518032883,0.4209406989724278,-0.29873770866871163,0.8233419685635797,0.7303972949027144,0.5811569989218813,-0.7494844268353429,0.5254291845583022,-0.007979369285620893,-0.38581571721664215,-0.09236080562592197,-0.35135554069132346
Thal_PuA_L,0.11448105399856502,-0.12239784008253382,1.0,0.35135897221327633,0.4526045191710277,0.5542626862657631,-0.046433539326119086,0.03250654398468482,0.40937940054202887,0.6579008410503098,0.08870636473667644,0.21295802814052825,0.22196210072491632,-0.01201905031474567,0.00921977705701081,0.4222299080118486,0.0274415406341246,0.6236390871257629,0.5532561407681607,0.21207498813516973,0.3451828146471874,-0.01795196657305899,0.25822053288559815,0.06320944290457377,0.41250070371927133,-0.10798171656730346,0.6200247835761797,0.6279370867175873,0.5932122904838351,-0.041899738969051456
Thal_MGN_L,0.14063094505492615,-0.07980525419456334,0.35135897221327633,1.0,0.27537376874105235,0.4201678271879513,0.11625748875910748,0.003152217537398304,0.29294985192692935,0.4395848997669097,0.017059482032255352,0.02537645351003601,0.34280376915001715,0.1206345498129336,0.08380420546215975,0.45905606519334025,-0.219322798150638,0.34437192173883274,0.252720847664092,0.129976194354155,0.37284822360414543,-0.06589671308296946,0.10780454307644492,-0.01257271591148669,0.25837307214096183,0.05471934576615417,0.32417537957798903,0.4276161140339651,0.45501402462593626,0.12533026480521295
Thal_PuL_R,-0.018957376101345316,0.23923262639922244,0.4526045191710277,0.27537376874105235,1.0,0.29949485095630674,0.31637301135271395,0.33424637827381565,-0.1263874688027394,0.3283014835828237,0.3074859879704572,0.5477568265786009,0.07611011031247017,0.09292496117184479,0.1839590979872029,0.37949624150586203,0.06813841120165634,0.33804859695793094,0.27057035466978907,0.12217857594575272,0.19650678109257566,0.3366371129874603,0.443844822461239,0.073519747530944,-0.02367707955536292,0.20946183333186938,0.5337319330215425,0.23972092397058314,0.5161507634524598,-0.23790569011366314
Thal_VL_L,0.31629105864899854,-0.3248146284716129,0.5542626862657631,0.4201678271879513,0.29949485095630674,1.0,-0.11433629000725412,-0.219478628203137,0.5704707940981532,0.8676351524555309,-0.20471224582158845,-0.1682481741476787,0.37944373542960214,-0.006794186063340728,-0.019791789015429526,0.6892941623593994,-0.10897538157459948,0.7744127371635816,0.6925695326578019,-0.004504270473508039,0.4963901249327459,-0.2913781385377739,-0.08263048033886974,-0.23697565498155732,0.630001357261235,-0.268135316620399,0.5962728821013337,0.7304279338957785,0.7540107912806172,0.2934981037260323
Occipital_Mid_R,-0.21668000037975235,0.2057397538391155,-0.046433539326119086,0.11625748875910748,0.31637301135271395,-0.11433629000725412,1.0,0.42339059721588346,-0.15014453706202222,-0.1629141310239956,0.32719641357230195,0.16042974037066407,0.16423611077567407,-0.003681288561414989,0.12971265030209775,0.20401708540758418,0.1709436800601871,-0.28181228067327424,-0.22568313363886944,0.14789506738127842,0.15530404685888152,0.1730585475596007,0.11320373266528401,0.012525209308918622,-0.2264651375003583,0.13007516481128953,-0.1292166221780357,-0.12615597230943498,-0.012658099330397396,-0.0934078482165916
Cerebellum_Crus2_L,-0.2888588509194046,0.7009563931758169,0.03250654398468482,0.003152217537398304,0.33424637827381565,-0.219478628203137,0.42339059721588346,1.0,-0.15582833096322568,-0.19118180599522275,0.7308667655537638,0.5908694928569415,-0.11660026883477603,0.23699602157918495,0.47227695102350536,0.12139369119519147,0.4903727700137915,-0.27178792466401613,-0.32945124667265413,0.4625912945980663,-0.06602934789833959,0.6455677143957044,0.6437234985181179,0.4732569901580888,-0.5032867124409912,0.32726896882690604,0.06307094909809229,-0.2402343247389995,-0.0441828882470541,-0.3288761027419117
Temporal_Pole_Sup_L,0.21391201249850994,-0.23882194322527228,0.40937940054202887,0.29294985192692935,-0.1263874688027394,0.5704707940981532,-0.15014453706202222,-0.15582833096322568,1.0,0.5787551453250768,-0.1674390519854699,-0.23364402024767003,0.3310555041128013,0.13395447374258548,-0.020718290604946073,0.3502461878176068,-0.01547197380187345,0.5018477650173688,0.4142421694090132,0.2516667006612873,0.378278450963944,-0.30927475216379646,-0.14908121450093334,-0.08180195237947616,0.49112307854753967,-0.28879228358653547,0.265212580654765,0.5212385596048732,0.44426858177382106,0.3820475568074503
Thal_MDm_R,0.35343332100439856,-0.32706535067663706,0.6579008410503098,0.4395848997669097,0.3283014835828237,0.8676351524555309,-0.1629141310239956,-0.19118180599522275,0.5787551453250768,1.0,-0.1492846482118145,-0.08474045084749736,0.37938889472207205,0.004463310265322344,-0.06341607487108489,0.6552679348154404,-0.17952462303149483,0.8503119339445098,0.6871700455172792,0.04230044499034179,0.4910821448331928,-0.26067177502636035,0.04720415866879137,-0.22247436815137914,0.6410995460534801,-0.21598365162708638,0.6172835110907845,0.8109550354204275,0.7523009625253091,0.25218945855694214
