,Occipital_Sup_R,ParaHippocampal_L,SN_pc_R,Lingual_L,Parietal_Inf_L,Vermis_9,Amygdala_R,Frontal_Inf_Oper_R,Cingulate_Post_R,N_Acc_L,Raphe_M,Cerebellum_9_R,Temporal_Pole_Sup_L,Parietal_Sup_R,Frontal_Med_Orb_R,Thal_PuI_L,Thal_MGN_R,Vermis_3,Amygdala_L,Temporal_Inf_R,VTA_R,Vermis_10,Thal_VA_R,Thal_PuA_L,Fusiform_L,Thal_MDl_L,Cuneus_L,SupraMarginal_R,Thal_PuI_R,Rolandic_Oper_R,Heschl_L,Thal_VPL_L,Cuneus_R,Cerebellum_3_L,Vermis_1_2,Precuneus_R,Frontal_Inf_Tri_R,ACC_pre_L,Cerebellum_9_L,Pallidum_R
Occipital_Sup_R,1.0,-0.6063609799284215,-0.19535603791225653,0.5951741587189727,-0.08067769113746132,0.03623776800813674,0.4655221618929123,0.6075660155959739,-0.03970115511907491,-0.18252851860809052,0.438286362543802,0.013191474063201102,-0.19106470775273632,-0.24112382309380104,0.5467104053034101,-0.22149896026821758,-0.565514842460795,-0.21398781507792075,-0.27411013254343236,0.15821377000762724,-0.5274885269355253,0.7104159839118057,-0.2425948951588829,0.003966561865870194,-0.6975281738163671,0.012974750918662268,0.5565018436647304,0.21379272654505482,-0.5091915007801445,0.35474843133883327,-0.10238762295259521,0.14140254799954785,0.6798555692426773,-0.40615638825883943,-0.4790975513035149,-0.040540347563599505,-0.22457367673270193,0.08713437411894824,0.5433744809885273,0.526039572621931
ParaHippocampal_L,-0.6063609799284215,1.0,0.37421840800509976,-0.45962234712738864,0.2537865669005108,-0.13339935819188653,-0.5846279126849604,-0.3870976129679414,0.4130278516874314,0.36081820109464835,-0.4548758610617264,-0.21575516236491377,0.4812428455249717,0.3870129703473186,-0.4992953705348858,0.5516738013443393,0.8534675375460754,0.6364848835048365,0.2466134792536624,-0.5047594913374155,0.8228874337326806,-0.7911334705447038,0.6340828345211026,0.4503331817712055,0.8532911522527431,0.40987340206129186,-0.44725154913764753,-0.0048700068604603285,0.7280899262816802,-0.050092663050738284,0.5364860205658833,0.22833332221690825,-0.6149835750999879,0.7922791748193013,0.8290678944419891,0.34921657760632263,0.5626239179489299,0.09617803503367726,-0.70936543397896,-0.2846138752065254
SN_pc_R,-0.19535603791225653,0.37421840800509976,1.0,-0.024188076182806783,0.1352759087172201,-0.22437429623922298,-0.09894057158839163,-0.02730930056423638,0.10399159935912856,0.3174264816570202,-0.32772750987109134,0.08541474316134043,0.34337244758122637,0.10578755783081209,-0.18505238676527114,0.1980396010048687,0.28764558253493394,0.21379731227238058,0.1323240980221824,-0.09350821326568913,0.42593939136109726,-0.2002754918224023,0.4104753963040546,0.22582326878133432,0.32520109653855056,0.3386383901982137,-0.18129420111246158,0.016608125545860903,0.19476675893438206,0.004086365784185013,0.2660206734453136,0.17614742829827895,-0.16298410552507311,0.24482619360557542,0.32181442294256507,0.13959330925801852,0.2605173901083143,0.15095549203816355,-0.08051548364783989,0.18391593734892067
Lingual_L,0.5951741587189727,-0.45962234712738864,-0.024188076182806783,1.0,0.3632026321233164,-0.08159594337493561,0.5509553494334116,0.7410523606780028,0.28193306475672114,-0.3598767995252833,0.3434169258858442,0.3193939401089606,-0.010603851002974181,-0.2227986554405633,0.5215732325620358,0.19168660241794233,-0.5315912677323427,-0.008401891313499827,-0.20759738644460587,0.4016265746619626,-0.3560724181975461,0.8021924988295591,-0.05756947320432552,0.3292323122248682,-0.5313307973731414,0.17870657399107293,0.7853078281061411,0.25604872586449856,-0.3159378915679213,0.5767104556524676,0.0888115317494017,0.5263378531166879,0.8194774657793517,-0.22802705654532252,-0.36227693965649166,0.3477426325358857,-0.21966043122902065,0.006686027544382809,0.6784965607581289,0.6024124122627144
Parietal_Inf_L,-0.08067769113746132,0.2537865669005108,0.1352759087172201,0.3632026321233164,1.0,0.09868548689893943,0.19821664311791998,0.24418242524666048,0.7510183298622958,-0.13140414308026108,-0.036795004056074714,0.2048442131276783,0.11214046052246263,0.3843602077085491,0.02015949893408915,0.5307150061950953,0.01167609707699475,0.4643610418797985,0.10821681049804706,0.16707818013718148,0.4370201807750244,0.008629990946634315,0.08066158753055123,0.3031237799221132,0.2444547446493401,0.22652075547722506,0.4826948812224997,0.29089097417824716,0.3727958368351396,0.1050783957493752,0.22467898848295345,0.6900793079770138,0.1911914634153443,0.5550437339396767,0.3409741180985092,0.8392199992191518,0.0701419946912909,0.011754690682932436,0.10500045945378289,-0.03796790804959304
Vermis_9,0.03623776800813674,-0.13339935819188653,-0.22437429623922298,-0.08159594337493561,0.09868548689893943,1.0,0.0037066802003012616,0.08671938474649231,0.08059065029178294,0.029889450954156307,0.2623079875748974,-0.03841630280987495,0.04022459896311823,0.42252061773614485,-0.033575333577608946,-0.2431213940658779,-0.04020361774067117,0.1273102877874051,-0.03277834975866404,0.0021006309284733035,0.01747956666234578,-0.09702035539215717,-0.11914727197617254,-0.23079186059465842,0.1010845394387847,-0.15770279543487753,-0.01221606813509493,0.43017202068441984,0.001508104011564519,-0.0966240614939019,-0.29290029750102003,-0.18691062999729585,0.1242739947221531,-0.021700299625949406,-0.017326730662410413,0.2113415389665131,0.23577880019024688,0.3346876665170519,-0.03620173600959405,-0.14768241492612877
Amygdala_R,0.4655221618929123,-0.5846279126849604,-0.09894057158839163,0.5509553494334116,0.19821664311791998,0.0037066802003012616,1.0,0.39356189279418696,-0.05277401708283085,-0.3755605336097423,0.27723942057926165,0.2583645936949138,-0.3443033426898555,-0.3654207624217406,0.3753458864216304,-0.07233790803816181,-0.574097167932256,-0.3379042587271313,-0.058084893796514485,0.49429972254889265,-0.41494128122422835,0.6864413971697131,-0.3436988671422876,-0.102291234384219,-0.6217701786887304,-0.11036944228266474,0.6387574225579107,-0.1099496718524339,-0.549473424098939,0.11111550791783588,-0.22878561647699155,0.2443887228071997,0.5142595494116652,-0.33573906429029265,-0.5192076470258248,-0.03229755285056002,-0.5350876741824374,-0.1667223075135599,0.7192376277585176,0.33801651962229307
Frontal_Inf_Oper_R,0.6075660155959739,-0.3870976129679414,-0.02730930056423638,0.7410523606780028,0.24418242524666048,0.08671938474649231,0.39356189279418696,1.0,0.4468943941129948,-0.22855600246146965,0.5993952648214157,0.3276792787808622,-0.07899787903798594,-0.11561787353164676,0.4024169570498923,0.15209122084803345,-0.4117572161687167,0.24057187595058757,-0.16893382804979015,0.21564072942116946,-0.284339962037842,0.710545118973311,0.06253581505995413,0.28735591554879647,-0.500519456420678,0.22613585341730766,0.6538213884310288,0.5479186114907078,-0.11410098392478983,0.6322656256640172,0.04252525111045959,0.46395081956074297,0.7401324691347745,-0.10670305093493157,-0.10503658967132186,0.3192679503514521,0.23662387206954508,0.26778317745076524,0.5752377719349265,0.6128943503178574
Cingulate_Post_R,-0.03970115511907491,0.4130278516874314,0.10399159935912856,0.28193306475672114,0.7510183298622958,0.08059065029178294,-0.05277401708283085,0.4468943941129948,1.0,-0.03000526430957366,0.13929135635983475,0.1314589254980694,0.15859274879505414,0.24308482531581724,-0.06643603367259014,0.6695328875620287,0.23681799140672302,0.7131145460616275,0.10871816013649531,-0.10460604044203387,0.45531242887852963,-0.02833279247806494,0.3555047807155439,0.5045667323327567,0.2615149118222958,0.4507973276217238,0.3269709596436411,0.36723211251050836,0.5923268154333883,0.35778997086755926,0.47537725148910853,0.759089003020851,0.0717754269085881,0.6859618032068943,0.5634729784940661,0.7471283968285475,0.46718424461126895,0.18428851631012083,-0.03435048302352346,0.06267622236702909
N_Acc_L,-0.18252851860809052,0.36081820109464835,0.3174264816570202,-0.3598767995252833,-0.13140414308026108,0.029889450954156307,-0.3755605336097423,-0.22855600246146965,-0.03000526430957366,1.0,-0.36003909573664683,-0.42325495121357026,0.3820475568074503,0.2575872480029753,-0.18675862892704007,-0.1066402770943835,0.3117554016321818,0.13877819049980333,0.13979112301635216,-0.49488915017733776,0.3493275405608564,-0.4013028336442671,0.32801927294413136,-0.041899738969051456,0.31860799154447167,0.4211533020473038,-0.42833973321295826,0.011157662565593108,0.16031872999709554,-0.16413604150221084,0.09281082409024606,-0.06557813803679012,-0.3284874117508988,0.15526796871671053,0.24934636097352464,-0.043107105784941854,0.29629563044726315,0.23473106686324025,-0.410346991345166,-0.11826274073812225
