,OFCmed_L,Vermis_6,Frontal_Sup_2_L,Thal_PuI_L,Thal_MDl_R,Postcentral_R,Cerebellum_Crus1_R,Pallidum_L,Calcarine_L,Thal_AV_L
OFCmed_L,1.0,0.23591727016397424,-0.218498722234128,-0.08599208842646781,-0.08414076154497928,-0.05889536350971828,0.2907853173257254,-0.05464528311819124,0.29952486556413416,-0.16700375679990248
Vermis_6,0.23591727016397424,1.0,-0.4131777306443773,-0.09793425242653445,-0.4442428912064418,-0.4921215060107105,0.22103790101196674,-0.2344962225255537,0.8597592649498152,-0.567624803093155
Frontal_Sup_2_L,-0.218498722234128,-0.4131777306443773,1.0,0.6038350174456367,0.6865965269706216,0.6480383908079441,-0.061294696705496254,0.6247613748527896,-0.29030740672143474,0.5944104003856877
Thal_PuI_L,-0.08599208842646781,-0.09793425242653445,0.6038350174456367,1.0,0.5100344063817404,0.32372216945114174,-0.0421322238248219,0.4710037981811018,0.2012871525094971,0.47418233630879913
Thal_MDl_R,-0.08414076154497928,-0.4442428912064418,0.6865965269706216,0.5100344063817404,1.0,0.5917711657478737,-0.11768523348196429,0.576533933523971,-0.2408216715186007,0.5199242187757125
Postcentral_R,-0.05889536350971828,-0.4921215060107105,0.6480383908079441,0.32372216945114174,0.5917711657478737,1.0,0.28390505962795676,0.24520178590577396,-0.38097358795395553,0.49178331965165806
Cerebellum_Crus1_R,0.2907853173257254,0.22103790101196674,-0.061294696705496254,-0.0421322238248219,-0.11768523348196429,0.28390505962795676,1.0,-0.174961733378959,0.1883224413957918,-0.13613416630930059
Pallidum_L,-0.05464528311819124,-0.2344962225255537,0.6247613748527896,0.4710037981811018,0.576533933523971,0.24520178590577396,-0.174961733378959,1.0,-0.033154989256353705,0.427596563392669
Calcarine_L,0.29952486556413416,0.8597592649498152,-0.29030740672143474,0.2012871525094971,-0.2408216715186007,-0.38097358795395553,0.1883224413957918,-0.033154989256353705,1.0,-0.4058956273416281
Thal_AV_L,-0.16700375679990248,-0.567624803093155,0.5944104003856877,0.47418233630879913,0.5199242187757125,0.49178331965165806,-0.13613416630930059,0.427596563392669,-0.4058956273416281,1.0
