,Temporal_Sup_R,Cerebellum_6_R,OFCmed_L,Cingulate_Post_L,Temporal_Inf_L,Thal_PuL_L,ACC_sup_L,Cerebellum_10_L,Olfactory_L,Thal_PuL_R,Thal_AV_L,Temporal_Mid_R,Cingulate_Post_R,Temporal_Sup_L,OFCpost_L,SN_pr_L,Cingulate_Mid_R,Thal_PuM_L,Supp_Motor_Area_R,Precentral_L,Parietal_Inf_L,Amygdala_L,ACC_sup_R,Postcentral_R,Thal_MGN_L,N_Acc_R,Cerebellum_3_L,Pallidum_L,Olfactory_R,Precuneus_L,Supp_Motor_Area_L,Thal_VA_R,Thal_Re_L,Insula_R,Cerebellum_7b_R,Thal_VA_L,Cerebellum_Crus2_L,Frontal_Med_Orb_L,OFClat_R,Temporal_Inf_R,Thal_MDl_L,SN_pr_R,Frontal_Sup_2_L,Thal_AV_R,Occipital_Inf_R,Heschl_L,Angular_R,Cuneus_L,OFCant_L,Parietal_Inf_R,Hippocampus_L,Frontal_Mid_2_L,Temporal_Pole_Mid_R,Vermis_10,N_Acc_L,ParaHippocampal_R,OFCmed_R,SN_pc_L,Temporal_Pole_Sup_L,Calcarine_R,ACC_sub_L,Frontal_Sup_Medial_R,Rolandic_Oper_L,Vermis_4_5,OFClat_L,Caudate_R,Frontal_Inf_Orb_2_L,Putamen_L,Temporal_Pole_Mid_L,Red_N_R,Amygdala_R,Thal_PuI_L,Frontal_Inf_Tri_R,Precentral_R,SN_pc_R,Cerebellum_3_R,Vermis_9,Pallidum_R,Cingulate_Mid_L,Vermis_6
Temporal_Sup_R,1.0,0.2141948436681302,0.13456006859143352,0.016452394607006295,0.03090875252139701,-0.14285252157458783,0.01279345589501557,-0.15221549293717943,-0.2568590987398893,0.3543846412679505,-0.09754632504511834,0.6339093356299268,0.1798839472879119,0.15781103080004488,-0.1299352878580928,-0.14800790295618124,0.1356923220067101,0.242836214652962,-0.10251485788022077,0.09657811014146958,-0.017536629433003232,-0.017150966791532832,0.22216924480497038,-0.15316936802095132,0.36564275808342056,0.4689374050596309,-0.18519373077352352,0.07204504579887833,0.05027454144509415,0.021505495098536873,-0.07925039711315443,0.21888780172561473,0.24550555314983888,0.6568082430009522,0.3716640030862372,0.1039551862198236,0.33825068293266464,0.09061211777293272,0.1120477710284314,0.35666786354844465,0.11381589719752268,-0.07301677514455708,-0.11634512023449407,-0.003215361984937414,0.22092146902767165,-0.011651150595749891,0.4689320910193114,0.37443246171421946,0.13023144408395843,0.23396853676970017,0.0017565489140887122,-0.12231937575187879,0.06357865863558831,0.5095677556442112,-0.18960514610714876,0.03275537074313099,-0.13437896254115025,-0.0113581893276975,-0.03793292469579829,0.5604296311427902,0.10875118504179122,0.06331781270099462,-0.14881008727671224,0.3700628835890197,0.22563239312069464,0.2233462607890873,-0.13770699127516312,0.2347767603081326,-0.1683990303098583,-0.04707875700138651,0.1792353314443416,0.16080191539221705,0.16105857964747244,0.05480280067162731,-0.09307940563757218,-0.13382326671414513,-0.07162884283348807,0.5294306537154361,0.1310270039694802,0.34722809154993534
Cerebellum_6_R,0.2141948436681302,1.0,0.2838038933579076,0.09333939777797566,0.08640642245015907,-0.22448348414068334,-0.02740460035937336,-0.08353218001877484,0.0004661654527324598,0.3443509955547016,-0.1415099722556782,0.05161254705078082,0.13968687493852505,0.09851731106225106,-0.06772686098427709,-0.27569280506506766,0.17033718386492247,0.15108553909926004,0.06272780699375549,0.17788471255863667,0.2090829933057016,-0.1879138412987894,-0.051088456190067376,0.2842351516900866,-0.0014730436177103558,0.4334683669237921,-0.1166043404889108,-0.09089413471741277,-0.06855087078909122,0.23858233473540322,0.02603921741992995,-0.10386022052014085,0.026896045172763863,0.36364967793240377,0.5657285297813351,0.0030450300993982277,0.6863605912882389,-0.0486342114385756,0.14620684512996168,0.07055264029734733,-0.023615152941004865,-0.23726173783725873,-0.07922468612548665,-0.10005221963700851,0.28792333795487507,-0.05596677341433427,0.5766217767472029,0.5543804433078435,0.19753603091254943,0.6447550424844872,-0.10280466487484813,-0.059137777105259436,0.27176678974050794,0.3902333721381531,-0.36406130565604405,-0.12213386442662975,-0.0551934860429942,-0.16801730859433764,0.016048375029527207,0.49804359577815804,0.18429566135808853,0.12163252672485833,-0.23773902025246407,0.6215275510966264,0.2056897280739046,0.0511696033170552,-0.10808413562375623,-0.047898800281966566,-0.22080253706328745,-0.25806519825004154,0.2598756105958865,0.07006773331687169,0.08167078245207858,0.248015076955287,-0.13549366640292895,-0.15495422516850757,0.16015049700533746,0.3483148318005921,0.1309394103690217,0.4820917960631949
OFCmed_L,0.13456006859143352,0.2838038933579076,1.0,-0.19594643768292716,-0.033701998978681376,-0.22321122649941574,-0.18414842777499155,-0.06587752257201973,0.0024279523346811965,0.018589638995974607,-0.16700375679990248,0.09645227347609107,-0.1094536216864328,0.11425281999872558,-0.2891347177350335,-0.1487553733106627,-0.10550549204703362,-0.022746890306064207,-0.16761501669944776,-0.066736852726326,-0.11065827723710034,0.009592073732845352,-0.1211946618255957,-0.05889536350971828,0.09222318795838788,0.2774698590252382,-0.17439411472952882,-0.05464528311819124,-0.16412597706048435,-0.07996880196208284,-0.18267378398296255,-0.07597967169486386,-0.019256766133237527,0.10314789145104927,0.2885591815751649,-0.15423152282330743,0.31937976378527183,-0.05913456181213411,0.010472947529198733,-0.018845761581569215,-0.13454889009313076,-0.3724178864313596,-0.218498722234128,-0.0900233221548755,0.17148189167616562,0.07818233552957143,0.2865024919935949,0.22277796461412952,0.34474147097225183,0.22131527608799326,-0.10763124023158113,-0.2208780584338054,-0.03940109350833359,0.2569389239678285,-0.19937711176564196,-0.25094884741721796,-0.0695112799976481,-0.05997344908027847,0.05998873947668074,0.31234953213460226,0.1955675299464613,-0.10739785943394164,-0.0471853880680773,0.15893313805949874,0.06981774367018662,-0.060594810958405874,-0.11891221913831236,-0.013692636527785504,-0.07562640551176707,-0.12036918633233101,0.016852012429685488,-0.08599208842646781,-0.14738033194196376,-0.10709805347767544,-0.22195526502414464,-0.14161003269111683,-0.03721701155485453,0.17573246898400677,-0.09171848157599574,0.23591727016397424
Cingulate_Post_L,0.016452394607006295,0.09333939777797566,-0.19594643768292716,1.0,0.37865051582695564,0.38947392532961406,0.8645234202671459,0.18260486529136855,0.15236815371749576,0.5915896785665142,0.47815060421967825,-0.3014287233942932,0.8959705042356015,0.38303685666344495,0.013540815788447813,0.3643985293028846,0.83086887316245,0.7470724985313871,0.8090201340961473,0.8459784907059099,0.7358911898637245,0.0998225940125439,0.2571337545934381,0.6252346599650703,0.3042911169327634,-0.2196583460306791,0.7762633362539556,0.3849458841676869,-0.18267817307889953,0.8585379032057917,0.8581656528770583,0.3832879688361021,0.07435719436216633,-0.0018564033935114695,-0.2722768027784554,0.5899597420357339,-0.05574749753558864,0.0389626088697136,-0.34889250894472634,-0.198700567244823,0.42952332851476127,0.33889811071412945,0.7542561935079692,0.4952018248144861,-0.0778897865785183,0.4920529766883883,-0.15809443913146703,0.21714915053146872,0.11732804048010331,0.16110596608601654,0.7849337039952464,0.7128401872475715,0.272157873641813,-0.28235260722389827,0.01944721469509642,0.6584707621095461,0.1255724405605206,0.3949724918716085,0.21917117922523696,-0.022867777923343248,0.04521741207197832,0.7502012936553066,0.47343743990956505,0.1331157421746524,0.16327164937794716,0.6086499122710531,0.39537298972151713,0.35946277319802444,0.43438119628756655,0.3131727377671559,-0.18008258985706493,0.7203622381274963,0.47655091768788327,0.8699287393168723,0.21781928879229775,0.6612982878662513,-0.018170229995660044,-0.08458139933977038,0.8887107473427134,-0.21689259863065816
Temporal_Inf_L,0.03090875252139701,0.08640642245015907,-0.033701998978681376,0.37865051582695564,1.0,-0.027165674026568665,0.31218341091063473,0.08637317685817901,-0.03235418176532541,0.16398218159045294,0.2523116295841765,-0.156714471392162,0.2905112947085779,0.25554428752180847,-0.16677227878617917,0.22802117088710844,0.34905885992335184,0.406591131903659,0.3583716750300429,0.3681287448786685,0.3616383887293423,-0.16399254460249088,0.00021331769421147572,0.22855058670187628,0.23071254191995183,-0.25557844023178683,0.35504921653191557,0.318540174632021,-0.2557125341284768,0.3216576803296297,0.4012107729321672,0.21334700370002396,-0.10662054968086583,-0.01715770916333253,-0.16017611554467895,0.28928160855962093,-0.06984471760146602,-0.09097785997428008,-0.31132773862033997,0.03859868547725807,0.21491358156858825,0.14323668833251546,0.40789964921124827,0.34408628358747,-0.09566764859839241,0.24483241306134146,-0.10560173905932571,0.017809095278975645,0.13947455959253793,-0.006550314765361782,0.39047527666432674,0.286138908261325,0.1680534186052084,-0.18814361027726112,-0.061771140937689685,0.40616180717268696,0.020222391836437436,0.29041985655972063,0.14762163229012282,0.05204866592167892,-0.025064388843156652,0.3856228176524807,0.28186761968918433,0.0005613875701623606,-0.03629535790864178,0.2557832233431112,0.16450149955311902,0.15075407832444132,0.35367605211104997,0.18498700960676082,-0.1862545863665319,0.41716746128316956,0.11160817932670768,0.3756473829713162,0.11743516926347025,0.3732278443478411,-0.1594502076095411,-0.016264935699664817,0.33858560710835806,-0.0907501756670372
Thal_PuL_L,-0.14285252157458783,-0.22448348414068334,-0.22321122649941574,0.38947392532961406,-0.027165674026568665,1.0,0.46146490646046345,0.2345288336167865,0.16330142750273888,0.1519290774787655,0.14624679065692828,-0.12713974844976866,0.45663718394048675,0.07814327365751823,0.09179688525458964,0.24083610116676626,0.3842760512852939,0.2687584795531723,0.45558840753712043,0.36380516460433937,0.34438555119093933,0.309013434152586,0.13816550220398185,0.2917413851940828,0.1322530059747,-0.1317215901870949,0.34068123802688155,0.13992119483017562,0.09774694722427424,0.297282782515219,0.4329297993408594,0.12420946041762801,-0.02952493400201386,-0.12075021534678257,-0.1528909775390637,0.23202400707927393,-0.06291472784926416,0.03974876120763116,-0.057285631056339284,-0.1136264114058564,0.25222680142566273,0.335381262245089,0.41851699407756837,0.22190622860009848,-0.09442850663877059,0.1199696067212866,-0.16779846472370671,-0.1646976532285134,0.015646734081349947,-0.02917806046539841,0.24791730178976518,0.40789211425737626,0.003841180222102724,-0.2448653479580493,0.1720200668914591,0.2572010051701543,-0.0720764818923777,0.0964375956174011,0.0177869709805588,-0.23889006155151146,0.12238596262323702,0.33638890034252217,0.19692136927661755,-0.047595198460479916,0.0194157404219136,0.31929399430964306,0.19747565626177443,0.24045750181206635,0.2399926634297437,0.13657231348894316,-0.0760033052882225,0.17553990966633878,0.29829459047526763,0.3747491306370187,0.09896179110530659,0.2917601183295946,0.20537245852491576,-0.21916983132340487,0.37890702784469166,-0.24402169868627815
ACC_sup_L,0.01279345589501557,-0.02740460035937336,-0.18414842777499155,0.8645234202671459,0.31218341091063473,0.46146490646046345,1.0,0.1638784723818345,0.20491375617074659,0.47638953416733637,0.4922241315544076,-0.3520960865129404,0.8383967890442358,0.26175632021252027,0.0413980801772388,0.4642643886144374,0.8765840751766392,0.7244733468097211,0.8388150550039732,0.8630249440218676,0.5835860644441604,0.13600485835451237,0.3976872501376821,0.642812904122948,0.39642515756779023,-0.25769895089376244,0.8153937132824978,0.4525401758628586,-0.05831073765715944,0.6907795086310139,0.8606571781577137,0.47808510617726574,0.16089621250134595,-0.011261050528901041,-0.36285943200252574,0.6297816059260554,-0.14475830364699988,-0.03626702314420636,-0.30547430426320216,-0.3386521799419122,0.3827997217349444,0.26458146841745184,0.82374652946451,0.5238796754722892,-0.04311127793673469,0.5431550889422139,-0.2251085093197268,-0.06419263400490127,0.1072544257611193,0.14146417481854998,0.7638718331982939,0.8024646188742027,0.16596836530658096,-0.39393018357156273,0.11094847878679377,0.68621196841335,0.10250134510378991,0.5042106707401915,0.32580279803112333,-0.1687432480245847,0.02314130748614344,0.8190084639877269,0.5215369794450574,-0.015611703860351692,0.17263132769792022,0.74308548821895,0.5233366329455205,0.5168321877884988,0.4364213549647163,0.4759524260255485,-0.37369971728328305,0.6942278700003573,0.6246323973885618,0.8590991987151361,0.22392609186405849,0.743761548559716,0.10113103797797716,-0.13722337809984914,0.891160934731872,-0.37497827512080595
Cerebellum_10_L,-0.15221549293717943,-0.08353218001877484,-0.06587752257201973,0.18260486529136855,0.08637317685817901,0.2345288336167865,0.1638784723818345,1.0,0.07788947911878086,0.04572904977362575,0.011289131746442251,-0.04273621676395241,0.09980552056795103,0.17815125256141587,-0.052357907057790365,0.09073738712552772,0.10506398655429307,0.02377672902251764,0.22367180723619665,0.09634773223042055,0.27522964488463053,0.2609236493035578,-0.19779752231981407,0.09659649435281052,-0.05881014016369111,-0.1658493323973216,0.14873235853552494,-0.1827276686072031,-0.20090412783234765,0.08993005707468339,0.18630153610688613,-0.10842670934382222,-0.10321516948932243,-0.31204029414741397,-0.07096333631902668,0.009695049978214453,-0.09790023328651502,0.12235696020864979,-0.0950010395325785,0.3059356484956293,-0.18644718617714864,0.19917861998174832,0.16586996321349629,0.01661403601045899,-0.1331052164809461,0.012717629015341117,-0.2027704949522284,-0.010767797350088908,-0.06721068878272833,-0.08179657309446153,0.13739180200194545,0.07668220795941585,0.14499202207877981,-0.10471571684369196,-0.20571665199941164,0.09049577042230973,-0.014087214714219283,0.005179616422386975,-0.10502890087140665,-0.07454754681172593,-0.0059120161109510365,0.06687572445013701,0.13882537459337552,-0.024329184249422507,-0.15634477824651732,-0.11965866919934387,-0.05449524186067929,-0.24090239626507212,0.1849957695596306,-0.02664684947286263,0.011752144424770074,0.21060630316272277,-0.0800569240796587,0.08966408693255608,-0.016574795201543802,0.06742964252942901,0.04500664441594211,-0.3093752743838502,0.11295402319048843,-0.08448018970271556
Olfactory_L,-0.2568590987398893,0.0004661654527324598,0.0024279523346811965,0.15236815371749576,-0.03235418176532541,0.16330142750273888,0.20491375617074659,0.07788947911878086,1.0,0.07521358847974408,0.07978612787338893,-0.1890255362921372,0.20689816067804656,0.10113939958638636,-0.014513007012102865,0.14062611715238826,0.16412050878962411,0.1277880862816053,0.21469680946581426,0.18379802224925662,0.25084371629920404,0.07823064382189997,-0.06349201382298235,0.15656071390271306,0.08529657432952335,-0.09758548461883859,0.2346850216052844,0.12857354608860502,-0.023900304911703644,0.17764114575190235,0.24771859280138686,0.01626146053292212,-0.020092069153989263,-0.10244534055910279,0.021118939347623954,0.0245977169802169,0.044177340611268004,0.16272850805154215,-0.14055707515192728,-0.16320402781019447,0.10687892382427715,0.01807199240475215,0.19497857305751573,0.18206157430552947,-0.04658860630327688,0.058891345113466304,-0.05111763783906787,-0.037354309261554246,-0.01530786915203159,-0.005446599141104459,0.17608641400394634,0.17047495050218095,0.01690896561947417,-0.06574093410979596,0.0790378981554019,0.023847816344755905,0.11835543128895346,0.14617980565292057,0.08757574012147747,-0.06064703237328493,0.24259599180023328,0.14310653547027866,0.09087110781849966,0.011146381771248002,0.03176636423194453,0.1151031725843318,0.07085442321917286,0.13015278488812992,0.1547775322642494,0.03591828889359187,0.07974568126553114,0.09811579222038785,0.06216528536897374,0.18607871329200176,0.02990054429422885,0.10909718616346098,0.10163542423507288,-0.03699562928849239,0.12838853367341704,-0.03489688798805946
Thal_PuL_R,0.3543846412679505,0.3443509955547016,0.018589638995974607,0.5915896785665142,0.16398218159045294,0.1519290774787655,0.47638953416733637,0.04572904977362575,0.07521358847974408,1.0,0.1432591076932859,0.20946183333186938,0.708782420418394,0.3825775150902207,-0.18919362348722998,-0.19695441080826462,0.5163293163005745,0.637609461018614,0.49326114380306063,0.6298635117206935,0.4906142051348542,-0.042319946919883465,0.07611011031247017,0.17079785705052988,0.27537376874105235,0.1639662837007303,0.3582971437349671,0.10011869800636393,-0.2928948703585562,0.4862877209564145,0.5455222056574522,0.13185183158533342,0.042000217807055734,0.25985392152426084,0.2803647892575476,0.24811449030764174,0.33424637827381565,0.17854882404403033,-0.1457037200099035,0.11882587117768845,0.2666440931939629,-0.018957376101345316,0.2748019007243455,0.23496973138898183,0.26239034504235487,0.2898164750659549,0.3074859879704572,0.5477568265786009,0.17511222110506625,0.12217857594575272,0.33804859695793094,0.20322260804780506,0.23932232958793942,0.3288787259386241,-0.23790569011366314,0.1326482689447488,-0.009925282479896458,-0.11793432168824892,-0.1263874688027394,0.443844822461239,0.16422180551558782,0.34132016193663645,0.09591843019268168,0.5140456846296776,0.3827687255405791,0.4195810842379583,-0.09076038720590321,0.26727764197820586,0.12020155489070812,-0.21138202763066463,0.24003972967826115,0.5161625346975544,0.19650678109257566,0.552338883187301,-0.12230460175445851,0.09175060814514871,0.046805143740281434,0.1789856265976511,0.5161507634524598,0.3366371129874603
