,Precentral_R,Thal_PuL_R,Thal_AV_L,Cerebellum_Crus2_L,Frontal_Inf_Orb_2_R,Lingual_R,Postcentral_L,SupraMarginal_L,Insula_L,Thal_PuI_R,Cerebellum_8_L,Occipital_Sup_R,Pallidum_L,Raphe_D,Calcarine_L,Red_N_R,Temporal_Mid_R,Rolandic_Oper_L,Vermis_9,Olfactory_R,Thal_LGN_L,Occipital_Mid_L,Thal_MDl_L,Temporal_Mid_L,Heschl_R,Cerebellum_Crus2_R,Angular_R,Pallidum_R,Cerebellum_9_R,Heschl_L,Amygdala_R,Precuneus_L,Thal_MDm_L,Thal_LGN_R,Cerebellum_10_L,Thal_IL_L,Frontal_Mid_2_R,Thal_PuA_L,ACC_pre_R,Hippocampus_L,Red_N_L,Thal_VPL_L,Temporal_Pole_Sup_R,Cerebellum_4_5_R,Thal_MDl_R,VTA_L,Cuneus_R,Thal_AV_R,Frontal_Inf_Oper_L,ACC_sup_L,Fusiform_R,OFCpost_R,OFCant_L,Caudate_R,Thal_PuL_L,Angular_L,OFCmed_R,N_Acc_R,Raphe_M,SN_pc_R,Occipital_Inf_L,Rectus_L,Vermis_10,Cingulate_Post_L,Occipital_Inf_R,Thal_PuM_R,Cerebellum_Crus1_R,Olfactory_L,Cerebellum_4_5_L,Cuneus_L
Precentral_R,1.0,0.552338883187301,0.598017674326671,0.04249000482244703,0.27510153774693685,0.22957454210535394,0.8690723633360393,0.26430961822617427,0.5072883344151814,0.7483334360574032,0.5220100616866301,-0.2199078984415511,0.4253763402351664,0.45381059965342535,-0.1338719102617729,0.480657324631323,-0.4003450147150806,0.3931309454557738,0.08876490388948943,-0.04743924028762999,0.4829932509755401,-0.23528064658757697,0.44874272099931956,-0.07292951532362996,-0.05644846848973474,0.20787008759384074,-0.10842577813035098,-0.05528647037745424,0.010004017268359507,0.45268539610683406,-0.30582341748044717,0.7438616139566939,0.703751533487782,0.6478092302945598,0.08966408693255608,0.6695042179193872,0.886484247131655,0.5917132918063857,0.3586570947992006,0.7122411638172196,0.5916903108081814,0.5362722715140161,-0.1159526086028029,0.8923320530015243,0.7408388652881346,0.6206476942568228,-0.08962295555944141,0.44911391537915346,0.1782383927315913,0.8590991987151361,0.6981765553390155,-0.11251880365061824,0.15836566694689738,0.6048526942071668,0.3747491306370187,-0.19580955591827778,0.0916426060986741,-0.18905811960644475,-0.04203351661979672,0.20751344253089074,0.5179078770011981,-0.02612383890206523,-0.36254221854199714,0.8699287393168723,0.000630119929614802,0.8366582738105307,0.11352762223559931,0.18607871329200176,0.7692219130988891,0.0804315070280879
Thal_PuL_R,0.552338883187301,1.0,0.1432591076932859,0.33424637827381565,-0.1919404803272305,0.5291827374350746,0.5692662542477267,0.5172795131693887,0.43162468492675066,0.23598447318044394,-0.0008532776684984327,0.1883142074640737,0.10011869800636393,0.15778485257233443,0.44293457870527153,-0.21138202763066463,0.20946183333186938,0.09591843019268168,0.046805143740281434,-0.2928948703585562,0.22275284832092712,0.235911100425783,0.2666440931939629,0.2726804063422015,0.356578319762404,0.18560319174370365,0.3074859879704572,0.1789856265976511,0.18737759052500116,0.2898164750659549,0.24003972967826115,0.4862877209564145,0.46979907669702387,-0.02367707955536292,0.04572904977362575,0.27057035466978907,0.2514381035302655,0.4526045191710277,-0.0024772714958433105,0.33804859695793094,-0.1448393791887729,0.6406761616418353,-0.00019149963228178195,0.46824777777026383,0.34925082139800234,-0.07529826358668792,0.2868302594110246,0.23496973138898183,0.43764336328828096,0.47638953416733637,0.26227402499934827,0.09292496117184479,0.17511222110506625,0.4195810842379583,0.1519290774787655,0.32008211659154895,-0.009925282479896458,0.1639662837007303,0.348304872693253,-0.12230460175445851,-0.1761389332544759,0.1839590979872029,0.3288787259386241,0.5915896785665142,0.26239034504235487,0.6844464665872423,0.06813841120165634,0.07521358847974408,0.5337319330215425,0.5477568265786009
Thal_AV_L,0.598017674326671,0.1432591076932859,1.0,-0.4078694584699294,0.34491849482316783,-0.31398028755627844,0.5389843455075064,-0.08132860784026684,0.3475739567630982,0.5582107819259795,0.49809568025236034,-0.47121060855347446,0.427596563392669,0.4901698673706422,-0.4058956273416281,0.6692761928521279,-0.4478586443859932,0.47255529144132696,-0.17148529947433433,-0.1013120993425308,0.523599322048516,-0.5723768993592141,0.27774554236976146,-0.2896065943071717,-0.13921692906131833,-0.15587288432260166,-0.44763170736333346,-0.043967430221440965,-0.01727952826415982,0.436311955149338,-0.37716678064788983,0.2108468885799106,0.5007845915253742,0.7603025478788493,0.011289131746442251,0.5223373076045966,0.700796105482624,0.4514360786139684,0.36391953687207046,0.6309919241058607,0.7200030713873651,0.2207682698994016,-0.1595228154779927,0.5607263432531419,0.5199242187757125,0.6760333509605742,-0.4657852542881397,0.32113488322423184,-0.13680596646098084,0.4922241315544076,0.4559188963289426,-0.2546537419185612,0.029667831432756767,0.20809386796633378,0.14624679065692828,-0.5522962353041695,0.06877877158764757,-0.3793860377811714,-0.2617025691980967,0.33689069687151485,0.4558898263657278,-0.22710505337862807,-0.5417210583709037,0.47815060421967825,-0.14326264922641088,0.5163104673629959,-0.13613416630930059,0.07978612787338893,0.4125991639014225,-0.3307685012790793
Cerebellum_Crus2_L,0.04249000482244703,0.33424637827381565,-0.4078694584699294,1.0,-0.1285292017808415,0.6718765901635169,-0.0809477313311645,0.21335553910156746,-0.02017418126785344,-0.336986930733851,-0.3220454297232513,0.58271160417759,-0.2142688826420561,0.03728162964107976,0.6020244589903577,-0.4433719925892574,0.32726896882690604,-0.3954021597352816,0.23331305258732898,0.025481638824112543,-0.17053397933056838,0.5438196167516638,-0.05257376542106748,0.2492900369037375,0.3918185588876206,0.572686656504187,0.7308667655537638,0.33125159463955123,0.10805829051385378,-0.16790469794822455,0.38420802504435614,0.16534763002726455,-0.0021409040579788113,-0.5032867124409912,-0.09790023328651502,-0.32945124667265413,-0.2659399944543993,0.03250654398468482,-0.053636555716167884,-0.27178792466401613,-0.4802829001320925,0.16685807776756525,0.05296471556264512,-0.17382925033646607,-0.230228213680037,-0.4545561536269941,0.7580962490141802,-0.19414670537140202,0.41976990675377174,-0.14475830364699988,0.11258154608217417,0.23699602157918495,0.17159570854834838,-0.02825190540355962,-0.06291472784926416,0.578676497130234,-0.10771388121701823,0.5328446201110945,0.5013903056081135,-0.3079635401027846,-0.2879066058438813,0.47227695102350536,0.6208336320137162,-0.05574749753558864,0.42641379518197237,0.07597055589831139,0.4903727700137915,0.044177340611268004,0.06307094909809229,0.5908694928569415
Frontal_Inf_Orb_2_R,0.27510153774693685,-0.1919404803272305,0.34491849482316783,-0.1285292017808415,1.0,-0.12873915125832855,0.07605736847039704,-0.42123653678648587,0.07424765209958804,0.3073555710514862,0.29691121037392343,-0.1606061058359979,0.2898050643292949,0.34814286470382516,-0.4174100291486979,0.6508095626736493,-0.21898161423794207,-0.0005946724059449419,0.22539020179696173,0.5004488756093798,0.101206576406456,-0.22243898856439923,0.16322389262089845,-0.4838600786637921,-0.0344886614984923,-0.129701262670034,-0.16444781837424507,0.26293175408633257,0.07985837018347507,-0.07833609499728306,-0.3362050092366166,0.03783610427994498,0.23206009148061907,0.41612673684437507,-0.16084219682531328,0.08065996481289009,0.5045466841881749,0.0952517077517631,0.8337969692960766,0.1367012486853398,0.5245293874613842,-0.1935983023396135,0.08626699692311304,0.31534233606596496,0.4192289913906402,0.3823720713056861,-0.044918199275089825,0.01635682557790322,-0.01954832307050991,0.1870658907232412,0.2918166998201968,0.06533152071961719,-0.14033162163390225,0.23614831590567473,0.04336036096761148,-0.44179404781812515,0.019159009169741312,0.09252469889904488,-0.034475541823216174,0.3686886088602343,0.4566470146941076,-0.04846246050772058,-0.2795715134034711,0.09854153452963109,-0.06354895488841446,0.2192718092403504,-0.18630014933388314,-0.10992646855433871,-0.016267031359771707,-0.25873315450532647
Lingual_R,0.22957454210535394,0.5291827374350746,-0.31398028755627844,0.6718765901635169,-0.12873915125832855,1.0,0.29498362995947613,0.6139401689647435,0.34057086399197345,-0.08004267345515227,-0.1923217402766862,0.5234015398916347,-0.022798219389645134,-0.09413527964792252,0.7382361110615419,-0.43491719793986694,0.3411151814302507,-0.054566595519783184,0.04330334791645006,-0.04366185270465448,-0.0473022844700209,0.6721862633930481,0.1608241889135772,0.5833181526334601,0.43334241315948735,0.5298382992811165,0.6056551826454156,0.45631199293135166,0.34004178176425903,0.0666880964555053,0.4722496266616635,0.4543261894214778,0.26730953155980797,-0.44115403228755695,0.042071513192296496,0.019750698489028298,-0.07625843792463806,0.2373518200477675,0.0029765883415139058,0.07059084636420873,-0.42476273242609863,0.5544603815348359,0.22015515011985223,0.13826211194314122,-0.056797844243051905,-0.3078921652752574,0.798792277532855,0.026071388645374134,0.6513858314050659,0.13637004875919903,0.16256675647950145,0.37499416825880955,0.12127178096950002,0.1889932469717843,0.05553675834432063,0.7496551810247954,0.06825888952065767,0.500324008682153,0.4072096650057073,-0.05923150456807669,-0.23137293692713046,0.4341675551239426,0.662935108793025,0.3129304958320874,0.30748122149304424,0.3483001304254244,0.33210764925035124,0.04174820510582999,0.40418988693915503,0.768854182890452
Postcentral_L,0.8690723633360393,0.5692662542477267,0.5389843455075064,-0.0809477313311645,0.07605736847039704,0.29498362995947613,1.0,0.5806867822280565,0.7622547517373702,0.6865798133459027,0.464065872788202,-0.25821033049979636,0.5604276115038785,0.30872768461731376,0.036480116891601175,0.3755851475149467,-0.2720290521429014,0.684706268102585,-0.05953607439173832,-0.18625610862924014,0.6201004139209974,-0.13968520508726964,0.5119458528123803,0.28225420566848075,0.06451983332095614,0.0696522465950793,-0.14732802885355384,-0.017527422017896636,0.11937831896538269,0.6609882793614469,-0.16392128309274373,0.7679618018972765,0.7234993664879883,0.5519395702806688,0.18221835999481045,0.7510342327891264,0.782527843496634,0.6254772575135222,0.2401525106665419,0.8552496881723974,0.5104190290684985,0.7488617654495947,-0.08536837038168238,0.8653540585900293,0.6481233783632872,0.584670692444878,-0.1397806913362377,0.6067773721458144,0.39522937687766646,0.8650145820230418,0.49877026842249766,-0.010063094222625824,0.1434342275001722,0.6368601342260037,0.39097708900313677,0.0035321962419736955,0.12439062870468356,-0.15652370592728482,-0.09273452355001645,0.29724920827483176,0.42000592635658096,-0.07740272982822922,-0.25096680467667987,0.9082882948877923,-0.04367940234096505,0.8344872804876987,-0.006552625045638113,0.22668265964625756,0.8184737480858196,0.17023904444073729
SupraMarginal_L,0.26430961822617427,0.5172795131693887,-0.08132860784026684,0.21335553910156746,-0.42123653678648587,0.6139401689647435,0.5806867822280565,1.0,0.548396088915401,0.04050015130517169,0.0015129915911122542,0.13079666022787234,0.1764348781737784,-0.17608663793113727,0.5796116463916837,-0.35915840194169685,0.3030599492460085,0.3687206952263273,-0.11482833327684874,-0.32394231583430566,0.2076139939308884,0.5584756249997588,0.23414096331529133,0.8217185255296886,0.3874454986639282,0.17147723661700917,0.2563617829868587,0.13424129215644395,0.3013063407918824,0.3351268431042178,0.46471625530056715,0.5662239762064937,0.3209740628296752,-0.22549419044708302,0.242332936242652,0.32442226971513544,0.06428997069273562,0.237065156704406,-0.26722506505835675,0.4224991349347891,-0.23491286520997937,0.7898789126203061,0.01285071499264508,0.24023499334045073,-0.01501020384731095,0.005616949435482872,0.2787487887629434,0.4244282926558783,0.5851751286187009,0.34710265956925973,-0.1129184663106741,0.3697392476316802,0.09477741532029502,0.285678242124306,0.2457105137629937,0.7365233960913303,0.20626538629352212,0.1232651897045234,0.07678574462895305,0.09195461061047683,-0.09349505937147295,0.18550236180728205,0.3771354553585313,0.5012670667271629,0.045160634174150054,0.4013325697461274,0.004013819611453911,0.23284794432812983,0.567863711864007,0.5898279776855908
Insula_L,0.5072883344151814,0.43162468492675066,0.3475739567630982,-0.02017418126785344,0.07424765209958804,0.34057086399197345,0.7622547517373702,0.548396088915401,1.0,0.3432727566493854,0.22771848790162702,-0.0015390488835084486,0.7312794969475472,0.21240885286333266,0.29040796658641543,0.3036157377647968,-0.02859612475057609,0.7958183909864924,-0.1560423748386367,-0.09544280072880601,0.7038985546937135,-0.03734342570553232,0.5319208670529112,0.4580653212836852,0.3207844667367111,0.03789584927543839,0.025066283988002834,0.36581883652841213,0.21737600525116588,0.7660874561364472,-0.04035705222121341,0.42327671361859376,0.629717261061306,0.2911377782802604,0.003583919997646487,0.6177161862738189,0.45882476915803205,0.6561248011513278,0.29649475683714294,0.7371811937586973,0.34643449161476325,0.7627714771345706,0.12809653673105556,0.5367540492332897,0.538665053999105,0.2964388649312128,0.04008502026638129,0.5932574290931889,0.6814059374850641,0.5687639444099922,0.35624576695299365,0.16885108154585676,0.12477717895654261,0.6136314779564683,0.15795894519254966,0.16198624794677494,0.09039922596725287,0.15038370878483076,0.01599317988740757,0.36287164454562143,0.1577558694626393,0.023119846960601747,0.07824462820527794,0.5516605695076964,0.0712339244577413,0.6406795462724518,-0.014891528543510326,0.13127477931868933,0.6027490761317051,0.20079421646984189
Thal_PuI_R,0.7483334360574032,0.23598447318044394,0.5582107819259795,-0.336986930733851,0.3073555710514862,-0.08004267345515227,0.6865798133459027,0.04050015130517169,0.3432727566493854,1.0,0.5112027266800792,-0.5091915007801445,0.3413950711652681,0.2686044915888364,-0.42862022352494306,0.5919080581824958,-0.5296168369572589,0.42087438928872634,0.001508104011564519,-0.011865500960274687,0.37878610819685266,-0.4743833326708791,0.2680900640927401,-0.17528970792835585,-0.29494044104746425,-0.1891751517471403,-0.4624933166773467,-0.3274688211964089,-0.06886003368322019,0.37285949887755393,-0.549473424098939,0.6110018911483994,0.45805538622057956,0.7345820492853771,0.12326617151305495,0.6520271172281019,0.7989891538101577,0.36014256426075497,0.34066994910998016,0.6480500163068732,0.6767487061967733,0.23521024213197522,-0.12529620729094457,0.8541378926432813,0.6378681512203399,0.6412885410885397,-0.4172976798102477,0.298571975683435,-0.13420523283584262,0.8109186728708357,0.49854348058998027,-0.32008992284734344,0.009313863297440435,0.5223871986669258,0.3133267778967625,-0.4813600811394537,-0.01048977148766678,-0.38396570935757074,-0.2907824030620058,0.19476675893438206,0.4995919634643297,-0.37595115895980136,-0.6194156862403586,0.7764516608591666,-0.1964381026395441,0.6213396671609164,-0.1643441068143152,0.06396851052882853,0.5602805701485208,-0.2293093261754648
