,Paracentral_Lobule_L,Red_N_R,Raphe_D,Temporal_Pole_Sup_R,Amygdala_L,Lingual_L,Temporal_Inf_L,Thal_PuA_R,Caudate_R,Rolandic_Oper_L,Olfactory_L,ParaHippocampal_R,Thal_MDl_R,Parietal_Inf_R,Angular_L,Vermis_4_5,Occipital_Mid_R,Precuneus_R,Putamen_R,Cerebellum_10_R
Paracentral_Lobule_L,1.0,0.39076280052968226,0.3833825126668433,-0.19356847097293697,0.16422709466084576,0.0959996136314048,0.29985906540996715,0.7111205444821651,0.6196697763692584,0.44750879210215183,0.16557378929872574,0.6595452773690635,0.6688953939322079,0.3037103429253382,-0.0572438827474763,0.11752201706887495,0.0437165337627459,0.7733969744316058,0.13125770059523825,0.20128951059236908
Red_N_R,0.39076280052968226,1.0,0.48802509683820594,-0.12731671405420122,0.16632759460565535,-0.4464500814949281,0.18498700960676082,0.28230330935171494,0.34806236358638953,0.502028887438448,0.03591828889359187,0.8041641090638674,0.6599440713712227,0.1581420500768483,-0.7064615834630127,-0.5778376525284162,-0.24901361509959732,0.14857290771081835,0.09483859773385817,0.3149997459677959
Raphe_D,0.3833825126668433,0.48802509683820594,1.0,-0.27624946692234104,0.15866931849599694,-0.06004634457732777,0.010665843153122852,0.4267341178458731,0.17543474038535017,0.23886410493377505,-0.00480946576964089,0.38566124784486383,0.4025875493877845,0.23869517864868348,-0.3394955244271259,-0.13034142344089883,0.004063631950058571,0.14811373201424793,0.2846064319325982,0.3317304784334226
Temporal_Pole_Sup_R,-0.19356847097293697,-0.12731671405420122,-0.27624946692234104,1.0,-0.2037111832498785,0.2561891923210873,0.04600205711898042,-0.04661860313866893,-0.008044783958405908,-0.0672345326511516,0.07133566711552253,-0.19229314367414838,-0.08357544395722982,0.13600330741658184,0.16290326791027607,0.29331354863145853,0.05540701103851896,0.0053639432791591675,0.17849822139537652,-0.1679444528369663
Amygdala_L,0.16422709466084576,0.16632759460565535,0.15866931849599694,-0.2037111832498785,1.0,-0.20759738644460587,-0.16399254460249088,0.0875804352654142,0.0384651442594673,0.05882537016460918,0.07823064382189997,0.1485053416819464,0.11768349863159241,0.02208252076987388,-0.12036970445589039,-0.21677413312228397,-0.1391959966008035,0.08636385614924297,-0.1531963916030413,0.20863124327414
Lingual_L,0.0959996136314048,-0.4464500814949281,-0.06004634457732777,0.2561891923210873,-0.20759738644460587,1.0,0.15961058113203147,0.3004518713115932,0.13001583628934274,-0.055157470098707556,-0.024436509361710903,-0.29865373525777633,-0.10865586647013181,0.30433049278877705,0.8147248666172745,0.8402009650212208,0.14974616265686017,0.3477426325358857,0.6125854240131853,-0.17691545956832877
Temporal_Inf_L,0.29985906540996715,0.18498700960676082,0.010665843153122852,0.04600205711898042,-0.16399254460249088,0.15961058113203147,1.0,0.314796640536574,0.2557832233431112,0.28186761968918433,-0.03235418176532541,0.40616180717268696,0.3388885490334899,-0.006550314765361782,-0.014596206032473451,0.0005613875701623606,-0.049918013131466044,0.3349692076661073,0.04215431820856289,0.20058424706145944
Thal_PuA_R,0.7111205444821651,0.28230330935171494,0.4267341178458731,-0.04661860313866893,0.0875804352654142,0.3004518713115932,0.314796640536574,1.0,0.4756099921682158,0.4979468035811505,0.2038021068289999,0.4696634887809467,0.5511998219943576,0.1308943869184448,0.09883970030140449,0.22469196752792364,-0.030131732724268133,0.5030495698491342,0.2937009606150893,0.18852940214697186
Caudate_R,0.6196697763692584,0.34806236358638953,0.17543474038535017,-0.008044783958405908,0.0384651442594673,0.13001583628934274,0.2557832233431112,0.4756099921682158,1.0,0.4152405822385774,0.1151031725843318,0.5135970847164935,0.7653267768860985,0.1836314671788881,-0.035693187967583875,0.10344032004615046,0.07902383116134944,0.4880652392890936,0.3011676105880344,-0.0235196498445161
Rolandic_Oper_L,0.44750879210215183,0.502028887438448,0.23886410493377505,-0.0672345326511516,0.05882537016460918,-0.055157470098707556,0.28186761968918433,0.4979468035811505,0.4152405822385774,1.0,0.09087110781849966,0.539353850006681,0.47472336598387777,-0.21013335685843543,-0.13619076557468787,-0.2622785364530307,-0.2801910465393485,0.2001794673628955,-0.05244038639733187,0.2751712456162615
