,Frontal_Inf_Orb_2_R,Cingulate_Mid_R,Raphe_D,Cerebellum_6_R,Supp_Motor_Area_R,OFCmed_R,Cerebellum_Crus2_R,OFCant_R,Heschl_L,Cerebellum_10_R,Frontal_Inf_Tri_R,Rectus_R,Thal_LGN_R,Rectus_L,Frontal_Inf_Oper_L,Cerebellum_Crus1_L,Vermis_3,Temporal_Pole_Mid_R,Temporal_Mid_R,ACC_sup_L,Temporal_Inf_R,Insula_R,Frontal_Med_Orb_L,Calcarine_L,Cerebellum_8_L,Thal_IL_L,Pallidum_L,Postcentral_L,SupraMarginal_L,Thal_VPL_L,Lingual_R,Precuneus_L,Thal_MGN_L,Thal_VPL_R,Insula_L,Cerebellum_4_5_R,Olfactory_L,Thal_PuI_L,Temporal_Inf_L,Olfactory_R,Thal_PuM_R,SN_pr_R,Temporal_Pole_Sup_R,Thal_PuI_R,Occipital_Sup_L,Thal_VL_L,Frontal_Inf_Oper_R,Heschl_R,ACC_sup_R,Frontal_Mid_2_L,Cuneus_R,Occipital_Mid_R,Occipital_Inf_R,Vermis_8,ACC_pre_L,Frontal_Sup_Medial_L,Thal_LP_R,Thal_VL_R,Cerebellum_3_R,OFClat_R
Frontal_Inf_Orb_2_R,1.0,0.38195674000208535,0.19538535759911244,0.007695540249070183,-0.04480980200188791,0.3743660194205772,0.13919569848517374,0.46624148413633903,0.12744215163524614,0.6355797798222551,0.44177908976331093,-0.09527119444798551,0.48000804912925576,-0.40712323668472855,0.2011117405753057,0.2110645495634272,0.31800125247200317,-0.15573065807854697,-0.09517177529166529,0.5199147782730448,-0.03730478796787952,0.2802565873081744,-0.4136482040195086,-0.26666116422031894,0.40334794778285366,0.21824352852368945,0.09828261976682687,-0.12118193485138519,-0.2925839142940601,-0.08203871216317908,-0.16374166922643468,-0.2034421453283121,0.32062566265219844,-0.21709290284774974,0.21237794476683022,0.28452835161214146,-0.3373789268550538,-0.06336459148158785,0.011338231159703374,0.13956471989604924,-0.15987785692585854,0.17348697456778764,0.37052360503086923,0.02878460380180681,-0.4133444850653001,0.24395337212630566,0.09732480637732921,0.31640628292180223,0.7768534428014847,0.12767485153828684,-0.4288351012509489,-0.4828687778355811,-0.19252975616453272,-0.025771470521356043,0.38530250391673304,0.484667924397798,0.225335603199213,0.3405448836468118,-0.1013271635531515,-0.1904295495530452
Cingulate_Mid_R,0.38195674000208535,1.0,0.13258979774174026,0.23818815932500245,0.456229016894271,0.12618351709351755,0.1717609961223236,0.43747240363659734,0.5279541455588849,0.3326299653961387,0.43583396764714855,0.15802565664142415,0.6861161391398537,-0.03581132207587011,0.6726561147359762,0.016318171775217542,0.5447988387549159,-0.09673627660675972,0.13303752396184998,0.7027984001410394,0.15874103852341528,0.33008408001437106,0.10683911823805463,0.2798816317144182,0.2606606879864044,0.34009479746055254,0.4825743175214402,0.5602304407602842,0.4491955193673622,0.4744888700894692,0.37634321776306623,0.33746791645350044,0.5363828435016491,0.21285105988064884,0.5580409168262793,0.5900445763682968,-0.3467733940814744,0.39566529366587033,0.5693682353961432,-0.07038169976433244,0.2744243321446161,0.33694171527109784,0.10080646803256105,0.46378587621387235,0.002371088025236866,0.4420692396170169,0.4533325327797149,0.30827531717217355,0.5758254641940046,0.5586132894454992,0.07560943874556367,-0.036868176283525164,0.09640553265398387,0.03295293681529599,0.3582855528794748,0.7163307052041706,0.417551472777704,0.549867729964761,-0.18347959147242363,-0.3956399789998816
Raphe_D,0.19538535759911244,0.13258979774174026,1.0,-0.1500033305222579,0.07383740428198152,0.05749574596459223,0.027294356503648396,0.2721818325182896,0.21061705664948538,0.18193151183653877,-0.10175348366662375,-0.07811931875812289,0.2396077395156564,-0.06023401363022952,0.11964185412221721,0.312899248996905,0.06317482976829554,0.3570650745875106,-0.40920253366248444,0.10381688035319878,-0.4310654521021474,-0.18032969161983564,-0.203325037704139,-0.19942529029989728,0.2715283553536738,0.06302918597194924,0.013668412008248847,-0.008400487514159338,-0.20886017789475833,-0.07315822671338708,-0.22833278057261938,-0.14761599667025996,0.33920135250556793,-0.27151808174330555,0.10780594328483989,0.08009181832571736,-0.05348846629541937,-0.06430780588201053,0.24455478961476185,-0.23685996531334672,0.006476155432330883,0.08226356215986624,-0.08073199944703738,-0.07830920151917312,-0.17379370298594032,0.3794028629320018,-0.09470780416695265,-0.08926770554846239,0.23481905390564856,-0.17493180290816732,-0.2503497009455449,-0.35956442944918293,-0.3142536093279566,-0.3263712604536961,-0.026517334739240252,0.08011052672421556,-0.3107095505223018,0.12262507820438799,-0.35970502364567253,0.002999986674498837
Cerebellum_6_R,0.007695540249070183,0.23818815932500245,-0.1500033305222579,1.0,0.014822719429091804,-0.14520290497708663,0.8584102250440774,0.01682626563365059,-0.19887219862373035,-0.17461437150771872,0.19567504117979634,-0.23324847138022733,0.07487605814781252,-0.480989556541681,0.11993058329824646,0.34203523757324,-0.0445791750264666,0.27798998143143056,0.5188293429062044,-0.1444369532040575,0.681990029370349,0.3723363442273577,-0.3418978858160478,0.6068121489430238,0.32102104693442735,0.2042791174520033,-0.22242305883184513,0.07759075143690815,0.17858768625007324,0.2721208183807501,0.5213219874325421,0.09781457414158977,-0.21068280716062399,0.2778106830607235,-0.0021652159349750378,0.033899122745854667,0.04641342787919602,0.09649374140216566,0.258055712386674,0.13641497716695403,0.1521683092637433,0.26909517923858683,0.4794441487914683,0.011599061128531069,0.5608940091763003,0.06615116791579434,0.13217932279767977,0.40917691891312685,-0.13714157368721522,0.12390185174960064,0.6660106315629402,0.6412241191497895,0.8100695574921595,0.4702721396288944,-0.17951364747489085,-0.08031406736573624,0.036332250542692526,-0.13986614162136426,0.4090451816903663,0.005529459763005698
Supp_Motor_Area_R,-0.04480980200188791,0.456229016894271,0.07383740428198152,0.014822719429091804,1.0,0.08548176516432654,-0.00605887363032825,0.050812516259810855,0.23299170541046443,0.14474737631960954,0.5881541435646042,0.11232335427502894,0.494017919969961,0.17899770139353,0.6127922270429519,0.07682017018738674,0.5413939581365157,-0.05254201430426649,0.0886887356895456,0.3039160955977758,0.07545016269834406,-0.02431217718112696,0.2729108760329126,0.40112503849006487,0.13898624163185724,0.15541805959012103,0.4404680993181026,0.7386239672030427,0.6353154101524218,0.6661497407574893,0.4201494922846951,0.7732176919727586,0.3238840960510336,0.3238724657859749,0.2572578589331759,0.5973400150849282,-0.3213751046474919,0.6019097386282262,0.46733546176832946,-0.24821916138504144,0.33654531481581423,0.32899482841892946,-0.2265685473419807,0.740580344452451,0.28287782009858303,0.4644765116760747,0.7565419522369895,-0.015652902470870325,0.24737208078302936,0.6729246838262973,0.25800821364152643,0.1385737990987186,0.03528970120091677,-0.21638010871877653,-0.1183732471434415,0.3709842608282628,0.13264213215247664,0.5897500146621129,-0.11194172316865293,-0.2156912425148405
OFCmed_R,0.3743660194205772,0.12618351709351755,0.05749574596459223,-0.14520290497708663,0.08548176516432654,1.0,0.08736815579683113,0.01595866520322161,-0.024934550045988824,0.3167051744105785,0.13688522367821723,0.028892940495260623,0.23280537861919304,-0.432871877297702,-0.0936398360507056,0.2525322027876592,0.3488780453276971,-0.2031905260334718,-0.5065564524548085,0.11383609603163727,-0.30164563813048173,-0.41469212831748603,-0.4588715784046221,-0.3701762862655795,0.5767560835114969,0.2976109276481714,0.10158077688763696,-0.1827353595831974,-0.29192064343134544,-0.05786057176847072,-0.4120402388763178,-0.09896124259654276,0.03180907567149062,-0.17883912283115372,-0.13778877446134627,0.3436750324467812,-0.6247966817493311,0.08281293441841384,0.17005733950800472,0.4333956222561747,-0.08365524127142683,0.3124412175885543,-0.1848177133034309,0.08002066947985913,-0.15306722644306217,0.23134974055585192,-0.14898929741609424,-0.10543975213854655,0.39168157818839483,-0.029946609723224642,-0.30060212989070534,-0.3888799539516916,-0.35018593888956145,-0.4933263859207969,-0.07611200449973864,0.007383781409815074,-0.10755234122952731,0.3895321972925201,-0.20476508548284458,0.09599185884120437
Cerebellum_Crus2_R,0.13919569848517374,0.1717609961223236,0.027294356503648396,0.8584102250440774,-0.00605887363032825,0.08736815579683113,1.0,-0.01500081589689909,-0.24593683072921882,0.06688267809562619,0.15692149469777236,-0.2304124235769757,0.12885486103847912,-0.6499492507036991,0.011192236175830995,0.44705520169589785,-0.06316310448988974,0.31801557890065846,0.31503906886713146,-0.1562803245340012,0.4707979807027762,0.2004664349712749,-0.5667855041188528,0.39476128719926057,0.544379499043604,0.14892546491171016,-0.33891479710309974,-0.02150130569616426,-0.07993469139499769,0.1245773866259113,0.2689223196417096,-0.05509058321085124,-0.15401220432589427,0.13296942467742198,-0.20220843591767304,0.032213857055730016,-0.11463118918542059,-0.020675383141408616,0.1777313474041289,0.1523820347618118,0.11967744175674469,0.35340824072227084,0.4285098361425192,-0.04337151166423172,0.3915578765812899,0.08438209634231081,0.0012717260751512092,0.38477699894902206,-0.024255757887208677,-0.020226431801735563,0.4606565759538622,0.3974484367950794,0.6543278650218138,0.32440659664431437,-0.2907462218015665,-0.22627466692575252,-0.02676441355354522,-0.08472921518868382,0.26364842711520087,0.025673266991265962
OFCant_R,0.46624148413633903,0.43747240363659734,0.2721818325182896,0.01682626563365059,0.050812516259810855,0.01595866520322161,-0.01500081589689909,1.0,0.42991029914624185,0.16908956288238264,-0.05864070785646397,-0.08313624383746225,0.3478671460984163,-0.028403629643854972,0.5744788708878777,0.2253992113988164,0.03726520299046444,0.09629204723143388,-0.2102204650466875,0.650954913251767,-0.2505729611882401,0.09223340966071655,-0.06656159190377564,0.1100639851560173,0.25467397175893336,0.35524249586947465,0.2105497057050291,0.2825939487790847,0.1598338218235368,0.04084813246290557,-0.08343136764107335,-0.026894127297651522,0.29026668481050294,-0.3847302079146315,0.5523603519089877,0.10070086442660542,-0.15462174196793563,-0.0005001349628813235,0.46796824861766867,-0.020418128831648306,-0.19541527853575216,-0.02613910577791264,0.14796014834386392,0.0514451645596437,-0.08929742672425386,0.02153059385074798,0.010804924077392421,-0.03429269020666707,0.5006153695242072,-0.005070892299679451,-0.18988322420513606,-0.2640212767360572,-0.19386223541271902,-0.17114134808950623,0.43307085462976846,0.634106878814878,0.17345021708497807,0.1730535142644823,-0.4256944401446991,-0.4981582967491602
Heschl_L,0.12744215163524614,0.5279541455588849,0.21061705664948538,-0.19887219862373035,0.23299170541046443,-0.024934550045988824,-0.24593683072921882,0.42991029914624185,1.0,0.22952883628421908,0.041360658439562346,0.1603811207161719,0.49164587814127103,0.16645894439027434,0.658383087990189,-0.08582296992876869,0.2667726778240019,-0.11466604675058158,-0.10904384258098265,0.6589945701627496,-0.17861120890991594,0.07347684039881947,0.23042663867110522,0.11005428016940857,-0.05777752758099015,0.1852452065365665,0.6143691588965253,0.5872972675702814,0.3499680148313089,0.22341415179156543,0.16193180182827496,0.1670410237904384,0.6400076362263637,-0.10003945731366518,0.6930188360758733,0.29472217321949157,-0.12760479414451462,0.16645411535335183,0.5783547889642516,-0.1504129947341192,0.003207303438436486,-0.01956261512581242,-0.27379566238847547,0.2954947241285357,-0.26918111526382804,0.31580940188908174,0.2340108048440292,-0.0920074626177317,0.3838799403381167,0.22470969521159398,-0.22828969290685272,-0.29027659905828906,-0.2047229830153173,-0.09017987095705582,0.5186111101547556,0.6251244473961166,0.3745322615536195,0.4140832212119741,-0.4951651555545296,-0.44256089644692054
Cerebellum_10_R,0.6355797798222551,0.3326299653961387,0.18193151183653877,-0.17461437150771872,0.14474737631960954,0.3167051744105785,0.06688267809562619,0.16908956288238264,0.22952883628421908,1.0,0.4856716918973539,0.059355521974666835,0.5622868133418089,-0.13683202422074373,0.23694905600488864,-0.09738478373127303,0.5028537901500127,-0.2654680027346373,0.06819560900235698,0.3622995064586353,0.06876055042698398,0.24948477312184084,-0.09292459215721575,-0.2479013406908133,0.1345024168929489,0.031829060738648184,0.2039090958848722,0.1253375209597976,-0.10355458655823342,0.03222006633214662,0.05117874684816525,-0.044343522428705505,0.4380254855261239,0.036161102443195266,0.0772979998027125,0.5062197886202386,-0.3334509487662996,0.07657196343292703,-0.012122478172246296,-0.04722150595116114,0.09780816996059355,0.22713518048871326,0.13390273433453964,0.2882225241875996,-0.5023968764545994,0.3459960608035652,0.24719992059135046,0.39484297236514465,0.5729684141373677,0.30745173619936456,-0.47595955424446357,-0.5025529682100179,-0.03742014253404069,0.1432744029678733,0.12272987297252007,0.31238231770522756,0.3496673796512292,0.46180915301035746,-0.18471965546644434,-0.2178563300828202
