,Vermis_7,Frontal_Inf_Orb_2_R,Cerebellum_9_R,Cerebellum_4_5_R,Putamen_L,Cerebellum_8_R,SN_pc_L,Cerebellum_4_5_L,Cerebellum_Crus1_R,Thal_PuI_R,Amygdala_L,Thal_VA_R,Cerebellum_Crus2_R,Thal_PuL_L,Cingulate_Post_L
Vermis_7,1.0,-0.026562629028872718,0.1474480646562302,-0.26982110397814896,-0.2036174212580299,0.24580010042809533,-0.08714902931526537,-0.26217421984578954,0.7367413538946957,-0.1961835707667693,-0.35569914069948316,-0.09642402629848983,0.7968978980947933,0.02931461551902229,-0.2336825523611962
Frontal_Inf_Orb_2_R,-0.026562629028872718,1.0,0.028634344436797785,0.28452835161214146,0.35914013230585135,0.388066541951778,0.07700354614913307,0.22064445431652735,0.07233882306669925,0.02878460380180681,0.251436015429477,0.0667694007388012,0.13919569848517374,-0.08427369628469071,-0.09126319315078912
Cerebellum_9_R,0.1474480646562302,0.028634344436797785,1.0,0.030854050718599618,0.2665293206980818,0.02598062544573074,0.060893650349122676,0.14074359250706137,0.24401440253632564,0.06403396188951375,0.22037749069100493,-0.07690261993796174,0.42783952076692977,0.1660814872823188,0.05213521606860031
Cerebellum_4_5_R,-0.26982110397814896,0.28452835161214146,0.030854050718599618,1.0,0.43284917870541845,0.3076139748481888,0.5432751832445811,0.830798176912847,-0.12905439613234304,0.6485130867768459,0.3989650819557551,0.6312815570517532,0.032213857055730016,0.4461746299952126,0.3976720155744885
Putamen_L,-0.2036174212580299,0.35914013230585135,0.2665293206980818,0.43284917870541845,1.0,-0.08597516840441936,0.025459381743837488,0.4258092078839762,-0.13736324208734169,0.4848208281526006,0.4084275885138209,0.036523465055160825,-0.14109075083341618,0.4696586790067201,0.5394962114865473
Cerebellum_8_R,0.24580010042809533,0.388066541951778,0.02598062544573074,0.3076139748481888,-0.08597516840441936,1.0,0.44714700018685066,0.1600077625474154,0.0061163131746150125,0.05033317853814709,0.09960288027201979,0.2990595953309813,0.5001382251282745,0.037988262177454345,-0.11424798188296528
SN_pc_L,-0.08714902931526537,0.07700354614913307,0.060893650349122676,0.5432751832445811,0.025459381743837488,0.44714700018685066,1.0,0.5585501864416731,-0.10473611690216426,0.2605436092872045,0.18455554103819935,0.457585425095283,0.16952733526147049,0.1830659874169015,0.08434255335303943
Cerebellum_4_5_L,-0.26217421984578954,0.22064445431652735,0.14074359250706137,0.830798176912847,0.4258092078839762,0.1600077625474154,0.5585501864416731,1.0,0.028904089175706568,0.522397722065708,0.2984392638157761,0.5836105933948569,0.011126445846655592,0.4090227219126311,0.3984475182007779
Cerebellum_Crus1_R,0.7367413538946957,0.07233882306669925,0.24401440253632564,-0.12905439613234304,-0.13736324208734169,0.0061163131746150125,-0.10473611690216426,0.028904089175706568,1.0,-0.12935505788365811,-0.37519206059384497,-0.031622447176675055,0.7128206605412273,0.024872823948997945,-0.13808361866323335
Thal_PuI_R,-0.1961835707667693,0.02878460380180681,0.06403396188951375,0.6485130867768459,0.4848208281526006,0.05033317853814709,0.2605436092872045,0.522397722065708,-0.12935505788365811,1.0,0.38171350956440003,0.4003220180449944,-0.04337151166423172,0.7058324488867376,0.7528051507268926
Amygdala_L,-0.35569914069948316,0.251436015429477,0.22037749069100493,0.3989650819557551,0.4084275885138209,0.09960288027201979,0.18455554103819935,0.2984392638157761,-0.37519206059384497,0.38171350956440003,1.0,0.42461899911158557,-0.10146877449558692,0.22641691079863924,0.21140484716155095
Thal_VA_R,-0.09642402629848983,0.0667694007388012,-0.07690261993796174,0.6312815570517532,0.036523465055160825,0.2990595953309813,0.457585425095283,0.5836105933948569,-0.031622447176675055,0.4003220180449944,0.42461899911158557,1.0,0.15549892797074583,0.3122000653609288,0.18661681018481785
Cerebellum_Crus2_R,0.7968978980947933,0.13919569848517374,0.42783952076692977,0.032213857055730016,-0.14109075083341618,0.5001382251282745,0.16952733526147049,0.011126445846655592,0.7128206605412273,-0.04337151166423172,-0.10146877449558692,0.15549892797074583,1.0,0.1125492804336601,-0.18812888715658513
Thal_PuL_L,0.02931461551902229,-0.08427369628469071,0.1660814872823188,0.4461746299952126,0.4696586790067201,0.037988262177454345,0.1830659874169015,0.4090227219126311,0.024872823948997945,0.7058324488867376,0.22641691079863924,0.3122000653609288,0.1125492804336601,1.0,0.7751171789738037
Cingulate_Post_L,-0.2336825523611962,-0.09126319315078912,0.05213521606860031,0.3976720155744885,0.5394962114865473,-0.11424798188296528,0.08434255335303943,0.3984475182007779,-0.13808361866323335,0.7528051507268926,0.21140484716155095,0.18661681018481785,-0.18812888715658513,0.7751171789738037,1.0
