,Thal_PuI_L,Cingulate_Mid_R,Thal_MDl_L,SupraMarginal_L,N_Acc_L,Paracentral_Lobule_R,ACC_sup_L,Thal_PuM_L,Heschl_L,Temporal_Pole_Mid_R,ParaHippocampal_R,Occipital_Inf_L,Vermis_8,Cerebellum_3_L,Rectus_R,Rolandic_Oper_L,Thal_IL_R,Precentral_L,Postcentral_R,Parietal_Sup_L,ACC_sub_R,Thal_MDl_R,Cerebellum_9_R,LC_R,Cerebellum_Crus1_L,Frontal_Sup_Medial_L,Parietal_Inf_L,ParaHippocampal_L,Precuneus_R,OFCant_R,Thal_VPL_R,Temporal_Inf_L,Insula_L,Cerebellum_7b_R,Cerebellum_6_R,Thal_PuI_R,Thal_AV_R,OFCpost_R,Cerebellum_6_L,Angular_R,Calcarine_R,Thal_PuL_L,Vermis_4_5,Amygdala_R,OFCmed_R,Thal_PuM_R,Temporal_Mid_R,Thal_AV_L,Thal_LP_L,Cuneus_L,Hippocampus_R,OFCpost_L,Frontal_Mid_2_R,Temporal_Pole_Mid_L,Thal_MGN_R
Thal_PuI_L,1.0,0.39566529366587033,0.29755064500483475,0.5563041476784719,0.34817762930092866,0.5672000770723253,0.21228855318139755,0.6774132754257173,0.16645411535335183,-0.08304170320819525,0.20236955984918942,0.19950174607875917,-0.016808998023498254,0.3602553921339837,0.11628218206335718,0.25812496153615455,0.25980422365737793,0.5449093540213339,0.6190281295607362,0.42584625586980684,-0.007485239641491037,0.3056019293920169,-0.01613924403882794,0.3259159727746875,-0.043733895501537105,0.2881164288343536,0.489769970252732,0.452056628612291,0.6689554264363714,-0.0005001349628813235,0.4279343450035576,0.3398497416120896,0.3362151854831682,0.06584079057637099,0.09649374140216566,0.6980981067921821,0.35623150463762143,0.06461174781987988,0.12661097889908918,0.5101558332312578,0.43955679326223035,0.6277107894283467,0.4913246804363541,-0.20946536624119316,0.08281293441841384,0.3317618066595787,0.2724018844625726,0.2558033868991799,0.4300659100815525,0.3654707140152353,0.4192547559191102,-0.11111284907803862,0.4801439806745833,-0.09046655295359408,0.41897588450146983
Cingulate_Mid_R,0.39566529366587033,1.0,0.2785804599531813,0.4491955193673622,0.10309091062440298,0.4330290850958514,0.7027984001410394,0.4015944631356062,0.5279541455588849,-0.09673627660675972,0.3771041393953036,0.36351321447988094,0.03295293681529599,0.2629314085495151,0.15802565664142415,0.4727177284292609,0.4506048842773609,0.48139492782418053,0.4541717701374998,0.1676503624182745,0.20193890811736012,0.4854574310853471,0.3217659879410493,-0.11452124346165449,0.016318171775217542,0.7163307052041706,0.44782796305255906,0.4979152011716694,0.41991016974917045,0.43747240363659734,0.21285105988064884,0.5693682353961432,0.5580409168262793,0.25779291749914063,0.23818815932500245,0.46378587621387235,0.2745960086438167,0.37177217531193385,0.3677633529790623,0.06888278757753238,0.15945840151562038,0.43668575018183986,0.3681376597606973,0.07719175184847059,0.12618351709351755,0.2744243321446161,0.13303752396184998,0.36706740448560105,0.38428651284397897,0.1627535301057883,0.4336546240295022,0.17633029333413752,0.7018251886644593,-0.05496407698501147,0.37434143956171334
Thal_MDl_L,0.29755064500483475,0.2785804599531813,1.0,0.25317351111671776,0.07712731775206914,0.40359297020424717,0.27389766706676816,0.3154310505527356,0.22657835500813645,-0.35845852683115054,0.5067219102741621,0.3036359489494646,0.17053635589962562,-0.04960508145911435,0.2016861944078722,-0.049566988164680595,0.3016817931531419,0.36021293090696516,0.4431329651662825,0.15693668590217738,0.2947066992599038,0.6946645609612163,0.07357971200039265,0.11361771316522223,0.09944970876965568,0.19994211647070875,0.37630943545275947,0.47379428659051137,0.3915213274130316,-0.06006373900718458,0.4241210476820283,0.10545297070972877,-0.0012081654667187396,0.11378888845950708,0.06396231413527374,0.5061305106966388,0.4834871659563488,-0.015334866031776029,-0.009044165793286736,0.10191111798881598,0.28391883500016646,0.3247205286153937,0.34999107927653506,0.3198771491119961,0.07157681134580428,0.3024012507837247,0.19903621960646867,0.5496816694412741,0.20156220987937096,0.0010943325534600841,0.34857440755117025,-0.045152530418718494,0.4066965123226233,-0.12425518430142109,0.43299267619445453
SupraMarginal_L,0.5563041476784719,0.4491955193673622,0.25317351111671776,1.0,0.24894814341363244,0.78180547320356,0.3133246660489617,0.7631782268863058,0.3499680148313089,-0.10993900256252738,-0.036446410012183704,0.3770452010593148,0.16720030978669378,0.3507152483820357,0.0987270771808935,0.588632651240005,0.17978935473737753,0.7160705416979506,0.7553034420008428,0.42513932839463686,-0.04983030969378696,0.191857861455168,0.19297259464652047,0.15210191275085064,-0.2047489931637904,0.4612250857488722,0.6558401930309486,0.300465689334267,0.6988349487274793,0.1598338218235368,0.4188681482360467,0.4286955230790658,0.5020236340104014,-0.04554479393881405,0.17858768625007324,0.6075265601837685,0.0726864624237439,-0.2184158350615015,0.32558393221901166,0.5818267145427338,0.5546080628652011,0.663981752458232,0.5679319269500304,-0.4219439521128936,-0.29192064343134544,0.2933053817678747,0.45312104756976557,0.23294321500098616,0.547041790918285,0.5568480685498037,0.10410794920916291,-0.2462225321176656,0.5753764351436984,-0.09870768368314448,0.30342131025314156
N_Acc_L,0.34817762930092866,0.10309091062440298,0.07712731775206914,0.24894814341363244,1.0,0.2324089601653373,0.07133449000174617,0.19582963156012173,0.12976352720543313,-0.2519159648185164,0.08940499681368504,-0.1709450069538052,0.016759739953082612,-0.07570741617016918,0.48109873947953613,0.0406817211090912,0.017838909269238572,0.1879928789696708,0.22669634597909458,0.25809434879624743,-0.1322210402856909,-0.02997855145477108,-0.3270052072477996,0.3016516498978507,-0.2585794094769371,0.15315496598943132,0.18833899499974752,0.22772170363315045,0.26670870058820706,-0.2223952088391495,0.3126160914946086,-0.13436355434942332,0.27465008956436204,-0.3041377436557051,-0.22763452827784325,0.2098113069084535,0.10557585283359697,-0.10841776789787094,-0.2562246886180798,0.2191720426284801,0.0067555024600102175,0.2415958123705079,0.1903319307033926,-0.06563634404328059,0.050715244294604986,0.19983957440573716,0.14206677594479675,-0.08098292164328114,0.13074607184486073,-0.05698604837083192,0.23401210179635834,-0.10474049266538835,0.009997020017832682,-0.37464728017678056,0.14867892972216482
Paracentral_Lobule_R,0.5672000770723253,0.4330290850958514,0.40359297020424717,0.78180547320356,0.2324089601653373,1.0,0.36555640175484644,0.8079032983395109,0.27286659782926304,-0.18974137935643143,0.14966014062452906,0.27037691548331927,0.13973084502496355,0.27672570807779945,0.0934128326489424,0.32467402453605265,0.26041724412310274,0.7632260332465642,0.881941635142166,0.5140292180194455,-0.08153200025141301,0.31940727088488297,0.05301427540734383,0.20550929441314983,-0.046177842996476384,0.39544155034040124,0.6448606042443489,0.357315104823503,0.8590136112940497,0.0922257309580141,0.4770066306436856,0.28776604940327494,0.34288332620088063,0.06703066310253038,0.147766224000066,0.7083846770373745,0.20283580304121526,-0.1226336290784679,0.20510124678741878,0.6024221396187925,0.6830894008707988,0.7383320425839356,0.5637182258853862,-0.1360042144394526,-0.2091345288926517,0.3412998351537104,0.41462815308324974,0.2805866472513542,0.39504548039463067,0.5090023631282536,0.34050073159522537,-0.25274417626100987,0.671859866756117,-0.16945761234270307,0.3606777553340595
ACC_sup_L,0.21228855318139755,0.7027984001410394,0.27389766706676816,0.3133246660489617,0.07133449000174617,0.36555640175484644,1.0,0.2837789466717783,0.6589945701627496,-0.24777306609670277,0.3356963861909996,0.4481062432985026,-0.1304727578959313,0.23917039347387015,0.12931778156632376,0.48956247535774955,0.5607740042403683,0.4597310334387294,0.34792320200516286,-0.13453548391741416,0.1555777826719996,0.38188724637517985,0.24168384654915082,-0.1368009926137598,-0.012234926550790736,0.8117477727834026,0.048923791328674714,0.3963602045078649,0.23799705258068202,0.650954913251767,-0.08993032511150109,0.4471251529425971,0.6404775613074979,-0.03315256748448951,-0.1444369532040575,0.3509005722248452,0.09529553976483107,0.4378860062670356,0.1168258092082174,-0.2194924894185484,-0.033523544688881315,0.27001865935435165,0.06531437704272013,0.22808915149720702,0.11383609603163727,0.013288758471741415,-0.08859013113443188,0.19658027619517138,0.0013197623855570803,-0.003036479867445323,0.30339648699585287,0.3063778310020878,0.6377362461763444,0.0006864780546493286,0.15640325330946522
Thal_PuM_L,0.6774132754257173,0.4015944631356062,0.3154310505527356,0.7631782268863058,0.19582963156012173,0.8079032983395109,0.2837789466717783,1.0,0.30705263674898986,-0.031127997111193042,0.040519391429355296,0.31310606765168947,0.04228096343803118,0.42651489047145824,0.1190745459602111,0.4394998019716989,0.2941623019824742,0.694310322785415,0.7420496007884427,0.38906016477448296,-0.06857151009929197,0.21136610394270516,0.16189054619935586,0.13823726888543791,0.018154894682850677,0.35272085811778264,0.544173152167412,0.3042090381361459,0.7821770638022515,0.11972009328446465,0.4620995605906461,0.4330359778522955,0.3724976802430541,0.13039639230451436,0.13821855156583537,0.7180487084384339,0.12654352456211476,-0.15460259861860948,0.31296633104151206,0.638743101907258,0.7135533852605563,0.8564794457865171,0.5228657483604369,-0.23813900599542112,-0.19597794790597495,0.36481701005669454,0.3530990787896182,0.17182462614435434,0.4848095715319691,0.5984478475482131,0.23188984755216246,-0.24035195008959376,0.5909563181353378,-0.05386068957297435,0.34313517069235444
Heschl_L,0.16645411535335183,0.5279541455588849,0.22657835500813645,0.3499680148313089,0.12976352720543313,0.27286659782926304,0.6589945701627496,0.30705263674898986,1.0,-0.11466604675058158,0.13990379085169344,0.4135641907369633,-0.09017987095705582,0.1826723984694705,0.1603811207161719,0.6663572770686975,0.5073579168695365,0.40482945112107055,0.24887783172186304,-0.21232008500047997,0.05647778312098214,0.1892784444448023,0.39170713490033376,-0.2705904052299938,-0.08582296992876869,0.6251244473961166,0.03861319599073315,0.32578048633577433,0.1621234345144198,0.42991029914624185,-0.10003945731366518,0.5783547889642516,0.6930188360758733,-0.09481768361090707,-0.19887219862373035,0.2954947241285357,-0.01382598830535716,0.11355581426910724,0.22347552502298912,-0.16002294130201658,-0.10755320587986379,0.1796455383338406,0.05395878186616784,0.0932304789209391,-0.024934550045988824,0.003207303438436486,-0.10904384258098265,0.05911234456246579,0.01639239138660604,-0.005710714921838013,0.0698086281059453,0.07599922867582999,0.44586507528293895,0.00026759226659825897,0.16483646973137664
Temporal_Pole_Mid_R,-0.08304170320819525,-0.09673627660675972,-0.35845852683115054,-0.10993900256252738,-0.2519159648185164,-0.18974137935643143,-0.24777306609670277,-0.031127997111193042,-0.11466604675058158,1.0,-0.38782382961560824,-0.12683211107413225,-0.0221542582397007,0.17534839229953658,-0.15853100079482016,0.09068744049549138,-0.22718200257388246,-0.13774534737206096,-0.1681196496326865,-0.11966696348800304,-0.30348975715773113,-0.34385111927707845,0.23143078047684779,0.07295926211091062,0.3019781962283691,-0.18390347850203076,-0.19004174896915177,-0.2403581670130123,-0.1845969325571179,0.09629204723143388,-0.21709838628470585,0.08577374712271336,0.026614965689375453,0.2796657120353924,0.27798998143143056,-0.2600562653109231,-0.3066841158549917,-0.05089938407944364,0.3216753073912646,0.07485582857298649,0.013145775064900259,-0.04737573218736832,-0.007267374269966435,-0.19215424060226696,-0.2031905260334718,-0.19917007321880986,0.0019208234723093731,-0.2784326306298509,-0.11508980448044949,0.1889146276984622,-0.2819821258623375,0.06952851482057808,-0.1471724111845143,0.5920352348647734,-0.07806593583519487
