,Thal_PuI_R,Rolandic_Oper_R,Supp_Motor_Area_R,Thal_PuM_L,Frontal_Sup_2_R,Frontal_Inf_Oper_L,Thal_VL_L,Occipital_Mid_L,Red_N_L,Raphe_D,ACC_sub_L,Parietal_Inf_R,Heschl_R,Thal_VL_R,OFCpost_R,Cuneus_L,Hippocampus_L,Thal_VPL_L,Thal_PuL_L,Thal_VA_R,Insula_R,OFCant_R,Thal_LP_L,Temporal_Pole_Mid_R,Temporal_Pole_Sup_L,N_Acc_R,OFCmed_L,Frontal_Mid_2_L,Precuneus_R,Paracentral_Lobule_R,Occipital_Sup_R,SupraMarginal_R,Cingulate_Post_R,Cerebellum_9_L,Parietal_Sup_L,Thal_IL_R,OFCpost_L,Precentral_R,Thal_VPL_R,Cerebellum_6_L,Frontal_Inf_Oper_R,Rolandic_Oper_L,Temporal_Inf_R,Cerebellum_3_L,Angular_L,Temporal_Mid_R,Vermis_4_5,Occipital_Inf_R,Thal_LGN_L,Vermis_6,Pallidum_L,Thal_PuM_R,Olfactory_L,Raphe_M,Temporal_Sup_L,Thal_PuI_L,Lingual_L,Putamen_R,Vermis_10,Olfactory_R,Rectus_R,Frontal_Med_Orb_R,ACC_sup_R,Calcarine_L,Frontal_Inf_Tri_L,Frontal_Med_Orb_L,Thal_Re_L,Frontal_Inf_Orb_2_R,Cerebellum_9_R,Thal_AV_R,Frontal_Sup_2_L,OFClat_R,Frontal_Sup_Medial_R,Cerebellum_4_5_R,Thal_LP_R
Thal_PuI_R,1.0,0.3929525760605194,0.740580344452451,0.7180487084384339,0.46633111867677773,0.6084327268297409,0.397123126633531,0.3023721291886258,0.37291105526282264,-0.07830920151917312,-0.012193742316312057,0.6401802008274289,0.13927106975773965,0.6282762950910274,0.0583166433104227,0.24837194035585708,0.5745327539567163,0.653296117873398,0.7058324488867376,0.4003220180449944,0.1729582883637499,0.0514451645596437,0.3304366885136827,-0.2600562653109231,0.043194389179168347,0.19622436449805006,0.18519066618983968,0.6594447537577778,0.703536279596045,0.7083846770373745,0.33667890302686915,0.7381318695546673,0.6665636269787246,0.04549403837376146,0.30904095562478395,0.4801682165107275,-0.14872946949242266,0.7220342839946884,0.45617654898549237,0.10087240505390305,0.7255834271923552,0.26563173752444397,0.2222204166878714,0.2930051385523808,0.37954176506065435,0.22305370074510855,0.40074528399129405,0.11631179541227028,0.060119400773895895,0.12244885097062934,0.5880471226830137,0.4099315038874227,-0.18662555971861447,-0.14314584796137017,0.454595281903898,0.6980981067921821,0.4919220867691806,0.4280951735492835,0.37357469785578984,-0.14373674410336187,0.12273582002702967,0.10169298224537271,0.22679568576709308,0.37441427340519084,0.4686867445198597,0.2913162245155988,0.08031541828986956,0.02878460380180681,0.06403396188951375,0.33523054478076786,0.4326844837681928,-0.1733986729414359,0.4397842262931225,0.6485130867768459,0.44433568540343504
Rolandic_Oper_R,0.3929525760605194,1.0,0.3442355447246686,0.3778873345505307,0.4311849987145808,0.3890311348124074,0.344514381468865,0.09284478151072939,0.04451933643657114,-0.17712748144365104,0.23996671331223962,0.5555799705036956,0.6704897081810146,0.3246402562591271,0.16759676549515634,0.18859305375492258,0.30664100263494404,0.5500762537494469,0.45389218160343964,0.30519819878772936,0.76153200636154,0.040209612280285315,0.2977231894317398,-0.06442070070888196,-0.05799410669936313,0.19780969126067702,0.020531366074329985,0.7341982140784362,0.48439708362945066,0.4504215319563299,0.3128781272675102,0.700037838208495,0.6192717311467234,0.48779048191994473,0.24435668259580834,-0.05001255636356425,-0.14510620846725872,0.3775019658870175,0.5140876900748633,0.1875591964785231,0.7128425918902469,0.13476256561838654,0.6462905219823327,-0.09629660478127831,0.2819939878834045,0.6894585745588008,0.6936886105220509,0.5075778040773344,0.33626880423724925,0.486906342835675,0.2553569820389565,0.30374096483935153,-0.08591119718513919,0.06521801727332978,0.20673400423366464,0.41966047718982313,0.5824284199690123,0.6264646295437576,0.3359660537810796,0.007590270874626207,0.024817334583145306,0.14022023607101744,0.32477648268941944,0.4078136412454809,0.29368461591269845,0.28319740495498413,0.24593463570311924,0.3093858955785423,0.25785103352275773,0.26181995791200335,0.4860179805201075,-0.18652833614303913,0.4137488902723523,0.5210087521877307,0.3358517550374577
Supp_Motor_Area_R,0.740580344452451,0.3442355447246686,1.0,0.7046407335487226,0.5609348407694584,0.6127922270429519,0.4644765116760747,0.43307550487665636,0.22840555540156648,0.07383740428198152,0.03611612308621271,0.5931108739195174,-0.015652902470870325,0.5897500146621129,0.025596110249493854,0.34389140781641875,0.5324910100406616,0.6661497407574893,0.6617322175133831,0.3819575848906844,-0.02431217718112696,0.050812516259810855,0.30447098266133543,-0.05254201430426649,0.1817537880026773,0.016885029382156642,0.2516919276410753,0.6729246838262973,0.7486122673538289,0.7632172131746889,0.350009393602764,0.6937735061967002,0.5966108284683027,-0.1124969497898788,0.4713993457658021,0.49548268344277263,-0.007028815653468994,0.7586786082224148,0.3238724657859749,0.14568102589066187,0.7565419522369895,0.2408866300375109,0.07545016269834406,0.49737467201203833,0.4823858828224979,0.0886887356895456,0.2958401497103829,0.03528970120091677,-0.17629096928737195,0.030871621779781654,0.4404680993181026,0.33654531481581423,-0.3213751046474919,-0.1856349158220634,0.4797555187843258,0.6019097386282262,0.4592205103114034,0.343901718827898,0.4024916951163921,-0.24821916138504144,0.11232335427502894,0.07958442700206396,0.24737208078302936,0.40112503849006487,0.46785270564009024,0.2729108760329126,0.21485967844260465,-0.04480980200188791,0.0017495498140664824,0.22383845200770128,0.3690420257476642,-0.2156912425148405,0.4303928373020283,0.5973400150849282,0.13264213215247664
Thal_PuM_L,0.7180487084384339,0.3778873345505307,0.7046407335487226,1.0,0.4853183784744102,0.664390381445355,0.2643069591878318,0.5710915980341579,0.32034783232418823,-0.060282072815070975,0.02805047026556,0.6835880625754422,0.03714642473834243,0.43311898018852674,-0.15460259861860948,0.5984478475482131,0.3265498330555077,0.7430689730868695,0.8564794457865171,0.2289326173389782,0.17317002815645297,0.11972009328446465,0.4848095715319691,-0.031127997111193042,0.005067944062327297,0.24242196463193966,0.045836678218326564,0.5458292877844407,0.7821770638022515,0.8079032983395109,0.6004441721297726,0.7007185523282761,0.7648142931294792,-0.010896574321564417,0.38906016477448296,0.2941623019824742,-0.24035195008959376,0.6615276283652081,0.4620995605906461,0.31296633104151206,0.685946017578062,0.4394998019716989,0.2593438536206118,0.42651489047145824,0.5372295040692452,0.3530990787896182,0.5228657483604369,0.2461314487420977,0.11836513926019791,0.28288359441683064,0.5100530132752695,0.36481701005669454,-0.02886339955972297,0.0889606764768044,0.580728575055784,0.6774132754257173,0.7064945214823223,0.4163078496341052,0.44709812028822743,-0.26470184877025144,0.1190745459602111,0.024175002178943073,0.021984959395342243,0.6949371250330632,0.47077702236987723,0.4021007896137347,0.1915850997783535,-0.20874181696996189,0.16189054619935586,0.12654352456211476,0.4431889738258662,-0.24938828798756615,0.5252918023262808,0.41635996035859585,0.2954120282183619
Frontal_Sup_2_R,0.46633111867677773,0.4311849987145808,0.5609348407694584,0.4853183784744102,1.0,0.7565710028572777,0.4079135727280794,0.20743876866570096,0.25264226997932404,0.10498350220955126,0.048054945310408576,0.6161690974119743,0.1520182225028259,0.5776915962982195,0.2690847909550388,0.2275240373647921,0.5847373491354411,0.46777988002510196,0.4397486744853885,0.14217601395794835,0.27840463244868985,0.5221918136709375,0.1036793108903282,-0.07786116505402178,0.22725959258438133,0.11779873942301666,0.0028059597885825315,0.5720765458890951,0.4841331004855146,0.5448419845339788,0.08575826007900343,0.5994448139726313,0.48535726239681665,-0.027098497485189034,0.11443141526544738,0.5334621418766137,0.2068592943327968,0.6506795680260611,0.08147805424623221,0.18799718355061373,0.5642786836753406,0.5580285651279896,-0.019885469911482514,0.37763798955729466,0.23102345111453393,0.0794192275589654,0.22586082373476812,-0.11333436143378732,0.12342444129240115,0.010698183469794492,0.5362663641680914,0.11766105945028459,-0.2554102525907188,-0.06909716409963972,0.6297412815718922,0.40153267050784763,0.3938609433711645,0.6561088053505467,0.39621954278451693,-0.11696426012518497,0.060820672526307754,-0.059981532999835614,0.5955626202561464,0.27808932014433996,0.7781755730011649,0.31899031049891585,0.19316049257435453,0.33956035506140547,0.22545622109318952,0.11398058981925283,0.8235956671657502,-0.5217661786152045,0.8012362791153332,0.4833729910067562,0.2978309657928225
Frontal_Inf_Oper_L,0.6084327268297409,0.3890311348124074,0.6127922270429519,0.664390381445355,0.7565710028572777,1.0,0.35215957844513607,0.37825714704670094,0.2562197505984248,0.11964185412221721,-0.07339192586657525,0.6483747117766863,0.05934873690527738,0.5351700846619972,0.1889881681698938,0.34332841047595164,0.53954487271639,0.5354144767746996,0.5793460945021061,0.08188328506635656,0.22420971926222089,0.5744788708878777,0.21859284895456918,-0.08962911731610632,0.2982972756002945,0.18413780256433546,-0.0017193285038149097,0.5360752397273695,0.49070775146151635,0.6654826125578883,0.23576715730833223,0.6429444218648531,0.5664739768422385,0.039614212288872505,0.057987882739180256,0.5424101443585427,0.03168943011815708,0.7566427312380754,0.11339972751756093,0.4302177165730125,0.6164416281409433,0.719549032365738,0.10722989341642371,0.36871305302670754,0.34184594301702015,0.16816415990994685,0.31649999501997,0.09495557560656728,0.2719955754646438,0.2238470272213559,0.5870876426928879,0.19281363632358262,-0.1597023053821089,-0.003715647693122145,0.8406896106714363,0.4201144357034743,0.5668563838582653,0.6576997771704978,0.5233763617375271,-0.20656074101452399,0.011170284524361118,-0.0903620816263214,0.42780578797773666,0.5016861842971112,0.863618459804952,0.27339075499490556,0.155956334864945,0.2011117405753057,0.3852574117706732,0.022163701019531218,0.7466272146100318,-0.5576303898575815,0.7434467612515198,0.4293915919960513,0.3948929637485162
Thal_VL_L,0.397123126633531,0.344514381468865,0.4644765116760747,0.2643069591878318,0.4079135727280794,0.35215957844513607,1.0,0.08141072624782393,0.25902098233043247,0.3794028629320018,-0.015264340336078371,0.22961919084596166,0.2139562597427101,0.7562727991052575,0.18939161235980334,-0.0329576280905015,0.659790869077137,0.5195287649408283,0.23285546512706018,0.4900411904732692,0.030157359898356922,0.02153059385074798,0.1334621680397366,0.00565738058257455,0.2671113180448093,-0.16928508341097284,0.3470270779594129,0.5024494219296779,0.37935465912663385,0.30624361004533385,-0.0416167040598854,0.4252053065357637,0.3436151617186473,0.23196001780245368,0.20461759701213394,0.6093678244025654,0.09612345253055704,0.33965856259920835,0.3027124443030114,0.09600673508152349,0.5159505287604416,0.00591063618296921,0.06284310655067901,0.26592850597451506,0.208442002958831,-0.053080727482119894,0.2584294455823204,-0.06587225098249187,-0.05302627808675687,0.07277838321560387,0.40252491496034076,0.33996634196988457,-0.25217651078263176,0.004442509625487646,0.20967823373084202,0.3226104760316931,0.2568534003227249,0.2927964817493682,0.14955019185563234,-0.13791884730156684,0.13942607003969013,0.013050349652207043,0.4201049090117162,-0.049666851906061626,0.39442276451649944,-0.08313800355827532,0.1029942174177535,0.24395337212630566,0.0674440861961217,0.3763165218894897,0.20666115002673058,-0.12769091555302667,0.17862256403532262,0.6021244926789459,0.04971643050365055
Occipital_Mid_L,0.3023721291886258,0.09284478151072939,0.43307550487665636,0.5710915980341579,0.20743876866570096,0.37825714704670094,0.08141072624782393,1.0,0.21457912321150854,-0.07391202676266796,0.03977601133591793,0.24432306634615106,-0.017900534192668044,-0.008766132683925135,-0.25147689941983753,0.7712597365900888,-0.05040540508585397,0.5347712851018276,0.4600644245170377,0.041685863811104104,-0.04718970746282621,0.05816561587118783,0.6357932648153103,0.23793845712528489,0.27807468100132937,-0.12104003155322841,-0.05117110881803562,0.15607026598606225,0.5135724095417024,0.4888454890140136,0.7238053707841939,0.3373526326984573,0.4208556969875936,0.033538423880582695,0.5605607532223638,0.017115475748499625,-0.12249301630423132,0.2832274568764704,0.21793243354838632,0.6027969443891157,0.26862509252702466,0.4413500724159638,0.22090020550777145,0.5386099064457466,0.867235126308581,0.19822600506477914,0.4407949029350666,0.3440309449460386,0.10988565399127583,0.45856319128043455,0.07942755662087884,0.20912529496981963,0.02075271891579445,0.08015696957434729,0.44383393405383925,0.35155803483300135,0.5589020064343204,0.13520594637768824,0.33039717621478554,-0.10979133197882451,-0.005436507229331898,-0.0907741411869484,-0.22901628743896937,0.6280340866631512,0.21343385985297686,0.09876557019486205,0.28261909405077296,-0.41327873943409377,0.2785196890420249,-0.003977289225037269,0.0987383149175997,0.05850685783733328,0.22416058602016947,0.05357174679592063,-0.08118917004892957
Red_N_L,0.37291105526282264,0.04451933643657114,0.22840555540156648,0.32034783232418823,0.25264226997932404,0.2562197505984248,0.25902098233043247,0.21457912321150854,1.0,-0.1375397032683926,-0.020990025901812422,0.17337518585655495,-0.015523348291398653,0.32418141995686006,-0.029565561850821105,0.18373948438560792,0.3798590727108347,0.3374991359288585,0.2732900809251938,0.3137640109019545,-0.08923347143188383,0.07590631143513245,0.35657969810014534,-0.17961272907159676,0.11519932369376308,0.16771542825305266,0.04044543944157051,0.27458847466079717,0.35312226891433723,0.33582310996538545,0.12578562941867782,0.27188403281585316,0.32029207838850154,0.06233360332585329,0.2691125810225559,0.3190465283320371,-0.07153838414667875,0.18737220337386348,0.0309509040521537,0.033807477831856905,0.2270207441786741,0.14202248707729426,-0.03308237491107267,0.2896218198267144,0.26366505954482733,-0.10541422442845255,0.16151638622899447,-0.1613117588584582,0.00048543762505005145,0.03515083680287013,0.45782903235276223,0.010567026587713284,-0.14062381800706944,-0.113457333201995,0.21340277957487727,0.2477472896146271,0.2002531861646122,0.1534654764047215,-0.07831280420968438,-0.17787592415630674,0.2606693980076181,-0.09267853372658501,0.11759364469904364,0.0124994001520707,0.282032997181698,0.04950846499134522,-0.07576288066342418,0.04163604060358569,0.07024199521038327,0.22397473474717286,0.16733946980605754,-0.09718966827221384,0.2960550409466325,0.2830265539261779,0.44984065602346673
Raphe_D,-0.07830920151917312,-0.17712748144365104,0.07383740428198152,-0.060282072815070975,0.10498350220955126,0.11964185412221721,0.3794028629320018,-0.07391202676266796,-0.1375397032683926,1.0,-0.10956925397313315,-0.1134403575873968,-0.08926770554846239,0.12262507820438799,0.1486819337097573,-0.18474369027154505,0.2405013051849019,-0.07315822671338708,-0.1083758732929476,-0.04867145707317771,-0.18032969161983564,0.2721818325182896,-0.326328147021985,0.3570650745875106,0.24631767501222837,-0.27374749815441324,0.16511612933128147,-0.17493180290816732,-0.14460914341066292,-0.16409090900815992,-0.28717780934079035,-0.11640965923646804,-0.2274081193766631,-0.09978998526092595,-0.2292853463470874,0.3786475070867817,0.13787181837270318,0.0010737500929414192,-0.27151808174330555,0.05617562389550485,-0.09470780416695265,0.06355037413592557,-0.4310654521021474,0.2534844660470435,-0.1657052959615201,-0.40920253366248444,-0.3026406900312458,-0.3142536093279566,-0.12894449413795833,-0.28081182227743556,0.013668412008248847,0.006476155432330883,-0.05348846629541937,0.11327112507554406,0.12690187940856737,-0.06430780588201053,-0.21400379614860976,-0.008338257086600997,0.09753567855185799,-0.23685996531334672,-0.07811931875812289,-0.19284963307257624,0.23481905390564856,-0.19942529029989728,0.22519789180116268,-0.203325037704139,0.04941521810037887,0.19538535759911244,0.15801655938789838,-0.19292030121944811,0.004015667594322291,0.002999986674498837,-0.07447478251622873,0.08009181832571736,-0.3107095505223018
