,Cingulate_Post_L,Putamen_L,Thal_MDm_R,Vermis_7,Frontal_Sup_Medial_R,Vermis_4_5,Thal_AV_R,Vermis_10,LC_L,Calcarine_L,Vermis_6,Frontal_Med_Orb_L,ACC_sub_R,Frontal_Sup_2_L,ACC_sup_L,Raphe_M,Thal_PuL_R,Angular_L,SupraMarginal_L,Occipital_Sup_R,VTA_R,Parietal_Sup_L,Pallidum_L,Cerebellum_3_R,Lingual_L,Temporal_Inf_R,Temporal_Pole_Mid_L,Thal_IL_L,Temporal_Mid_L,OFCmed_R,Cerebellum_7b_R,Thal_MDl_R,Cerebellum_8_R,Frontal_Mid_2_R,SN_pc_R,OFCpost_R,Cerebellum_6_L,Rolandic_Oper_R,Thal_PuI_R,Thal_LP_R,Precentral_R,Temporal_Pole_Sup_L,Parietal_Inf_L,Frontal_Med_Orb_R,Thal_LP_L,Frontal_Sup_2_R,Cerebellum_Crus2_R,Heschl_L,Thal_IL_R,Hippocampus_L,SN_pr_R,SN_pr_L,OFClat_L,Vermis_1_2,Thal_LGN_L,Postcentral_L,ParaHippocampal_R,ACC_pre_L,Thal_PuA_L,Thal_VPL_L,Frontal_Inf_Orb_2_R,Parietal_Sup_R,OFCpost_L,Supp_Motor_Area_L,Caudate_L,OFCmed_L,Pallidum_R,Cingulate_Mid_L,Cerebellum_8_L,SN_pc_L
Cingulate_Post_L,1.0,0.5394962114865473,0.1264455242604704,-0.2336825523611962,0.5919543046954198,0.3888749044229743,0.1683988704927252,0.27455190984745176,0.3614152735230562,0.49935492582206953,0.0993112601898505,0.5085579170091408,-0.06992412972832433,0.506473330639417,0.38325248906016923,0.061216053717533685,0.550341944641051,0.35987665807370584,0.7310276270331166,0.4438842770812715,0.09928141942565574,0.3440894251054194,0.5114359457420911,-0.011720045486674666,0.5559136716186319,0.21852263954329387,-0.12848511579137453,0.01333459783153932,0.4319876508548808,-0.20224827296363812,-0.04225889876042614,0.30638568715760245,-0.11424798188296528,0.6073192672948222,-0.17481158873751246,-0.14620824797849993,0.05005059456494209,0.41602306300978464,0.7528051507268926,0.3546430708888042,0.7289695727282524,-0.11351115680087369,0.46511930288359704,0.05434476316066744,0.256828542748079,0.5170470176787976,-0.18812888715658513,0.2991601790327869,0.3358945745546789,0.36200714842250153,0.10601123146481337,0.11497826268920551,-0.11105653325137861,0.3302170221514939,0.09849530796430477,0.721194759668595,0.07274091079210715,0.14899194195108054,0.6236788973112618,0.6704257020740864,-0.09126319315078912,0.48573875403802763,-0.21239744539302535,0.6615294615642305,0.07260486260719334,0.13707707475069034,0.27103359348439693,0.06930355810290852,-0.19520301979660099,0.08434255335303943
Putamen_L,0.5394962114865473,1.0,0.19925377552817108,-0.2036174212580299,0.78519683069753,0.31184256634152646,-0.069899857923058,0.5381579211156581,0.3432080375899756,0.3248678174789116,0.17299254461440663,0.3686387940770781,-0.01270750433091477,0.8360008601444334,0.7525145652552175,0.08935801783032439,0.2559583856161392,0.13235242883160286,0.5679011212047453,-0.010780895807274541,0.13563162573467386,-0.05456121045756835,0.6944999922128373,-0.23676754225968166,0.44024746834680095,0.14108399890435339,0.01869484645755547,0.31439641243019123,0.5482478101068965,-0.07187024968091522,-0.11708975093219223,0.22666176861402387,-0.08597516840441936,0.6477079852478529,-0.13188486309270417,0.31853098492030313,0.23505463638918808,0.4563967500735613,0.4848208281526006,0.36375465504080956,0.6368406472301306,-0.02344801878823476,0.1757795772505101,-0.06943073646571218,0.10558180886266141,0.7338674785782028,-0.14109075083341618,0.6892689931801183,0.3916324303871414,0.5023752299501847,0.029306516053068866,-0.3543941027777668,-0.13205980035486575,-0.0005371991727832246,0.34736570445851006,0.6978826501321651,0.1810326535858067,0.5808558466984421,0.1660031419880887,0.46641713719979366,0.35914013230585135,0.07116120066389948,0.03580661723130623,0.12491148019397043,0.5346850921045772,-0.13124826828393982,0.32057400886200854,0.39024948021730166,-0.10591577851234092,0.025459381743837488
Thal_MDm_R,0.1264455242604704,0.19925377552817108,1.0,-0.2469636864733497,0.05666951871574957,0.011827338484425284,0.6023627836075065,0.04388741938080073,0.3492608615465066,-0.2175002600848837,-0.19079388568125105,-0.16947152504759783,0.2092728357472841,0.1389949050571687,0.37446903538761145,-0.5302700915883927,0.217848593891223,-0.06828271807969939,-0.044092418631436675,-0.2907245839095991,0.38160013215603694,0.07633891235958197,0.25632370095326557,-0.03334820332021782,-0.007924514193312387,-0.018566008630752057,0.013118101341892122,0.36141941620511225,-0.015106144230197729,0.6303926922538337,0.049985008261243594,0.5099076058455037,0.40232225515103187,0.37776975946746716,0.2817595293060125,0.5885372851278105,-0.2030545640753874,0.31148191969979677,0.3527487561130803,0.15955244631062893,0.243602462989967,0.17725813029937346,0.1961317581806321,0.17886520312538745,0.060391185360880256,0.2923245712613439,0.04586097066084536,0.13844235276242328,0.41460540411219143,0.7187050508978781,0.5020962077436689,-0.2038899797397879,0.24901552671424565,0.07103977692076985,-0.26831525940903483,0.079714866550984,0.5842307575915763,0.05722065079483843,-0.004114796950463475,0.2104436032292813,0.48202139761782165,0.0477337825516231,0.39748687462381554,0.1279923980748351,0.5961668704596942,0.10028977758227527,0.5203931438345846,0.5101024298243357,0.36050225029367816,0.3127656517513031
Vermis_7,-0.2336825523611962,-0.2036174212580299,-0.2469636864733497,1.0,-0.4061402335739383,0.35270774460075843,-0.08338933664810635,0.22063357048175514,0.05471052815301911,0.4694103895062492,0.6025237893999597,-0.442679483581588,0.025357652163949432,-0.2964283945087189,-0.3214522333527786,0.1139012921021457,-0.025852487886570852,0.1458548369453989,-0.08344219412509896,0.2850066621142503,-0.3479627318124275,-0.03739573054933908,-0.4102683670632114,0.3553534630510063,0.2665015419284921,0.49473722026859773,0.21538643642865452,0.03993975874634775,-0.0383426077899574,-0.11395453780739108,0.619958437764243,-0.07236956838247986,0.24580010042809533,-0.08173443828841263,-0.048744773932140384,0.13885554203487843,0.6098616703903942,0.0886568651252895,-0.1961835707667693,-0.13936507734500986,-0.06969089045222865,0.2359095404705351,0.0007926431759757982,-0.018019424091883205,0.14603339427891773,-0.318828531538052,0.7968978980947933,-0.3845643296775996,-0.46192815627945966,-0.46196677255211266,0.0039379482672529265,0.2520576232932831,0.46152595651334044,-0.22688942967148257,0.07590428822315748,-0.13150697437461456,-0.20064684165965332,-0.26275295031931145,-0.15005009415474443,-0.0124542718853873,-0.026562629028872718,-0.16465889980290366,-0.09063957395451824,0.002024397425973053,-0.18274556812449336,-0.19746839693818685,0.16412670712775604,-0.006301422851668454,0.3204197736861581,-0.08714902931526537
Frontal_Sup_Medial_R,0.5919543046954198,0.78519683069753,0.05666951871574957,-0.4061402335739383,1.0,0.29565804210552793,-0.06582624689842188,0.38681406109888744,0.249895223852174,0.31371584781007483,0.0898820594216525,0.6010292151169457,0.06078769763255404,0.8912424426167155,0.7024419587810637,0.0878735165481392,0.2705848145042051,0.2763598114410549,0.6875986191135233,0.15103814767893192,0.06335562072856243,0.12967571594937402,0.6021612846789579,-0.21175077845760298,0.43623801344251273,0.09124049355282884,-0.00538544863181967,0.25001601540555746,0.5450548073601819,-0.23897513969780876,-0.3478669316559966,0.20964621991632834,-0.2804800195343576,0.586259270338165,-0.3395621926706516,0.020607526207993568,0.07669525286893959,0.4137488902723523,0.4397842262931225,0.3621651548790239,0.5207891502762003,-0.05762648671677078,0.3111325856668691,-0.03424114812957974,0.20409532047285225,0.8012362791153332,-0.41058500624013555,0.600891439856061,0.3064458156227377,0.3562050897472303,-0.0630206091039518,-0.12706888212683146,-0.32049312861161705,0.15135255751091847,0.31787346547833845,0.6568631607335392,0.03461805586428247,0.5832556323685706,0.2374841524113965,0.4748353744058282,0.13446500843949313,0.23817747410198514,0.03035082304848663,0.2525991886086235,0.2833997802769299,-0.11537526756471449,0.017216383389867834,0.28887170737808565,-0.33442802063771165,-0.07641870290852018
Vermis_4_5,0.3888749044229743,0.31184256634152646,0.011827338484425284,0.35270774460075843,0.29565804210552793,1.0,0.25489997089765587,0.4242844365577135,0.3449176076282449,0.6792008151087406,0.8336972635080941,0.18317897361370414,0.1433667931810334,0.3138286018021501,0.06531437704272013,0.23235195677004217,0.45461375746888366,0.5534311747749945,0.5679319269500304,0.6019313415250895,-0.08194127001456038,0.4149817230011356,0.27397364865743756,0.5647448080546567,0.8492705200350118,0.818377904546287,-0.037258264766816714,0.14827208467770261,0.3636192886951496,-0.2891247147582238,0.22292700826286885,0.3719816065820897,-0.10473581107343223,0.39679060812213174,-0.1739114545819161,-0.09204106410585638,0.506746182424909,0.6936886105220509,0.40074528399129405,0.28563266571655543,0.287662557694139,-0.08197922804486388,0.6487900877333009,0.09255622429966381,0.5925597699291766,0.22586082373476812,0.3585100929743407,0.05395878186616784,-0.21340997206023699,0.046300382655226895,0.28762460492794023,0.43773844839423776,-0.05884857140696331,0.41484237078328334,0.47709102302059625,0.3655065076524951,0.29492365695153616,0.07157476682360091,0.34117544133784855,0.6097135252397083,-0.08583048456436691,0.24665265764581962,-0.35331619120001245,0.47972846600483793,0.22097124648536012,-0.07525912934989702,0.4126340772644428,0.26100308680288575,-0.12209456634458818,0.20729326393389202
Thal_AV_R,0.1683988704927252,-0.069899857923058,0.6023627836075065,-0.08338933664810635,-0.06582624689842188,0.25489997089765587,1.0,-0.14217005617827802,0.2970824512696297,-0.04656875690718541,0.09228107589747805,-0.12160277334517618,0.2741286301121855,-0.10403075716353098,0.09529553976483107,-0.33456540781605687,0.22695544479674915,0.1951250498692221,0.0726864624237439,0.08316402557103984,0.3378873134951765,0.3644675644708492,0.2203656116509996,0.25785756068254556,0.17622485863031315,0.19784534651730443,-0.2436785591071775,0.09562597868864406,0.015405883969952338,0.4312122938116212,0.18975744720873405,0.6517553783377616,0.31790576901055534,0.303159278997462,0.12742836068099622,0.1328842286719276,-0.06340722368473525,0.26181995791200335,0.33523054478076786,0.2659791979154586,0.15417931300951543,0.12686983175540925,0.4474779891184578,0.03419867510916367,0.3332822322395922,0.11398058981925283,0.17957354913564713,-0.01382598830535716,0.25846221307058354,0.4640180741890532,0.5441075103775707,0.19342245188986937,0.19343740666984371,0.33658682322231737,-0.09626991435727476,0.059755352835844634,0.5826727846329067,-0.03518016604661819,0.352690025254674,0.3167821933578992,0.08753754776307729,0.21243416367628637,0.16797884682807449,0.36056811854159015,0.38113734226349993,0.20568395670586911,0.33946231373398866,0.34679274746275246,0.30969286384001504,0.4210411110489272
Vermis_10,0.27455190984745176,0.5381579211156581,0.04388741938080073,0.22063357048175514,0.38681406109888744,0.4242844365577135,-0.14217005617827802,1.0,0.5690335315968916,0.5813119596803235,0.38469088333080265,0.2356606220632603,-0.12203728091124427,0.4389958053197652,0.23562929236273758,0.05942432179618478,0.23422843989854902,0.31866795795475955,0.4954014597353907,0.23246508438061939,-0.11558064342758002,-0.0719089469133696,0.3704386196513373,-0.25328654374608756,0.5791659019417121,0.21584773535445487,0.29220528443278687,0.4313594877834497,0.6488318236994183,-0.07584152410090803,0.14779751527971308,-0.10947422180308806,-0.010199339008951909,0.34491365732993373,-0.19389719070598718,0.15241513735845041,0.5301861815389639,0.3359660537810796,0.37357469785578984,0.027038113591260498,0.3562158394852165,0.1467436332008912,0.2237639623239051,-0.0882898291972968,0.25831102965481095,0.39621954278451693,0.149034367265792,0.3253112699917358,0.11029422055890925,0.18530029546104193,0.037096219717020235,-0.09077246327096174,-0.02954497242342341,-0.14018611461651476,0.06880948546113948,0.5163593000628048,-0.19032128016617528,0.05503634623552249,0.06902431429049294,0.4035787721416068,-0.06127548876153937,-0.002248650109837879,-0.013996503803255669,0.10744731530944691,0.20138377179923664,-0.26584069541084804,0.0866325502145266,0.32285119645356253,-0.03170541669342027,0.03903663514155994
LC_L,0.3614152735230562,0.3432080375899756,0.3492608615465066,0.05471052815301911,0.249895223852174,0.3449176076282449,0.2970824512696297,0.5690335315968916,1.0,0.36749872466283967,0.2185087313883715,-0.08295920823574716,0.01825619737242924,0.19734128369934983,0.30909470776370285,-0.252058204265954,0.18882362164432834,0.5246432230089666,0.46147797307214744,0.19003319449905,0.23345822378689496,0.21003587592471504,0.42143528062205876,-0.18995312973788056,0.48402880767823253,0.05123273008276953,0.15870519105401018,0.4355181484238813,0.6641115760162055,0.301320743574667,0.34539608360638985,0.25322767436244636,0.39746417332545997,0.5601559951215881,-0.026410872839040218,0.30507030014474895,0.47200177414795946,0.19665191666460682,0.5660803873064267,0.12587130051188916,0.4975937168522156,0.4272664192586267,0.42869255637436077,-0.058398032816141816,0.4495555995667516,0.41831711469394844,0.2144450931909742,0.24155874329646443,0.4956590819762939,0.5130488808260043,0.4179938605053318,-0.007904511611090763,0.23297457874813154,0.18834102675880102,-0.1554077946178232,0.48048707197451707,0.20771474832824502,-0.04212321693378331,0.38745793818314606,0.5631858840798917,0.05493542288769121,0.277525032923939,0.1518234088326532,0.36788421836117646,0.3151633804967798,-0.057389166851859706,0.18083490060868876,0.48093054550897807,0.38561203681767703,0.4429447807679621
Calcarine_L,0.49935492582206953,0.3248678174789116,-0.2175002600848837,0.4694103895062492,0.31371584781007483,0.6792008151087406,-0.04656875690718541,0.5813119596803235,0.36749872466283967,1.0,0.636992426474072,0.20937948467747286,0.004461105891857811,0.30743031627661194,0.08611526415797799,0.12441625478743829,0.395939692445902,0.5263089325446642,0.644071856933419,0.7359326151809509,-0.21068244981324227,0.24292906043071563,0.1327354465430086,0.12411793257895791,0.8388639406410592,0.5097313428902321,0.10501706056494332,0.20928954118863827,0.5825884698786092,-0.3701762862655795,0.36194954186215084,0.06682331097814075,-0.020371011980904262,0.40274147482333655,-0.35839826776819,-0.12435563891525671,0.6761956674287899,0.4078136412454809,0.37441427340519084,0.1636277937246631,0.4640248235173835,0.1343597895877024,0.41989926206268663,-0.015438442076525862,0.4719672765633325,0.27808932014433996,0.39476128719926057,0.11005428016940857,-0.16021939432588272,-0.09066723795239137,0.08240074792115859,0.2370156969525351,0.06888278064439142,0.09120102144472735,0.2733828681821683,0.5967795469246082,-0.19841619797829416,-0.033520664937989386,0.3545748295078933,0.5219739739823321,-0.26666116422031894,0.2782147696764267,-0.25741470358181356,0.44546679612614726,-0.12867527503311518,-0.1803291781584464,0.07719845499998874,0.1341688472393858,-0.05725245660513049,0.021783210394531922
