,N_Acc_R,Hippocampus_R,Thal_PuM_R,Postcentral_R,Angular_R,Thal_PuI_L,Frontal_Med_Orb_L,Cuneus_L,Occipital_Mid_R,ACC_sup_L
N_Acc_R,1.0,-0.08973694515383493,-0.17956320811556925,0.21116958932564153,0.6376626174804422,0.4308961817195239,-0.15729444342161228,0.5218648372516759,0.3569716901475334,0.2451125998114404
Hippocampus_R,-0.08973694515383493,1.0,0.4264164698575919,0.11760094795584054,0.19468065908682228,-0.13336490731758613,0.336332944383789,0.1679882567526797,0.3289018341106603,0.18626129220333654
Thal_PuM_R,-0.17956320811556925,0.4264164698575919,1.0,0.4231878050146594,-0.1205166151506301,0.14662176456698703,-0.18914066065694346,-0.09068997971102845,-0.11918839983581796,0.548424358137932
Postcentral_R,0.21116958932564153,0.11760094795584054,0.4231878050146594,1.0,0.2898849749280978,0.3621223427449255,-0.25561280607835773,0.09658641823561469,-0.10883226553049125,0.6152659185132392
Angular_R,0.6376626174804422,0.19468065908682228,-0.1205166151506301,0.2898849749280978,1.0,0.47615750509156596,0.11849483651262156,0.8462046411492724,0.6119608960954485,0.17977652196320043
Thal_PuI_L,0.4308961817195239,-0.13336490731758613,0.14662176456698703,0.3621223427449255,0.47615750509156596,1.0,-0.45694032109731,0.47484990968768387,-0.03242186905630186,0.4606078364101271
Frontal_Med_Orb_L,-0.15729444342161228,0.336332944383789,-0.18914066065694346,-0.25561280607835773,0.11849483651262156,-0.45694032109731,1.0,0.11004270687685998,0.4209533086787856,-0.47536023357726215
Cuneus_L,0.5218648372516759,0.1679882567526797,-0.09068997971102845,0.09658641823561469,0.8462046411492724,0.47484990968768387,0.11004270687685998,1.0,0.5683085393774131,0.03212444727531624
Occipital_Mid_R,0.3569716901475334,0.3289018341106603,-0.11918839983581796,-0.10883226553049125,0.6119608960954485,-0.03242186905630186,0.4209533086787856,0.5683085393774131,1.0,-0.019818218300164323
ACC_sup_L,0.2451125998114404,0.18626129220333654,0.548424358137932,0.6152659185132392,0.17977652196320043,0.4606078364101271,-0.47536023357726215,0.03212444727531624,-0.019818218300164323,1.0
