,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R
Thal_MGN_L,-0.14922776819922953,-0.06309483883972565,0.38350913678773485,-0.010715780252599734,0.42665101612392975,0.09274861281154442,-0.4347265663011832,-0.1218045899950807,0.04785004670679948,-0.07766682647554848,-0.0345247397414368,0.0741467533157766,1.0,-0.2720923936575526,-0.1067905291841483,0.0590876859862008,-0.05649143119119772,0.3493705730522543,0.5806774227491208,-0.3576551244496074,0.26089788867866404,0.41738049496893903,0.29265962984596694,-0.44673044318910493,0.018862783511173025,0.4366218362924808,0.4067916607816987,-0.33018851850982545,-0.4796343203102544,-0.16706942194313582,-0.3726278264840764,0.4433038908399424,-0.2951684486968461,0.3402291379524439,-0.13852479664441242,0.45781629078800945,-0.04646766277933175,0.35533015660348094,0.3440813900112644,0.15454191575551998
Paracentral_Lobule_R,0.2555509663939095,-0.36475646030747094,-0.04681568303638283,0.17677717082438799,0.31025286042322686,0.6602715582917315,0.18422938234474281,-0.10253175233905466,-0.3342360157912312,0.35891757584362544,-0.26276564489817855,0.39923311096906167,-0.2720923936575526,1.0,-0.022565518033333617,0.07022789793777723,0.29573710495916483,0.45079486055770146,-0.2698822700198329,0.6043445495692661,-0.0562544323718231,-0.10767799034730692,0.505083618864572,0.5676605290271493,-0.3245204266569815,0.05305309780832817,0.3437732566231973,0.1760670587224708,0.8006037339271939,0.4701350005531342,0.192753416327518,0.14794056353426027,0.06127815178628573,0.32004370029275986,0.6556318051069235,0.016741760406856845,-0.33712227586250176,0.3392713111737474,-0.21339067577539356,0.6158406327520238
Vermis_9,0.022981716395194387,0.6449592268996758,0.011164448267471738,0.7166178326068255,-0.29994877421900584,0.061147192608691864,0.7622642932851658,0.6026879585002142,0.7446107264807986,0.012027023249868112,0.7260137901831675,-0.012329259652797547,-0.1067905291841483,-0.022565518033333617,1.0,0.4305825288347499,-0.12831825817667636,-0.10768186019536094,0.402257117913988,0.17564532987076578,0.4648937357608324,0.12289393966385116,-0.021047666376694016,0.17920467605457174,0.8013822551663055,0.3140942858099004,-0.06435293243072888,0.49386671593223447,0.29796530276708977,0.5730105209889881,0.7138143819247287,-0.5039501389988782,0.6914803486411805,-0.43831537731601117,0.28135989037319725,-0.11320576697252191,0.7969001882181157,0.12108371602752334,-0.013803760668886647,0.2164819642363855
Amygdala_R,0.1238043806059875,0.11135815212041338,0.5276471742385156,0.553190611943239,0.09988713496845794,0.13012566029468106,0.24890142284601205,0.2868834179959434,0.5111589568078516,-0.25233545614979375,0.17206528730534829,0.08521870721481052,0.0590876859862008,0.07022789793777723,0.4305825288347499,1.0,-0.0866926317150597,0.1597123567492494,0.47545795730939144,0.16748174542007782,0.3810859237940202,0.596094296804186,0.12666234478740168,0.1804104804096806,0.3138613685373463,0.6044194470287407,0.2080589342679219,0.30614541256114125,0.27023710639694587,0.3230753178852458,0.15258544846073838,-0.08788399177524683,0.39524719299784034,0.05335831685739836,0.16513339056402787,-0.0552129916702645,0.3771439274600162,0.2624851804857715,0.22934872828927483,0.43651454376650833
Temporal_Sup_L,0.35895565575619104,-0.0352297917421423,0.06389221516934113,-0.41742300733238163,0.2898732398702748,0.3330306242759158,0.01105054354116116,-0.549815878979849,-0.5311898770939091,0.5891978214984996,-0.28637387529236363,0.1404601431907581,-0.05649143119119772,0.29573710495916483,-0.12831825817667636,-0.0866926317150597,1.0,0.3298097200629625,0.010067108124130003,0.45055754328927033,0.41107185155506765,-0.08778959417411722,0.6335730674553147,0.5735317592459759,-0.41680407309080836,-0.06523548559148948,0.35667853553710877,-0.46572316147552806,0.39908139174311913,-0.25645997849435265,-0.17933458939050925,0.24666565968235174,-0.5532949372603259,0.6587358952169935,0.20654279662039907,0.4570760130910216,-0.5472168261112225,0.1687034673663833,0.3846007223237266,0.30053184235407016
ACC_sup_R,0.18648764713390933,-0.2746931612172807,0.36843133139979195,0.09393871850716183,0.5037106290319524,0.6066972989581407,-0.08872639538384779,-0.07234351637274004,-0.17097371582873744,0.29488345903200014,-0.1059131571134992,0.48547980289592274,0.3493705730522543,0.45079486055770146,-0.10768186019536094,0.1597123567492494,0.3298097200629625,1.0,0.12326750850653444,0.44606492674255194,0.28601508725587027,0.26873599567062256,0.7219555361862963,0.33473280907492836,-0.20965425158890727,0.46898171059010707,0.6652974649515984,-0.00024211818566829602,0.2747257685358089,0.10989474455672144,-0.1416201088460085,0.4640336947404146,-0.14177344168594783,0.5223157371938226,0.5616731901686927,0.47139638801180306,-0.2377426667554547,0.4928237936579908,0.04402873714637468,0.6029688415802817
Thal_MDm_L,-0.1246255855152714,0.4175835519505577,0.47348608822804883,0.29020138153425457,0.20000481286157684,0.031433923165106466,0.08644456982190676,0.0603080052134065,0.38810176285539116,-0.15357862620128082,0.32797755525140404,-0.15039986849840872,0.5806774227491208,-0.2698822700198329,0.402257117913988,0.47545795730939144,0.010067108124130003,0.12326750850653444,1.0,-0.28419224470230126,0.550444381447805,0.4557088006269233,0.14270785672982367,-0.24704089623767125,0.32488337512461835,0.5142715954446002,0.29155530325279577,-0.1119860908001958,-0.13113125452996613,0.143113773418569,-0.0011855008128859967,0.07136079301405004,0.06105618972759109,0.20760441810516947,-0.22591739891619017,0.22445467268476998,0.29087901003280997,0.3331495532969873,0.4996674269116199,0.2789356277463794
Precentral_L,0.3107860558647886,-0.184937586172999,0.03763144846230279,0.13501140451415136,0.009890327977292997,0.4388277388179957,0.40164281176852434,0.11463600022196364,-0.0008005160691821643,0.37095938966305364,-0.039572099293125364,0.3516411718595074,-0.3576551244496074,0.6043445495692661,0.17564532987076578,0.16748174542007782,0.45055754328927033,0.44606492674255194,-0.28419224470230126,1.0,0.16290673281928275,-0.07652591459963441,0.4273050187550211,0.9371952238659944,-0.09198867217229897,0.18219041715895934,0.29950361466417547,0.23233000087178687,0.738856320541279,0.1842936278859774,0.16672472741721067,-0.03306227343928196,0.1256055166310052,0.1504653271134185,0.7391516975507714,0.019107709888731002,-0.04489964574397411,0.10270898336488778,-0.29675382032953274,0.33615688965381524
Raphe_D,0.25186185716729376,0.4878366191063103,0.19218525464385586,0.2576864435583301,0.011156187977459734,0.17891148326944878,0.3209852463892451,0.021860540463553447,0.24366598483815374,0.20718520595666076,0.3285632730796726,0.07924166657972281,0.26089788867866404,-0.0562544323718231,0.4648937357608324,0.3810859237940202,0.41107185155506765,0.28601508725587027,0.550444381447805,0.16290673281928275,1.0,0.23297627359151915,0.42000856387435453,0.23629988819378098,0.29254035661827643,0.4048119499357851,0.25379381096455245,-0.04765749310000647,0.21920945503338188,0.18623271852343556,0.06155584317395762,0.04930495392586231,0.04648803286966075,0.1887685337737815,0.20017804145423992,0.4085997144198949,0.24063924831443723,0.31457389395549884,0.38504160680182853,0.4720989943930479
Frontal_Inf_Orb_2_R,0.10742781635869204,-0.052617344553252766,0.6550357038994327,0.36608702603040916,0.3124966986279797,0.1586212354805144,-0.1504527554120716,0.11682682331470046,0.3864856483994365,-0.14276877327143642,-0.009370557593938853,0.11601918057338786,0.41738049496893903,-0.10767799034730692,0.12289393966385116,0.596094296804186,-0.08778959417411722,0.26873599567062256,0.4557088006269233,-0.07652591459963441,0.23297627359151915,1.0,0.2780869127860265,-0.1315894237845226,0.16907573648515464,0.70090403176256,0.34854671922262387,0.0800137794606775,-0.12577037292966622,-0.011150681342453738,0.03902866805683342,0.22614626895148787,0.09380879217047822,0.2502699247104118,-0.02898489328066696,0.3678138229425047,0.19066346600277492,0.29460480713684245,0.3807877920234213,0.41962147188557336
