,ParaHippocampal_L,N_Acc_L,Cerebellum_7b_L,Thal_AV_L,Temporal_Sup_L,Cingulate_Post_L,OFCant_L,Thal_MGN_L,Cerebellum_10_L,Frontal_Inf_Oper_R,Insula_R,Rolandic_Oper_L,Cuneus_R,Raphe_M,Thal_LP_L
ParaHippocampal_L,1.0,-0.07046702486746304,0.5142719483822554,0.15315358699671758,0.6587358952169935,0.3011154763097576,0.4841130778193562,0.3402291379524439,0.39997759232649915,0.0740490430310761,0.2875632873760904,0.5258534248715159,-0.6645134645072536,0.4642773230509005,-0.018733985318879418
N_Acc_L,-0.07046702486746304,1.0,0.13027974845348994,0.5208106551943751,0.009735268826318784,0.17470667561615028,-0.4699882055510093,-0.1789119513401675,0.6282923728952289,0.34770625035015845,0.18094185766668813,0.4298853217947282,0.2718726444551492,0.09579550027640388,0.6401865214242985
Cerebellum_7b_L,0.5142719483822554,0.13027974845348994,1.0,0.327749758614239,0.5920276903304577,0.10072562544302842,0.14455829277972737,0.02923426909743674,0.35326689521805665,0.023423125607815037,0.16892254078160204,0.5293557116129732,-0.40427019233886036,-0.14445406042489511,0.30730896571032473
Thal_AV_L,0.15315358699671758,0.5208106551943751,0.327749758614239,1.0,0.1404601431907581,0.24769835044900065,-0.034502552730626024,0.0741467533157766,0.4630738599252127,0.2222917562513218,0.3078390851403716,0.4601453987191933,0.06794560685056944,0.10984521142836597,0.3860316889604965
Temporal_Sup_L,0.6587358952169935,0.009735268826318784,0.5920276903304577,0.1404601431907581,1.0,0.3426055506600264,0.04816554780607606,-0.05649143119119772,0.3199280849794468,-0.04586869616366301,0.4008964143230626,0.7608455287672217,-0.5098232192480204,0.02000919608582714,0.31567643311349
Cingulate_Post_L,0.3011154763097576,0.17470667561615028,0.10072562544302842,0.24769835044900065,0.3426055506600264,1.0,-0.02321295734081003,0.3812798795084943,0.38954804520946684,0.5237639138107917,0.734694057035048,0.5657202300248961,0.05521248734793457,0.3359704929198651,0.13612335329816724
OFCant_L,0.4841130778193562,-0.4699882055510093,0.14455829277972737,-0.034502552730626024,0.04816554780607606,-0.02321295734081003,1.0,0.47178855982349754,0.03373946542473458,0.029815406045842856,0.0271276534191855,-0.11225912476513762,-0.3553939262748468,0.2017036854777282,-0.3032795215917846
Thal_MGN_L,0.3402291379524439,-0.1789119513401675,0.02923426909743674,0.0741467533157766,-0.05649143119119772,0.3812798795084943,0.47178855982349754,1.0,0.11721048903509296,0.048201441206876694,0.21641554891862788,0.06780479666533411,-0.28614282727816703,0.5000497426723058,-0.29518156623285263
Cerebellum_10_L,0.39997759232649915,0.6282923728952289,0.35326689521805665,0.4630738599252127,0.3199280849794468,0.38954804520946684,0.03373946542473458,0.11721048903509296,1.0,0.46450602578503636,0.35440502522250417,0.6521161080560507,-0.14662384800813855,0.1858108099988808,0.5852005338102038
Frontal_Inf_Oper_R,0.0740490430310761,0.34770625035015845,0.023423125607815037,0.2222917562513218,-0.04586869616366301,0.5237639138107917,0.029815406045842856,0.048201441206876694,0.46450602578503636,1.0,0.5405770721996002,0.25943307144354844,0.4132780711630746,0.2425917394257888,0.26546021862166724
Insula_R,0.2875632873760904,0.18094185766668813,0.16892254078160204,0.3078390851403716,0.4008964143230626,0.734694057035048,0.0271276534191855,0.21641554891862788,0.35440502522250417,0.5405770721996002,1.0,0.5752983543808248,0.11027527157610907,0.3179901183808604,0.2865175020031852
Rolandic_Oper_L,0.5258534248715159,0.4298853217947282,0.5293557116129732,0.4601453987191933,0.7608455287672217,0.5657202300248961,-0.11225912476513762,0.06780479666533411,0.6521161080560507,0.25943307144354844,0.5752983543808248,1.0,-0.32810278290912537,0.12136924851490255,0.5852657872578959
Cuneus_R,-0.6645134645072536,0.2718726444551492,-0.40427019233886036,0.06794560685056944,-0.5098232192480204,0.05521248734793457,-0.3553939262748468,-0.28614282727816703,-0.14662384800813855,0.4132780711630746,0.11027527157610907,-0.32810278290912537,1.0,-0.16549512917009968,0.08153025657302021
Raphe_M,0.4642773230509005,0.09579550027640388,-0.14445406042489511,0.10984521142836597,0.02000919608582714,0.3359704929198651,0.2017036854777282,0.5000497426723058,0.1858108099988808,0.2425917394257888,0.3179901183808604,0.12136924851490255,-0.16549512917009968,1.0,-0.16935976896005323
Thal_LP_L,-0.018733985318879418,0.6401865214242985,0.30730896571032473,0.3860316889604965,0.31567643311349,0.13612335329816724,-0.3032795215917846,-0.29518156623285263,0.5852005338102038,0.26546021862166724,0.2865175020031852,0.5852657872578959,0.08153025657302021,-0.16935976896005323,1.0
