,N_Acc_L,Temporal_Inf_R,OFCmed_L,Thal_MDm_R,Amygdala_L,Cingulate_Mid_R,Thal_AV_L,Thal_PuM_L,Insula_L,Cerebellum_9_L,Rectus_R,Cerebellum_7b_R,Frontal_Mid_2_L,Occipital_Inf_L,Fusiform_L,Postcentral_R,Thal_VPL_R,OFClat_R,LC_L,Thal_AV_R
N_Acc_L,1.0,0.020050477175677844,-0.09744056560009728,0.33994893562959205,-0.6681925702890079,0.4291183486324823,0.5208106551943751,0.34413437557111276,0.3193794161311149,-0.11728214783024161,0.32265973469826903,0.09606252838542785,0.569510713606455,-0.3191364695487311,0.20394976480844257,0.48475861210950116,0.34130871968895854,-0.015749393109520626,0.14992718797948512,0.38274733192874505
Temporal_Inf_R,0.020050477175677844,1.0,0.43454000849010066,0.43309455859387275,-0.12306339989214654,0.14003548062440282,-0.08719762023530774,0.42648814397172774,-0.30064022749907116,0.6613881425536484,0.46350935062133963,0.8922058680871192,-0.13449227891752685,-0.6058727070957471,-0.49766045988018376,-0.29505659109580634,-0.2806170873155351,0.42719582079236307,0.48989001695889395,-0.04302973770172577
OFCmed_L,-0.09744056560009728,0.43454000849010066,1.0,0.00771531797747791,0.16121164663885124,0.2031333861136578,0.15047156967913217,0.0559612823641297,-0.019114395496936352,0.17853545095521212,0.6951058050678813,0.4217583083351588,-0.19100238477506268,-0.23559423882424807,-0.06409832469924824,0.0561720504140841,-0.274842122561967,0.6450278713902375,0.46201328758622195,0.2643883069940912
Thal_MDm_R,0.33994893562959205,0.43309455859387275,0.00771531797747791,1.0,-0.09361643031663264,0.2880302312233117,0.0605995634891997,0.668128225749034,0.030089494773101095,0.6300024393898033,0.21783799956962108,0.5302981460284439,0.12313708513776729,-0.2699711226394822,-0.1983787946237328,0.04296908504464482,0.3781824834660619,-0.19881450021145447,0.39603082131834877,0.34505822346779924
Amygdala_L,-0.6681925702890079,-0.12306339989214654,0.16121164663885124,-0.09361643031663264,1.0,0.10209853633018441,-0.2925869916373472,-0.19002500856545895,0.22494953310234958,0.21999087334466386,-0.19638686150282417,-0.1848218849267088,-0.09528462481693115,0.4075195640939645,0.25443982673303633,-0.09518060042268084,0.06016027450869939,0.09246543894220197,0.1208113722366966,0.0128167957613457
Cingulate_Mid_R,0.4291183486324823,0.14003548062440282,0.2031333861136578,0.2880302312233117,0.10209853633018441,1.0,0.40503550411938505,0.14938088724993334,0.6932595195901294,0.21800107754950898,0.29122682730422567,0.13097621584269675,0.7026527837723349,-0.26520244980176,0.49479364762274186,0.5901393445013522,0.3386299796393422,0.24600666693979076,0.40537872925313667,0.48386575455920094
Thal_AV_L,0.5208106551943751,-0.08719762023530774,0.15047156967913217,0.0605995634891997,-0.2925869916373472,0.40503550411938505,1.0,-0.0361632418812026,0.3717392642584772,-0.0759249230449401,0.4210301464348734,-0.02310488558503671,0.44713830809756555,-0.36436505295212224,0.19301745750308666,0.285846752945985,0.2636219174854991,0.16682818459389148,0.0903629237129337,0.6123322294615177
Thal_PuM_L,0.34413437557111276,0.42648814397172774,0.0559612823641297,0.668128225749034,-0.19002500856545895,0.14938088724993334,-0.0361632418812026,1.0,0.026211631854214126,0.5523834249068932,0.10581694517640204,0.594373274164665,0.035228511484697585,-0.2366078627016738,-0.24947363604128503,0.2255049290930853,0.43444876795340254,-0.2456587711425006,0.33683691934805604,0.021105409234278522
Insula_L,0.3193794161311149,-0.30064022749907116,-0.019114395496936352,0.030089494773101095,0.22494953310234958,0.6932595195901294,0.3717392642584772,0.026211631854214126,1.0,-0.04770138865077576,0.017081927535597,-0.28428319487615034,0.7171005487146592,0.11414488608818316,0.6669033893653139,0.4847473101461898,0.48269049107966616,0.11993795935714281,0.2394424660184949,0.46750472867180476
Cerebellum_9_L,-0.11728214783024161,0.6613881425536484,0.17853545095521212,0.6300024393898033,0.21999087334466386,0.21800107754950898,-0.0759249230449401,0.5523834249068932,-0.04770138865077576,1.0,0.1322512734452123,0.7642512877793148,-0.028085618461674972,-0.30379320555098216,-0.40735076894844247,-0.20809639888685907,0.17283285133984383,-0.10391779359429772,0.4173091520610177,0.05530799454345758
