,ParaHippocampal_R,Thal_MDm_R,Temporal_Inf_R,Amygdala_R,Occipital_Mid_R,Frontal_Inf_Orb_2_L,Postcentral_R,Insula_L,ACC_sup_L,Occipital_Sup_L,Amygdala_L,Frontal_Mid_2_L,Occipital_Sup_R,ACC_sup_R,Parietal_Sup_L,Precuneus_R,Precentral_L,Pallidum_R,Thal_VL_R,Occipital_Inf_R,Cerebellum_6_R,OFClat_R,Paracentral_Lobule_L,Thal_MGN_L,Cerebellum_3_L,Cerebellum_8_L,Vermis_9,OFCmed_R,Frontal_Sup_2_R,Lingual_L
ParaHippocampal_R,1.0,-0.10863916048686979,-0.030572780274716216,0.2956736798669009,0.009000949251798243,0.5222323220430467,0.5174655933860365,0.6673309653022127,0.48807267566964246,-0.12333344880460316,0.22526491889700795,0.5176251399295372,-0.03198272947074372,0.7403726652115873,-0.012857750647200327,0.4594410886116965,0.3040514734120608,0.695474495243747,0.23277909426072543,-0.0143299008981292,0.13029921221621285,0.4233203780144563,0.3608231003934328,0.39261975335888105,0.5977324257553741,-0.07878990673810925,-0.02582786046239341,0.3342026826037839,0.7113760539621572,0.13772363023300196
Thal_MDm_R,-0.10863916048686979,1.0,0.43309455859387275,0.27216547498558263,0.3494487144697731,-0.34135682575814275,0.04296908504464482,0.030089494773101095,0.05813934371785113,0.34193236449653486,-0.09361643031663264,0.12313708513776729,0.47781764755696343,-0.038628290393397595,0.3654321353422043,0.3554429860824214,0.17657520542661365,0.053003635092510305,0.7499477617549026,0.3576230324987769,0.6056353304503155,-0.19881450021145447,0.16181120228507687,-0.1106133502179418,0.2706148889747393,0.41851588413188034,0.7284026287485301,-0.013013059572909309,0.15241483548480184,0.5275064460253295
Temporal_Inf_R,-0.030572780274716216,0.43309455859387275,1.0,0.5111589568078516,0.7759505564951938,-0.5268027852685506,-0.29505659109580634,-0.30064022749907116,-0.14735823766180656,0.5500335468557638,-0.12306339989214654,-0.13449227891752685,0.7616441149364999,-0.17097371582873744,0.5547988926382781,-0.029193310313212522,-0.0008005160691821643,0.28007398547685985,0.24726168058692685,0.7720335100782861,0.8096800954259485,0.42719582079236307,-0.2196757757018153,0.04785004670679948,0.1860647642360577,0.2755690584119722,0.7446107264807986,0.5519041295691085,-0.1359934374584833,0.6065142580265405
Amygdala_R,0.2956736798669009,0.27216547498558263,0.5111589568078516,1.0,0.2933812267860878,-0.0013469052343666364,0.1085714153981865,0.12666234478740168,0.08334959988106316,0.22670388869561303,0.22934872828927483,0.1557969357349022,0.39524719299784034,0.1597123567492494,0.30614541256114125,0.3987704511821978,0.16748174542007782,0.28323257799212037,0.434217989179027,0.2868834179959434,0.54947719505737,0.5434428629690665,0.12171118318559854,0.0590876859862008,0.45766746659607327,-0.10830542974976971,0.4305825288347499,0.49318252441765265,0.375770820471024,0.3227857932011757
Occipital_Mid_R,0.009000949251798243,0.3494487144697731,0.7759505564951938,0.2933812267860878,1.0,-0.48457531880599114,-0.10883226553049125,-0.3954691392826926,-0.019818218300164323,0.7641292855369736,-0.3754608181512369,-0.13187062608698488,0.895975182448864,-0.10455180576641723,0.7665434223765747,0.07022272659423405,0.06942682119585646,0.2800468036919515,0.1255445209492096,0.9661191439867115,0.6578716353754538,0.22402066981325933,-0.05039392583030506,-0.12609886159319306,0.10993100807009815,0.1300651038139616,0.5940149748572157,0.5235121034069259,-0.13931921546512,0.4348395488317441
Frontal_Inf_Orb_2_L,0.5222323220430467,-0.34135682575814275,-0.5268027852685506,-0.0013469052343666364,-0.48457531880599114,1.0,0.14720577695411535,0.5671826657808287,0.1506625974382402,-0.4775068001082074,0.4136866755066783,0.2719321981796568,-0.5754709018745329,0.5158502743797009,-0.45637643446920556,0.0666561026873599,-0.013588766290257825,0.39715987988061996,0.004543842341993597,-0.48160811209353677,-0.48606560289724043,0.24351811460730236,0.0321367956770748,0.4359519180545016,0.05167440399849772,-0.16287917301390165,-0.48822897478976923,0.1434517706728383,0.4036924575746549,-0.3304298139962862
Postcentral_R,0.5174655933860365,0.04296908504464482,-0.29505659109580634,0.1085714153981865,-0.10883226553049125,0.14720577695411535,1.0,0.4847473101461898,0.6152659185132392,0.06348730872415657,-0.09518060042268084,0.3612212095552154,0.08528150695055713,0.43203962970451226,0.15542445478747874,0.6783777135512703,0.2861249544806085,0.11433017751289784,0.18344150211134708,-0.11133828096864667,0.016077771727826765,-0.08055877442822422,0.7240420539396248,-0.09542065132669199,0.5157318068316641,-0.24548524298103988,-0.03026167727309211,-0.17163492308470962,0.7137416998066273,-0.0793572998632995
Insula_L,0.6673309653022127,0.030089494773101095,-0.30064022749907116,0.12666234478740168,-0.3954691392826926,0.5671826657808287,0.4847473101461898,1.0,0.6161906771499004,-0.29855423488668403,0.22494953310234958,0.7171005487146592,-0.3376772453756155,0.7219555361862963,-0.2063043176942145,0.4869496701050051,0.4273050187550211,0.41986709134594086,0.4287024347840963,-0.35849272723711556,-0.06835806503745534,0.11993795935714281,0.48755539146494514,0.29265962984596694,0.4282278607826532,-0.04248029955916859,-0.021047666376694016,-0.04668181336978541,0.7277717044312726,0.020961221242369057
ACC_sup_L,0.48807267566964246,0.05813934371785113,-0.14735823766180656,0.08334959988106316,-0.019818218300164323,0.1506625974382402,0.6152659185132392,0.6161906771499004,1.0,0.052076566468893616,-0.41691800557827696,0.6650606180546632,0.059253504727453166,0.7185240764776604,0.23172175348571494,0.5278650179115678,0.5533845811901736,0.25644344101127975,0.30493608909847053,0.020650919739571887,-0.04432699197762461,0.08372752524010524,0.6913542811370489,0.04155185548743573,0.2903439966201815,-0.3589162983808842,-0.011444063133360003,-0.14845436499806125,0.46877811635122946,-0.18967953827135733
Occipital_Sup_L,-0.12333344880460316,0.34193236449653486,0.5500335468557638,0.22670388869561303,0.7641292855369736,-0.4775068001082074,0.06348730872415657,-0.29855423488668403,0.052076566468893616,1.0,-0.3312685718491033,-0.12721903441209492,0.8046239869098626,-0.12207752691790369,0.7443278940766542,0.2309083909767324,0.12014439800486532,0.07980079624712313,0.21166276797471587,0.7816949626926994,0.5155532599305399,0.04779194096055402,0.1569969983399379,-0.3067324765165672,0.04902228024882601,0.007188732057870184,0.511170954997632,0.29299906399204345,-0.010622297322848298,0.3348477758341859
