,Calcarine_L,Thal_MDl_R,Precentral_R,Postcentral_R,Cerebellum_9_R,Thal_PuA_R,OFCant_L,Fusiform_R,Temporal_Inf_L,Insula_L,Thal_LGN_R,N_Acc_L,LC_L,ACC_sub_L,Occipital_Sup_L,Cerebellum_Crus1_R,Heschl_R,Amygdala_L,VTA_L,Hippocampus_R,Supp_Motor_Area_R,Vermis_7,OFCmed_R,Amygdala_R,Cuneus_L,Vermis_4_5,SN_pc_R,Thal_VA_L,Thal_PuI_R,Rectus_L,Frontal_Inf_Tri_L,Cerebellum_Crus2_R,Red_N_L,Occipital_Inf_L,Frontal_Sup_Medial_L,Frontal_Med_Orb_L,OFCmed_L,Temporal_Pole_Mid_R,Frontal_Med_Orb_R,Cerebellum_9_L,Vermis_8,Thal_VPL_L,Cerebellum_3_R,Cerebellum_6_R,Olfactory_L,Vermis_1_2,N_Acc_R,Thal_IL_R,ACC_pre_R,Thal_LP_L,OFCpost_R,Thal_PuL_R,Cingulate_Post_L,Precuneus_L,Vermis_9,Temporal_Pole_Sup_L,Frontal_Inf_Oper_L,Parietal_Inf_R,Temporal_Sup_L,VTA_R
Thal_LGN_R,-0.10641632307363086,-0.6160600754805595,0.6862287051528525,0.5792191958922119,-0.5082769268789645,0.48800710097878913,0.31020125020262146,0.038747981285002446,0.14054523024046187,0.5321224473713999,1.0,0.16948147380162948,-0.044152558593664314,0.3480555887957734,-0.3522731052817113,-0.5574363938793994,0.5566526613420516,0.17448355047702857,-0.20526319985576152,0.3381547814277343,0.4720504261347591,-0.43161442035052544,0.01355262515406959,0.018890793172658862,-0.34620572681265255,0.38167046402691757,0.3129121373670122,0.2695487910214145,0.4703511803908466,0.1630246278810914,0.5132482415798286,-0.4332077001039563,0.2030136648734064,0.15429576468740896,0.3175509929675155,-0.1927706314958679,0.04018955345742203,-0.40886671905024546,-0.20157774269067405,-0.46661929681295145,-0.46012276993543827,0.4114499852525393,0.056082382887109594,-0.2765466832380032,0.48073337490935,0.08384433484853598,-0.33720335024375614,0.24347387617196925,0.24725355667662088,0.11269364689352529,0.2734619120278825,0.5857681978266644,0.19014648841776696,0.24390947716216207,-0.42094956951590584,0.34267456004452546,0.3674328628209295,0.3319842648962644,0.2656706816710948,-0.11072924206266363
N_Acc_L,0.15310998381239282,-0.1726483311691656,0.4016271601420958,0.48475861210950116,0.04356122585231272,0.47535154221826587,-0.4699882055510093,0.074648889330764,-0.48829189467390494,0.3193794161311149,0.16948147380162948,1.0,0.14992718797948512,-0.49392263544849696,0.1814760745192193,0.07042151661579096,0.333321480781193,-0.6681925702890079,-0.15888457401720862,0.08954467830605026,0.7028036590846614,-0.06438138676382266,-0.19038556264987438,0.1138924860149083,0.20785782720568982,0.1416674493869956,-0.18554875313755348,0.32534046485681367,0.27495743823322694,0.16725646176906514,-0.19511439572650047,0.06392860634301163,0.22997082043992256,-0.3191364695487311,-0.48365562659451455,-0.4961183845103965,-0.09744056560009728,-0.12358262101764544,-0.5605803824817914,-0.11728214783024161,-0.12804321410689154,0.3219306855345394,0.46913771052680914,0.11588764731734347,0.12942279158340952,0.24314442994150573,0.38830003338259184,0.49033585785219,-0.5926398149381334,0.6401865214242985,-0.1668257580028583,0.02052908886240993,0.17470667561615028,0.5197949166476771,0.1579624728528623,-0.5621258134107533,0.17251131806847844,0.3650211349983882,0.009735268826318784,-0.47422082732446813
LC_L,0.1641908600443161,0.28958350484699075,-0.08789740314900307,0.09991694815327933,0.48537201619655607,0.1328462158625948,0.15673412809575943,0.5307685974818083,0.04939032225129794,0.2394424660184949,-0.044152558593664314,0.14992718797948512,1.0,0.1002165546742948,0.25363463387087953,0.4522023091862344,0.15117868603192286,0.1208113722366966,0.2537945207976993,0.5205691790311308,0.1914292272024888,0.41267414003672626,0.39849497927187155,0.5115017652995756,0.2863426040641207,0.32174778876786614,0.0632557031498242,0.12427102326127262,0.1198809089795317,0.4416439087302143,0.01231210251039254,0.4925065395118399,-0.17795410718917953,-0.24063178645908562,0.06929805500777247,0.32826763595645825,0.46201328758622195,0.45712964375386084,0.31778845553289325,0.4173091520610177,0.33656642173050466,0.01074740896271874,0.4426783995931095,0.4781845711970498,0.3107566895717009,0.3549981057128011,0.21080792698667633,-0.009355043896607945,0.21832408057937158,0.10787613021152628,0.32206837947541533,-0.0029509412488090974,0.44847405083741904,0.11946573146765634,0.468531672064383,0.003523668507672554,0.15363631307414452,-0.12249898227209496,-0.1419359286532728,0.2932406443861449
ACC_sub_L,-0.4779975024166047,-0.2966404619742501,-0.024978188259618287,-0.09991123397053445,-0.36048081183544,0.02573371049640687,0.8369749213492413,-0.03986116724563399,0.4418968617750952,0.1955416003252086,0.3480555887957734,-0.49392263544849696,0.1002165546742948,1.0,-0.38305715355034453,-0.376891996812923,0.05739461303665759,0.5773666197050349,-0.06326459932638345,0.32042101003123546,-0.29802521170214347,-0.3504200512554164,0.4020579502483539,0.1523552017561765,-0.5769486135452436,0.011241816450570107,0.4020855335545457,0.08359734587617829,-0.13739823940545562,0.38646989681042326,0.4927910770106507,-0.3354287777670202,-0.11719143465866898,0.3354769923359432,0.5067520712104082,0.28127803276471725,0.47798575883768535,0.025346555264427462,0.4252376544513257,-0.3241952859567584,-0.31358695754882726,0.1838250897547421,-0.47491699536363907,-0.38362151883227247,0.5665491935845128,-0.1849093824315775,-0.5581641647450597,-0.10199366245353766,0.7659090689900566,-0.43420730577219313,0.627811446387818,0.43555810205563156,0.08327350854342883,-0.41538750141147457,-0.4435258279428,0.7659161545605779,0.01812867959857333,-0.22866156964688927,0.07510625016795419,0.4070909207032127
Occipital_Sup_L,0.3729399110197909,0.24629592716003781,-0.15770257286128953,0.06348730872415657,0.47450913002691003,-0.18561191749660383,-0.2643659007693323,0.41490486434371765,-0.39634839998124666,-0.29855423488668403,-0.3522731052817113,0.1814760745192193,0.25363463387087953,-0.38305715355034453,1.0,0.6332457250579069,0.03764031863108423,-0.3312685718491033,-0.10141228223995888,0.10502609518776874,0.10108495928661926,0.487694575462491,0.29299906399204345,0.22670388869561303,0.6720463800310904,0.12334632738667689,-0.29380139172756853,-0.24824214893087698,0.02283821278899001,0.34740159020239864,-0.5083060323306382,0.68181546423793,-0.23027993109751518,-0.5653117226276299,-0.36541899554076107,0.3001648138422235,0.3320596562770041,0.428843469750687,0.36470400328823205,0.3252908047305266,0.4478783509779219,-0.40865388012913323,0.3764766235814065,0.5155532599305399,-0.2427379534957832,-0.0037054904057195106,0.4644976599358779,-0.1854278368539158,-0.23718214037805865,0.09460011384578525,-0.07180343279815646,-0.5170821822784125,-0.003438237280824131,0.22490193576608467,0.511170954997632,-0.46255216936217664,-0.3313958723587122,0.0359007480811183,-0.428570569417209,0.10692476426060472
Cerebellum_Crus1_R,0.29440477125587233,0.5481087754325698,-0.5206300567942744,-0.27641196451144656,0.8807601749526475,-0.3368340160601585,-0.30928747583735644,0.6415181852009519,-0.2596156681387464,-0.3679497128538072,-0.5574363938793994,0.07042151661579096,0.4522023091862344,-0.376891996812923,0.6332457250579069,1.0,-0.20102864314409027,-0.22231882008900253,0.15049127014079006,0.3566709529674888,-0.10987539243917217,0.8725510079504837,0.4330000783388955,0.3771439274600162,0.6082853781671417,0.2466318827898729,-0.22995532778543512,-0.34340630483461576,-0.12457231771991667,0.3308731888633062,-0.6289027288530562,0.8557478880384607,-0.2999559452055664,-0.6020116259658304,-0.4237047391464201,0.4126194642439398,0.36320669063617256,0.7790297035911302,0.45825288540390763,0.7315251817319718,0.7543739073276754,-0.5791283705265958,0.33708426402622155,0.7962832195144326,-0.25850279576054375,0.08413084066153881,0.4616658640411555,-0.362852414572385,-0.1192041327816753,-0.08152798688511664,0.04505892192006574,-0.5136085643792406,0.1881460466770992,-0.07463448944524306,0.7969001882181157,-0.4917198937590443,-0.19839425202772173,-0.43264159551978465,-0.5472168261112225,0.34348896513223454
Heschl_R,0.21902367813775012,-0.296348915993671,0.5994592002362926,0.6456852921698913,-0.07340727348935971,0.565331516414786,0.07232610531251438,0.2954492749191833,0.12431438051756201,0.6332793143964538,0.5566526613420516,0.333321480781193,0.15117868603192286,0.05739461303665759,0.03764031863108423,-0.20102864314409027,1.0,0.04736217702995762,-0.03353590412861197,0.39571705016342207,0.6935550624081194,-0.15276292195248117,0.130821769022582,0.13012566029468106,0.16592674989841358,0.5446748096053867,0.3167895770088472,0.44606401205838175,0.5313968083930213,0.2967031084892475,0.412059099818744,-0.0961744618605267,0.34816549960248566,-0.12756286165170394,0.19447830278297906,-0.17944969034915748,0.19224840480279987,-0.22358701192770997,-0.14250267123783555,-0.08546864924077159,-0.07669551363842882,0.3458866756654497,0.480435825175965,0.13581001669791687,0.34807374006284003,0.23326529639657734,0.0637981565171535,0.3027928404259904,0.0934332760917961,0.31566931634002404,0.18106854375625794,0.211836789659221,0.4904185890561316,0.498162506890534,0.061147192608691864,0.14261260851205199,0.4728309665306002,0.3646789878949499,0.3330306242759158,0.027131585075809428
Amygdala_L,0.054224068958750246,0.18279500253010744,-0.04479798147203747,-0.09518060042268084,0.013468001110474016,-0.0025244352892650496,0.6055037539228868,0.16360837463138816,0.8032100013803182,0.22494953310234958,0.17448355047702857,-0.6681925702890079,0.1208113722366966,0.5773666197050349,-0.3312685718491033,-0.22231882008900253,0.04736217702995762,1.0,0.4889043058983149,0.24385742707381283,-0.24746462301412392,0.01617833626204926,0.21480483146734194,0.22934872828927483,-0.13578855723742642,0.20083335046623238,0.46678073533008635,0.09831548929470313,0.10264581815732331,-0.019141814086405702,0.6632918394440529,-0.13535861752369485,0.0576165766537847,0.4075195640939645,0.8187217315858409,0.41505660091840174,0.16121164663885124,0.054623301823612844,0.40246032136348286,0.21999087334466386,0.08395094859230413,0.07842575301170523,-0.1379834579005576,0.030126048289884213,0.3156046712643915,0.14163586843599132,-0.385792520813444,-0.012578610295494522,0.7691119763749421,-0.34598756685885074,0.406880402503396,0.2511241106245423,0.22714054964586058,-0.1169595212112398,-0.013803760668886647,0.7922988714583555,0.29237265797639544,-0.10416854798710862,0.3846007223237266,0.4077794204674805
VTA_L,0.3452811840443184,0.47129994987705115,-0.14846251030378987,-0.09654159130468261,0.43575009354463384,0.03179788366176741,0.12873581127386927,0.2071146969927621,0.5244749127933327,0.20497263217496703,-0.20526319985576152,-0.15888457401720862,0.2537945207976993,-0.06326459932638345,-0.10141228223995888,0.15049127014079006,-0.03353590412861197,0.4889043058983149,1.0,0.17116090648478702,0.057237840061883996,0.2929671773389369,0.003860825713744559,0.39045978857902097,0.23976093532720166,0.27584134173173674,0.2698783335656863,0.32464483112107373,0.10064221877376966,-0.15710378678264503,0.2947535441744894,0.1067858955719727,0.06421624494484383,0.03415900079629622,0.42005716759174255,0.3220658261325085,-0.09319463339063848,0.25037959104117463,0.10278413251879227,0.5667075795282817,0.27318895728914805,0.09752365715932607,0.24328815667878834,0.35164610171704713,0.12396900367292034,0.6377290420704748,-0.008881758627799892,0.23124495030612108,0.2092322187427888,0.08443339003787348,0.10106316546592789,-0.04991866805682876,0.3052540568272323,0.12858962688912468,0.37308350055781764,0.21520923439054432,0.3606266811532741,-0.1074489432612501,0.3832062697638457,0.1119414090460128
Hippocampus_R,0.051525521451862594,-0.006615139083069553,-0.024031986891736693,0.11760094795584054,0.3889428172316131,0.2704378372499247,0.3048003301871018,0.7536246060559387,0.15094065862199155,0.35242260700287337,0.3381547814277343,0.08954467830605026,0.5205691790311308,0.32042101003123546,0.10502609518776874,0.3566709529674888,0.39571705016342207,0.24385742707381283,0.17116090648478702,1.0,0.2851452725046211,0.3589748889582751,0.6216215437634699,0.6044194470287407,0.1679882567526797,0.7655311479164186,0.34993476958995245,0.1335771333995981,0.2911583391219141,0.6246908593464976,0.1501613658527617,0.24500142707018605,-0.0854015093583632,-0.3536490421735335,0.1853879660135252,0.336332944383789,0.5455112274437948,0.534082123530559,0.39930577551655394,0.2663119597657862,0.23021129891714778,0.011072521442339545,0.2334532480615974,0.47970681980337276,0.4763194623606746,0.268661020366298,-0.08973694515383493,-0.08809233275242445,0.46941764515184436,-0.11619907100318022,0.6604312946287161,0.22885021559851024,0.6236490801692602,0.07172503042359055,0.3140942858099004,0.15674004397972516,0.4016843553116196,-0.3410685203587763,-0.06523548559148948,0.5141284507549575
