,Fusiform_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Putamen_R,SupraMarginal_L,Calcarine_L,Insula_L,Temporal_Inf_R,Cerebellum_9_R,Putamen_L,Thal_PuL_R,Thal_AV_L,Thal_LGN_R,ACC_pre_R,Amygdala_R,ParaHippocampal_L,Cerebellum_Crus2_R,Rolandic_Oper_L,LC_L,Thal_MDl_L,Olfactory_R,Precuneus_R,SN_pr_L,Red_N_L,Cerebellum_8_R,Thal_PuA_L,Hippocampus_R,Thal_MDl_R,Occipital_Inf_L,OFCant_L,Postcentral_L,Cerebellum_Crus2_L,OFCmed_R,Vermis_4_5,OFClat_R
Fusiform_L,1.0,-0.47205318133373675,0.1761536890655897,0.42537717656119833,0.43724710512545656,0.0931571399925584,0.6669033893653139,-0.49766045988018376,-0.414727902568337,0.4831533009480106,0.4492356731483653,0.19301745750308666,0.5954470888537032,0.24767318118336448,0.09038987976444851,0.8747138299804292,-0.5608779916572918,0.6344186530048083,-0.07448052736016807,0.18705962022507866,0.36683501042030664,0.479793119050506,0.2257771616703414,0.45385411981250207,-0.5274131740612543,0.1960768896914074,0.22542427327622847,-0.3540130465773287,0.3286248596952594,0.27168327571531103,0.4762418469826141,-0.43973675869977846,-0.1526199767313444,0.3341866169535716,0.1317475382471276
Temporal_Mid_R,-0.47205318133373675,1.0,-0.3239109610328165,-0.04282813046954753,-0.20670269071095887,0.4045099283736249,-0.24422381549567374,0.9521162832098405,0.8325488277475547,0.006480119390334458,-0.4561711807724057,-0.028380898927725044,-0.3865596153195319,-0.053284835211230556,0.543988640774333,-0.5645867271520292,0.8661665909682638,-0.2780976796611043,0.5097154297549032,0.05838921705767507,-0.14442788572120235,0.15572770259251942,-0.14983439643084082,-0.3259613558649995,0.9021603954140184,0.044522539263051844,0.4983746622585809,0.4442200394032642,-0.6294890815370825,-0.21312043972865272,-0.015197611918975682,0.5197886330342454,0.4925790265655395,0.38238550037463986,0.3455034508388662
Temporal_Pole_Mid_L,0.1761536890655897,-0.3239109610328165,1.0,-0.13234707532060136,0.3845648528502912,0.2708370128378579,0.17688743399529508,-0.27801061431615665,0.0018292280252501715,0.24025243540636057,0.056597845862638926,-0.3292407493032517,-0.03771030264095791,0.37342505434245904,-0.10579647486406288,0.3085725545898741,-0.1532907720664144,0.17250731733609873,-0.11849774352289502,0.06252083543816368,-0.04584238819467226,-0.010660996472882557,0.20206904915330925,0.2874569981606736,-0.13382780419373416,0.02660466663702174,-0.15608936789070046,0.27678209242525176,0.4667126431765888,0.11432272580959221,0.03655986578951331,0.1947142740583628,-0.12467219607990217,0.009468772897477017,-0.4094093769001453
Putamen_R,0.42537717656119833,-0.04282813046954753,-0.13234707532060136,1.0,0.11316640042527797,-0.054595357070349376,0.6904803515746918,-0.13309932027552554,-0.00948321408154129,0.5500717448812389,0.35124435423899164,0.6321867163527842,0.507944115384906,0.05307744340261801,0.12153091290881855,0.42426754963357516,-0.11395789445264219,0.6359951573938174,0.3236653753124529,0.3407921970642632,0.4443437997115209,0.4882588895251191,0.2384731560893725,0.30596913613363275,-0.11129422866227645,0.4729473823615692,0.4285553418334668,-0.21125009001400272,-0.16738961573690653,0.0749525468190057,0.28815371356636443,-0.2283609647684358,0.22727203662333967,0.3904263524042187,0.1774406672595445
SupraMarginal_L,0.43724710512545656,-0.20670269071095887,0.3845648528502912,0.11316640042527797,1.0,0.5484995037434415,0.31577859938722047,-0.23162314108237503,0.07462352078060418,0.15082845137893902,-0.21212898882763556,0.08029215914581755,-0.07540645329274369,-0.16015189621916567,0.0007649595613775786,0.24211966139887384,-0.13006843215485153,0.5419725540163608,-0.07840451617512534,-0.25558609668972404,-0.13236123734057884,0.48922921125087443,0.27605295246688194,0.4768550077543398,-0.01944746484887477,-0.18221818645705282,-0.19146514394350667,0.121259636995884,0.11112845453386941,-0.22889030381967343,0.8066806252138929,0.035410963869091795,-0.2157801111145554,0.08077454105199207,-0.35205989551232636
Calcarine_L,0.0931571399925584,0.4045099283736249,0.2708370128378579,-0.054595357070349376,0.5484995037434415,1.0,0.05299829262514839,0.2726585500261934,0.4602680926426684,0.1420604709129629,-0.44398896345429,-0.10665915159032048,-0.10641632307363086,-0.08621660618049012,0.36735433536624945,-0.16216017121440895,0.46467278704310483,0.14467062928108249,0.1641908600443161,-0.38753011808271837,-0.29909483695888195,0.6455458222025988,0.2267491247596405,0.18363854050424663,0.438323652984634,-0.21286678680607493,0.051525521451862594,0.355672792861256,-0.13053923160229458,-0.26355299332664867,0.5752201305581733,0.4544824929030695,0.0010557016812789482,0.3495704136534526,-0.2426610078986434
Insula_L,0.6669033893653139,-0.24422381549567374,0.17688743399529508,0.6904803515746918,0.31577859938722047,0.05299829262514839,1.0,-0.30064022749907116,-0.10574109364559554,0.7797442405710041,0.5038734538506815,0.3717392642584772,0.5321224473713999,0.1835664927989467,0.12666234478740168,0.6104565016041598,-0.31473821568660204,0.8390391377850029,0.2394424660184949,0.3180885997688018,0.44542695799548443,0.4869496701050051,0.28409325028174987,0.4944395043613514,-0.2503845364303537,0.5692743567605578,0.35242260700287337,-0.22015978646112522,0.11414488608818316,0.1422384802995922,0.4080338325237887,-0.21432356837156516,-0.04668181336978541,0.4192843447073894,0.11993795935714281
Temporal_Inf_R,-0.49766045988018376,0.9521162832098405,-0.27801061431615665,-0.13309932027552554,-0.23162314108237503,0.2726585500261934,-0.30064022749907116,1.0,0.8349656730249682,-0.05946954158430433,-0.4026813113065939,-0.08719762023530774,-0.43724798313163354,0.047924672899783534,0.5111589568078516,-0.5333675413234535,0.7995686300995956,-0.3128141168910214,0.48989001695889395,0.14691880405600358,-0.0715956912169696,-0.029193310313212522,-0.16834054747886282,-0.37293505203200095,0.9010775384079082,0.026490673408243848,0.5405145885863541,0.4619862017911525,-0.6058727070957471,-0.1503761809332276,-0.09147932522608339,0.4796154252810902,0.5519041295691085,0.3515800435981998,0.42719582079236307
Cerebellum_9_R,-0.414727902568337,0.8325488277475547,0.0018292280252501715,-0.00948321408154129,0.07462352078060418,0.4602680926426684,-0.10574109364559554,0.8349656730249682,1.0,0.11306290420633588,-0.49350802001957317,-0.000994341547683743,-0.5082769268789645,-0.0010387108265358478,0.4486957234984778,-0.4517536495602496,0.7771908228870329,-0.043640624678624916,0.48537201619655607,0.1534979028732911,-0.12380973746021273,0.08711526952520181,0.044363777353394,-0.08814814103437697,0.9676646521161812,0.07916182059652352,0.3889428172316131,0.6830954567242605,-0.49549361580297013,-0.27225820632438075,0.06337093897438521,0.599268766350795,0.42858445524501654,0.3566180467103547,0.0995669137337014
Putamen_L,0.4831533009480106,0.006480119390334458,0.24025243540636057,0.5500717448812389,0.15082845137893902,0.1420604709129629,0.7797442405710041,-0.05946954158430433,0.11306290420633588,1.0,0.3659387633721208,0.12303072194289119,0.3130807377291866,0.31582692865357637,0.33166891348623123,0.48876282937391813,-0.09727293508319955,0.5590801823130771,0.3819527322421405,0.4992351986642092,0.3203221926433103,0.4157337582769986,0.1635963706575506,0.2689618086557355,-0.03210054029129209,0.6701420990963136,0.4529204921040845,0.08423074066019286,0.09079980570632035,0.2883305046020323,0.1690994354255378,0.023531168072351987,0.0548807584637272,0.43404410684806793,0.16961596345146657
