,Cerebellum_7b_R,Thal_PuL_L,Insula_R,Occipital_Inf_L,OFCpost_R,Thal_PuA_L,Cerebellum_4_5_R,Thal_MGN_L,Parietal_Inf_L,ACC_sub_R,Thal_MGN_R,Heschl_L,Putamen_R,Temporal_Mid_L,Cerebellum_3_R,Frontal_Med_Orb_R,Cuneus_L,Temporal_Mid_R,Precentral_L,Caudate_L,Calcarine_L,Putamen_L,Cerebellum_9_L,Parietal_Sup_L,OFCmed_L,Thal_LGN_L,Thal_LGN_R,Occipital_Mid_L,ParaHippocampal_R,Amygdala_R,Pallidum_R,SN_pc_R,Frontal_Med_Orb_L,Frontal_Inf_Oper_L,Angular_R,Cerebellum_7b_L,Cingulate_Post_L,Thal_MDl_R,Olfactory_L,Cerebellum_10_R,SupraMarginal_R,Thal_PuM_L,Thal_PuI_R,Rolandic_Oper_L,ACC_sup_R
Cerebellum_7b_R,1.0,0.5695975735119844,0.5487647310398654,-0.6947035930542834,0.48758210398022966,0.6622679440023799,0.871894106353834,0.6057996746980933,-0.8110443774018469,-0.09430335132157926,0.5668664529483292,0.5494042459578393,0.6705378042078197,-0.042514306957977935,0.9863203466971644,0.47347761635892777,-0.5941174209974182,0.7038389083828199,-0.25595594572273067,-0.08355321146066726,0.9332108381849512,0.2074456949386212,0.661490619083085,-0.8125006181619565,0.3539860704882121,0.5376333428023358,0.9555484290424492,-0.8075465084658661,0.8895062964363595,0.6695681490068743,0.9901718241113426,0.5874052101100123,0.07611271307563182,-0.05393037000315976,-0.37532603815178955,0.7635784198206783,0.7059944963577593,0.9144757634524897,0.4419125425134005,0.6810510192815259,0.3158654512830936,0.6461061773308766,0.9406688520763087,0.5580487008827918,-0.41867408650240756
Thal_PuL_L,0.5695975735119844,1.0,-0.3490045637729369,-0.7375154515046944,-0.42756839401619806,0.9827886225105806,0.8614138911165827,0.9611205586308484,-0.18438723427240122,-0.11032650489582833,-0.2864883546751334,0.9482706567838867,-0.20311620962354254,0.5403825286388158,0.4411189696905368,-0.10820395055295162,-0.8904028177035412,-0.1447706597576267,0.5811977054160512,-0.3790884389321802,0.3693931863772338,-0.3771752559307824,0.9710733190447028,-0.009168428378995544,-0.5231836056432536,0.9398300049627016,0.40574009201321887,-0.4812034468663265,0.14192191008012126,-0.22023348862243128,0.47384728933853454,-0.29878985827814286,-0.37724142897947655,0.4883516073914709,-0.972376482079761,0.9222766789501982,0.9301623690930393,0.34228648684966334,-0.18557808104434162,-0.18874932724404256,-0.46236472106145177,0.9788813215039958,0.3222179949211432,0.9812788736649726,-0.06978801191169332
Insula_R,0.5487647310398654,-0.3490045637729369,1.0,-0.1712514679882392,0.9937056820655471,-0.2562846120951556,0.08158541035844666,-0.3222446081678787,-0.8207400633335601,-0.20326432904813332,0.9773686857257516,-0.38727611281560487,0.987019045733255,-0.7319312986073072,0.6623404918266412,0.48832105452817326,0.12304007934008539,0.9764766307671169,-0.9142820311854589,0.08828152730741781,0.627762063373226,0.4419328890244403,-0.26130441982293495,-0.9287576238617958,0.8573024654992086,-0.39644964076899336,0.6858159550877868,-0.5492166793645415,0.8657351784310743,0.9787737585201944,0.641289440260763,0.9937175566789774,0.2840359694434021,-0.7035153433100216,0.5465911847181467,-0.10032990455184583,-0.19005770384771323,0.7523383350554195,0.5328919075736882,0.9852387097766363,0.903075699620591,-0.27947100815636233,0.7619705708796592,-0.38377252399399653,-0.58196807274989
Occipital_Inf_L,-0.6947035930542834,-0.7375154515046944,-0.1712514679882392,1.0,-0.06557730875388869,-0.6901030821255671,-0.6745442448668977,-0.6029409533616791,0.7010296946624387,0.6596308724170665,-0.26874793476673403,-0.5187598429160747,-0.2790344832548728,0.168386831801404,-0.6201749830660185,0.278221829114254,0.9499028238347995,-0.3535631634721391,-0.03580450514701827,0.7585078800067993,-0.43997347487353405,0.5556455926428756,-0.6454311721583207,0.4283635194631332,0.27765310030988444,-0.4989744094175338,-0.6712197572006259,0.9169935380582351,-0.4725451637922775,-0.20192103170539064,-0.659027412224949,-0.2152317945863138,0.6492087612624151,0.22601295878274608,0.6233810227456568,-0.6916482759647843,-0.5860367905697158,-0.7328658099240908,0.31771243046942904,-0.2940339917650772,-0.16838407712393128,-0.65785445624681,-0.6365697385868876,-0.6125917731194767,0.7223590871469293
OFCpost_R,0.48758210398022966,-0.42756839401619806,0.9937056820655471,-0.06557730875388869,1.0,-0.32719941352078036,0.017336896736375146,-0.38009147926169934,-0.7553789851067642,-0.12088713759846144,0.9637161938491638,-0.4406011421030341,0.9693482126174605,-0.7144158600859963,0.6089739751546185,0.528263352508848,0.22621300028523622,0.9523642560594823,-0.9207295498777956,0.17977756984224175,0.5996053820384383,0.513670089113974,-0.3260756165729989,-0.8971215705654407,0.8984785901500889,-0.4458019046680625,0.6320074912662935,-0.457016576942063,0.8295700964602271,0.9708639175277921,0.5835458494392902,0.9849715457348016,0.3609491923288261,-0.6780997055787787,0.6173314950736005,-0.16355493791022416,-0.24796536417512555,0.6837626427603024,0.577906520289489,0.9663119712004147,0.8982448083361408,-0.34672259388649324,0.7087620588124431,-0.4480652207558898,-0.5051875016530124
Thal_PuA_L,0.6622679440023799,0.9827886225105806,-0.2562846120951556,-0.6901030821255671,-0.32719941352078036,1.0,0.9318519243448855,0.9810212092101105,-0.2272496584058461,0.011337480867323132,-0.21192693369520313,0.9755220615223771,-0.10304333799435952,0.5728714733103683,0.547154656992763,0.07162233306459345,-0.8309890515431687,-0.0536519758489556,0.5141160481623039,-0.23346535911774718,0.5014602603066866,-0.2046827369037151,0.9970045647190324,-0.1111165744915361,-0.3772749870642723,0.9683696132593118,0.4891197105008185,-0.4772965558003053,0.25510999395905937,-0.10303039684292814,0.572323834713104,-0.20687588495457576,-0.2144531590783676,0.5299012791006941,-0.9340979491144312,0.9577361218150805,0.9807535109729573,0.40640024129098024,-0.006037294998787096,-0.08965555860349177,-0.42898560466279495,0.9986729363793616,0.4131006056199488,0.9898881548755039,-0.010301102526625224
Cerebellum_4_5_R,0.871894106353834,0.8614138911165827,0.08158541035844666,-0.6745442448668977,0.017336896736375146,0.9318519243448855,1.0,0.898250207804123,-0.4654542933207102,0.06922403555099427,0.09796413956471964,0.8863239773015124,0.23630738745418312,0.4101892348113692,0.7994353821549909,0.36198768874272413,-0.730032771100094,0.27199722563542145,0.20845679449485896,-0.07308092634734238,0.7635202903889873,0.06873952675904285,0.9364172575299792,-0.43372991809768874,-0.0222383697523117,0.8755526809651111,0.723818415689196,-0.6001157203590873,0.5688284068290828,0.24973740881142512,0.8129859984014879,0.12530826482582194,0.014173093621262374,0.38247684048302877,-0.7464771619320182,0.9479046480841277,0.9617524348834087,0.6432268230065834,0.2967500751456423,0.2477679801955645,-0.17386874314843398,0.9280595913754562,0.6767615384900528,0.883818221723938,-0.09955994484111524
Thal_MGN_L,0.6057996746980933,0.9611205586308484,-0.3222446081678787,-0.6029409533616791,-0.38009147926169934,0.9810212092101105,0.898250207804123,1.0,-0.13016822644493492,0.1313760877847358,-0.2617245382083772,0.978467288646653,-0.17807667771775298,0.6543084340988549,0.48241376459223445,0.06863823310185628,-0.7635975659625374,-0.1221124782022758,0.6042520670996109,-0.14703153674013966,0.4889217485788449,-0.16385653174642384,0.9891653851614889,-0.03907431748746024,-0.4040216184863608,0.9860790670471772,0.4507347799438104,-0.3768868852702269,0.18668095959551975,-0.1674832917243384,0.5035309292959365,-0.26106949386499334,-0.1764298433425066,0.6211596471396306,-0.9212742732832174,0.9620600437326725,0.9687080978027448,0.30946538746350377,-0.0060183984705196245,-0.16296541180130317,-0.4660508652379062,0.9857902497393681,0.34027268212695844,0.9830950459700735,0.09690888634741521
Parietal_Inf_L,-0.8110443774018469,-0.18438723427240122,-0.8207400633335601,0.7010296946624387,-0.7553789851067642,-0.2272496584058461,-0.4654542933207102,-0.13016822644493492,1.0,0.5107720836200915,-0.8585860704122534,-0.03603127889685603,-0.8760870559755047,0.6103731678400744,-0.848953914529609,-0.20892408277698268,0.4634212633492913,-0.9108810122014986,0.6367717559803007,0.3601725658289529,-0.7213514732952252,-0.012698110821214923,-0.199255401624511,0.9254357540017718,-0.46371991364557935,-0.017691929626908545,-0.8924626015390366,0.9262778823533216,-0.9063889035754549,-0.8275503448503114,-0.856073120504532,-0.8415292349314673,0.1557920410552194,0.6224382323742388,-0.02387792740645627,-0.3441558176650515,-0.2182968063295918,-0.9710260672583881,-0.21747438438761138,-0.8834003182125657,-0.740638533536255,-0.19267391515379942,-0.9263660645598425,-0.09062829093713903,0.8270865433009008
ACC_sub_R,-0.09430335132157926,-0.11032650489582833,-0.20326432904813332,0.6596308724170665,-0.12088713759846144,0.011337480867323132,0.06922403555099427,0.1313760877847358,0.5107720836200915,1.0,-0.2704551072026434,0.19286539998699312,-0.203514720487993,0.6582162373252048,-0.08109876116041304,0.6218792479944848,0.5280798355639714,-0.24537311519053953,0.27782469457737075,0.9243544463280781,0.1623728213861944,0.7532756514059786,0.08046427344846285,0.19151550140872053,0.2638198725413326,0.22925137759020678,-0.1632166159966263,0.6449122082500395,-0.11936969028994111,-0.08768827241342726,-0.12051772333064056,-0.19700279853133518,0.7963183999118638,0.7203472887813818,0.07499738942404266,0.061203744128810224,0.16422602705409003,-0.39058780214142047,0.6152633939629286,-0.2071206398265353,-0.3695639387065752,0.05184531134192183,-0.21647204270291462,0.06982146676434234,0.8763432881344088
