,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R
Vermis_8,0.5411143348513952,0.39621137835634773,-0.12682999031734485,0.35441614335585137,0.9356600710312327,0.24162793808812144,-0.7033792899819722,-0.6401900584996326,0.3355886305132433,0.09902974761967875,1.0,0.4405739183268034,0.9400459637238967,-0.1638662094249102,0.9513388761209675,0.10143298855708309,0.8749622700612638,0.38135709288700825,0.7839230512715064,0.37347063530101676,-0.14170659606425523,0.21976675354435318,0.8600737410350991,0.23558430427796614,0.2559700113257222,0.4934768770974586,0.09219035332540933,-0.28858810993193573,0.23110770665894134,-0.29947089472863764
Thal_AV_L,0.8010289838908732,0.9896703542157453,0.7252475875201858,0.9613362593660627,0.11108768831090425,0.8882641643629985,-0.44621886875315386,0.20088177955717587,0.9147569425045443,0.8551648311206133,0.4405739183268034,1.0,0.14797014615544044,-0.08929610957933058,0.186468978176741,0.8100531859430978,-0.03349233378148465,-0.06368226819831777,0.8487118815610046,-0.49409298241063704,0.7415222156651717,0.9054386334051194,-0.00991005475273616,-0.578310026806419,0.2247413386306404,0.920541060972519,0.8513046036305022,-0.9166560576268523,-0.5102914355193802,0.7177381182667845
Thal_LGN_L,0.24586140473114776,0.08925565535199977,-0.4458019046680625,0.03156317669130587,0.9953003492389746,-0.087837460127491,-0.6895357125447106,-0.8342388267954066,0.0069086213219544945,-0.2386283061861752,0.9400459637238967,0.14797014615544044,1.0,-0.028565345240218223,0.9827605655929338,-0.22908775573426618,0.9817149099286746,0.32167649802732773,0.5513676350638698,0.6474796336842358,-0.4621911526450535,-0.11376528315185096,0.9159770091513928,0.5348813520725751,0.11528343428874592,0.18520767286514123,-0.23995560227824067,0.04317576827198367,0.3756112580217659,-0.5734679915415491
Paracentral_Lobule_R,-0.536552084764498,-0.13433149607653092,-0.4240789536427906,-0.26233240032450605,-0.08874788315099408,-0.32297787696469765,-0.5462513236152975,-0.43827433324214954,-0.3670223153769993,-0.3728653039742891,-0.1638662094249102,-0.08929610957933058,-0.028565345240218223,1.0,-0.044865470882506114,-0.4707592249805339,-0.06497980676584593,-0.8869952893306118,-0.17944959795079193,0.2940263661353741,-0.3396646184683667,-0.3770397570760993,-0.37764346686826566,0.475746954139031,-0.9142174080843626,-0.340474645366597,-0.35573551377661394,0.3451960657352477,-0.6212486892098493,-0.0629175926005766
Vermis_9,0.33289543236940805,0.1463457870842195,-0.3790914536382305,0.10073426819806242,0.9872060686411386,0.0031963813155274296,-0.7195267491917569,-0.8114363178989379,0.08759378817022931,-0.1636820807773759,0.9513388761209675,0.186468978176741,0.9827605655929338,-0.044865470882506114,1.0,-0.14965103750106715,0.9597262135544199,0.366729082541515,0.6245220217117697,0.5463232746023148,-0.3882793916934294,-0.04405367716399994,0.9095163219134789,0.447951345301736,0.07451359430896365,0.2677920290049854,-0.15919976987849502,-0.037248957856242416,0.30641489504706465,-0.5480752126550474
Amygdala_R,0.8720970945592548,0.8688823987289817,0.9708639175277921,0.9314939130182438,-0.22555631371624907,0.9706180630025023,0.06439462926270427,0.6399773249531527,0.9615023979346446,0.9886462065956843,0.10143298855708309,0.8100531859430978,-0.22908775573426618,-0.4707592249805339,-0.14965103750106715,1.0,-0.3578355711493983,0.2600868303402536,0.636284762533375,-0.8525584287904864,0.9596046411205882,0.9815638918471732,-0.1721351866589407,-0.9304232771988349,0.45178803477264273,0.8998127076483597,0.9912157768292924,-0.9654788485443668,-0.35767804393329716,0.8102917241262183
Temporal_Sup_L,0.12660468613849887,-0.08846189097328765,-0.5632405961031965,-0.1343030366054593,0.9881118992177175,-0.23790100504745673,-0.5839925494157778,-0.856515136626673,-0.1446732854806098,-0.3806828778990705,0.8749622700612638,-0.03349233378148465,0.9817149099286746,-0.06497980676584593,0.9597262135544199,-0.3578355711493983,1.0,0.3835803322801108,0.4076789330583415,0.7294116270146208,-0.5865082513936836,-0.2643164130634059,0.9457007045485002,0.6227910727351876,0.12065979744701681,0.032684939167578475,-0.38249974500018985,0.19577733354395646,0.5053258500224787,-0.7105612574767312
N_Acc_L,0.5068240749142647,-0.006727485715232473,0.14099257930993436,0.1113232791097853,0.39150628932012527,0.18028447059895295,0.30432578345785943,0.07404805865768957,0.2275019223921281,0.14543514978835625,0.38135709288700825,-0.06368226819831777,0.32167649802732773,-0.8869952893306118,0.366729082541515,0.2600868303402536,0.3835803322801108,1.0,0.2542831441833468,-0.06888077486069373,0.0630791456190009,0.17395633598996496,0.6572663038248306,-0.22052092176815227,0.7326102969085135,0.272317587805626,0.14620863606472922,-0.18207004795691378,0.7149519330392755,-0.29015818575483615
Thal_Re_L,0.8716865988928171,0.8500086874407426,0.44913904080022365,0.832628880264021,0.5400258674080701,0.7665226679390261,-0.6467605972475347,-0.17775590396152022,0.8156267367329999,0.6473151785444222,0.7839230512715064,0.8487118815610046,0.5513676350638698,-0.17944959795079193,0.6245220217117697,0.636284762533375,0.4076789330583415,0.2542831441833468,1.0,-0.23731292259789905,0.45700716679836084,0.7341773581878251,0.44376066400534847,-0.3401689042711448,0.21982567085660612,0.9056929451286809,0.6533175676632877,-0.7889844310778642,-0.24578847563307146,0.28772020081046473
Precentral_L,-0.5610219145710027,-0.5892573078731258,-0.9207295498777956,-0.6717565734395365,0.6352359339507349,-0.7890018016829193,-0.320992603935465,-0.8332257887579129,-0.7201100142666477,-0.8463484853000214,0.37347063530101676,-0.49409298241063704,0.6474796336842358,0.2940263661353741,0.5463232746023148,-0.8525584287904864,0.7294116270146208,-0.06888077486069373,-0.23731292259789905,1.0,-0.9314304603401,-0.7708519082161865,0.5618692419733442,0.967593682726723,-0.17174681537074082,-0.5978454903060664,-0.8566646565764362,0.7439548709585899,0.513062294904537,-0.8237229866815259
