,ACC_pre_L,Frontal_Inf_Oper_L,Temporal_Sup_R,Cerebellum_7b_R,Occipital_Mid_R,ACC_sub_L,Putamen_L,Cerebellum_4_5_R,Thal_IL_R,Thal_VL_L,Insula_R,Lingual_L,Thal_LP_R,OFClat_R,Frontal_Inf_Orb_2_L,Vermis_10,Thal_LP_L,Precentral_R,Thal_VL_R,Cerebellum_3_L,Raphe_D,Red_N_R,Temporal_Mid_L,Parietal_Inf_R,Supp_Motor_Area_R,Rectus_R,SN_pc_L,Cerebellum_3_R,Thal_VPL_L,Vermis_9,Insula_L,Fusiform_L,Occipital_Sup_R,Thal_Re_L,Hippocampus_R,Thal_PuI_L,Cerebellum_8_L,VTA_R,Thal_MGN_R,Thal_MDm_R,Vermis_4_5,Occipital_Inf_R,Cerebellum_10_R,Temporal_Inf_R,Cerebellum_7b_L,SN_pr_R,Cerebellum_4_5_L,Occipital_Mid_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Olfactory_L,SupraMarginal_R,Temporal_Pole_Sup_L,Raphe_M,Thal_PuL_L,Vermis_7,OFCant_R,Hippocampus_L,Thal_MGN_L,Thal_AV_R
ACC_pre_L,1.0,0.4822456299894607,-0.46706596784029963,-0.5022187041223716,0.5226249813008109,0.5565527076256808,0.68870930078976,-0.40238335957288696,-0.5018612933294947,-0.6485352682399085,-0.22391988140061878,-0.14982153026393066,-0.671497956701217,-0.43821463027111707,0.5372814581392208,-0.27405776609509,-0.544817589972116,-0.16956824349309443,-0.6777662598680196,-0.16447515362032145,-0.20052999326666177,-0.28410145348311017,0.4213048838886167,-0.4144549117196127,-0.7477345598736149,-0.19285792974878316,-0.23290427231973532,-0.44956665527511047,-0.43495125000675333,-0.26419379387963554,0.15009806738255765,-0.19855205476332818,0.7419991484790913,-0.55553529434114,-0.43159644756706417,-0.28890636214214555,-0.38483909058929333,-0.1480244627826823,-0.32368769711221845,-0.574457667850766,-0.29251855627648915,0.33084204891105345,-0.3033022060574,-0.3747956063861576,-0.42470749000824526,-0.4390054149233994,-0.2704328949828322,0.8930760667203433,0.11853191123038945,0.6964819541490159,0.4796953736145603,-0.30781745415814427,-0.2850764405926427,-0.055127214239692614,-0.5158184928281014,0.6075530373967835,-0.29208325091229764,-0.11145770308042496,-0.3269150210244082,-0.7069171742674887
Frontal_Inf_Oper_L,0.4822456299894607,1.0,-0.5008763284668403,-0.05393037000315976,-0.489116537102268,0.7652728802314658,0.19408820038979446,0.38247684048302877,-0.5300751120084882,0.009352438128276413,-0.7035153433100216,0.6030093154360742,-0.3904343615869839,-0.3423632244674686,0.9762725462644212,0.6417731445178314,0.4449260255815504,-0.8644876529632761,-0.44853185424213904,0.7299457318116671,-0.7355169486408799,-0.6178756064426906,0.9954558379552292,-0.9801220984577483,-0.11197590547833353,-0.5231894001416288,-0.17479568551161032,-0.1432589953387702,0.5517059774365884,0.6562833269354031,0.855901045602236,0.6958324705285659,-0.22864894877266173,-0.06466323754790303,-0.34917877121000945,0.6614037865654061,0.5532069491218703,-0.6164144509896531,-0.7287459655472739,-0.5044347010699047,0.6099737803718739,-0.6272089894198781,-0.6309605175328625,-0.4718939770017925,0.4574457099215198,-0.4002023553110165,0.642942069634283,0.48022563416873376,-0.5175605439085644,0.7109506439181793,0.154489846124666,-0.852076802586432,0.5829739641495277,-0.611362437171629,0.4883516073914709,0.3297937470796806,-0.577337173487926,0.7115323857205144,0.6211596471396306,-0.482031404390292
Temporal_Sup_R,-0.46706596784029963,-0.5008763284668403,1.0,0.8529140939274495,0.1050633033202549,0.03930289214060412,0.2985031397280579,0.4934077416562129,0.9931429357860172,0.7328946445736,0.8937098936808132,0.3327843494613306,0.9335429927008614,0.9745006307481205,-0.36525960306937744,0.1595912678025654,0.17761961390677342,0.6445447587830551,0.9424278924240401,0.05192684187450092,0.8593690239710858,0.9509193589557483,-0.5112158456488076,0.5917752023425217,-0.19478430237957037,0.9288903437982688,0.9000043806805832,0.9105047043701616,0.11728183891445307,0.10073426819806242,-0.03707078719365912,0.10561031115790638,-0.14928541986566085,0.832628880264021,0.9763288089257539,0.05921193209388048,0.21891753847733872,0.8930301567923682,0.9106618190379056,0.9873562830376224,0.20326369925789742,0.36189141779790146,0.9526393272374607,0.989704138724904,0.34370100758596484,0.9875490178564521,0.14808904058162822,-0.8032215728061526,-0.293620767455118,-0.9245326058273072,0.4721951848129179,0.7545144532143305,0.25564718894130944,0.841563548454915,0.10156316455991178,0.31620868861079654,0.9544161772095618,0.15039892359362522,0.1251654427349988,0.9400552681631731
Cerebellum_7b_R,-0.5022187041223716,-0.05393037000315976,0.8529140939274495,1.0,-0.36288085363443323,0.3403113762116357,0.2074456949386212,0.871894106353834,0.830546208894165,0.9466470314015804,0.5487647310398654,0.7567011122403858,0.9326261080228527,0.9025732901839447,0.05878782002738631,0.6425734704000555,0.6309813619422561,0.1561775824244965,0.8803712441284809,0.5598017294487262,0.4881697022108204,0.6810862530043442,-0.042514306957977935,0.1247541287211162,-0.04337581303669477,0.6955743352264646,0.9007791353730144,0.9863203466971644,0.5897942600736291,0.6012030358515064,0.44852521936287626,0.6042113364531931,-0.5311935949211408,0.9896292965531815,0.9210838825703267,0.5618634084531443,0.685169102194076,0.5810934599686192,0.5668664529483292,0.8651015052279108,0.6793925579282187,-0.12795279885501096,0.6810510192815259,0.8402780338152808,0.7635784198206783,0.9019213058494467,0.638554975787468,-0.8075465084658661,-0.6934735421528295,-0.7362125951518397,0.4419125425134005,0.3158654512830936,0.7188650547677047,0.486228282076414,0.5695975735119844,0.3112699170466259,0.7191479824144249,0.6304732948855004,0.6057996746980933,0.8699524538976058
Occipital_Mid_R,0.5226249813008109,-0.489116537102268,0.1050633033202549,-0.36288085363443323,1.0,-0.134922910577377,0.559838713864053,-0.7079579438202547,0.09740196239540307,-0.5823111223210798,0.5271938073279153,-0.6706383578461512,-0.2167080433081089,-0.01189425852992826,-0.3964891155868939,-0.8542665986278041,-0.9482410681298076,0.7069727205410424,-0.1630509060063603,-0.8381659523417101,0.5770488448346004,0.39393041677221113,-0.5497151952797674,0.5538310826023165,-0.68208163611598,0.39397573046365497,0.026312435972579325,-0.2200761611177626,-0.9396270163035485,-0.8673136819254044,-0.6440839733908068,-0.8348949696788401,0.95340625656343,-0.41062694290350543,-0.00425217477792737,-0.9014564192925447,-0.8782415609068269,0.523139714221261,0.45383212578882776,-0.001598630437009237,-0.8400443591014668,0.9626631480983773,0.3853520135256661,0.16964166967327227,-0.8137927725178136,0.03860657546876701,-0.8547766397426533,0.3745493601980844,0.5737757269366085,-0.052041514578994315,0.3998791354604161,0.5678935979262333,-0.8023436467342386,0.6105923535056432,-0.9674665252421026,0.360709883887662,0.3460149247850654,-0.7551930447368014,-0.8915592583431375,-0.16303844229023104
ACC_sub_L,0.5565527076256808,0.7652728802314658,0.03930289214060412,0.3403113762116357,-0.134922910577377,1.0,0.7185981553170773,0.532455004584059,-0.023383957598217778,0.21741097936999149,-0.0992473629226216,0.721423007146071,0.022372751414753932,0.15511734427021548,0.8805063059898938,0.5732540963796039,0.28940041978378434,-0.4434671141693886,-0.0747728033562319,0.6401253083023939,-0.14243243540204595,-0.007177861778587551,0.7354219959412325,-0.6726911152955405,-0.6137542042586314,0.12529554393427134,0.41642579537317587,0.3269446036954204,0.37631930192822377,0.5704422191243698,0.8411785924284344,0.6313705774718963,0.02158268796050626,0.29476179528387864,0.1978259913616484,0.5224116797882116,0.4821766848594698,0.023006663070145178,-0.18462580740788903,-0.0350766667681399,0.5782229441947927,-0.16967002348153976,-0.022866223001671484,0.11780320218341249,0.455636115701615,0.14761648194925292,0.5818858307668994,0.2693500539796826,-0.7045154786731108,0.28403341335407617,0.741182536338423,-0.42314559876632096,0.604705610228643,0.003748827545179376,0.28517087827565973,0.7703616503407474,0.04576468350966825,0.7179310408595173,0.4927375939547601,-0.1150809260787899
Putamen_L,0.68870930078976,0.19408820038979446,0.2985031397280579,0.2074456949386212,0.559838713864053,0.7185981553170773,1.0,0.06873952675904285,0.2390947701499392,-0.060813176272906465,0.4419328890244403,0.20895556961171124,0.06612441121406443,0.3049777790711343,0.37648454635227946,-0.062097549424686385,-0.3456907404345306,0.2266190130064029,0.01826068070851768,-0.01794122861262711,0.4315681279661857,0.43739463971157116,0.12998670572748292,-0.06362344129405378,-0.9749705344873091,0.5451931931802609,0.533739494348659,0.30348259505011443,-0.28630449513764145,-0.08107975165042244,0.2524162671587253,-0.01293696440479514,0.6042890214351351,0.14048438862810556,0.35450675304989393,-0.15154000659103503,-0.1414946804378122,0.5373412697595665,0.3241584967642974,0.16515421873401032,-0.03825007348461708,0.5574091005870754,0.42370890265710115,0.4031239889458696,-0.10279920091651355,0.33695511330231975,-0.05617332810077065,0.2968801633078256,-0.26493877231657953,0.005271258301238907,0.9530257320803995,0.17340885224939903,0.01823369004822211,0.5664911116352395,-0.3771752559307824,0.9010776544185065,0.45431360269401494,0.11877924504433363,-0.16385653174642384,-0.012215096535231007
Cerebellum_4_5_R,-0.40238335957288696,0.38247684048302877,0.4934077416562129,0.871894106353834,-0.7079579438202547,0.532455004584059,0.06873952675904285,1.0,0.4637731440764286,0.9017760135215375,0.08158541035844666,0.957405045321577,0.6854058305811617,0.6017186257517145,0.4446087438548754,0.9307901009641646,0.8924164085901783,-0.3393138632468742,0.5966926290761315,0.8915358897648193,0.009268030329079408,0.2442588739937324,0.4101892348113692,-0.34695055443433404,0.11421324967951198,0.2944117196172077,0.6614237393197367,0.7994353821549909,0.8824117970042736,0.9137765301133866,0.7894016328669223,0.9146225491976342,-0.7509622566989087,0.880081501061709,0.6306002715431593,0.890841475670152,0.9414918298256304,0.13655521522855882,0.09796413956471964,0.5270065896046079,0.9506952156783471,-0.5560107722012104,0.2477679801955645,0.4792749954636727,0.9479046480841277,0.5798293700524227,0.9325562958786805,-0.6001157203590873,-0.884886886843862,-0.36439536587351035,0.2967500751456423,-0.17386874314843398,0.9662526986252985,0.03013187746513508,0.8614138911165827,0.2208283755252388,0.3083918099904633,0.9197573111245589,0.898250207804123,0.5816037158095395
Thal_IL_R,-0.5018612933294947,-0.5300751120084882,0.9931429357860172,0.830546208894165,0.09740196239540307,-0.023383957598217778,0.2390947701499392,0.4637731440764286,1.0,0.7366697771059442,0.8831026123262395,0.3015446377119579,0.9212750972596865,0.9751100134622311,-0.41098601163167825,0.1407953732234303,0.17270606462505236,0.6738297323214634,0.9606825941750565,0.021883667670277177,0.8501043790698356,0.9380234986651217,-0.5411747938886947,0.6254121366249832,-0.13096109101029937,0.8970473339834533,0.8538372122693889,0.8833699188551477,0.11781153666608807,0.0687505321708014,-0.08422551427218157,0.07681294524210149,-0.16396848745944803,0.8078305122315086,0.95140427587036,0.03971557731678048,0.2053266297413837,0.8726988888275152,0.9226192175612031,0.9942759367239432,0.17722273735663813,0.35885171967081875,0.9373187445160157,0.9693960759610534,0.3369661307438706,0.9720205594551701,0.12110185792843249,-0.8189710489729158,-0.2229003470132875,-0.9242652981949601,0.3990503558308648,0.7887780141257993,0.22292534683363036,0.8360395956633472,0.09890999587039224,0.29131205907789665,0.9297910106550236,0.11357913828692714,0.12112138907832522,0.9561256058573794
Thal_VL_L,-0.6485352682399085,0.009352438128276413,0.7328946445736,0.9466470314015804,-0.5823111223210798,0.21741097936999149,-0.060813176272906465,0.9017760135215375,0.7366697771059442,1.0,0.3506337799005481,0.7797510402723844,0.8747156122351267,0.8174939463963631,0.05884096301416256,0.7468518408454803,0.7879168178200461,0.026145333650575465,0.866198773006563,0.6491322155744212,0.28782677754542185,0.49559464818278715,0.03234311616943339,0.04453467428135911,0.24420597123641277,0.4764023359298466,0.7195628076679575,0.8941929214850702,0.75601027570824,0.6929204001410678,0.468958017954871,0.689881221466938,-0.7376425235273315,0.9502359770303662,0.7883637697498952,0.6854694317728242,0.8019809316297115,0.3613290830830822,0.4221530725548082,0.7933455935265231,0.7648985891883776,-0.3540708271289841,0.4956116121447159,0.6807061884383153,0.8662376523224739,0.7740647558095743,0.7298609761151293,-0.8519222120089137,-0.6336832480903308,-0.6560225584219302,0.16547386817906357,0.21096698926609184,0.7793760248077601,0.2786949213170845,0.7415681863052085,0.1274343359352548,0.5223001430459525,0.6807141309594867,0.747305443587705,0.8555253258674665
