,ACC_pre_L,Supp_Motor_Area_L,Thal_PuL_L,Thal_Re_L,Temporal_Mid_L,Rolandic_Oper_L,Heschl_R,Calcarine_R,Cerebellum_Crus1_R,Cerebellum_6_R,Rectus_R,Cerebellum_10_R,Frontal_Inf_Orb_2_R,Frontal_Mid_2_L,OFCmed_R,Temporal_Pole_Sup_R,Thal_IL_L,Frontal_Inf_Oper_L,Cerebellum_3_R,Occipital_Inf_L,Vermis_7,Parietal_Inf_L,Cerebellum_Crus2_R,Thal_PuI_R,Thal_MDl_R,VTA_R,ACC_sup_L,Cuneus_L,LC_R,Frontal_Med_Orb_R,Occipital_Mid_L,Frontal_Mid_2_R,Cerebellum_4_5_L,N_Acc_R,Angular_R,Red_N_R,Heschl_L,Thal_MDl_L,Thal_LP_R,Insula_L,Thal_LP_L,N_Acc_L,ParaHippocampal_R,OFCant_L,Frontal_Inf_Orb_2_L,Paracentral_Lobule_L,Thal_PuL_R,Postcentral_R,Frontal_Inf_Tri_R,Cingulate_Post_L,OFClat_R,Vermis_1_2,Thal_MGN_R,SN_pc_L,Cingulate_Mid_R
ACC_pre_L,1.0,-0.3986863084217181,-0.5158184928281014,-0.55553529434114,0.4213048838886167,-0.35248833361223303,-0.39434016289857915,-0.26701788376334185,-0.3960598829369138,-0.3298679488127761,-0.19285792974878316,-0.3033022060574,-0.32010943187921975,0.6964819541490159,-0.175583035619483,-0.32179357696920613,-0.5457646833947367,0.4822456299894607,-0.44956665527511047,0.9440234893416658,0.6075530373967835,0.699402586312034,-0.274507106063265,-0.524930305200887,-0.661217907622679,-0.1480244627826823,0.9658352763477394,0.845920533076567,-0.07432790582821243,0.46024511673503354,0.8930760667203433,-0.39123466010115243,-0.2704328949828322,-0.1419302004539165,0.41943687908683974,-0.28410145348311017,-0.23635397877799333,-0.5272964463322655,-0.671497956701217,0.15009806738255765,-0.544817589972116,0.5936862758954169,-0.3766747293367027,0.8274022544949139,0.5372814581392208,0.5086348680252164,-0.5774664764176699,-0.4195320499813298,-0.3859176784934138,-0.2966671047994549,-0.43821463027111707,-0.11215316187574158,-0.32368769711221845,-0.23290427231973532,-0.7106356193963488
Supp_Motor_Area_L,-0.3986863084217181,1.0,0.5196013123793146,-0.2075503172510371,0.2916480405370959,0.43020464891527366,-0.6206854534175873,-0.6176514859298623,-0.31702327083013515,0.055296123574205144,-0.7654507434667803,-0.6731309905710253,-0.6222236661336159,0.34203330334175125,-0.7908036888564026,-0.6259089095899972,-0.16024413514766198,0.2498190337743381,-0.3793271014450436,-0.3883557526598887,-0.6158012015303646,0.2986182059311716,-0.6711090330590924,-0.3889750458230795,-0.29963769519231076,-0.7710754469005495,-0.5782129244792574,-0.5535698347200191,-0.659440687800854,-0.8426387439382292,-0.04419277544419441,-0.22165575104890822,0.27451873203983795,-0.7100031791639155,-0.6149034801110844,-0.6772763809233155,0.3532001006894834,-0.2721131115966597,-0.2768585891466157,0.08197284196593785,0.4675559378599709,-0.6465046171091874,-0.5614562440986993,-0.5733074337418705,0.049356307451299514,0.5433613988720798,-0.15674280236980004,-0.25578550507946146,-0.4894889302360162,0.21447629807179366,-0.39224357712268626,0.20400916959011153,-0.5619531732425405,-0.6370719335939322,0.042235183203675426
Thal_PuL_L,-0.5158184928281014,0.5196013123793146,1.0,0.6052274071572424,0.5403825286388158,0.9812788736649726,-0.024448895620735826,-0.09004878771896889,0.49687263351787764,0.8573444843458469,-0.18045682590076428,-0.18874932724404256,-0.07774951731466241,-0.08931966155560533,-0.29049977619480444,-0.13546691943299757,0.5815760916619469,0.4883516073914709,0.4411189696905368,-0.7375154515046944,-0.1725813342207914,-0.18438723427240122,-0.17044687677123996,0.3222179949211432,0.34228648684966334,-0.3273371516967412,-0.656256768196245,-0.8904028177035412,-0.3819072823364367,-0.10820395055295162,-0.4812034468663265,-0.5380954369309668,0.9427607899004573,0.1620215316294673,-0.972376482079761,-0.19552073493964503,0.9482706567838867,0.09449189415497466,0.3969789839988473,0.7406958529782393,0.9960468900111978,0.04807503995030516,0.14192191008012126,-0.14439654000368318,0.4422728407345167,0.09284216299453736,0.6627329454008541,-0.4457140990871601,-0.34167643670109943,0.9301623690930393,0.22717931374703673,0.8810720120020276,-0.2864883546751334,0.2122902891903464,0.3731451042723295
Thal_Re_L,-0.55553529434114,-0.2075503172510371,0.6052274071572424,1.0,-0.04760694514839298,0.5845236234597044,0.7665226679390261,0.7065864534030131,0.9636609505506121,0.8463976824682823,0.6652583204843172,0.6533175676632877,0.7341773581878251,-0.7429286178959137,0.5696154012983601,0.6894149870994496,0.9791033922522402,-0.06466323754790303,0.9738360317618734,-0.7391230450631787,0.21982567085660612,-0.8140224645491622,0.6660229384230052,0.9309668991676006,0.9190677697610634,0.5445503567659378,-0.5216148043599399,-0.6467605972475347,0.4490273655005126,0.4223631285997479,-0.8332899627488407,0.03562028783006754,0.6543766185019533,0.8247249162638627,-0.41832324814308414,0.6473151785444222,0.5686387146350526,0.7405046639309539,0.9385886905977807,0.44376066400534847,0.665042150643945,0.2542831441833468,0.8670651328395614,-0.005145574694292106,0.040809997986253496,-0.6784639032719992,0.9904033063549266,0.18979295311296085,0.4484330038897442,0.7204191640206584,0.87660076209845,0.5556141093466694,0.5331405847276295,0.8716865988928171,0.782240666224552
Temporal_Mid_L,0.4213048838886167,0.2916480405370959,0.5403825286388158,-0.04760694514839298,1.0,0.6681447521952534,-0.5695217019964436,-0.5261518186925003,-0.029788575669475723,0.47558350915474107,-0.5463835386405292,-0.6521365339598946,-0.5629807354734452,0.6950352293118576,-0.6306491285228792,-0.6192844697847951,-0.06833033094647038,0.9954558379552292,-0.1396910577422068,0.168386831801404,0.26392860935900986,0.6103731678400744,-0.6110820994801371,-0.3309142699158251,-0.42225487479727447,-0.6467290572616756,0.22610002237554758,-0.11786395146402506,-0.6301240583291318,0.17299555878755007,0.44327102184984474,-0.975654071877966,0.6777371302900277,-0.14463883905919825,-0.6445422709632909,-0.6418456461688021,0.7354814656611989,-0.5574082715120547,-0.37216703091380837,0.8673810485456178,0.49650706346192736,0.5174117899653484,-0.3924491291583807,0.5561178132809184,0.9657036072035804,0.7235922338166701,0.0009664018032556757,-0.9378774462030963,-0.8525897496789152,0.6229128281051339,-0.35844075566893285,0.7742572090377503,-0.7567032630861503,-0.18239303496464276,-0.40928175663240796
Rolandic_Oper_L,-0.35248833361223303,0.43020464891527366,0.9812788736649726,0.5845236234597044,0.6681447521952534,1.0,-0.05920017810201827,-0.1094779232269247,0.5019089119532345,0.8926860373654117,-0.18382190374312932,-0.22223259692744937,-0.10524161861092303,0.011756040555386111,-0.30148883127457216,-0.1701057902567509,0.5559067357250086,0.6243793704695149,0.4337925607757766,-0.6125917731194767,-0.02920591778176684,-0.09062829093713903,-0.19659827894153617,0.28650423138617875,0.27579355241604653,-0.3395512402993915,-0.5026402489171958,-0.7913702143301932,-0.3963776126575409,0.03258969327392576,-0.3602386427755893,-0.665975661242692,0.9844414476454505,0.2071674124714819,-0.9632528095128893,-0.22620247304539357,0.9913646667685141,0.0198728884333322,0.3329211160238722,0.855070263657704,0.9759212336671738,0.22053026329089367,0.12600126858414754,0.04335366361701323,0.5988184635333277,0.16521642414040563,0.6405075412743141,-0.5658002461161474,-0.42484597092930826,0.969514166551175,0.19565731125721592,0.9519382127756397,-0.34461942931415807,0.2397666454707428,0.2727589888388587
Heschl_R,-0.39434016289857915,-0.6206854534175873,-0.024448895620735826,0.7665226679390261,-0.5695217019964436,-0.05920017810201827,1.0,0.9593672043066127,0.7985135535984105,0.3511971363127898,0.9754506138755196,0.9834164863183149,0.9848871450955622,-0.9244697400075295,0.953703019707518,0.981161165392982,0.7666625481771842,-0.5602383942414978,0.8651266558327022,-0.41957934172724953,0.315473100501488,-0.9263155244599438,0.9787501781952331,0.9230026568611135,0.91684343907721,0.9463491065154657,-0.22677094962509692,-0.16544539267915004,0.8535777609087769,0.528278762634898,-0.7344720347216245,0.5409361059210022,0.04339706045205498,0.878435720811251,0.2391699055103467,0.9774733488929781,-0.06962160808272067,0.8743204330406905,0.8941510424659893,-0.10491680472559303,0.054721608159520915,0.18028447059895295,0.9743290692972411,-0.0172282340462285,-0.4032848401843523,-0.9629780649086996,0.7220018395736578,0.6518376286368647,0.8693986769437665,0.135088705452272,0.9155626307297678,-0.050000917229426706,0.9218547667833568,0.9088566021937038,0.7166014480505037
Calcarine_R,-0.26701788376334185,-0.6176514859298623,-0.09004878771896889,0.7065864534030131,-0.5261518186925003,-0.1094779232269247,0.9593672043066127,1.0,0.7929062367244292,0.3242941158249462,0.9541130274244701,0.9657668060602888,0.9841135017977894,-0.840249187967791,0.9207397462407253,0.9797274024139723,0.7474599682174093,-0.49880604123054795,0.8279709102443545,-0.3106561327063311,0.4729214816140134,-0.860871255342003,0.9799574417538838,0.8797206767867695,0.8468136107348402,0.9459288660204647,-0.12833553359553607,-0.05630593769768564,0.9306787469726321,0.5567584353722386,-0.6408862205011457,0.544926065329368,0.0024382757764624926,0.833568659295048,0.30972136144521495,0.9730427423926926,-0.10647220675272173,0.9072145780974544,0.8209032388882835,-0.10234405014207472,-0.015179001695009244,0.19045831935600388,0.9506761818989079,0.0828414227053552,-0.3465605704254627,-0.9014650386066214,0.6537671154292573,0.673821751249191,0.8760151531970264,0.09428334354391621,0.9287343452174083,-0.09724541854834849,0.9412141160058635,0.8737071844410753,0.7322741005707637
Cerebellum_Crus1_R,-0.3960598829369138,-0.31702327083013515,0.49687263351787764,0.9636609505506121,-0.029788575669475723,0.5019089119532345,0.7985135535984105,0.7929062367244292,1.0,0.8257472726187045,0.7298069475390566,0.7092245464670002,0.7965106342455293,-0.7026319640531751,0.6272203941219164,0.7535446051226604,0.9801231837344981,-0.028428263770394594,0.9837682333665514,-0.6004910898893959,0.44296897413140807,-0.7849393528623868,0.7410236569076449,0.9373086905918024,0.8879557482737254,0.6264804945962892,-0.36754720794336604,-0.49101974233633194,0.5808834115828783,0.5495058237277702,-0.7428009465416487,0.049720401646753176,0.598264010494515,0.8692072540214448,-0.29460800015847805,0.7158367823010867,0.5066135423527317,0.7900664135638656,0.9010256985357762,0.4496782886689575,0.5590556795795653,0.34689661120348364,0.9074174095403266,0.15420038016655088,0.09537335122997101,-0.6772852976812362,0.9472615069052681,0.22395278053282386,0.4968745116040821,0.6691001681446457,0.9279729581792462,0.49917176629617493,0.6070581838418982,0.9203675556133246,0.7810122676605094
Cerebellum_6_R,-0.3298679488127761,0.055296123574205144,0.8573444843458469,0.8463976824682823,0.47558350915474107,0.8926860373654117,0.3511971363127898,0.3242941158249462,0.8257472726187045,1.0,0.25661669286330446,0.20428613259167466,0.32457122262518023,-0.29435121766879146,0.12720873686430414,0.2577648731455919,0.8326583310244628,0.4532288879260357,0.7697516839666724,-0.6185235151188959,0.2861942213273801,-0.4037438641917446,0.2392180293306099,0.6366688055837441,0.58899431263352,0.10095217064430215,-0.4133614648535957,-0.6890560096355934,0.03775125212221642,0.38315696733874827,-0.5354544514025453,-0.46590875507091384,0.9453620024186059,0.6007573996416805,-0.7481657212090621,0.20533820119880317,0.9037171310285939,0.3704901328667306,0.6320213016531869,0.8306247579423881,0.884562433986565,0.41666175668094285,0.5333143369139172,0.2130653174605088,0.5129867418996397,-0.20069134706368377,0.8725147743594146,-0.30998834525392527,-0.06093149077924857,0.9710129459088351,0.5760974854717265,0.892101202616835,0.05996304709662995,0.6360676440895279,0.5083675695093659
