,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,Thal_Re_L,SN_pr_R,Precentral_L,Frontal_Inf_Orb_2_R
SN_pc_L,1.0,0.848500587075216,0.733709320656014,0.9000043806805832,0.2581253444859062,0.9088566021937038,-0.2236513274241643,0.23804905506149185,0.9383556825751987,0.5411143348513952,0.8010289838908732,0.24586140473114776,-0.536552084764498,0.33289543236940805,0.8720970945592548,0.12660468613849887,0.8716865988928171,0.9413866112983738,-0.5610219145710027,0.8883361770870225
Thal_MDm_R,0.848500587075216,1.0,0.7859124008174326,0.9873562830376224,0.05915729428438804,0.940885543470734,-0.397919228214576,0.2656055783516942,0.9561703911186997,0.39621137835634773,0.9896703542157453,0.08925565535199977,-0.13433149607653092,0.1463457870842195,0.8688823987289817,-0.08846189097328765,0.8500086874407426,0.9705370892357871,-0.5892573078731258,0.9437909694167516
OFCpost_R,0.733709320656014,0.7859124008174326,1.0,0.8525831641153188,-0.4452496444018562,0.9074208684253253,0.22621300028523622,0.7918552191331942,0.8806409940623776,-0.12682999031734485,0.7252475875201858,-0.4458019046680625,-0.4240789536427906,-0.3790914536382305,0.9708639175277921,-0.5632405961031965,0.44913904080022365,0.8083571107720713,-0.9207295498777956,0.932876373754006
Temporal_Sup_R,0.9000043806805832,0.9873562830376224,0.8525831641153188,1.0,0.013660997476075234,0.9786324931646131,-0.2832022282467389,0.36189141779790146,0.989704138724904,0.35441614335585137,0.9613362593660627,0.03156317669130587,-0.26233240032450605,0.10073426819806242,0.9314939130182438,-0.1343030366054593,0.832628880264021,0.9875490178564521,-0.6717565734395365,0.9807640350650615
OFClat_L,0.2581253444859062,0.05915729428438804,-0.4452496444018562,0.013660997476075234,1.0,-0.09412924629532071,-0.645210374673841,-0.8183775835171928,0.00029999329129487,0.9356600710312327,0.11108768831090425,0.9953003492389746,-0.08874788315099408,0.9872060686411386,-0.22555631371624907,0.9881118992177175,0.5400258674080701,0.11843128536946662,0.6352359339507349,-0.12231962770772525
Heschl_R,0.9088566021937038,0.940885543470734,0.9074208684253253,0.9786324931646131,-0.09412924629532071,1.0,-0.16544539267915004,0.46807747253872733,0.991991117970457,0.24162793808812144,0.8882641643629985,-0.087837460127491,-0.32297787696469765,0.0031963813155274296,0.9706180630025023,-0.23790100504745673,0.7665226679390261,0.9665987544027599,-0.7890018016829193,0.9848871450955622
Cuneus_L,-0.2236513274241643,-0.397919228214576,0.22621300028523622,-0.2832022282467389,-0.645210374673841,-0.16544539267915004,1.0,0.7358801960398698,-0.19913301855076945,-0.7033792899819722,-0.44621886875315386,-0.6895357125447106,-0.5462513236152975,-0.7195267491917569,0.06439462926270427,-0.5839925494157778,-0.6467605972475347,-0.3155962989211593,-0.320992603935465,-0.09406678332441276
Occipital_Inf_R,0.23804905506149185,0.2656055783516942,0.7918552191331942,0.36189141779790146,-0.8183775835171928,0.46807747253872733,0.7358801960398698,1.0,0.4131970599157384,-0.6401900584996326,0.20088177955717587,-0.8342388267954066,-0.43827433324214954,-0.8114363178989379,0.6399773249531527,-0.856515136626673,-0.17775590396152022,0.2922051140498707,-0.8332257887579129,0.5263548362681981
Temporal_Inf_R,0.9383556825751987,0.9561703911186997,0.8806409940623776,0.989704138724904,0.00029999329129487,0.991991117970457,-0.19913301855076945,0.4131970599157384,1.0,0.3355886305132433,0.9147569425045443,0.0069086213219544945,-0.3670223153769993,0.08759378817022931,0.9615023979346446,-0.1446732854806098,0.8156267367329999,0.9865690626120693,-0.7201100142666477,0.987782318669332
Vermis_8,0.5411143348513952,0.39621137835634773,-0.12682999031734485,0.35441614335585137,0.9356600710312327,0.24162793808812144,-0.7033792899819722,-0.6401900584996326,0.3355886305132433,1.0,0.4405739183268034,0.9400459637238967,-0.1638662094249102,0.9513388761209675,0.10143298855708309,0.8749622700612638,0.7839230512715064,0.4521472410246415,0.37347063530101676,0.21976675354435318
