,Frontal_Sup_2_L,OFCant_L,Amygdala_R,Rolandic_Oper_R,Precuneus_L,Cerebellum_3_L,Thal_MDl_R,Occipital_Mid_L,Supp_Motor_Area_L,Precentral_L,Red_N_L,Parietal_Inf_L,Temporal_Pole_Mid_L,Raphe_M,Frontal_Inf_Oper_R,Thal_MDl_L,Cerebellum_4_5_R,Frontal_Med_Orb_L,Fusiform_L,Heschl_L,ACC_pre_R,VTA_R,Cerebellum_7b_L,Temporal_Inf_R,Frontal_Inf_Tri_L,Precentral_R,Rectus_L,Precuneus_R,Temporal_Pole_Sup_R,ACC_pre_L
Frontal_Sup_2_L,1.0,0.28187478836104846,-0.6657561042158074,-0.7968492566645502,0.5423785549651965,-0.35301495654461656,-0.9627583773484745,0.9378386696968031,0.19802065977333602,0.41991620206133723,-0.7682691918988029,0.9152274008771947,-0.6235601542000802,-0.47028054655367724,-0.6653903365324451,-0.7416944864546475,-0.7146829652972219,0.16703372279324968,-0.39985172527361895,-0.36732600584027697,0.7297230307961116,-0.5994808200859457,-0.5787956643519864,-0.8268026138942717,0.7242893001300131,-0.26828427019732864,-0.5566365032808458,-0.19186915682041042,-0.7236398623374132,0.7449216669232721
OFCant_L,0.28187478836104846,1.0,0.128252606144592,-0.023215827706973897,0.860384262735004,0.26106382501794584,-0.21071660630961223,0.534652303645232,-0.5733074337418705,0.04506181147677024,0.033863594217158406,0.34413555191674455,0.11556210106995399,0.14079761852245895,-0.22269553700888958,-0.21111200664004187,0.14723476871942034,0.9338188222058285,0.24548229882118752,0.1728571239355529,0.7225048386249232,0.11173004373708703,0.047535803732233047,0.04139908467719749,0.7057233655262001,-0.22289876889828525,0.4403452213111909,0.7341009461883964,0.0016381370166035647,0.8274022544949139
Amygdala_R,-0.6657561042158074,0.128252606144592,1.0,0.9707770695539415,-0.35767804393329716,-0.18235507833856002,0.805190886546197,-0.5651559993780841,-0.7468046871880967,-0.8525584287904864,0.9740827273630541,-0.8275503448503114,0.051340089281204364,0.9595474678100795,0.9231596968236566,0.8271726473760244,0.24973740881142512,0.381827513139629,-0.13495049093530184,-0.21833063645837125,-0.5790026950590645,0.992006659868814,0.05014185422206798,0.9615023979346446,-0.6086553196391536,0.7628119455440905,0.9155499461686056,0.17750370533785537,0.9840123251574364,-0.1895680895761629
Rolandic_Oper_R,-0.7968492566645502,-0.023215827706973897,0.9707770695539415,1.0,-0.46511475701271304,-0.05748326790523831,0.9141836400390851,-0.7380427217060969,-0.5853310771497943,-0.7631536667017098,0.9945188559308662,-0.9300248248196478,0.19731663063333738,0.8982080426130316,0.9442580304335895,0.9181090964792966,0.39231685031857944,0.1955555966005908,-0.004846337504918189,-0.07681354968085086,-0.6932391539618716,0.945378535010826,0.22473026686683162,0.9929512734697046,-0.7095548686420673,0.7140898672318255,0.8322739417234896,0.18419882478018137,0.9929781746249337,-0.39155918838315756
Precuneus_L,0.5423785549651965,0.860384262735004,-0.35767804393329716,-0.46511475701271304,1.0,0.40844894829600054,-0.5343359654605359,0.7148447633483214,-0.10472633712853255,0.513062294904537,-0.41403513380895474,0.6863111781567706,0.15448174341892848,-0.32427694813610586,-0.6424479027911029,-0.5331102356291303,0.10024366554160255,0.6534370168179326,0.3741172965005119,0.34615496331498635,0.9476851367646477,-0.377672629233171,0.10697847742603057,-0.39563693689750856,0.9451176680259382,-0.5927232077528,-0.04382160611826203,0.6854216603273141,-0.4541783748279712,0.8172512567347797
Cerebellum_3_L,-0.35301495654461656,0.26106382501794584,-0.18235507833856002,-0.05748326790523831,0.40844894829600054,1.0,0.23146283598814893,-0.2393875658752727,0.27862845201474884,0.5923490530116072,-0.0540416813282269,-0.02290280537378146,0.9490451119241988,-0.37792513638136366,-0.34279627275474256,-0.02143012749215533,0.8915358897648193,0.007017778003423304,0.9982415562927018,0.9954728186162098,0.27867651746947364,-0.29247393779301767,0.9093240180389006,0.043515348255683324,0.316242521382605,-0.7161488234368958,-0.036939582948930474,0.7545490302070488,-0.15370091825295232,-0.16447515362032145
Thal_MDl_R,-0.9627583773484745,-0.21071660630961223,0.805190886546197,0.9141836400390851,-0.5343359654605359,0.23146283598814893,1.0,-0.9234335748442553,-0.29963769519231076,-0.529654616286257,0.8905046362071445,-0.9710260672583881,0.4985795805363198,0.6569540119569649,0.8105317528140786,0.8809438960602158,0.6432268230065834,-0.06886139533847074,0.2831089164638586,0.2360961856303048,-0.74848451148009,0.7474064580651972,0.5029132021687142,0.9283505194897751,-0.7521534465604428,0.45832407776336975,0.6559412533103528,0.22338001860917503,0.8635052498612028,-0.661217907622679
Occipital_Mid_L,0.9378386696968031,0.534652303645232,-0.5651559993780841,-0.7380427217060969,0.7148447633483214,-0.2393875658752727,-0.9234335748442553,1.0,-0.04419277544419441,0.3402126839728194,-0.6989831639710176,0.9262778823533216,-0.5017531764266314,-0.41254046975743003,-0.6938702026589479,-0.8069126081883161,-0.6001157203590873,0.4406759370959288,-0.2877796836555966,-0.27875093859814437,0.8541009945502849,-0.5071303527727342,-0.5436994331520086,-0.737576740839838,0.839196292827446,-0.3527499926478743,-0.3317169037032875,-0.005673341286492582,-0.6734405407428342,0.8930760667203433
Supp_Motor_Area_L,0.19802065977333602,-0.5733074337418705,-0.7468046871880967,-0.5853310771497943,-0.10472633712853255,0.27862845201474884,-0.29963769519231076,-0.04419277544419441,1.0,0.7771162522582923,-0.6190276268539794,0.2986182059311716,0.16354870286742046,-0.7392082340950982,-0.5062516156710344,-0.2721131115966597,0.0461051839909036,-0.8143320050056809,0.26050787024238714,0.3532001006894834,0.05253989664138371,-0.7710754469005495,0.27210272510230876,-0.5973130699406004,0.08882944195579034,-0.4976063951632807,-0.8992948907974349,-0.20933249585429733,-0.6259089095899972,-0.3986863084217181
Precentral_L,0.41991620206133723,0.04506181147677024,-0.8525584287904864,-0.7631536667017098,0.513062294904537,0.5923490530116072,-0.529654616286257,0.3402126839728194,0.7771162522582923,1.0,-0.7596327521876524,0.6367717559803007,0.3535790020287876,-0.8697331917580935,-0.8370604531647751,-0.5541574526462114,0.20845679449485896,-0.3029065447440918,0.5568770711911788,0.6182483042411286,0.6061394979387171,-0.8992404443735104,0.41049474099496075,-0.7201100142666477,0.6495224168896419,-0.8574589570371309,-0.7740262222261622,0.28192198906135313,-0.8051474919758538,0.10943953284861134
Red_N_L,-0.7682691918988029,0.033863594217158406,0.9740827273630541,0.9945188559308662,-0.41403513380895474,-0.0540416813282269,0.8905046362071445,-0.6989831639710176,-0.6190276268539794,-0.7596327521876524,1.0,-0.9041084671966316,0.19022358228368505,0.9070493337792893,0.9326588912176826,0.908311850888724,0.387965697639804,0.24695138889233245,-0.0011655663214694858,-0.0785369151502876,-0.6545800804010502,0.950511854230444,0.2276274550929566,0.9907459928843455,-0.6662873780212953,0.7077843145622098,0.8486891550186201,0.22249065093543283,0.9915147403275477,-0.33677521098538804
Parietal_Inf_L,0.9152274008771947,0.34413555191674455,-0.8275503448503114,-0.9300248248196478,0.6863111781567706,-0.02290280537378146,-0.9710260672583881,0.9262778823533216,0.2986182059311716,0.6367717559803007,-0.9041084671966316,1.0,-0.3086673833082979,-0.7171522011332573,-0.8997917215004261,-0.9191373810320942,-0.4654542933207102,0.1557920410552194,-0.07708623683236172,-0.03603127889685603,0.8659289522752301,-0.7910954901269571,-0.3441558176650515,-0.9183619230058772,0.8691031941922329,-0.6182756098510074,-0.6151927154355192,-0.023443167726223554,-0.8967540967096664,0.699402586312034
Temporal_Pole_Mid_L,-0.6235601542000802,0.11556210106995399,0.051340089281204364,0.19731663063333738,0.15448174341892848,0.9490451119241988,0.4985795805363198,-0.5017531764266314,0.16354870286742046,0.3535790020287876,0.19022358228368505,-0.3086673833082979,1.0,-0.1843929243964376,-0.08499893487567999,0.19620945546986873,0.9719804586972264,-0.054778759075313474,0.9621407973111987,0.9508185244908481,-0.008385505103505013,-0.061478994754801786,0.9405492109479469,0.2926852264931982,0.025725856793202564,-0.5285379456498536,0.14624497168433448,0.6695147017382486,0.09097286131309966,-0.3871572910216863
Raphe_M,-0.47028054655367724,0.14079761852245895,0.9595474678100795,0.8982080426130316,-0.32427694813610586,-0.37792513638136366,0.6569540119569649,-0.41254046975743003,-0.7392082340950982,-0.8697331917580935,0.9070493337792893,-0.7171522011332573,-0.1843929243964376,1.0,0.9150056884384918,0.7903849595910842,0.03013187746513508,0.40802999823508684,-0.33450485756950504,-0.4158979857563155,-0.5161210733680642,0.9781973496528253,-0.14860436813715375,0.8672588792779405,-0.5561577343264991,0.8706938026071996,0.8474017398438313,0.08753718748233406,0.9400564177755768,-0.055127214239692614
Frontal_Inf_Oper_R,-0.6653903365324451,-0.22269553700888958,0.9231596968236566,0.9442580304335895,-0.6424479027911029,-0.34279627275474256,0.8105317528140786,-0.6938702026589479,-0.5062516156710344,-0.8370604531647751,0.9326588912176826,-0.8997917215004261,-0.08499893487567999,0.9150056884384918,1.0,0.9130493742663979,0.11536656575419872,0.03944038499063294,-0.29092049236951484,-0.34683714936998306,-0.8049942398383493,0.9285335558197841,-0.012169906352424193,0.8997235517501028,-0.824029566915865,0.8887288684622249,0.6960905585303705,-0.10416198956802791,0.9624302938223814,-0.42690138704981045
Thal_MDl_L,-0.7416944864546475,-0.21111200664004187,0.8271726473760244,0.9181090964792966,-0.5331102356291303,-0.02143012749215533,0.8809438960602158,-0.8069126081883161,-0.2721131115966597,-0.5541574526462114,0.908311850888724,-0.9191373810320942,0.19620945546986873,0.7903849595910842,0.9130493742663979,1.0,0.40094219890911226,-0.0695327540187876,0.03282887852462258,-0.017451087971445105,-0.7401175456688168,0.7953024947729672,0.3329794885202054,0.8935886446968374,-0.7391022511630763,0.6995983305231231,0.5734762127641957,0.14966760847325042,0.911122638882066,-0.5272964463322655
Cerebellum_4_5_R,-0.7146829652972219,0.14723476871942034,0.24973740881142512,0.39231685031857944,0.10024366554160255,0.8915358897648193,0.6432268230065834,-0.6001157203590873,0.0461051839909036,0.20845679449485896,0.387965697639804,-0.4654542933207102,0.9719804586972264,0.03013187746513508,0.11536656575419872,0.40094219890911226,1.0,0.014173093621262374,0.9146225491976342,0.8863239773015124,-0.11090730027499782,0.13655521522855882,0.9479046480841277,0.4792749954636727,-0.08172421445167488,-0.3393138632468742,0.3011891912143614,0.7235725462962613,0.2959746557257927,-0.40238335957288696
Frontal_Med_Orb_L,0.16703372279324968,0.9338188222058285,0.381827513139629,0.1955555966005908,0.6534370168179326,0.007017778003423304,-0.06886139533847074,0.4406759370959288,-0.8143320050056809,-0.3029065447440918,0.24695138889233245,0.1557920410552194,-0.054778759075313474,0.40802999823508684,0.03944038499063294,-0.0695327540187876,0.014173093621262374,1.0,0.0015765694139406093,-0.08578000598405017,0.5049278964457233,0.3894241134685016,-0.1588954519295722,0.24104277254771692,0.4687642841551901,0.07014990110760157,0.6665708359199717,0.5623432836348803,0.23632991504483108,0.7788397662852714
