,Parietal_Sup_L,Postcentral_R,Thal_IL_R,Thal_VA_L,Temporal_Inf_R,Occipital_Sup_R,Frontal_Inf_Orb_2_R,Temporal_Pole_Sup_L,Thal_LP_R,Caudate_L,Vermis_8,Thal_PuL_L,Frontal_Inf_Orb_2_L,Cerebellum_Crus1_R,LC_R,Thal_PuA_L,Occipital_Inf_R,Thal_Re_R,Cerebellum_3_L,Raphe_D,Cingulate_Mid_L,VTA_R,Calcarine_R,Thal_MDm_L,ACC_sup_R,Supp_Motor_Area_R,Cerebellum_3_R,Hippocampus_R,Insula_L,Occipital_Sup_L,Cuneus_L,Cerebellum_Crus2_R,Cerebellum_7b_R,Rectus_R,Rolandic_Oper_R,Vermis_7,Temporal_Pole_Sup_R,Thal_VA_R,Cerebellum_8_L,Frontal_Sup_2_R
Parietal_Sup_L,1.0,-0.6455621127620906,-0.9718808590582055,-0.8966945845792493,-0.9952847052303643,0.045463289802140386,-0.9914046793425092,-0.1957122259178379,-0.8982419839188396,-0.01401696688404837,-0.28858810993193573,-0.009168428378995544,0.3636684298129792,-0.8324531437579692,-0.8698402232472778,-0.1111165744915361,-0.4465099364605738,-0.8418476872982232,0.008572725702801138,-0.8994290834071157,-0.1738847457379859,-0.9350438648049856,-0.9704545085875832,-0.9517102149462212,0.5957038237157891,0.3008335019720495,-0.8849680972041453,-0.9686041144473386,0.06525431074534266,0.5699901103214696,0.18097013057880315,-0.9787886626220936,-0.8125006181619565,-0.9657279516598237,-0.9958218145035397,-0.3601543284232634,-0.9843220241094452,-0.6988854396645369,-0.1388224998496036,0.2856352903886731
Postcentral_R,-0.6455621127620906,1.0,0.6992227629763892,0.5206387173255838,0.601373464718873,0.23383056635515667,0.6901810967616077,-0.4942682393223538,0.47693608409021315,-0.3075565643786086,-0.3827336825601073,-0.4457140990871601,-0.8834805057893463,0.22395278053282386,0.7849608925661813,-0.4547639662850137,0.6765489999071657,0.3917905041281834,-0.6467472223968302,0.8211005747553494,-0.3974746271935396,0.7169863065613827,0.673821751249191,0.7191405256127045,-0.7895200318748536,0.024578135602667476,0.29215018586846164,0.4785260313413189,-0.7573192618878117,-0.3553206116665633,0.06385883506145926,0.7200176761713774,0.20404900825270655,0.6193864608191099,0.6895316581817907,-0.0629665109123174,0.7367513742759813,0.4336499762440512,-0.44376202626616656,0.5192561562170707
Thal_IL_R,-0.9718808590582055,0.6992227629763892,1.0,0.9534371685847796,0.9693960759610534,-0.16396848745944803,0.9688120179578387,0.22292534683363036,0.9212750972596865,-0.12082762321633668,0.33199781851132293,0.09890999587039224,-0.41098601163167825,0.8479304240157113,0.852500312491008,0.1792156439842116,0.35885171967081875,0.8893909429528344,0.021883667670277177,0.8501043790698356,0.251557232786459,0.8726988888275152,0.9529968511364775,0.9962848559175821,-0.6777747627560187,-0.13096109101029937,0.8833699188551477,0.95140427587036,-0.08422551427218157,-0.6740649401679489,-0.3006201810067951,0.9458725992051941,0.830546208894165,0.8970473339834533,0.9779856229264159,0.29131205907789665,0.9627868903352592,0.8188626954322799,0.2053266297413837,-0.2229003470132875
Thal_VA_L,-0.8966945845792493,0.5206387173255838,0.9534371685847796,1.0,0.9039793186307975,-0.43086187016446487,0.870635810480359,0.47404233568449744,0.9618088201970876,-0.21718641029540767,0.5741912549400183,0.38715415159491534,-0.2440565723658943,0.9308412091703281,0.6825497106912326,0.45583269438629953,0.06949830782673767,0.9721189754729451,0.29158575923904356,0.659723384087747,0.5203395474785264,0.7021566119297814,0.8537293403203879,0.9579010853142755,-0.6413198384995099,0.03896922123113117,0.9419613721412544,0.9389373903135458,0.1408311952294813,-0.8110612716191641,-0.5390593514477304,0.8201339580037691,0.9327987586678215,0.7661602101012477,0.8919588030505766,0.22748680389456014,0.847844190561845,0.9284979102036536,0.4796594402797451,-0.398928463437833
Temporal_Inf_R,-0.9952847052303643,0.601373464718873,0.9693960759610534,0.9039793186307975,1.0,-0.0703210960573979,0.987782318669332,0.24719995277567675,0.9094297252035917,0.032860561279367095,0.3355886305132433,0.04801400605620664,-0.3143201474147937,0.8596250531850457,0.8521154018379065,0.1559058374709291,0.4131970599157384,0.8540804001568335,0.043515348255683324,0.8796349077210148,0.21820907527083735,0.9265193344837979,0.9676693138105922,0.9468369542120799,-0.5652833213180845,-0.3107006895593913,0.9088955346438214,0.9819332084511093,-0.008763886078850596,-0.5744239778832337,-0.19913301855076945,0.9727655167228769,0.8402780338152808,0.9661457437212929,0.9929512734697046,0.3838488252638054,0.9769577564640597,0.7015317207401437,0.18280998783000407,-0.3404064610372447
Occipital_Sup_R,0.045463289802140386,0.23383056635515667,-0.16396848745944803,-0.43086187016446487,-0.0703210960573979,1.0,0.043620026610611186,-0.7717021733694253,-0.4604936335620795,0.646497186446096,-0.7541852090798493,-0.9494229224198579,-0.15310421719254463,-0.4326687971085181,0.35205243218604626,-0.8909857498309954,0.84329332237134,-0.494280413945834,-0.7474102863045033,0.3286794511890873,-0.8509835101350333,0.2935059712188649,0.07120419846191615,-0.19372126733087716,0.33597207716693955,-0.7340264747085715,-0.4053613860269058,-0.22791520310034405,-0.4956436814867043,0.7961553302099283,0.9826792414498633,0.12955366217805234,-0.5311935949211408,0.1705680385754514,-0.02165302731754856,0.41389529567879346,0.08487566725570149,-0.5570847149026328,-0.8568711611357013,0.5412060644576957
Frontal_Inf_Orb_2_R,-0.9914046793425092,0.6901810967616077,0.9688120179578387,0.870635810480359,0.987782318669332,0.043620026610611186,1.0,0.11769030993927547,0.854857923587175,0.06612667922292365,0.21976675354435318,-0.07774951731466241,-0.3858133902056469,0.7965106342455293,0.9179015840069868,0.028374122322160335,0.5263548362681981,0.807103196310868,-0.08300842732307313,0.9303726894693396,0.10197457667908794,0.9594691488490923,0.9841135017977894,0.9494766181347901,-0.5712950598232801,-0.3501946530225776,0.8457121376084562,0.9451658500869777,-0.12108941087618297,-0.5020520131863849,-0.09406678332441276,0.9929615512291213,0.7630428582367299,0.9743299358618879,0.9962282074907756,0.406417413142207,0.9970071562340702,0.6773734804406278,0.061856349239227094,-0.2050920362139809
Temporal_Pole_Sup_L,-0.1957122259178379,-0.4942682393223538,0.22292534683363036,0.47404233568449744,0.24719995277567675,-0.7717021733694253,0.11769030993927547,1.0,0.4825868978540959,-0.031410517976438464,0.9834109564105782,0.9164152006484431,0.6175788577601189,0.6822427051033025,-0.18433785661602975,0.9726337535258943,-0.711060185415561,0.5754839189303814,0.976576077180181,-0.23664973912204657,0.9709502824506356,-0.10016557982493439,0.1145377818528,0.21574688668856454,0.09833703641793698,0.15460473661516055,0.623640193828297,0.41827621973004686,0.8990028557681277,-0.527730517298632,-0.7070064887438176,0.03046034743017385,0.7188650547677047,0.06497107958942705,0.14845647016632973,0.18013714947571824,0.04812312981127984,0.5194237978028994,0.9762025662393526,-0.9089117678584476
Thal_LP_R,-0.8982419839188396,0.47693608409021315,0.9212750972596865,0.9618088201970876,0.9094297252035917,-0.4604936335620795,0.854857923587175,0.4825868978540959,1.0,-0.28712496778441277,0.5503717940738335,0.3969789839988473,-0.2856044106172935,0.9010256985357762,0.607642623367746,0.45925829334223195,0.044311047603744734,0.9432991035130617,0.2877592017393317,0.6658253664877563,0.4900559440306263,0.7074700218363951,0.8209032388882835,0.9131109081537396,-0.6896836202624176,0.053647473904258454,0.9457956695947031,0.9504869954749648,0.12688001434613647,-0.8456095334296675,-0.5776324967257969,0.8105437667869723,0.9326261080228527,0.7870509393461225,0.8897341418825497,0.10308663985452489,0.8328994189576344,0.821447078551336,0.464399243946802,-0.4786635784294464
Caudate_L,-0.01401696688404837,-0.3075565643786086,-0.12082762321633668,-0.21718641029540767,0.032860561279367095,0.646497186446096,0.06612667922292365,-0.031410517976438464,-0.28712496778441277,1.0,-0.019992067078583954,-0.3790884389321802,0.5804063573782287,0.035777185309947536,0.23041112110437934,-0.23346535911774718,0.3991792568120864,-0.18187278244466554,0.016481297777555838,0.08772933351273238,-0.16650263655794156,0.18813286135221277,0.11586081196761336,-0.16612160248607402,0.7533139841729177,-0.9179080214466742,-0.01609045725988241,-0.0056541131799389,0.32697433412268706,0.7053042818797345,0.7213812107549064,0.0932535017534913,-0.08355321146066726,0.18433065312271824,-0.005563605177846281,0.8597747889730752,0.04705012833622093,-0.2917452354962651,-0.16826946977916152,-0.16625767190534077
Vermis_8,-0.28858810993193573,-0.3827336825601073,0.33199781851132293,0.5741912549400183,0.3355886305132433,-0.7541852090798493,0.21976675354435318,0.9834109564105782,0.5503717940738335,-0.019992067078583954,1.0,0.8931012638209145,0.5661220221284926,0.762722145593199,-0.05383601145077439,0.9564637491070231,-0.6401900584996326,0.6746346412476515,0.9458840515408584,-0.14170659606425523,0.9792589729804645,-0.013460553430546463,0.22423026683980993,0.3316274652821243,0.03843061912182381,0.13437990367083127,0.6914265683453483,0.4934768770974586,0.8600737410350991,-0.5693290951343944,-0.7033792899819722,0.13353158619304928,0.7841608537630506,0.141844998586742,0.24505436276892095,0.2559700113257222,0.15217527127197117,0.638911415695175,0.9767803276806322,-0.8579178579753631
Thal_PuL_L,-0.009168428378995544,-0.4457140990871601,0.09890999587039224,0.38715415159491534,0.04801400605620664,-0.9494229224198579,-0.07774951731466241,0.9164152006484431,0.3969789839988473,-0.3790884389321802,0.8931012638209145,1.0,0.4422728407345167,0.49687263351787764,-0.3819072823364367,0.9827886225105806,-0.886079918227466,0.4793601493567712,0.9163778638735025,-0.41032722950507167,0.9570573767196489,-0.3273371516967412,-0.09004878771896889,0.11700098663313956,-0.06978801191169332,0.5325575338056695,0.4411189696905368,0.2259772706581053,0.7406958529782393,-0.650078005357158,-0.8904028177035412,-0.17044687677123996,0.5695975735119844,-0.18045682590076428,-0.027496935542257545,-0.1725813342207914,-0.13546691943299757,0.5169627580099542,0.9647085883594424,-0.7159167173534721
Frontal_Inf_Orb_2_L,0.3636684298129792,-0.8834805057893463,-0.41098601163167825,-0.2440565723658943,-0.3143201474147937,-0.15310421719254463,-0.3858133902056469,0.6175788577601189,-0.2856044106172935,0.5804063573782287,0.5661220221284926,0.4422728407345167,1.0,0.09537335122997101,-0.44296782307826477,0.519672471324463,-0.5138546439262717,-0.11869592583139063,0.7365647171185139,-0.5885292484885525,0.5280465822997716,-0.4459327085980758,-0.3465605704254627,-0.432663305630076,0.8398412523491361,-0.28762811557853885,-0.007913959003027068,-0.197292732290691,0.8974427307453519,0.3349584029977939,0.010870409760425774,-0.428927350963741,0.05878782002738631,-0.34275974900988393,-0.41000021008673393,0.47282608193815434,-0.4456863696634564,-0.14762517628046926,0.5484826999348086,-0.6196685195888909
Cerebellum_Crus1_R,-0.8324531437579692,0.22395278053282386,0.8479304240157113,0.9308412091703281,0.8596250531850457,-0.4326687971085181,0.7965106342455293,0.6822427051033025,0.9010256985357762,0.035777185309947536,0.762722145593199,0.49687263351787764,0.09537335122997101,1.0,0.5808834115828783,0.6062897574262807,-0.043046179281801884,0.94872468827532,0.526678082906791,0.5274499878631657,0.6720519797111367,0.6264804945962892,0.7929062367244292,0.8363839748459644,-0.3502961227247228,-0.14954803378912154,0.9837682333665514,0.9269761908686438,0.4496782886689575,-0.6793640257559042,-0.49101974233633194,0.7410236569076449,0.9878092089003465,0.7298069475390566,0.8091753627547238,0.44296897413140807,0.7535446051226604,0.8468231830571222,0.6419586338896547,-0.6589695556276769
LC_R,-0.8698402232472778,0.7849608925661813,0.852500312491008,0.6825497106912326,0.8521154018379065,0.35205243218604626,0.9179015840069868,-0.18433785661602975,0.607642623367746,0.23041112110437934,-0.05383601145077439,-0.3819072823364367,-0.44296782307826477,0.5808834115828783,1.0,-0.2789484247420742,0.757060903408163,0.6035162603210678,-0.3509088626016344,0.9442403607356541,-0.17410893597014612,0.9396863093129767,0.9306787469726321,0.8422910975429057,-0.4457892650906297,-0.48252044186155335,0.6083657365451449,0.7514522943158889,-0.32502881862237665,-0.21628171153952216,0.22085277876675802,0.9387469141285956,0.503085075546671,0.8929933908068646,0.8885295726437017,0.526414943571506,0.932910261663673,0.5345620986675376,-0.22403447020034786,0.11081560199740814
Thal_PuA_L,-0.1111165744915361,-0.4547639662850137,0.1792156439842116,0.45583269438629953,0.1559058374709291,-0.8909857498309954,0.028374122322160335,0.9726337535258943,0.45925829334223195,-0.23346535911774718,0.9564637491070231,0.9827886225105806,0.519672471324463,0.6062897574262807,-0.2789484247420742,1.0,-0.8163758233852743,0.5511547085787591,0.959230901814289,-0.32427263519005795,0.9877629340443457,-0.21616514569341228,0.020206792518250468,0.18745331968153323,-0.010301102526625224,0.3756255686457186,0.547154656992763,0.33358772844716944,0.8211567083181739,-0.6214205041077888,-0.8309890515431687,-0.06531783211629755,0.6622679440023799,-0.059378705248264704,0.07009927893538286,-0.009557623252658751,-0.035923939187645706,0.554004908130755,0.9922152995681492,-0.8099740241114015
