,Parietal_Sup_R,OFCpost_L,Frontal_Mid_2_R,Frontal_Inf_Tri_L,Vermis_8,Putamen_R,SN_pc_R,SN_pr_L,Occipital_Sup_L,LC_L,Frontal_Inf_Orb_2_R,Temporal_Mid_R,Thal_LGN_L,Cerebellum_3_R,Thal_IL_R,Putamen_L,Cingulate_Post_R,Vermis_9,Thal_MGN_R,Cerebellum_10_L,Frontal_Med_Orb_R,SupraMarginal_L,ACC_sup_R,Thal_PuM_L,Cerebellum_8_L,Thal_LGN_R,Angular_R,Cerebellum_4_5_L,Temporal_Sup_L,VTA_R,Olfactory_R,Rolandic_Oper_R,Cingulate_Mid_L,Precentral_R,OFCpost_R
Parietal_Sup_R,1.0,-0.8175216711935284,-0.43292787312725844,0.7677515241037451,-0.4837880517086936,-0.8450142075506687,-0.7915231744571485,-0.7659498019164068,0.8317176150776673,-0.2704342048715988,-0.891438572451452,-0.8801888049540875,-0.1933201296274727,-0.9314973062332681,-0.9544454175120186,-0.0758876117424329,-0.44279260264940407,-0.2732066400912971,-0.7963908762935085,-0.35908897318337374,-0.3061659093642528,0.9025375415688992,0.7277994276407403,-0.3545110356499515,-0.3922024413779226,-0.9502070177657594,0.11116005180357065,-0.31171950145233746,-0.019264490063374832,-0.7544703759665595,-0.5495948231471914,-0.9221906391285652,-0.423213788413704,-0.488000225361448,-0.697188231451574
OFCpost_L,-0.8175216711935284,1.0,0.2002702123333762,-0.3558124061640721,0.49160687840463085,0.8608738512334893,0.8151570199458706,0.8906041628093818,-0.4097460218688805,0.31145360796539323,0.9147954350475788,0.8593590990358939,0.19211432731142733,0.9185934063523076,0.8739221716651759,0.6206076909856417,0.39217128541944907,0.24875246634110593,0.7666854946813323,0.27961664062793684,0.765954882076462,-0.7913310344997099,-0.2588908152310247,0.25923969547099035,0.3133854486175653,0.8768284030979203,0.08969230709517452,0.2971440921638353,0.0712851850866112,0.8444026014728454,0.8348549263856438,0.9019420435614965,0.349220721777831,0.4465921312376577,0.7808293942913747
Frontal_Mid_2_R,-0.43292787312725844,0.2002702123333762,1.0,-0.8124133046595865,-0.5308109210076685,0.6350790851548415,0.7178366598415286,-0.17076810743037268,-0.26629661463764676,-0.7131804756630212,0.5680280667110276,0.6568613826227075,-0.7284056958806125,0.13173651786134097,0.5647596857598819,-0.1228933537892088,-0.5623439699530843,-0.7042484276391616,0.7790412922743688,-0.593240596157842,-0.20814823618644118,-0.6972163864794684,-0.7743192587935067,-0.602587986885991,-0.5683483868613654,0.28493854922276335,0.6528580453828627,-0.6778815252318126,-0.8428569081139589,0.6289303288452098,0.4080860240197173,0.5697785512790082,-0.5321484202803398,0.9364209730501242,0.7091880374736429
Frontal_Inf_Tri_L,0.7677515241037451,-0.3558124061640721,-0.8124133046595865,1.0,0.07475880859868718,-0.6986754344380289,-0.6986699871017333,-0.19265318274898116,0.7399191501161111,0.2679092206225693,-0.6653515800603387,-0.7361037250716358,0.2973151998027206,-0.48893660126660876,-0.7392606776405557,0.33202442768066265,0.0665899842292382,0.2201855741298339,-0.7517024471488741,0.11059482249741105,0.20107349323084747,0.8264121721409767,0.9838995886625221,0.1011750229759557,0.08672989474198282,-0.5813556993353372,-0.16980213352677745,0.19988825253454587,0.4566397965040225,-0.6149049257230704,-0.3079854776882105,-0.7095548686420673,0.0613656369214134,-0.695049665575692,-0.6255876245952137
Vermis_8,-0.4837880517086936,0.49160687840463085,-0.5308109210076685,0.07475880859868718,1.0,0.07925872811691244,-0.01942660854033198,0.7961250940807256,-0.5693290951343944,0.9573306164412714,0.21976675354435318,0.12090519334064731,0.9400459637238967,0.6914265683453483,0.33199781851132293,0.05235499865975592,0.9855158954917623,0.9513388761209675,-0.041970313596641294,0.967198789758797,0.3108950511245544,-0.09663810109469935,0.03843061912182381,0.9594780653087033,0.9767803276806322,0.6314420623420426,-0.8042183829324794,0.9696798641721899,0.8749622700612638,-0.013460553430546463,-0.03287237653362082,0.24505436276892095,0.9792589729804645,-0.4596073552699291,-0.12682999031734485
Putamen_R,-0.8450142075506687,0.8608738512334893,0.6350790851548415,-0.6986754344380289,0.07925872811691244,1.0,0.9848732788981378,0.6126274874355006,-0.4342590776689903,-0.13715155391448677,0.9846820108818506,0.993090381163471,-0.25248757033047803,0.7702805112646035,0.9289543954633002,0.4333432535089042,-0.00318849492492605,-0.16915670048490725,0.9630868119000098,-0.11711816210713345,0.5313666950103741,-0.976141717515757,-0.5903050438407142,-0.12666552689473315,-0.07895664434848579,0.7755001985349335,0.4118064893965975,-0.12771230566034386,-0.3922710041947336,0.9870480252886905,0.8801548455114588,0.9816881395343411,-0.04303962854834336,0.7923089309349293,0.9693482126174605
SN_pc_R,-0.7915231744571485,0.8151570199458706,0.7178366598415286,-0.6986699871017333,-0.01942660854033198,0.9848732788981378,1.0,0.509903910245393,-0.37427468532725194,-0.24258022612271143,0.9683589421916703,0.9856289180907722,-0.3452728825999891,0.692354727182867,0.9157453717864545,0.42229737861158717,-0.1094732584748526,-0.2857955696015027,0.9909945671547604,-0.21317522471895697,0.4687607401097042,-0.9577926164407802,-0.5945072267697463,-0.23019777254733548,-0.1771214736266623,0.7351472504191433,0.5058786235137565,-0.23725266299606146,-0.485492713342435,0.9834305812775722,0.8704812672919072,0.9576627808553478,-0.1326745832428228,0.8701344776772509,0.9849715457348016
SN_pr_L,-0.7659498019164068,0.8906041628093818,-0.17076810743037268,-0.19265318274898116,0.7961250940807256,0.6126274874355006,0.509903910245393,1.0,-0.52663400088553,0.6728726446826724,0.6977046744230413,0.6145429995240638,0.5702225180154398,0.9419825997954502,0.7008389388952536,0.461289900261587,0.7329332559395199,0.6415242141662516,0.4503851074440844,0.638000471304739,0.7120135555892391,-0.5727566905005707,-0.13412559021825654,0.6314156967087605,0.6662580357366095,0.8429435458077037,-0.33339286337445234,0.6714460927229389,0.4717297136523012,0.5589611402454591,0.5607165842837856,0.7065555718087445,0.6792729217134152,0.029196305506339185,0.45149959498708975
Occipital_Sup_L,0.8317176150776673,-0.4097460218688805,-0.26629661463764676,0.7399191501161111,-0.5693290951343944,-0.4342590776689903,-0.37427468532725194,-0.52663400088553,1.0,-0.41979543345284115,-0.5020520131863849,-0.5040757751518123,-0.4160794090323573,-0.7096472147829697,-0.6740649401679489,0.45200644280208774,-0.5994094502771943,-0.4720636484072223,-0.4225277439798297,-0.5803030620367294,0.17974642178070394,0.5854191069271732,0.7863007195773523,-0.5871311157969591,-0.5962984241735512,-0.7631943254828788,0.5076038217983723,-0.4917107347757269,-0.2540004459589911,-0.28954866468594925,0.002049257996882767,-0.5645320107965484,-0.6136892023595247,-0.14215388971102816,-0.23080137728403757
LC_L,-0.2704342048715988,0.31145360796539323,-0.7131804756630212,0.2679092206225693,0.9573306164412714,-0.13715155391448677,-0.24258022612271143,0.6728726446826724,-0.41979543345284115,1.0,-0.006285532705634226,-0.10624764939849578,0.982532795439665,0.5161656546729287,0.09840774452292107,0.01930620899902959,0.9740734493428124,0.9845169978991507,-0.274996714659192,0.9703007104764505,0.2637277397254557,0.13030448959552918,0.22078979685405764,0.968711040378737,0.961706634759396,0.41523048698080184,-0.8714660254193773,0.9900204464676821,0.9596444137511311,-0.2170358613222599,-0.17981886809385528,0.01842652334656605,0.9576233680833939,-0.6546477772673113,-0.3351519253915557
