,Thal_MDl_L,Thal_VPL_R,Lingual_R,Red_N_L,Cuneus_R,Cerebellum_Crus2_L,OFCant_L,ACC_pre_R,Temporal_Mid_L,Thal_MGN_R,N_Acc_L,Hippocampus_R,Rolandic_Oper_R,Cerebellum_8_R,Vermis_4_5
Thal_MDl_L,1.0,-0.06091631499761201,-0.13969529457056143,0.4723199932478961,-0.0930103681029138,-0.11625471853839912,0.1157197233146334,0.18838929068739227,0.09966301377831036,0.00304253768815356,0.1285577464219807,0.3071976684976873,0.20346884222969802,-0.20558438084040184,0.3199835672999898
Thal_VPL_R,-0.06091631499761201,1.0,0.1140895382462768,0.19708243909061138,0.1382633272275427,-0.10435595598744188,0.15897532373832368,0.044531866886318265,0.293684530096778,0.010032235851741437,0.1647951284136143,0.1876055318844424,0.3333087512286317,-0.18687235094142765,0.44342069918736726
Lingual_R,-0.13969529457056143,0.1140895382462768,1.0,-0.5359020696763509,0.6624280600125019,0.7416978081680514,-0.5902015260215375,-0.6004875113353584,0.4856969248054387,0.7662205669432506,-0.3837290725780159,-0.3898405883680535,-0.055747093714881193,0.8607455761658416,-0.39615344904572886
Red_N_L,0.4723199932478961,0.19708243909061138,-0.5359020696763509,1.0,-0.4626917339706207,-0.46279707268549986,0.41473417078593544,0.5285608248595542,-0.17215915878990187,-0.43611786633499205,0.39049595005592297,0.46466800293144356,0.22149069434474228,-0.5870348812919386,0.6281810376484568
Cuneus_R,-0.0930103681029138,0.1382633272275427,0.6624280600125019,-0.4626917339706207,1.0,0.2492437952494564,-0.4457879693779551,-0.7548334129910913,0.6297911378700346,0.5269051298938254,-0.5617138136512324,-0.4910269689825301,-0.18956529976143452,0.47788082947005456,-0.38419883934470944
Cerebellum_Crus2_L,-0.11625471853839912,-0.10435595598744188,0.7416978081680514,-0.46279707268549986,0.2492437952494564,1.0,-0.3991315927243839,-0.38292267046647327,0.3971445521529866,0.6757326117136278,-0.13727657275926902,-0.269229995253584,-0.02534889892887833,0.6880762136327274,-0.42762831231744397
OFCant_L,0.1157197233146334,0.15897532373832368,-0.5902015260215375,0.41473417078593544,-0.4457879693779551,-0.3991315927243839,1.0,0.6684367093297354,-0.1032676964377874,-0.5007541666389259,0.6669046521364306,0.4680641622130977,0.4202485735123384,-0.6860012452485991,0.49288506789982106
ACC_pre_R,0.18838929068739227,0.044531866886318265,-0.6004875113353584,0.5285608248595542,-0.7548334129910913,-0.38292267046647327,0.6684367093297354,1.0,-0.5325232287529621,-0.45339948248036815,0.8187752884440225,0.7936031684019242,0.509575566266687,-0.5670605761436798,0.612040320507934
Temporal_Mid_L,0.09966301377831036,0.293684530096778,0.4856969248054387,-0.17215915878990187,0.6297911378700346,0.3971445521529866,-0.1032676964377874,-0.5325232287529621,1.0,0.35708670989664465,-0.2929473454357875,-0.3537422439775173,0.06417619435866684,0.2023572521847187,-0.05198882335087637
Thal_MGN_R,0.00304253768815356,0.010032235851741437,0.7662205669432506,-0.43611786633499205,0.5269051298938254,0.6757326117136278,-0.5007541666389259,-0.45339948248036815,0.35708670989664465,1.0,-0.24413600476298902,-0.17451816332384332,0.005182981287754929,0.6752505941553099,-0.34755499348582125
N_Acc_L,0.1285577464219807,0.1647951284136143,-0.3837290725780159,0.39049595005592297,-0.5617138136512324,-0.13727657275926902,0.6669046521364306,0.8187752884440225,-0.2929473454357875,-0.24413600476298902,1.0,0.6919208634859682,0.5288514119059939,-0.4098687219838706,0.509098467124259
Hippocampus_R,0.3071976684976873,0.1876055318844424,-0.3898405883680535,0.46466800293144356,-0.4910269689825301,-0.269229995253584,0.4680641622130977,0.7936031684019242,-0.3537422439775173,-0.17451816332384332,0.6919208634859682,1.0,0.7125343895629533,-0.4761274569163247,0.7255240577235718
Rolandic_Oper_R,0.20346884222969802,0.3333087512286317,-0.055747093714881193,0.22149069434474228,-0.18956529976143452,-0.02534889892887833,0.4202485735123384,0.509575566266687,0.06417619435866684,0.005182981287754929,0.5288514119059939,0.7125343895629533,1.0,-0.28090170650274854,0.674246150239763
Cerebellum_8_R,-0.20558438084040184,-0.18687235094142765,0.8607455761658416,-0.5870348812919386,0.47788082947005456,0.6880762136327274,-0.6860012452485991,-0.5670605761436798,0.2023572521847187,0.6752505941553099,-0.4098687219838706,-0.4761274569163247,-0.28090170650274854,1.0,-0.5810641659879547
Vermis_4_5,0.3199835672999898,0.44342069918736726,-0.39615344904572886,0.6281810376484568,-0.38419883934470944,-0.42762831231744397,0.49288506789982106,0.612040320507934,-0.05198882335087637,-0.34755499348582125,0.509098467124259,0.7255240577235718,0.674246150239763,-0.5810641659879547,1.0
