,Thal_MDl_L,ACC_sub_R,Temporal_Pole_Mid_L,Frontal_Inf_Orb_2_R,Red_N_R,Red_N_L,Supp_Motor_Area_L,Postcentral_L,OFClat_R,Frontal_Inf_Oper_L,Occipital_Mid_R,Thal_PuI_L,Thal_PuL_R,Cerebellum_6_R,Cerebellum_Crus2_L,Thal_VA_R,Temporal_Sup_L,Angular_L,Parietal_Sup_L,SN_pr_R,Precentral_L,Cerebellum_4_5_L,Thal_AV_R,Cerebellum_7b_L,Raphe_D,Parietal_Inf_R,Precuneus_R,Thal_Re_L,Thal_AV_L,Vermis_1_2,Vermis_7,SupraMarginal_L,Hippocampus_R,ParaHippocampal_L,Thal_PuA_R,Thal_IL_L,Thal_VL_L,Thal_PuI_R,ACC_pre_L,ACC_sup_R,Heschl_L,Thal_PuA_L,Putamen_L,Rolandic_Oper_L,Precentral_R,Temporal_Inf_R,Cuneus_L,Temporal_Sup_R,Cerebellum_9_R,Supp_Motor_Area_R,Occipital_Inf_L,Temporal_Mid_L,Hippocampus_L,Thal_LGN_L,Frontal_Inf_Tri_L,Thal_LP_R,N_Acc_L,Cuneus_R,SN_pc_R,Lingual_L,Thal_VPL_R,Cerebellum_8_L,Calcarine_R,Thal_MGN_R,Olfactory_L,Thal_MGN_L,Caudate_L,Precuneus_L,Cingulate_Mid_R,SN_pr_L,Vermis_8,Cerebellum_4_5_R,Cingulate_Post_L,Cerebellum_10_R,Calcarine_L,Temporal_Pole_Mid_R,Thal_PuM_L,Amygdala_R,Vermis_9,Lingual_R,Frontal_Inf_Tri_R,Frontal_Sup_2_L,Thal_MDm_L,Heschl_R,Insula_R
Thal_MDl_L,1.0,0.02211044174154539,-0.07879903468849009,0.06489728528484641,0.49915848627424203,0.4723199932478961,0.4165161793874681,-0.01900126393243692,-0.15336358476114986,-0.012429355792293309,-0.16881555631647457,0.1966188653176737,0.18285587600547554,-0.15989773318063402,-0.11625471853839912,0.2292828823982371,-0.006112701934411338,-0.07555753322898788,-0.07889734437662302,0.12320336192308394,0.1592495600282958,0.22969569493012473,0.24816266349349836,-0.07211614703277311,-0.0923165507393271,0.0232202741507454,0.1323842642483777,0.27026657253384845,0.40808966849790423,0.22479462054719065,-0.09365815907661997,0.10140241240863687,0.3071976684976873,0.41627662255001335,0.32646010227977373,0.5213928010921732,0.39988691719055075,0.32040279992372,0.31801225053414783,0.1459371374554106,0.1399646751117886,0.1387897542364066,0.08463728892400593,-0.06162705067133025,0.1801180035592729,-0.1409498085180767,-0.06347193935235912,-0.04303040344099919,-0.002072936820081873,0.3696876562758879,-0.1329584453183492,0.09966301377831036,0.4960533368914026,-0.022673134016949304,0.31830764302069225,0.10120448366592986,0.1285577464219807,-0.0930103681029138,0.05997095506184033,-0.1654578920704958,-0.06091631499761201,-0.09551410054615661,-0.10830470069363132,0.00304253768815356,-0.2510505832109735,0.07884102202565993,0.337036329139537,0.0012508148212500884,0.2255369873657051,0.15312617871180864,-0.13985826312344363,0.20587409172653984,0.4429840728243486,-0.20689547031849576,-0.16577730411249986,-0.03640662889583498,-0.10940802187743917,0.04096421293118876,0.12015545392187996,-0.13969529457056143,0.03247028621386337,0.34658836858192155,0.5424212374087419,0.1792327000275977,-0.09362303553167671
ACC_sub_R,0.02211044174154539,1.0,-0.048177881535862416,0.1605013822032116,-0.04134372781182516,-0.0962660813411439,-0.05508486503042517,-0.023681408796846746,0.028707769974189588,-0.06759343001519677,-0.08675692961444896,0.020221168083621857,-0.0012225780160690827,0.013603645917157042,-0.06343420982393959,0.10098645845063534,-0.12179791161227622,-0.09442786197450535,-0.029763119602171543,-0.14851332398639638,-0.05380394662196675,-0.06601472961722983,0.030850357249575775,-0.08393914056511047,-0.08456093256034147,-0.12261821489850483,-0.10001250124036037,-0.11732764541218674,0.005014106320709747,0.12850771979348383,-0.07624458726441832,-0.036553099800207385,0.04564297910665498,-0.03375064219006241,-0.07598465606794695,0.021101646149620557,0.06005784454256325,-0.011141574623188719,0.20474665816015647,0.07529176317939407,0.05284435391533163,-0.06009337433439377,-0.06777597961189658,-0.07018903090819519,-0.14239664768525626,0.02661082642488457,-0.0629056190686284,0.036512580466407665,-0.03422821462706689,-0.10349511047740827,-0.09286227189453693,-0.15373299681213812,-0.15958348705088637,-0.010992960807867503,0.031107767184757586,0.01577737785479259,0.19719017835219793,-0.09550741922345603,-0.2278917641256486,-0.07856617725368326,-0.06639277035632912,-0.10219743549851731,-0.106897648464637,0.07969605529421984,0.14385275555169183,0.16378588899521593,0.03056139862157682,-0.0520726745091307,-0.19086852171316185,-0.27684581949585474,0.018195763358557045,-0.12132474240522387,-0.06826477587653916,0.030630894517827235,-0.07852334807101485,0.09356047509867023,-0.03308243409207146,0.11401187907210349,0.04876779127031064,-0.062146975574588606,0.07435077329416409,-0.0004263114289943557,0.017850563268085443,0.003933764721477355,0.08582668185238322
Temporal_Pole_Mid_L,-0.07879903468849009,-0.048177881535862416,1.0,-0.4649614026852936,-0.061498544113085175,-0.40270006434951733,-0.065952475283598,0.06268496415581035,0.05216739555951376,0.07234512851834733,0.4614915121454452,-0.2385605211713682,-0.3215740908533372,0.29909187451279967,0.4626164127369236,-0.4928450130871272,0.47983371723354834,0.36463619255724955,0.10142131506709956,-0.31698454573499324,0.09966157853779942,-0.13054394341559497,-0.36249587976948267,0.5923886076209023,0.5794748283069384,0.20852889637224017,0.11357406106040545,0.27569956866490364,-0.1812204910778721,-0.24602568510984063,0.41807557902150455,0.09320725623179826,-0.4707202221352055,-0.3152010218242105,-0.4340804502744318,-0.22132287278137402,-0.3670140292930036,-0.37546107444232063,-0.2484375709495133,0.04281284741658745,-0.2965567817202272,0.5418198427698482,-0.26928549904862287,-0.08895626828011485,0.006389952962679894,0.2203496131259951,0.40841632170057995,-0.09729414104959584,0.4663097039758668,-0.023963029948944635,0.6416597791607361,0.5617922926195361,-0.05287492252938758,-0.3405146726027617,-0.3554578297895429,-0.30239950853767167,-0.2883658542853101,0.3719150286423275,0.38595277988386356,0.4688915623976785,-0.09734338434278843,0.6108437021860137,0.5057320804752546,0.3172989649071719,-0.15146066538794958,-0.44764665230486184,-0.03306505212172094,0.11150179425068772,-0.0877000739706453,-0.2561537311657888,0.41491575594898056,-0.048962790132142234,-0.2412120884064906,0.472301408800258,0.43484020467112827,0.4107958657757683,0.5235362576789322,-0.5073674998193917,0.1262395633183179,0.48236665367525416,-0.4144998559791513,0.18025864096508784,0.032611560885015115,-0.2143013937836804,0.21632701750210553
Frontal_Inf_Orb_2_R,0.06489728528484641,0.1605013822032116,-0.4649614026852936,1.0,0.13511505398197163,0.3603452622784586,0.07937494545069758,-0.258664545239535,0.38160096710718866,-0.10726398919913548,-0.6951577757339711,0.3257461121936063,0.6690176120399797,-0.27389364203188676,-0.41028581329049174,0.8610480495606788,-0.33118715515748304,-0.6384415247308955,-0.3655777327284405,0.3723243458005749,-0.18638361496518627,0.4513693978149984,0.6885089035203249,-0.5771893765209191,-0.5963707544698728,-0.37744277016694333,-0.31769842569450796,-0.4445916742742128,0.05199160893346655,0.6236891285562383,-0.5719535833881827,-0.28452448580176876,0.8027350120867689,0.5382740643214068,0.5358391486715139,0.5021789393401438,0.6695274402082525,0.6722613799467065,0.6674060136937927,0.2785221400730304,0.3213698340108872,-0.5503426711946444,0.22484750564496145,-0.07026393061466342,-0.20724715991820616,-0.22588648767723224,-0.6631072604778668,0.3219945894963583,-0.5372929171357793,0.09340362220260595,-0.8100153635674796,-0.5778098026648009,0.10578968225553605,0.23850136588050322,0.6808091384893296,0.49534526402448237,0.7949468707298144,-0.6318779977357215,-0.6163735342470893,-0.5676517812007893,0.07849943273242434,-0.6045259706275549,-0.6225088002897302,-0.40570424853029496,0.4229426355922568,0.600586346058984,0.384949938189511,-0.36718367747657393,-0.014883626835197514,0.0561134318621753,-0.5031627449585286,0.2769124221759107,0.504805492593491,-0.5122438019673835,-0.557503528660101,-0.49076842672481746,-0.5828033736406458,0.8242869595492357,0.043458292911035215,-0.5500855547593324,0.8327354823066938,0.168969319822902,0.14347214285430332,0.5186938785846967,-0.1539393958229342
Red_N_R,0.49915848627424203,-0.04134372781182516,-0.061498544113085175,0.13511505398197163,1.0,0.5908571387225009,0.3253715494660324,-0.060552035180594405,-0.0067844797652592504,0.052823512460562744,-0.1925180304826981,0.11404846202239496,0.2831207884363944,0.014149115391035793,-0.06499382468770112,0.17360388103481156,0.00033484607235692706,-0.1500974127469897,-0.11329075064142288,0.042287908074212455,0.07530796893720913,0.3163384190106451,0.23970110578307893,-0.01274232767975718,0.008457141556956092,-0.17569319181201065,-0.053472274698039,-0.017310851705894817,0.3055914754703883,0.1653358214630128,-0.10947229431248716,-0.059016660755599686,0.33020613909781665,0.22070373999771356,0.3983607575057844,0.4082873556128735,0.2810371746492166,0.20032505532156988,0.38484673662889607,0.24768581979321402,0.1950720220504123,0.16486915991271003,0.3283213920977106,0.09154405993372412,-0.08380669022757696,0.12894178570544296,-0.036256257461588524,0.10559263372553684,0.05015064169709861,0.2284959456720712,-0.1542484607531077,-0.06161945368544628,0.40494809361403544,0.0831203852539041,0.23653398399311537,0.11359212924880886,0.24768572453927795,-0.16688620865775705,0.0592426021643387,0.08169990830980392,0.21722854619407145,-0.1280803063272091,-0.08650687155216134,0.06881391903392076,-0.13833492092920624,0.32235881545720585,0.4280413398779834,-0.07832103508936637,0.07700800068150018,0.29917975452620443,-0.08855623569674873,0.3323520966866993,0.26585432251239777,-0.05703453974436446,-0.12502840997632983,0.11555807318581915,-0.06824745642812946,0.07741628090008895,0.20650275503294166,-0.001324509552515694,0.2000050304656713,0.2508292328665473,0.3242668226705387,0.13137039595004993,0.0211884914569606
Red_N_L,0.4723199932478961,-0.0962660813411439,-0.40270006434951733,0.3603452622784586,0.5908571387225009,1.0,0.3460120355386547,-0.22920566283219598,-0.14772638122459347,-0.24778506407671075,-0.5558367268164146,0.20139100380453087,0.4066874316741255,-0.5549839627144827,-0.46279707268549986,0.5031459406109763,-0.28113979772394715,-0.37265510751318726,-0.192265363250233,0.43480784434131436,-0.047662614990983204,0.3163130701900484,0.4443981648680653,-0.4617074290133199,-0.5651015479057289,0.0071793845469122685,0.02439850077794354,0.1039016209482923,0.43139341739823395,0.24154976870768283,-0.47955153457634003,-0.11186038015401714,0.46466800293144356,0.5113614094433392,0.6333286384519212,0.6540453042357645,0.6461485565306045,0.661349506611617,0.5234927482834205,0.04325254396204827,0.12978594644953775,-0.31834265214826324,0.3827065042664697,-0.18890913606283335,0.32606857358153246,-0.48190526725974675,-0.4204931473734308,-0.23322677358061902,-0.37997587777461295,0.31072888047929537,-0.5567504407544772,-0.17215915878990187,0.4335908886127517,0.3352116340511513,0.5089678554952839,0.2274708766209008,0.39049595005592297,-0.4626917339706207,-0.23665683553518502,-0.4496235462738856,0.19708243909061138,-0.5396534845703755,-0.5268871042486,-0.43611786633499205,-0.10436686574147361,0.33172308997442296,0.43739721935840986,-0.137716337920529,0.25768780196874547,0.4721954652865577,-0.49439656211713645,0.21517518420000536,0.48746855589934024,-0.5913891743044465,-0.4810863556611561,-0.3032734799870865,-0.5542798552989685,0.3506426140439405,-0.10184984306114905,-0.5359020696763509,0.301061192716862,0.2731533338988223,0.2361539443971492,0.200051234736902,-0.43287108078049824
Supp_Motor_Area_L,0.4165161793874681,-0.05508486503042517,-0.065952475283598,0.07937494545069758,0.3253715494660324,0.3460120355386547,1.0,0.4094717572692965,-0.05624083571199078,0.38149812170292824,0.07271860557154526,0.3640903929842842,0.17748058797867844,-0.08090190954943516,-0.13348529113213564,0.20690291374238623,0.34549064211923863,0.20079202194747484,0.2016752129707226,0.3116787788576794,0.700136121761749,0.43514701075579915,0.20999542535868496,-0.12160527129148838,-0.05986146584063455,0.2324024336026566,0.5239457702835969,0.21240157458532602,0.16596105598458616,0.2833478145009015,-0.06109209838233576,0.4721774004944394,0.3732384926859835,0.5128368444862759,0.46848247412199384,0.33582280096289807,0.4322042815477718,0.26854658458905195,0.35174095213749584,0.4226497333847171,0.25628249931381064,0.31019132370863517,0.35435294839207354,0.26287339988442776,0.2881073240311581,0.0046782731835407045,0.2549137616720241,0.17366856071649872,0.1096954161884748,0.8797630945257486,-0.013656606294519766,0.38153494599434173,0.5780687759658435,0.21814807162428845,0.4128896286035484,0.3643253960712901,0.1810584447835154,0.2507337466018791,0.1658194557042208,0.0758536521664229,0.3389420133226767,-0.017479067427166532,0.17529282371656618,0.1285806222145701,-0.039762242916977386,0.3130676095724532,0.5103905688339598,0.4267708730888541,0.3819756181101112,0.37589050310926786,-0.12709201643289858,0.40845589789139825,0.5505147218297087,-0.13403908984554577,0.17678002251797503,-0.07297169666448933,0.13596738729277258,0.0313386333223125,0.10218013670634345,0.056463653026614054,0.03720233430481214,0.7330610610818644,0.3751249897905293,0.42324839164857525,0.16351565111216165
Postcentral_L,-0.01900126393243692,-0.023681408796846746,0.06268496415581035,-0.258664545239535,-0.060552035180594405,-0.22920566283219598,0.4094717572692965,1.0,0.0400579416602993,0.49797761336001045,0.6654087623613625,-0.008329051168961963,-0.35977291407701534,0.1628702085823883,-0.15217550769502042,-0.36152405671098664,0.3857134587262992,0.7983137870091576,0.8328025926149634,-0.19993791020720064,0.8765612950388719,-0.11861313625188222,-0.20488021918854132,0.16706196959565495,0.16819861105408832,0.45557803826234844,0.7642863015073917,0.1989439556094367,0.056551790497674004,-0.2661759859327005,-0.08553069164315807,0.8585994344160298,-0.1801224976693109,-0.12695290706860438,-0.03809671189366434,-0.2899506118291868,-0.4047964532344092,-0.3186358834750009,-0.25418401753767184,-0.06959935070574017,0.38309693749875967,0.29729393513861013,0.04889442807556276,0.5470808951560895,0.15243426028586213,0.35656324011615576,0.6828430039246173,0.03570439351662286,0.24244130640517011,0.33138624991552673,0.3276180147633516,0.26938694009690956,0.12334574650410497,0.17273841937761858,-0.19712922046226325,-0.11455380484429206,-0.3386858062288743,0.7418017989985908,0.356395243473964,0.3239006991816436,0.27292993132960996,0.028899574188523038,0.653920234202774,0.264115918986284,-0.09613257530926765,0.02862246770152703,-0.14879311214247415,0.8470759740037839,0.18171638046087024,-0.045601615959947744,-0.11394678715106067,-0.13057884515918286,-0.11700583935622924,0.2942542215104048,0.6001066613143033,0.19070793495266608,0.4899263633601166,-0.09442551921879877,-0.2642953737052748,0.4186346076732636,-0.31708909003864794,0.2973538214823815,0.0903302791057493,-0.1558179684943564,0.321422158615742
OFClat_R,-0.15336358476114986,0.028707769974189588,0.05216739555951376,0.38160096710718866,-0.0067844797652592504,-0.14772638122459347,-0.05624083571199078,0.0400579416602993,1.0,0.1404993530990862,-0.046466190285196336,0.16447563696636586,0.08180310921271934,0.14311171349136131,-0.06075333795388856,0.12872697877724087,-0.0012036170671722813,-0.10157327439101112,-0.03345815382716585,-0.08850802224185059,0.026016425415778786,0.12104332715978916,0.08871668475863542,-0.014212902860053798,0.03702735590326472,-0.14663379987133945,-0.1326452182622508,-0.2470004105048796,-0.10354114028906622,0.08330790677405053,-0.08690966697283811,-0.06485951188346857,0.11872952243625182,0.005961578632707901,0.04371014651959038,-0.06113210185503338,-0.030470216758812566,0.0366883582545564,0.18072013871050885,0.2294875590168285,0.1758528880617594,-0.042008102385028626,0.017215579827819922,0.10889707513085195,-0.21272815943994824,0.15491313599912665,-0.06159809668214509,0.2433444274372516,-0.10425383038874736,-0.0407727980949275,-0.10719906303287083,-0.20151788709277482,0.0004785418379303267,0.035206843501250654,0.07220765219332843,0.10398990829036386,0.14968293916771674,-0.07664229194825133,-0.05431441826458311,0.016952788383827112,0.024938456159207447,-0.08476792138282468,0.00583801616739477,0.024138703151951095,0.24390616230691253,0.16657452877994097,0.06652557122259994,-0.0732653592755509,-0.10426847618015558,-0.14659705901158054,0.002149280308309985,0.07783394345789563,0.059017309884889145,0.1110635548036782,0.020614975405763226,0.08703333891038909,0.039720005642696087,0.12612862686697401,-0.04538970528870252,0.04726741163724972,0.4249245011285028,0.09309802063448804,-0.007426116884259942,0.12350524895224116,0.06905167750621567
Frontal_Inf_Oper_L,-0.012429355792293309,-0.06759343001519677,0.07234512851834733,-0.10726398919913548,0.052823512460562744,-0.24778506407671075,0.38149812170292824,0.49797761336001045,0.1404993530990862,1.0,0.32218670103652275,0.2678943529398139,-0.07101842226154793,0.5673481715014945,0.3388923039763802,-0.09347783645788596,0.650286769702463,0.27086021283188066,0.11475030167272177,-0.13610674544827225,0.5558208220294331,0.43711646727595127,-0.0005385421398945365,0.288958238787799,0.3631381443938708,-0.09665663248467486,0.15755216552541312,-0.04256442462786232,-0.12505339095900034,0.14699292093786792,0.32721785676226894,0.5290886864277863,0.11018711763198846,-0.06065877826253364,0.08969008774648442,-0.28044138603778906,-0.14516892590702882,-0.1082946710947727,-0.34273688198037233,0.2032118985598666,0.6820613884780342,0.3626631360098315,0.33071670993847296,0.8874939616552672,-0.11810161668659154,0.5751548127299876,0.33371688563679736,0.5779765477213511,0.2481471697961955,0.3216650117735539,0.30333675522677056,0.317914542665951,0.33278208097128914,0.21657751492491636,0.231346275119935,0.11753105893695201,-0.08963334853159462,0.4123126352706264,0.3156825375731146,0.6075922288315189,0.432796350843494,0.2840464655333663,0.5971750981757227,0.536699850340067,0.24848244658294255,0.12087215574542062,0.1158168770490014,0.2703978512716739,0.5091432304347002,-0.00038291557630460533,0.35407737767689157,0.4885474634642131,0.17716110693227521,0.4799992734542812,0.6324930335133842,0.24555836718051188,0.4925883500157294,-0.03828261857230459,0.15811673594228784,0.6538895027719414,0.1897126800315047,0.02643716012376883,0.13881598458461186,0.39757880557538466,0.6229439381684612
